F R D' L2 B' L
D F L' D R B2
D F L' D B2 R
D F D L' R B2
D F D L' B2 R
D F D R L' B2
D F D R B2 L'
D F D B2 L' R
D F D B2 R L'
F D' L2 R B' L
F D' L2 B' L R
F D' L2 B' R L
F D' R L2 B' L
D2 B2 D' F L' R
D2 B2 D' F R L'
F2 L U' B' U' F' R
F2 L' U F U F2 R
F2 L' U2 F' R D' L2
F2 L' U2 F' D' L2 R
F2 L' U2 F' D' R L2
F2 L' F' R D' L2 B'
F' L' F' U F2 U F
F' L' F' U2 D' L2 F'
F' L' F' U2 D' F' L2
F' L' F' D R2 B U2
F' L' F' D' U2 L2 F'
F' L' F' D' U2 F' L2
F2 L' F' D' L2 R B'
F2 L' F' D' L2 B' R
F2 L' F' D' R L2 B'
F R U2 D F U2 L'
F R D L2 D2 B' L
F R D U2 F U2 L'
F R D' L B' L B'
F R D' L2 B' L D
F R D' L2 B' L D'
F R D' L2 B' L D2
F R D' L2 B' D L
F R D' L2 B' D' L
F R D' L2 B' D2 L
F R D' B' L2 B' L'
F R D2 L2 D B' L
D2 R F R B2 D' L2
D2 R F B2 R D' L2
D2 R F B2 D' L2 R
D2 R F B2 D' R L2
D2 R F' U F2 R B2
D2 R F' U F2 B2 R
D2 R F' U B2 F2 R
F R B D' L2 B' L
F R B' D' L2 B' L
D2 R B2 F R D' L2
D2 R B2 F D' L2 R
D2 R B2 F D' R L2
F R B2 D' L2 B' L
D R' F L' R D B2
D R' F R L' D B2
D R' F R D L' B2
D R' F R D B2 L'
F R2 D' L2 R' B' L
F R2 D' R' L2 B' L
D R2 F' U' F2 L' R
D R2 F' U' F2 R L'
R' D F L' D R B2
R' D F L' D B2 R
R' D F D L' R B2
R' D F D L' B2 R
R' D F D R L' B2
R' D F D R B2 L'
R' D F D B2 L' R
R' D F D B2 R L'
R2 D F L' D R B2
R2 D F L' D B2 R
R2 D F D L' R B2
R2 D F D L' B2 R
R2 D F D R L' B2
R2 D F D R B2 L'
R2 D F D B2 L' R
R2 D F D B2 R L'
R D F L' D R B2
R D F L' D B2 R
R D F D L' R B2
R D F D L' B2 R
R D F D R L' B2
R D F D R B2 L'
R D F D B2 L' R
R D F D B2 R L'
D U R2 U' F L' R
D U R2 U' F R L'
U D R2 U' F L' R
U D R2 U' F R L'
F2 U' L B' U' F' R
F2 U' L2 U' F' L' R
F2 U' L2 U' F' R L'
F2 U2 L' F' R D' L2
F2 U2 L' F' D' L2 R
F2 U2 L' F' D' R L2
R' D2 B2 D' F L' R
R' D2 B2 D' F R L'
R2 D2 B2 D' F L' R
R2 D2 B2 D' F R L'
R D2 B2 D' F L' R
R D2 B2 D' F R L'
D F L' R U R U'
D F L' U R2 U' R'
D F L' D R B2 D
D F L' D R B2 D'
D F L' D R B2 D2
D F L' D R' B2 R2
D F L' D B' R B'
D F L' D B2 R D
D F L' D B2 R D'
D F L' D B2 R D2
D F L' D B2 D R
D F L' D B2 D' R
D F L' D B2 D2 R
D F L' D' R D2 B2
D F L' D2 R D' B2
D F L' B D R B2
D F L' B D B2 R
D F L' B' D R B2
D F L' B' D B2 R
D F L' B2 D R B2
D F L' B2 D B2 R
D2 F R U' F' U B2
R' F R D' L2 B' L
D F L2 D L R B2
D F L2 D L B2 R
D F L2 D R L B2
D' F R B D' B2 L
D' F R B' D' L B2
D2 F R B2 U' F' U
D F R L' U R U'
D F R U R U' L'
R2 F R D' L2 B' L
F2 U2 F2 D F L' R
F2 U2 F2 D F R L'
R F R D' L2 B' L
D F U R2 U' L' R'
D F U R2 U' R' L'
R' F D' L2 R B' L
R' F D' L2 B' L R
R' F D' L2 B' R L
R' F D' R L2 B' L
D F D L R B2 L2
D F D L B2 L2 R
D F D L B2 R L2
D F D L' R B2 D
D F D L' R B2 D'
D F D L' R B2 D2
D F D L' R' B2 R2
D F D L' B' R B'
D F D L' B2 R D
D F D L' B2 R D'
D F D L' B2 R D2
D F D L' B2 D R
D F D L' B2 D' R
D F D L' B2 D2 R
D F D R L B2 L2
D F D R L' B2 D
D F D R L' B2 D'
D F D R L' B2 D2
D F D R B L' B
D F D R B2 L' D
D F D R B2 L' D'
D F D R B2 L' D2
D F D R B2 D L'
D F D R B2 D' L'
D F D R B2 D2 L'
D F D R' L' B2 R2
D F D R' B2 L' R2
D F D R' B2 R2 L'
U2 F D' L2 B' L R'
U2 F D' L2 B' R' L
D F D B L' B R
F D L2 R D2 B' L
D F D B' R B' L'
R2 F D' L2 R B' L
D F D B2 L' R D
D F D B2 L' R D'
D F D B2 L' R D2
D F D B2 L' D R
D F D B2 L' D' R
D F D B2 L' D2 R
D F D B2 R L' D
D F D B2 R L' D'
D F D B2 R L' D2
R2 F D' L2 B' L R
D F D B2 R D L'
D F D B2 R D' L'
R2 F D' L2 B' R L
D F D B2 R D2 L'
R2 F D' R L2 B' L
D F D B2 D L' R
D F D B2 D R L'
D F D B2 D' L' R
D F D B2 D' R L'
D F D B2 D2 L' R
D F D B2 D2 R L'
D F D' L' R D2 B2
D F D' L' D2 R B2
D F D' L' D2 B2 R
D F D' R L' D2 B2
D F D' R D2 L' B2
D F D' R D2 B2 L'
F D L2 D2 R B' L
F D L2 D2 B' L R
F D L2 D2 B' R L
R F D' L2 R B' L
R F D' L2 B' L R
R F D' L2 B' R L
R F D' R L2 B' L
F D R L2 D2 B' L
F D R U2 F U2 L'
D F D2 R D' L' B2
D F D2 R D' B2 L'
F D R D2 L2 B' L
D' F B D' B2 L R
D' F B D' B2 R L
D' F B' R D' L B2
D F B L' D R B2
D F B L' D B2 R
D2 F B' D R B' L
D' F B' D' L R B2
D2 F B' D B' L R
D' F B' D' L B2 R
D2 F B' D B' R L
D' F B' D' R L B2
D2 F B2 R U' F' U
D F B D L' R B2
D F B D L' B2 R
D F B D R L' B2
D F B D R B2 L'
D F B D B2 L' R
D F B D B2 R L'
D F B' L' D R B2
D F B' L' D B2 R
D F B' D L' R B2
D F B' D L' B2 R
D F B' D R L' B2
D F B' D R B2 L'
D F B' D B2 L' R
D F B' D B2 R L'
D F B2 L' D R B2
D F B2 L' D B2 R
D F B2 D L' R B2
D F B2 D L' B2 R
D F B2 D R L' B2
D F B2 D R B2 L'
D F B2 D B2 L' R
D F B2 D B2 R L'
B' D F L' D R B2
B' D F L' D B2 R
B2 D F L' D R B2
B2 D F L' D B2 R
B' D F D L' R B2
B' D F D L' B2 R
B' D F D R L' B2
B' D F D R B2 L'
B' D F D B2 L' R
B' D F D B2 R L'
B2 D F D L' R B2
B2 D F D L' B2 R
B2 D F D R L' B2
B2 D F D R B2 L'
B2 D F D B2 L' R
B2 D F D B2 R L'
B D F L' D R B2
B D F L' D B2 R
B D F D L' R B2
B D F D L' B2 R
B D F D R L' B2
B D F D R B2 L'
B D F D B2 L' R
B D F D B2 R L'
F D F U2 L' F' R
F D' L R B' L B'
F D' L B' L R B'
F D' L B' L B' R
F D' L B' R L B'
F D' L2 R B' L D
F D' L2 R B' L D'
F D' L2 R B' L D2
F D' L2 R B' D L
F D' L2 R B' D' L
F D' L2 R B' D2 L
F D' L2 R' B' L R2
F D' L2 R' B' R2 L
F D' L2 B' L R D
F D' L2 B' L R D'
F D' L2 B' L R D2
F D' L2 B' L D R
F D' L2 B' L D' R
F D' L2 B' L D2 R
F D' L2 B' R L D
F D' L2 B' R L D'
F D' L2 B' R L D2
F D' L2 B' R D L
F D' L2 B' R D' L
F D' L2 B' R D2 L
F D' L2 B' D L R
F D' L2 B' D R L
F D' L2 B' D' L R
F D' L2 B' D' R L
F D' L2 B' D2 L R
F D' L2 B' D2 R L
F D' R L B' L B'
F D' R L2 B' L D
F D' R L2 B' L D'
F D' R L2 B' L D2
F D' R L2 B' D L
F D' R L2 B' D' L
F D' R L2 B' D2 L
F D' R B' L2 B' L'
F D' R' L2 B' L R2
F D' R' L2 B' R2 L
F D' B R D2 L2 B'
F D' B' L2 R B' L'
F D' B' L2 B' L' R
F D' B' L2 B' R L'
F D' B' R L2 B' L'
F D2 L2 D R B' L
F D2 L2 D B' L R
F D2 L2 D B' R L
B' D2 B2 D' F L' R
B' D2 B2 D' F R L'
B2 D2 B2 D' F L' R
B2 D2 B2 D' F R L'
B D2 B2 D' F L' R
B D2 B2 D' F R L'
D2 B D' F L' B R
D2 B D' F B L' R
D2 B D' F B R L'
D' B D' F B2 L R
D' B D' F B2 R L
B' F R D' L2 B' L
D2 B D' B F L' R
D2 B D' B F R L'
D' B D' B2 F L R
D' B D' B2 F R L
B2 F R D' L2 B' L
B F R D' L2 B' L
D' B F D' B2 L R
D' B F D' B2 R L
F B R D' L2 B' L
D B F L' D R B2
D B F L' D B2 R
D B F D L' R B2
D B F D L' B2 R
D B F D R L' B2
D B F D R B2 L'
D B F D B2 L' R
D B F D B2 R L'
B' F D' L2 R B' L
B' F D' L2 B' L R
B' F D' L2 B' R L
B' F D' R L2 B' L
B2 F D' L2 R B' L
B2 F D' L2 B' L R
B2 F D' L2 B' R L
B2 F D' R L2 B' L
B F D' L2 R B' L
B F D' L2 B' L R
B F D' L2 B' R L
B F D' R L2 B' L
F B D' L2 R B' L
F B D' L2 B' L R
F B D' L2 B' R L
F B D' R L2 B' L
D2 B' D F R B' L
D2 B' D F B' L R
D2 B' D F B' R L
D2 B' D B' F L R
D2 B' D B' F R L
F B' R D' L2 B' L
D2 B' D' F R B' L'
D2 B' D' F B' L' R
D2 B' D' F B' R L'
D' B' D' F L R B2
D' B' D' F L B2 R
D' B' D' F R L B2
D2 B' D' B' F L' R
D2 B' D' B' F R L'
D' B' F R D' L B2
D2 B' F D R B' L
D2 B' F D B' L R
D2 B' F D B' R L
D' B' F D' L R B2
D' B' F D' L B2 R
D' B' F D' R L B2
D B' F L' D R B2
D B' F L' D B2 R
D B' F D L' R B2
D B' F D L' B2 R
D B' F D R L' B2
D B' F D R B2 L'
D B' F D B2 L' R
