R2 L F' U F
L R2 F' U F
D' L R2 F' U F
D L R2 F' U F
F2 L R2 F' U F'
D2 L R2 F' U F
R2 L D F' U F
R2 L D' F' U F
F L U2 B U' F'
F2 L U2 B U' F2
R2 L D2 F' U F
R' L F U F' L'
F2 L D R2 F' U
R2 L F' R U F
R2 L F' R' U F
R2 L F' R2 U F
R2 L F' U D F
R2 L F' U D' F
R2 L F' U D2 F
R2 L F' U F D
R2 L F' U F D'
R2 L F' U F D2
R2 L F' D U F
R2 L F' D' U F
R2 L F' D2 U F
L R' F U F' L'
L R2 D F' U F
L R2 D' F' U F
L R2 D2 F' U F
L R2 F' R U F
L R2 F' R' U F
L R2 F' R2 U F
L R2 F' U D F
L R2 F' U D' F
L R2 F' U D2 F
L R2 F' U F D
L R2 F' U F D'
L R2 F' U F D2
L R2 F' D U F
L R2 F' D' U F
L R2 F' D2 U F
F2 R2 L F' U F'
D2 R2 L F' U F
D' R2 L F' U F
D R2 L F' U F
L U2 B L2 U' F
L U2 B U B' U2
R2 D L F' U F
F' R2 F' L U F2
F2 R2 F' L U F'
L D R2 F' U F
R2 D' L F' U F
L D' R2 F' U F
R2 D2 L F' U F
L D2 R2 F' U F
B U' B' L U L'
R' F L U F' L'
R2 F L F2 U F
F2 D L R2 F' U
L F U2 B U' F'
F2 D R2 L F' U
F2 D R2 F' L U
L F' R2 F' U F2
L F' U2 B U' F
L F2 R2 F' U F'
L F2 U2 B U' F2
L F2 D R2 F' U
U B2 R' B' U' R
F' L R' U F' L' F
F2 L R' U F' L' F'
D' L R' F U F' L'
D2 L R' F U F' L'
D L R' F U F' L'
F2 L R' F' U F' L'
F' L R2 D F' R U
D' L R2 D F' U F
D2 L R2 D F' U F
F2 L R2 D F' R2 U
D' L R2 D' F' U F
D2 L R2 D' F' U F
D L R2 D F' U F
D' L R2 D2 F' U F
D2 L R2 D2 F' U F
D L R2 D' F' U F
D' L R2 F' R U F
D' L R2 F' R' U F
D L R2 D2 F' U F
D' L R2 F' R2 U F
D' L R2 F' U D F
D' L R2 F' U D' F
D' L R2 F' U D2 F
D' L R2 F' U F D
D' L R2 F' U F D'
D' L R2 F' U F D2
D2 L R2 F' R U F
D2 L R2 F' R' U F
D2 L R2 F' R2 U F
D' L R2 F' D U F
D2 L R2 F' U D F
D2 L R2 F' U D' F
D2 L R2 F' U D2 F
D2 L R2 F' U F D
D2 L R2 F' U F D'
D2 L R2 F' U F D2
D' L R2 F' D' U F
D' L R2 F' D2 U F
D2 L R2 F' D U F
D2 L R2 F' D' U F
D2 L R2 F' D2 U F
F2 L R2 F' U D F'
F2 L R2 F' U D' F'
F2 L R2 F' U D2 F'
F2 L R2 F' U F' D
F2 L R2 F' U F' D'
F2 L R2 F' U F' D2
F2 L R2 F' D U F'
F2 L R2 F' D' U F'
F2 L R2 F' D2 U F'
D L R2 F' R U F
D L R2 F' R' U F
D L R2 F' R2 U F
D L R2 F' U D F
D L R2 F' U D' F
D L R2 F' U D2 F
D L R2 F' U F D
D L R2 F' U F D'
D L R2 F' U F D2
F L R2 F' R2 U F'
D L R2 F' D U F
D L R2 F' D' U F
D L R2 F' D2 U F
F L R2 F' U' B U2
U L U L' B U' B'
R' L D R' F' U F
F2 L U F2 U B U'
F L U F' U B U'
R' L D F U F' L'
U' L U' L' U' B U'
R2 L D F' R U F
R2 L D F' R' U F
R2 L D F' R2 U F
R2 L D F' U D F
R2 L D F' U D' F
R2 L D F' U D2 F
R2 L D F' U F D
R2 L D F' U F D'
R2 L D F' U F D2
R2 L D F' D U F
R2 L D F' D' U F
R2 L D F' D2 U F
R' L D' R' F' U F
R' L D' F U F' L'
F' L U2 L' B U' F
F2 L U2 L B U' F2
F2 L U2 L' B U' F2
L R D' F U L' F'
F L U2 L B U' F'
R2 L D' F' R U F
R2 L D' F' R' U F
R2 L D' F' R2 U F
R2 L D' F' U D F
R2 L D' F' U D' F
R2 L D' F' U D2 F
R2 L D' F' U F D
R2 L D' F' U F D'
R2 L D' F' U F D2
R2 L D' F' D U F
F2 L U2 L2 B U' F2
R2 L D' F' D' U F
R2 L D' F' D2 U F
F L U2 L' B U' F'
R L D' F U L' F'
F L U2 L2 B U' F'
F2 L U2 D' L2 B U'
F2 L U2 D' B L2 U'
F L U2 D B U' F'
L2 R D2 L' F U F'
F L U2 D' B U' F'
R' L D2 R' F' U F
F L U2 D2 B U' F'
F' L U2 B L' U' F
D2 L U2 B L2 U' F
D' L U2 B L2 U' F
D2 L U2 B U B' U2
U' L U2 F2 B U' R
D' L U2 B U B' U2
U' L U2 B U L' U2
F2 L U2 B L U' F2
F2 L U2 B L' U' F2
F2 L U2 B L2 U' F2
U' L U2 B F2 U' R
F2 L U2 B U' F2 D
F2 L U2 B U' F2 D'
F2 L U2 B U' F2 D2
F2 L U2 B D' L2 U'
D L U2 B L2 U' F
D L U2 B U B' U2
F L U2 B L U' F'
F L U2 B L' U' F'
F L U2 B L2 U' F'
R' L D2 F U F' L'
F L U2 B U' D F'
F L U2 B U' D' F'
F L U2 B U' D2 F'
F L U2 B U' F' D
F L U2 B U' F' D'
F L U2 B U' F' D2
F L U2 B D U' F'
F L U2 B D' U' F'
F L U2 B D2 U' F'
R2 L D2 F' R U F
R2 L D2 F' R' U F
R2 L D2 F' R2 U F
R2 L D2 F' U D F
R2 L D2 F' U D' F
R2 L D2 F' U D2 F
R2 L D2 F' U F D
R2 L D2 F' U F D'
R2 L D2 F' U F D2
R2 L D2 F' D U F
R2 L D2 F' D' U F
R2 L D2 F' D2 U F
D2 L D R2 F' U F
F' L D R2 F' R U
D' L D R2 F' U F
F2 L D R2 D F' U
F2 L D R2 D' F' U
F2 L D R2 D2 F' U
F2 L D R2 F' U D
F2 L D R2 F' U D'
F2 L D R2 F' U D2
F2 L D R2 F' D U
F2 L D R2 F' D' U
F2 L D R2 F' D2 U
D L D R2 F' U F
F2 L D F R2 F' U
F L D U2 B U' F'
F2 L D F' R2 F' U
R' L F U L F' L'
R' L F U L' F' L'
R' L F U L2 F' L'
R' L F U D F' L'
F2 L D F2 R2 F' U
R' L F U D' F' L'
R' L F U D2 F' L'
R' L F U F' L' D
R' L F U F' L' D'
R' L F U F' L' D2
R' L F U F' D L'
R' L F U F' D' L'
R' L F U F' D2 L'
R2 L F U D' L2 F'
R2 L F U D' F' L2
R' L F D U F' L'
R' L F D' U F' L'
R' L F D2 U F' L'
R2 L F D' U L2 F'
R2 L F D' U F' L2
D' L D' R2 F' U F
D2 L D' R2 F' U F
D L D' R2 F' U F
F2 L D' U2 L2 B U'
F2 L D' U2 B L2 U'
R' L F' R' F' U F2
F L D' U2 B U' F'
R2 L F' R U D F
R2 L F' R U D' F
R2 L F' R U D2 F
R2 L F' R U F D
R2 L F' R U F D'
R2 L F' R U F D2
R2 L F' R D U F
R2 L F' R D' U F
R2 L F' R D2 U F
L R F' R F' U F2
R' L F' U F' L' F2
R2 L F' R' U D F
R2 L F' R' U D' F
R2 L F' R' U D2 F
R2 L F' R' U F D
R2 L F' R' U F D'
R2 L F' R' U F D2
R2 L F' R' D U F
R2 L F' R' D' U F
R2 L F' R' D2 U F
R2 L F' R2 U D F
R2 L F' R2 U D' F
R2 L F' R2 U D2 F
R2 L F' R2 U F D
R2 L F' R2 U F D'
R2 L F' R2 U F D2
R2 L F' R2 D U F
R2 L F' R2 D' U F
R L F' R F' U F2
R2 L F' R2 D2 U F
R2 L F' U R F R'
R2 L F' U R2 F R2
R2 L F' U D F D
R2 L F' U D F D'
R2 L F' U D F D2
L R F' U D' F L'
R2 L F' U D' F D
R2 L F' U D' F D'
R2 L F' U D' F D2
R2 L F' U D2 F D
R2 L F' U D2 F D'
R2 L F' U D2 F D2
R2 L F' U F2 D F'
R2 L F' U F2 D' F'
R2 L F' U F2 D2 F'
R2 L F' U' B U2 F
R2 L F' U' B' U2 F
R2 L F' U' B2 U2 F
R L F' U D' F L'
R2 L F' D R U F
R2 L F' D R' U F
R2 L F' D R2 U F
R2 L F' D U F D
R2 L F' D U F D'
R2 L F' D U F D2
R2 L F' D' R U F
R2 L F' D' R' U F
R2 L F' D' R2 U F
R2 L F' D' U F D
R2 L F' D' U F D'
R2 L F' D' U F D2
L R F' D' U F L'
R2 L F' D2 R U F
R2 L F' D2 R' U F
D' L D2 R2 F' U F
R2 L F' D2 R2 U F
R2 L F' D2 U F D
R2 L F' D2 U F D'
R2 L F' D2 U F D2
D2 L D2 R2 F' U F
R L F' D' U F L'
D L D2 R2 F' U F
R' L F2 R' F' U F'
F L D2 U2 B U' F'
R2 L F2 R F U F
L R F2 R F' U F'
R' L F2 U F' L' F'
R2 L F2 R' F U F
R L F2 R F' U F'
R2 L F2 R2 F U F
R2 L F2 D R2 F U
R2 L F2 D F R2 U
F2 L F R2 F' U F2
F L F R2 F' U F'
D2 L F U2 B U' F'
D' L F U2 B U' F'
D L F U2 B U' F'
F2 L F U2 B U' F
F L F U2 B U' F2
F L F D R2 F' U
D2 L F' R2 F' U F2
D' L F' R2 F' U F2
D L F' R2 F' U F2
D2 L F' U2 B U' F
F L F' R2 F' U F
D' L F' U2 B U' F
F2 L F' U2 B U' F'
D L F' U2 B U' F
D2 L F2 R2 F' U F'
D' L F2 R2 F' U F'
F2 L F2 R2 F' U F
D L F2 R2 F' U F'
D2 L F2 U2 B U' F2
F L F2 R2 F' U F2
D' L F2 U2 B U' F2
D2 L F2 D R2 F' U
D' L F2 D R2 F' U
U' L F2 U2 B U' R
D L F2 U2 B U' F2
D L F2 D R2 F' U
F L F2 U2 B U' F
U' L B U' L' U2 L
U2 L B U B' U2 B
U' L B' D2 F2 U R
B2 L B2 L F U F'
L R' D R' F' U F
L R' D F U F' L'
L R' D' R' F' U F
L R' D' F U F' L'
F2 L' R2 F' L2 U F'
R2 L' D' F' U F B2
R2 L' D' F' U B2 F
L R' D2 R' F' U F
L R' D2 F U F' L'
R' L' F L2 U F' L'
L' R' F L2 U F' L'
R2 L' F L2 F2 U F
L R' F U L F' L'
L R' F U L' F' L'
L R' F U L2 F' L'
L R' F U D F' L'
L R' F U D' F' L'
L2 R' F U F' L' B'
L R' F U D2 F' L'
L R' F U F' L' D
L R' F U F' L' D'
L R' F U F' L' D2
L R' F U F' D L'
L R' F U F' D' L'
L R' F U F' D2 L'
L R' F D U F' L'
L R' F D' U F' L'
L R' F D2 U F' L'
R2 L' F' L2 U' B' U2
