B L D' B2
B L U' L2 U
B' L D' B2 L
B L D' B2 D
B L D' B2 D'
B L D' B2 D2
U' L F L2 U
B L B D' B2
B L B' D' B2
B L B2 D' B2
U' L' U2 B' U'
L2 U' L F U
B U' L' U L2
L D' B L B
B D L D' B2
B D' L D' B2
B D2 L D' B2
D B L D' B2
D' B L D' B2
D2 B L D' B2
L B D' L B2
L2 B D L B'
L B' D' B2 L
B L R D' R' B2
B L R' D' R B2
B L R' D' B2 R
B L U D2 R2 U'
B L U' L2 U D
B L U' L2 U D'
B L U' L2 U D2
B L U' L2 D U
B L U' L2 D' U
B L U' L2 D2 U
B L U2 D F2 U2
B L D U2 F2 U2
B' L D' L B2 L
B' L D' L' B2 L
B' L D' L2 B2 L
B L D B D2 B2
B L D B' D2 B2
B L D B2 D2 B2
B L D' L B2 L'
B L D' L2 B2 L2
B L D' R' B2 R
U' L D' F U B2
B L D' R2 B2 R2
D' L D' B L B
D L D' B L B
D2 L D' B L B
B' L D' B2 L D
B' L D' B2 L D'
B' L D' B2 L D2
B' L D' B2 D L
B' L D' B2 D' L
B' L D' B2 D2 L
B L D' B D B
B L D' B D' B
B L D' B D2 B
B L D' B' D B'
B L D' B' D' B'
B L D' B' D2 B'
B L D2 U R2 U'
B L D2 B D B2
U' L F L2 U D
U' L F L2 U D'
U' L F L2 U D2
U' L F L2 D U
U' L F L2 D' U
B L D2 B' D B2
U' L F L2 D2 U
B L D2 B2 D B2
U' L F U D' B2
U' L F D' U B2
B L F D' F' B2
B L F D' B2 F'
U' L F' L2 F2 U
B L F' D' F B2
B L F' D' B2 F
U' L F2 L2 F' U
D' L B D' L B2
D L B D' L B2
B L B U' L2 U
D2 L B D' L B2
B2 L B D' B2 L
B L B D' B2 D
B L B D' B2 D'
B L B D' B2 D2
D' L B' D' B2 L
D L B' D' B2 L
D2 L B' D' B2 L
B L B' U' L2 U
B2 L B' D' L B2
B L B' D' B2 D
B L B' D' B2 D'
B L B' D' B2 D2
B' L B2 D' L B2
B L B2 U' L2 U
B L B2 D' B2 D
B L B2 D' B2 D'
B L B2 D' B2 D2
U' L' U2 D B' U'
U' L' U2 D' B' U'
U' L' U2 D2 B' U'
U' L' U2 B' U' D
U' L' U2 B' U' D'
U' L' U2 B' U' D2
U' L' U2 B' D U'
U' L' U2 B' D' U'
U' L' U2 B' D2 U'
U' L' D U2 B' U'
U' L' D' U2 B' U'
U' L' D2 U2 B' U'
U' L' F U2 B' U'
U' L' F' U2 B' U'
U' L' F2 U2 B' U'
B L' B L2 D' B2
B L' B' L2 D' B2
B L' B2 L2 D' B2
D2 L2 U' L F U
D' L2 U' L F U
D L2 U' L F U
B L2 U' L U L2
B L2 D L' D' B2
B L2 D' L' D' B2
B L2 D2 L' D' B2
L' U R B U' B'
D' L2 B D L B'
D2 L2 B D L B'
D L2 B D L B'
B R L D' R' B2
L' U B' U' B L
L2 U' L D F U
L2 U' L D' F U
L2 U' L D2 F U
L2 U' L F U D
L2 U' L F U D'
L2 U' L F U D2
L2 U' L F D U
L2 U' L F D' U
L2 U' L F D2 U
L U' L F L U
U R B U2 L' U
L2 U' D L F U
L2 U' D' L F U
L2 U' D2 L F U
B R' L D' R B2
B R' L D' B2 R
L2 U' F L F U
L2 U' F' L F U
L2 U' F2 L F U
U R' U2 L' F' U
L2 D U' L F U
U' D L F L2 U
U' D L' U2 B' U'
F2 U R B U' F2
L D B L D2 B2
L D B D2 L B2
L2 D B D L B'
L D B' D2 B2 L
L D' L B L B
L D' L' B L B
L D' L2 B L B
U' D' L F L2 U
D2 U' L F L2 U
D' U' L F L2 U
U' D' L' U2 B' U'
D2 U' L' U2 B' U'
D' U' L' U2 B' U'
D U' L F L2 U
D U' L' U2 B' U'
L2 D' U' L F U
B' U' L' U' R' U2
B U' L' U L2 D
B U' L' U L2 D'
B U' L' U L2 D2
B U' L' D F2 U
B U' L' F U L2
B U' L' F' U L2
B U' L' F2 U L2
L D' B L D B
L D' B L D' B
L D' B L D2 B
L D' B L B D
L D' B L B D'
L D' B L B D2
L D' B L' B L2
L D' B L2 B L'
L2 D' B D L B'
L D' B D L B
L D' B D' L B
L D' B D2 L B
B2 U' D L' F U
B U' D L' U L2
B U' D' L' U L2
B U' D2 L' U L2
U' D2 L F L2 U
U' D2 L' U2 B' U'
L2 D2 U' L F U
B' U2 R' U L' U
L D2 B L D B2
L2 D2 B D L B'
L D2 B D L B2
L D2 B' D B2 L
B' D L D' B2 L
B D L U' L2 U
B D L D' B2 D
B D L D' B2 D'
B D L D' B2 D2
B D L B D' B2
B D L B' D' B2
B D L B2 D' B2
B2 D U' L' F U
U' F' L F L' U
B D U' L' U L2
B' D B2 L D' B2
B' D' L D' B2 L
B D' L U' L2 U
B D' L D' B2 D
B D' L D' B2 D'
B D' L D' B2 D2
B D' L B D' B2
B D' L B' D' B2
B D' L B2 D' B2
F' D' F B L B'
B D' U' L' U L2
F' D' B F L B'
U F2 R F2 B U'
U F2 R B F2 U'
B' D' B2 L D' B2
U' F2 U2 R B U'
B' D2 L D' B2 L
B D2 L U' L2 U
B D2 L D' B2 D
B D2 L D' B2 D'
B D2 L D' B2 D2
B D2 L D' B2 D2
B D2 L B D' B2
B D2 L B' D' B2
B D2 L B2 D' B2
L' B L U' L' U
R' B L R D' B2
R' B L D' R B2
R' B L D' B2 R
L' B L2 D' L' B2
L' B L2 D' B2 L'
R2 B L R2 D' B2
D2 B L U' L2 U
D' B L U' L2 U
D2 B L D' B2 D
D2 B L D' B2 D'
D2 B L D' B2 D2
D' B L D' B2 D
D' B L D' B2 D'
D' B L D' B2 D2
D2 B L B D' B2
L B L U' L U
D2 B L B' D' B2
D' B L B D' B2
D2 B L B2 D' B2
D' B L B' D' B2
D' B L B2 D' B2
R' B R L D' B2
B D2 U' L' U L2
D B L U' L2 U
D B L D' B2 D
D B L D' B2 D'
D B L D' B2 D2
D B L B D' B2
D B L B' D' B2
D B L B2 D' B2
R2 B R2 L D' B2
B' D2 B2 L D' B2
D2 B U' L' U L2
D' B U' L' U L2
L B U' L2 U L'
D B U' L' U L2
D2 B D L D' B2
L2 B D L D B'
L2 B D L D' B'
L2 B D L D2 B'
L2 B D L B' D
L2 B D L B' D'
L2 B D L B' D2
D' B D L D' B2
L B D L D2 B2
D2 B D' L D' B2
D' B D' L D' B2
D B D L D' B2
L B D' L B2 D
L B D' L B2 D'
L B D' L B2 D2
L B D' L' B2 L2
L B D' L2 B2 L'
D2 B D2 L D' B2
D' B D2 L D' B2
D B D' L D' B2
L B D2 L D B2
D B D2 L D' B2
L' B' L2 D' B2 L
D2 B' L D' B2 L
D' B' L D' B2 L
D B' L D' B2 L
F' B D' F L B'
L B' D' L B2 L
L B' D' L' B2 L
L B' D' L2 B2 L
L B' D' B2 L D
L B' D' B2 L D'
L B' D' B2 L D2
L B' D' B2 D L
L B' D' B2 D' L
L B' D' B2 D2 L
B F' D' F L B'
B L R U' L2 U R'
B L R D R' D2 B2
U' L R F L2 R' U
U' L R F R' L2 U
B L R D' R B2 R2
B L R D' R' B2 D
B L R D' R' B2 D'
B L R D' R' B2 D2
B L R D' R2 B2 R
B L R B2 D' B2 R'
B L R' U' L2 U R
B' L R' D' R B2 L
L2 R U' L F U R'
B L R' D R D2 B2
B L R' D' R B2 D
B L R' D' R B2 D'
B L R' D' R B2 D2
B L R' D' R' B2 R2
B L R' D' B' R B'
B L R' D' B2 R D
B L R' D' B2 R D'
B L R' D' B2 R D2
B L R' D' B2 D R
B L R' D' B2 D' R
B L R' D' B2 D2 R
B L R' B R D' B2
B L R' B D' R B2
B L R' B D' B2 R
B L R' B' R D' B2
B L R' B' D' R B2
B L R' B' D' B2 R
B L R' B2 R D' B2
B L R' B2 D' R B2
B L R' B2 D' B2 R
B L R2 U' L2 U R2
U' L R2 F L2 R2 U
U' L R2 F R2 L2 U
B L R2 D' B2 D R2
B L R2 B R2 D' B2
B L R2 B' R2 D' B2
B L R2 B2 R2 D' B2
F2 L U R B U' F2
B L U R U' D' B2
B L U R U2 L2 U
B L U R D' U' B2
B L U R D2 R2 U'
B L U R' U' D' B2
B L U R' U2 L2 U
B L U R' D' U' B2
B L U R' D2 R2 U'
B L U R2 U' D' B2
B L U R2 U2 L2 U
B L U R2 D' U' B2
B L U R2 D2 R2 U'
B L U D' R U' B2
B L U D' R' U' B2
B L U D' R2 U' B2
B L U D2 R2 U' D
B L U D2 R2 U' D'
B L U D2 R2 U' D2
B L U D2 R2 D U'
B L U D2 R2 D' U'
B L U D2 R2 D2 U'
D' L U' L F L U
D2 L U' L F L U
B' L U' L2 U' R' U2
B L U' L D L U
D L U' L F L U
B L U' L D' L U
B L U' L D2 L U
B L U' L' D L' U
B L U' L' D' L' U
B L U' L' D2 L' U
B L U' D' L U B2
B L U' D' L' U B2
B L U' D' L2 U B2
R' L D' R B L B
B L U' F L2 F' U
B L U' F2 L2 F2 U
L R D' R' B L B
B L U' B' L2 B U
R L D' R' B L B
B L U' B2 L2 B2 U
R' L D' B L B R
B' L U2 R' U L2 U
B' L U2 R' U2 D' B2
B' L U2 R' D F2 U2
B' L U2 R' D' U2 B2
B' L U2 D R' F2 U2
B' L U2 D F2 R' U2
B' L U2 D' R' U2 B2
B L U2 D F2 U2 D
B L U2 D F2 U2 D'
B L U2 D F2 U2 D2
B L U2 D F2 D U2
B L U2 D F2 D' U2
B L U2 D F2 D2 U2
B L U2 D' F U2 B2
B L U2 D' F' U2 B2
B L U2 D' F2 U2 B2
B L U2 F U L2 U
B L U2 F U2 D' B2
B L U2 F D F2 U2
B L U2 F D' U2 B2
B L U2 F' U L2 U
B L U2 F' U2 D' B2
B L U2 F' D F2 U2
B L U2 F' D' U2 B2
B L U2 F2 U L2 U
B L U2 F2 U2 D' B2
B L U2 F2 D F2 U2
B L U2 F2 D' U2 B2
B' L D L D2 B2 L
B' L D L' D2 B2 L
B' L D L2 D2 B2 L
B L D L D2 L' B2
B L D L D2 B2 L'
B L D L' D2 L B2
B L D R D2 R' B2
B L D R' D2 R B2
B L D R' D2 B2 R
B' L D U2 R' F2 U2
B' L D U2 F2 R' U2
U' L D F L2 U B'
U' L D F U' F U2
B L D U2 F2 U2 D
B L D U2 F2 U2 D'
B L D U2 F2 U2 D2
B L D U2 F2 D U2
B L D U2 F2 D' U2
B L D U2 F2 D2 U2
D2 L D B L D2 B2
D' L D B L D2 B2
D2 L D B D2 L B2
D' L D B D2 L B2
D2 L D B' D2 B2 L
D' L D B' D2 B2 L
D L D B L D2 B2
B' L D B2 L D2 B2
D L D B D2 L B2
B' L D B2 D2 L B2
B L D B U2 F2 U2
B L D B D2 B2 D
B L D B D2 B2 D'
B L D B D2 B2 D2
D L D B' D2 B2 L
D' L D' L B L B
D2 L D' L B L B
B' L D' L B2 L D
B' L D' L B2 L D'
B' L D' L B2 L D2
B' L D' L B2 D L
B' L D' L B2 D' L
B' L D' L B2 D2 L
B L D B' U2 F2 U2
B L D B' D2 B2 D
B L D B' D2 B2 D'
B L D B' D2 B2 D2
D' L D' L' B L B
D2 L D' L' B L B
B' L D' L' B2 L D
B' L D' L' B2 L D'
B' L D' L' B2 L D2
B' L D' L' B2 D L
B' L D' L' B2 D' L
B' L D' L' B2 D2 L
B L D B2 U2 F2 U2
B L D B2 D2 B2 D
B L D B2 D2 B2 D'
B L D B2 D2 B2 D2
D' L D' L2 B L B
D L D' L B L B
D2 L D' L2 B L B
B' L D' L2 B2 L D
B' L D' L2 B2 L D'
B' L D' L2 B2 L D2
B' L D' L2 B2 D L
