F2 U F' L' B'
F2 L U F' L' B'
F L' R' F' U F
F2 L' U F' L' B'
F L' F U F' L'
F2 L2 U F' L' B'
F2 L2 U F' L' B'
F R' L' F' U F
D R' F' U F2 B
D R' F' U B F2
F2 U L' F' B' L'
F2 U L' B' F' L'
F2 U D F' L' B'
F2 U D' F' L' B'
F2 U D2 F' L' B'
F2 U D2 F' L' B'
F2 U F' L' D B'
F2 U F' L' D' B'
F2 U F' L' D2 B'
F2 U F' L' B' D
F2 U F' L' B' D'
F2 U F' L' B' D2
F2 U F' D L' B'
F2 U F' D' L' B'
F2 U F' D2 L' B'
F2 U F' B L' B'
F2 U F' B' L' B'
F2 U F' B2 L' B'
F2 U B F' L' B'
F2 U B' F' L' B'
F2 U B2 F' L' B'
R' F L' F2 U F2
F2 D U F' L' B'
R' F' U2 R U' F2
F2 D' U F' L' B'
F2 D2 U F' L' B'
F2 L U L' F' B' L'
F2 L U L' B' F' L'
F2 L U D F' L' B'
F2 L U D' F' L' B'
F2 L U D2 F' L' B'
D' L U F' B' L' F
F2 L U F' L' D B'
F2 L U F' L' D' B'
F2 L U F' L' D2 B'
F2 L U F' L' B' D
F2 L U F' L' B' D'
F2 L U F' L' B' D2
F2 L U F' D L' B'
F2 L U F' D' L' B'
F2 L U F' D2 L' B'
F2 L U F' B L' B'
F2 L U F' B' L' B'
F2 L U F' B2 L' B'
D' L U B' F' L' F
F2 L U B F' L' B'
F2 L U B' F' L' B'
F2 L U B2 F' L' B'
U2 L U2 F L' U F
R' L F L' F2 U F'
F2 L D U F' L' B'
F2 L D' U F' L' B'
F2 L D2 U F' L' B'
F L F L2 U F' L'
F' L F' U F' L' B'
F L' R' D F' U F
F L' R' D' F' U F
F L' R' D2 F' U F
F L' R' F' R U F
F L' R' F' R' U F
F L' R' F' R2 U F
F L' R' F' U D F
F L' R' F' U D' F
F L' R' F' U D2 F
F L' R' F' U F D
F L' R' F' U F D'
F L' R' F' U F D2
F L' R' F' D U F
F L' R' F' D' U F
F L' R' F' D2 U F
F2 L' U L' F' B' L'
F2 L' U L' B' F' L'
F2 L' U D F' L' B'
F2 L' U D' F' L' B'
F2 L' U D2 F' L' B'
F2 L' U F' L' D B'
F2 L' U F' L' D' B'
F2 L' U F' L' D2 B'
F2 L' U F' L' B' D
F2 L' U F' L' B' D'
F2 L' U F' L' B' D2
F2 L' U F' D L' B'
F2 L' U F' D' L' B'
F2 L' U F' D2 L' B'
F2 L' U F' B L' B'
F2 L' U F' B' L' B'
F2 L' U F' B2 L' B'
F2 L' U B F' L' B'
F2 L' U B' F' L' B'
F2 L' U B2 F' L' B'
L R' F L' F2 U F'
F2 L' D U F' L' B'
F L' D R' F' U F
F L' D F U F' L'
F2 L' D' U F' L' B'
F L' D' R' F' U F
F L' D' F U F' L'
F2 L' D2 U F' L' B'
F L' D2 R' F' U F
F L' D2 F U F' L'
F L' F U L F' L'
F L' F U L' F' L'
F L' F U L2 F' L'
F L' F U D F' L'
F L' F U D' F' L'
F L' F U D2 F' L'
F L' F U F' L' D
F L' F U F' L' D'
F L' F U F' L' D2
F L' F U F' D L'
F L' F U F' D' L'
F L' F U F' D2 L'
F L' F D U F' L'
F L' F D' U F' L'
F L' F D2 U F' L'
F' L' F' U F' L' B'
F L' F' R' F' U F2
F L' F' U F' L' F2
F L' F2 R' F' U F'
F L' F2 U F' L' F'
F2 L2 U L' F' B' L'
F2 L2 U L' B' F' L'
F2 L2 U D F' L' B'
F2 L2 U D' F' L' B'
F2 L2 U D2 F' L' B'
F2 L2 U F' L' D B'
F2 L2 U F' L' D' B'
F2 L2 U F' L' D2 B'
F2 L2 U F' L' B' D
F2 L2 U F' L' B' D'
F2 L2 U F' L' B' D2
F2 L2 U F' D L' B'
F2 L2 U F' D' L' B'
F2 L2 U F' D2 L' B'
F2 L2 U F' B L' B'
F2 L2 U F' B' L' B'
F2 L2 U F' B2 L' B'
F2 L2 U B F' L' B'
F2 L2 U B' F' L' B'
F2 L2 U B2 F' L' B'
D L2 U' B' R' U2 B
F2 L2 D U F' L' B'
F2 L2 D' U F' L' B'
F2 L2 D2 U F' L' B'
F L2 F L U F' L'
F' L2 F' U F' L' B'
R2 U D' F L B' L2
R' U F L D' L2 B2
R' U F L D' B2 L2
R' U F U' L' F2 U
D2 R U2 B R' U' F
F' R D' B L2 F U'
F' R B L2 F U' F
F' R B U2 B' U F2
F' R B D' L2 F U'
L2 U' D B' R' U2 B
F R' L' D F' U F
F R' L' D' F' U F
F R' L' D2 F' U F
F R' L' F' R U F
F R' L' F' R' U F
F R' L' F' R2 U F
F R' L' F' U D F
F R' L' F' U D' F
F R' L' F' U D2 F
F R' L' F' U F D
F R' L' F' U F D'
F R' L' F' U F D2
F R' L' F' D U F
F R' L' F' D' U F
F R' L' F' D2 U F
D R' U F D' L2 B
D R' U F D' B L2
D R' U F B D' L2
D R' U B F D' L2
F' R' U2 R2 B U' F2
L2 U' B' D R' U2 B
F' R' D F' R2 U B2
F R' D L' F' U F
D R' D F' U F2 B
D R' D F' U B F2
F R' D' L' F' U F
F2 R' D' F' L' R U
F2 R' D' F' R L' U
D R' D' F' U F2 B
D R' D' F' U B F2
F R' D2 L' F' U F
F2 R' D2 F' L' U F
D R' D2 F' U F2 B
D R' D2 F' U B F2
D' R' F' L U F2 B'
D' R' F' L U B' F2
F2 R' F' L' R U F'
F' R' F' U D F' B2
F' R' F' U D B2 F'
F' R' F' U F' D B2
F2 R' F' R L' U F'
D R' F' L U F2 B
D R' F' L U B F2
D R' F' L' U F2 B
D R' F' L' U B F2
F' R' F' D U F' B2
F' R' F' D U B2 F'
D R' F' L2 U F2 B
D R' F' L2 U B F2
F' R' F' D2 L2 U F'
D R' F' U F2 D B
D R' F' U F2 D' B
D R' F' U F2 D2 B
D R' F' U F2 B D
D R' F' U F2 B D'
D R' F' U F2 B D2
D R' F' U B F2 D
D R' F' U B F2 D'
D R' F' U B F2 D2
F2 R' F' D2 L' U F
R U2 D2 B R' U' F
F' R2 U2 R' B U' F2
F R2 D2 L' F U F'
L2 D U' B' R' U2 B
D' U L F' B' L' F
D' U L B' F' L' F
F2 U L F' L' D2 B2
F2 U L F' D2 L' B2
F2 U L F' D2 B2 L'
F2 U L' D F' B' L'
F2 U L' D B' F' L'
F2 U L' D' F' B' L'
F2 U L' D' B' F' L'
F2 U L' D2 F' B' L'
F2 U L' D2 B' F' L'
F2 U L' F' D B' L'
F2 U L' F' D' B' L'
F2 U L' F' D2 B' L'
F2 U L' F' B L' B2
F2 U L' F' B' L' D
F2 U L' F' B' L' D'
F2 U L' F' B' L' D2
F2 U L' F' B' D L'
F2 U L' F' B' D' L'
F2 U L' F' B' D2 L'
F2 U L' F' B2 L' B
R' D F' R' U F2 B
R' D F' R' U B F2
F2 U L' B F' L' B2
F2 U L' B' L F' L'
F2 U L' B' L' F' L'
F2 U L' B' L2 F' L'
F2 U L' B' D F' L'
F2 U L' B' D' F' L'
F2 U L' B' D2 F' L'
F2 U L' B' F' L' D
F2 U L' B' F' L' D'
F2 U L' B' F' L' D2
F2 U L' B' F' D L'
F2 U L' B' F' D' L'
F2 U L' B' F' D2 L'
F2 U L' B2 F' L' B
F2 U L2 F' L B' L2
F2 U D L' F' B' L'
F2 U D L' B' F' L'
F2 U D F' L' D B'
F2 U D F' L' D' B'
F2 U D F' L' D2 B'
F2 U D F' L' B' D
F2 U D F' L' B' D'
F2 U D F' L' B' D2
F2 U D F' D L' B'
F2 U D F' D' L' B'
F2 U D F' D2 L' B'
F2 U D F' B L' B'
F2 U D F' B' L' B'
F2 U D F' B2 L' B'
D' U F' L F2 B' L2
D' U F' L B' L2 F2
D' U F' L B' F2 L2
F2 U D B F' L' B'
F2 U D B' F' L' B'
F2 U D B2 F' L' B'
F2 U D' L' F' B' L'
F2 U D' L' B' F' L'
D U F U2 R F' U2
F2 U D' F' L' D B'
F2 U D' F' L' D' B'
F2 U D' F' L' D2 B'
F2 U D' F' L' B' D
F2 U D' F' L' B' D'
F2 U D' F' L' B' D2
F2 U D' F' D L' B'
F2 U D' F' D' L' B'
F2 U D' F' D2 L' B'
F2 U D' F' B L' B'
F2 U D' F' B' L' B'
F2 U D' F' B2 L' B'
F2 U D' B F' L' B'
U D F U2 R F' U2
F2 U D' B' F' L' B'
F2 U D' B2 F' L' B'
F2 U D2 L' F' B' L'
F2 U D2 L' B' F' L'
F2 U D2 F' L' D B'
F2 U D2 F' L' D' B'
F2 U D2 F' L' D2 B'
F2 U D2 F' L' B' D
F2 U D2 F' L' B' D'
F2 U D2 F' L' B' D2
F2 U D2 F' D L' B'
F2 U D2 F' D' L' B'
F2 U D2 F' D2 L' B'
F2 U D2 F' B L' B'
F2 U D2 F' B' L' B'
F2 U D2 F' B2 L' B'
F2 U D2 B F' L' B'
F2 U D2 B' F' L' B'
F2 U D2 B2 F' L' B'
F2 U F L' F2 B' L'
F2 U F L' B' F2 L'
F2 U F' L B L2 B'
F2 U F' L B' L2 B'
F2 U F' L B2 L2 B'
F2 U F' L' R' B' R
F2 U F' L' R2 B' R2
F2 U F' L' D B' D
F2 U F' L' D B' D'
F2 U F' L' D B' D2
F2 U F' L' D' B' D
F2 U F' L' D' B' D'
F2 U F' L' D' B' D2
F2 U F' L' D2 B' D
F2 U F' L' D2 B' D'
F2 U F' L' D2 B' D2
F2 U F' L' B2 D B
F2 U F' L' B2 D' B
F2 U F' L' B2 D2 B
F2 U F' R' L' B' R
F2 U F' R2 L' B' R2
U' D B' R' U2 F B
U' D B' R' U2 B F
F2 U F' D L' D B'
F2 U F' D L' D' B'
F2 U F' D L' D2 B'
F2 U F' D L' B' D
F2 U F' D L' B' D'
F2 U F' D L' B' D2
F2 U F' D B L' B'
F2 U F' D B' L' B'
F2 U F' D B2 L' B'
F2 U F' D' L' D B'
F2 U F' D' L' D' B'
F2 U F' D' L' D2 B'
F2 U F' D' L' B' D
F2 U F' D' L' B' D'
F2 U F' D' L' B' D2
F2 U F' D' B L' B'
F2 U F' D' B' L' B'
F2 U F' D' B2 L' B'
F2 U F' D2 L' D B'
F2 U F' D2 L' D' B'
F2 U F' D2 L' D2 B'
F2 U F' D2 L' B' D
F2 U F' D2 L' B' D'
F2 U F' D2 L' B' D2
F2 U F' D2 B L' B'
F2 U F' D2 B' L' B'
F2 U F' D2 B2 L' B'
F2 U F' B L' D B'
F2 U F' B L' D' B'
F2 U F' B L' D2 B'
F2 U F' B L' B' D
F2 U F' B L' B' D'
F2 U F' B L' B' D2
F2 U F' B D L' B'
F2 U F' B D' L' B'
F2 U F' B D2 L' B'
F2 U F' B' L' D B'
F2 U F' B' L' D' B'
F2 U F' B' L' D2 B'
F2 U F' B' L' B' D
F2 U F' B' L' B' D'
F2 U F' B' L' B' D2
F2 U F' B' D L' B'
F2 U F' B' D' L' B'
F2 U F' B' D2 L' B'
F2 U F' B2 L' D B'
F2 U F' B2 L' D' B'
F2 U F' B2 L' D2 B'
F2 U F' B2 L' B' D
F2 U F' B2 L' B' D'
F2 U F' B2 L' B' D2
F2 U F' B2 D L' B'
F2 U F' B2 D' L' B'
F2 U F' B2 D2 L' B'
F2 U B L' F' B' L'
F2 U B L' B' F' L'
F2 U B D F' L' B'
F2 U B D' F' L' B'
F2 U B D2 F' L' B'
F2 U B F' L' D B'
F2 U B F' L' D' B'
F2 U B F' L' D2 B'
F2 U B F' L' B' D
F2 U B F' L' B' D'
F2 U B F' L' B' D2
F2 U B F' D L' B'
F2 U B F' D' L' B'
F2 U B F' D2 L' B'
F2 U B' L' F' B' L'
F2 U B' L' B' F' L'
F2 U B' D F' L' B'
F2 U B' D' F' L' B'
F2 U B' D2 F' L' B'
F2 U B' F' L' D B'
F2 U B' F' L' D' B'
F2 U B' F' L' D2 B'
F2 U B' F' L' B' D
F2 U B' F' L' B' D'
F2 U B' F' L' B' D2
F2 U B' F' D L' B'
F2 U B' F' D' L' B'
F2 U B' F' D2 L' B'
F2 U B2 L' F' B' L'
F2 U B2 L' B' F' L'
U D' L F' B' L' F
R2 D' U F L B' L2
U D' L B' F' L' F
F2 U B2 D F' L' B'
F2 U B2 D' F' L' B'
F2 U B2 D2 F' L' B'
F2 U B2 F' L' D B'
F2 U B2 F' L' D' B'
F2 U B2 F' L' D2 B'
F2 U B2 F' L' B' D
F2 U B2 F' L' B' D'
F2 U B2 F' L' B' D2
F2 U B2 F' D L' B'
F2 U B2 F' D' L' B'
F2 U B2 F' D2 L' B'
R' D' F' L U F2 B'
R' D' F' L U B' F2
U D' F' L F2 B' L2
U D' F' L B' L2 F2
U D' F' L B' F2 L2
U' D' B U2 F L B'
D' U' B U2 F L B'
D U' B' R' U2 F B
D U' B' R' U2 B F
F' U2 L' R B' U' F2
F' U2 L' B' R U' F2
R D2 U2 B R' U' F
F' U2 R L' B' U' F2
F' U2 R U' F' L' F'
R' F L F2 L2 U F2
R' F L' R F2 U F2
R' F L' R' F2 U F2
R' F L' R2 F2 U F2
L' F L' U' B' R' U2
R' F L' F2 R U F2
R' F L' F2 R' U F2
R' F L' F2 R2 U F2
R' F L' F2 U F2 D
R' F L' F2 U F2 D'
R' F L' F2 U F2 D2
R' F L' F2 D R2 U
L2 F L' U F' L' F
R2 F L' R F' U F
R' F L2 F2 L U F2
L F L' R' F' U F2
R' F R L' F2 U F2
L F L' U F' L' F2
R F L' R2 F' U F
L F L' F2 U F' L'
R' F R' L' F2 U F2
R2 F R L' F' U F
R' F R2 L' F2 U F2
L F R' L' F' U F2
D F R' F' U F B
D F R' F' U B F
R F R2 L' F' U F
F2 D L U F' L' B'
U F U' L' U' R U2
U F U' L' F2 U L'
F2 D L' U F' L' B'
U F U2 R U L' U
F2 D L2 U F' L' B'
F D L' R' F' U F
F D L' F U F' L'
R2 F D2 L' F U F'
F' D R2 U2 R' B U'
F D R' L' F' U F
F2 D U L' F' B' L'
F2 D U L' B' F' L'
F2 D U F' L' D B'
F2 D U F' L' D' B'
F2 D U F' L' D2 B'
F2 D U F' L' B' D
F2 D U F' L' B' D'
F2 D U F' L' B' D2
F2 D U F' D L' B'
F2 D U F' D' L' B'
F2 D U F' D2 L' B'
F2 D U F' B L' B'
F2 D U F' B' L' B'
F2 D U F' B2 L' B'
F2 D U B F' L' B'
F2 D U B' F' L' B'
R' F' L U2 R U' F2
F2 D U B2 F' L' B'
R' F' L' U2 R U' F2
R' F' L2 U2 R U' F2
U F' L' U R U' F2
R' F' R U F2 D2 B2
U F' L' F2 U' L' U
F D F U F' L' B'
R' F' R' U F2 D B2
R' F' R' U2 R2 U' F2
R' F' R' D R2 U B2
U F' L2 F2 L D' B2
U F' R U' L' R' F2
U F' R U' L' F2 R'
U F' R U' R' L' F2
R' F' R2 U2 R' U' F2
D F' R' F' U F' B
D F' R' F' U B F'
