D2 R2 B U L2
D2 R2 B U L2
U2 L2 D F' B2 U'
U2 L2 D B2 F' U'
F' L2 D2 R2 U' L2
U2 L2 D2 F' U' L2
U2 L2 F' U R2 U2
U2 L2 F' U' D2 L2
U2 L2 F' D B2 U'
U2 L2 F' D2 U' L2
D2 R2 D F2 B U
D2 R2 D B F2 U
D2 R2 F B U L2
D2 R2 F' B U L2
D2 R2 F2 B U L2
D2 R2 B U L2 D
D2 R2 B U L2 D'
D2 R2 B U L2 D2
D2 R2 B D F2 U
D2 R2 B F U L2
D2 R2 B F' U L2
D2 R2 B F2 U L2
U2 D F' B2 U' F'
U2 D B2 F' U' F'
L2 D2 F' R2 U' L2
D U2 F' B2 U' F'
D U2 B2 F' U' F'
U2 F' L2 U R2 U2
U2 F' L2 U' D2 L2
U2 F' L2 D B2 U'
U2 F' L2 D2 U' L2
U2 F' D B2 U' F2
L2 F' D2 R2 U' L2
B' D2 R2 B U L2
B2 D2 R2 B U L2
B D2 R2 B U L2
F D2 R2 B2 U L2
D2 B R2 B U L2
R2 B U2 L2 U' L2
F D2 B2 R2 U L2
D2 B' R2 B U L2
D2 B2 R2 B U L2
U2 L D L F' B2 U'
U2 L D L B2 F' U'
U2 L D F' L B2 U'
U2 L D2 L F' U' L
U2 L D2 F' L U' L
U2 L F' L U R2 U2
U2 L F' L U' D2 L2
U2 L F' L D B2 U'
U2 L F' L D2 U' L2
U2 L F' D L B2 U'
U2 L F' D2 L U' L
U2 L' D L' F' B2 U'
U2 L' D L' B2 F' U'
F' L' D B2 L' R' U'
F' L' D B2 R' L' U'
U2 L' D B2 L' F' U'
L2 R2 U B L2 U F
R2 L2 U B L2 U F
L2 R2 U2 L2 B U L2
R2 L2 U2 L2 B U L2
L2 R2 U2 B L2 U L2
R2 L2 U2 B L2 U L2
F' L2 R' U' D' B2 L
F' L2 R' D' U' B2 L
F' L2 R2 U2 L2 U L2
D2 L2 R2 B L2 U L2
F' L2 U R2 U L2 U
F' L2 U R2 U2 D' B2
F' L2 U R2 D F2 U2
F' L2 U R2 D' U2 B2
U2 L2 U R2 U B U
D2 L2 U' L2 R2 B U
D2 L2 U' R2 L2 B U
D2 L2 U' R2 B L2 U
F' L2 U' D' B2 D' L2
F' L2 U' D2 L2 D B2
F' L2 U2 L2 U D2 L2
F' L2 U2 L2 U' R2 U2
F' L2 U2 L2 D' F2 U
F' L2 U2 L2 D2 U L2
F' L2 U2 D' F2 U B2
U2 L2 D F' U' D L2
U2 L2 D F' D U' L2
U2 L2 D F' B2 U' D
U2 L2 D F' B2 U' D'
U2 L2 D F' B2 U' D2
U2 L2 D F' B2 D U'
U2 L2 D F' B2 D' U'
U2 L2 D F' B2 D2 U'
F' L2 D B2 U F2 U2
F' L2 D B2 U' D2 B2
F' L2 D B2 D R2 U'
F' L2 D B2 D2 U' B2
U2 L2 D B2 D F' U'
U2 L2 D B2 D' F' U'
U2 L2 D B2 D2 F' U'
U2 L2 D B2 F' U' D
U2 L2 D B2 F' U' D'
U2 L2 D B2 F' U' D2
U2 L2 D B2 F' D U'
U2 L2 D B2 F' D' U'
U2 L2 D B2 F' D2 U'
U L2 D F' B2 U' B2
F' L2 D' U' B2 D' L2
F' L2 D' U2 F2 U B2
U L2 D B2 F' U' B2
U2 L2 D' F' U2 F' U
F' L2 D2 R2 U' L2 D
F' L2 D2 R2 U' L2 D'
F' L2 D2 R2 U' L2 D2
F' L2 D2 R2 D' B2 U'
F' L2 D2 R2 B U' L2
F' L2 D2 R2 B' U' L2
F' L2 D2 R2 B2 U' L2
F' L2 D2 U' L2 D B2
B' L2 D2 F' R2 U' L2
U' L2 D2 F' U' L2 B'
F' L2 D2 B R2 U' L2
B2 L2 D2 F' R2 U' L2
U2 L2 D2 F' U' L2 D
U2 L2 D2 F' U' L2 D'
U2 L2 D2 F' U' L2 D2
U2 L2 D2 F' D' B2 U'
U2 L2 D2 F' B U' L2
U2 L2 D2 F' B' U' L2
U2 L2 D2 F' B2 U' L2
F' L2 D2 B' R2 U' L2
F' L2 D2 B2 R2 U' L2
U2 L2 D2 B F' U' L2
B L2 D2 F' R2 U' L2
U2 L2 D2 B' F' U' L2
U2 L2 D2 B2 F' U' L2
U2 L2 F D B2 U' R2
U' L2 F' U R2 F U2
U' L2 F' U F R2 U2
U' L2 F' U' D2 L2 B'
U2 L2 F' U R2 U2 D
U2 L2 F' U R2 U2 D'
U2 L2 F' U R2 U2 D2
U2 L2 F' U R2 D U2
U2 L2 F' U R2 D' U2
U2 L2 F' U R2 D2 U2
U2 L2 F' U' L D2 L2
U2 L2 F' U' L' D2 L2
U2 L2 F' U' L2 D2 L2
U2 L2 F' U' D2 L2 D
U2 L2 F' U' D2 L2 D'
U2 L2 F' U' D2 L2 D2
B' L2 F' D2 R2 U' L2
U2 L2 F' U2 D' F2 U
U' L2 F' D2 U' L2 B'
U2 L2 F' D B2 U' D
U2 L2 F' D B2 U' D'
U2 L2 F' D B2 U' D2
U2 L2 F' D B2 D U'
U2 L2 F' D B2 D' U'
U2 L2 F' D B2 D2 U'
U2 L2 F' D' U2 F2 U
B2 L2 F' D2 R2 U' L2
U2 L2 F' D2 U' L2 D
U2 L2 F' D2 U' L2 D'
U2 L2 F' D2 U' L2 D2
U2 L2 F' D2 B U' L2
U2 L2 F' D2 B' U' L2
U2 L2 F' D2 B2 U' L2
U2 L2 F' B U R2 U2
U2 L2 F' B U' D2 L2
U2 L2 F' B D B2 U'
U2 L2 F' B D2 U' L2
U2 L2 F' B' U R2 U2
U2 L2 F' B' U' D2 L2
U2 L2 F' B' D B2 U'
U2 L2 F' B' D2 U' L2
U2 L2 F' B2 U R2 U2
U2 L2 F' B2 U' D2 L2
B L2 F' D2 R2 U' L2
U2 L2 F' B2 D B2 U'
U2 L2 F' B2 D2 U' L2
U L2 F' D B2 U' B2
U2 L2 F2 D F B2 U'
U2 L2 F2 D B2 F U'
U2 L2 F2 D2 F U' L2
F L2 F2 D2 R2 U' L2
F' L2 B D2 R2 U' L2
U2 L2 B D F' B2 U'
U2 L2 B D B2 F' U'
L2 U R2 U L2 B U
L2 U R2 U B L2 U
U2 L2 B D2 F' U' L2
U2 L2 B F' U R2 U2
U2 L2 B F' U' D2 L2
U2 L2 B F' D B2 U'
U2 L2 B F' D2 U' L2
F' L2 B' D2 R2 U' L2
U2 L2 B' D F' B2 U'
U2 L2 B' D B2 F' U'
U2 L2 B' D2 F' U' L2
U2 L2 B' F' U R2 U2
U2 L2 B' F' U' D2 L2
U2 L2 B' F' D B2 U'
U2 L2 B' F' D2 U' L2
R2 U D B U F2 B'
R2 U D B U B' F2
R U D F R F L'
F' L2 B2 D2 R2 U' L2
U2 L2 B2 D F' B2 U'
U2 L2 B2 D B2 F' U'
U2 L2 B2 D2 F' U' L2
U2 L2 B2 F' U R2 U2
U2 L2 B2 F' U' D2 L2
U2 L2 B2 F' D B2 U'
U2 L2 B2 F' D2 U' L2
R2 U D2 B R2 U B'
F R U D F2 L' R2
F R U D F2 R2 L'
R2 U B U D F2 B'
R2 U B U D B' F2
R2 U B U B' D F2
R2 U B D U F2 B'
R2 U B D U B' F2
R2 U B D2 R2 U B'
F R U2 L2 F2 U' L'
D2 R D R F2 B U
D2 R D R B F2 U
F R U2 F2 L2 U' L
F R D U F2 L' R2
F R D U F2 R2 L'
F R D2 R2 B2 U L
R2 U' L2 U2 B U B'
D2 R B R B U L2
D2 R B' R B U L2
R2 U' R2 F' L2 U' B'
D2 R B2 R B U L2
F' R' L2 U' D' B2 L
F' R' L2 D' U' B2 L
F R' U D R2 F2 L'
F R' D U R2 F2 L'
D2 R' F R' B U L2
F R' D2 B2 R2 U L
