U2 L2 R U' R' F
U2 L2 R U' F R'
U2 R L2 U' R' F
U2 R L2 U' F R'
U' R U R' B' U2
B' U F2 L' U L
B' U' R U R' U2
B' U' R B2 U' L
U' B' U' R U' R'
F2 B' U L' F2 U
B' F2 U L' F2 U
L' R U L B' U2 L'
L2 R U L2 U2 L2 F
L2 R U L2 B' U2 L2
L2 R U D2 F R2 B
L2 R U F D2 R2 B
L' R U' L B' U2 B
L2 R U' L2 B' U2 B
U' L U' R U' R' F'
L2 R D2 U F R2 B
R L' U L B' U2 L'
R L' U' L B' U2 B
U2 L' D2 R U' F' R'
R L2 U L2 U2 L2 F
R L2 U L2 B' U2 L2
R L2 U D2 F R2 B
R L2 U F D2 R2 B
R L2 U' L2 B' U2 B
U L' F2 L' U F L2
F2 L' F2 U' L B' U2
U' L2 R U R' U2 F
U2 L2 R U' R F R2
U2 L2 R U' R' D F
U2 L2 R U' R' D' F
U2 L2 R U' R' D2 F
U2 L2 R U' R' F D
U2 L2 R U' R' F D'
U2 L2 R U' R' F D2
U2 L2 R U' D R' F
U2 L2 R U' D F R'
U2 L2 R U' D' R' F
U2 L2 R U' D' F R'
U2 L2 R U' D2 R' F
U2 L2 R U' D2 F R'
U2 L2 R U' F R' D
U2 L2 R U' F R' D'
U2 L2 R U' F R' D2
U2 L2 R U' F D R'
U2 L2 R U' F D' R'
U2 L2 R U' F D2 R'
U2 L2 R U' F' R' F2
U2 L2 R D U' R' F
U2 L2 R D U' F R'
U2 L2 R D' U' R' F
U2 L2 R D' U' F R'
U2 L2 R D2 U' R' F
U2 L2 R D2 U' F R'
U2 L2 R F' U' R' F2
U2 L2 R F' U' F2 R'
U2 L2 R F2 U' F' R'
U' L2 R B2 U' F L
R L2 D2 U F R2 B
U' L2 U' R U' R' F
U' L2 U' R U' F R'
U L2 U2 R U' F L2
U2 L2 D R U' R' F
U2 L2 D R U' F R'
U L2 D F2 L' U F'
U2 L2 D' R U' R' F
U2 L2 D' R U' F R'
B L2 D' R2 B2 L U
U2 L2 D2 R U' R' F
U2 L2 D2 R U' F R'
U L2 F2 L' U L' F'
R' U D B2 D' R2 F'
R' U D2 L2 U F L2
U' R L2 U R' U2 F
U2 R L2 U' R F R2
U2 R L2 U' R' D F
U2 R L2 U' R' D' F
U2 R L2 U' R' D2 F
U2 R L2 U' R' F D
U2 R L2 U' R' F D'
U2 R L2 U' R' F D2
U2 R L2 U' D R' F
U2 R L2 U' D F R'
U2 R L2 U' D' R' F
U2 R L2 U' D' F R'
U2 R L2 U' D2 R' F
U2 R L2 U' D2 F R'
U2 R L2 U' F R' D
U2 R L2 U' F R' D'
U2 R L2 U' F R' D2
U2 R L2 U' F D R'
U2 R L2 U' F D' R'
U2 R L2 U' F D2 R'
U2 R L2 U' F' R' F2
U2 R L2 D U' R' F
U2 R L2 D U' F R'
U2 R L2 D' U' R' F
U2 R L2 D' U' F R'
U2 R L2 D2 U' R' F
U2 R L2 D2 U' F R'
U2 R L2 F' U' R' F2
U2 R L2 F' U' F2 R'
U' R L2 B2 U' F L
U2 R L2 F2 U' F' R'
U2 R U L U2 R' F'
U' R U R B' R2 U2
U' R U R' D B' U2
U' R U R' D' B' U2
U' R U R' D2 B' U2
U' R U R' B' U2 D
U' R U R' B' U2 D'
U' R U R' B' U2 D2
U' R U R' B' D U2
U' R U R' B' D' U2
U' R U R' B' D2 U2
U2 R U L2 U2 R' F
U2 R U L2 U2 F R'
U' R U R2 B' R U2
U' R U D R' B' U2
U' R U D' R' B' U2
U' R U D2 R' B' U2
U2 R U B2 L B U2
U2 R U' L2 R' F L2
U2 R U' L2 F L2 R'
