B' L' U R' B U L2
B' L2 U R' B U L'
B2 R' U B R' F' U
B R' U B2 R' B' U
B R' U' L U2 B U
B R' B2 U R' B' U
B2 U R' F' B R' U
B2 U R' B F' R' U
B2 U B R' F' B U
B2 U B R' B F' U
B' U2 L U' R' B U
B' U2 R' B U B' L
B2 U2 D' R F' L' R
B2 U2 D' R F' R L'
B2 U2 D' F' L' R F'
B2 U2 D' F' R L' F'
B2 D L B' L R' U2
B2 D L B' R' L U2
R F' L2 U' B' L F
B2 D B' L R' B' U2
B2 D B' R' L B' U2
B2 D' R U2 F' L' R
B2 D' R U2 F' R L'
B2 D' U2 R F' L' R
B2 D' U2 R F' R L'
B2 D' U2 F' L' R F'
B2 D' U2 F' R L' F'
R2 B R' U' L F' U'
R2 B R' U' F' L U'
U B2 R' B U L F'
U B2 R' B U F' L
