D2 L2 R' F' U'
D2 R' L2 F' U'
D' R' F' U' F'
D2 R' F' L2 U'
R' F' U2 R' U
D' L R' F' U' F'
D2 L R' F' L U'
R' L F' U2 R' U
D' L' R' F' U' F'
L' R' F' U2 R' U
R' L' F' U2 R' U
L R' F' U2 R' U
L2 R' F' U2 R' U
D2 L2 R' D F' U'
D2 L2 R' D' F' U'
D2 L2 R' D2 F' U'
D2 L2 R' F' U' D
D2 L2 R' F' U' D'
D2 L2 R' F' U' D2
D2 L2 R' F' D U'
D2 L2 R' F' D' U'
D2 L2 R' F' D2 U'
D' L2 R' F' U' F'
R' L2 F' U2 R' U
D2 L2 D R' F' U'
D2 L2 D' R' F' U'
D2 L2 D2 R' F' U'
D2 L2 F R' F' U'
D2 L2 F' R' F' U'
D2 L2 F2 R' F' U'
D' R' L F' U' F'
D2 R' L F' L U'
D' R' L' F' U' F'
D2 R' L2 D F' U'
D2 R' L2 D' F' U'
D2 R' L2 D2 F' U'
D' R' L2 F' U' F'
D2 R' L2 F' U' D
D2 R' L2 F' U' D'
D2 R' L2 F' U' D2
D2 R' L2 F' D U'
D2 R' L2 F' D' U'
D2 R' L2 F' D2 U'
D2 R' D F' U' F'
D R' D L2 F' U'
D' R' D' L2 F' U'
D R' D F' L2 U'
D' R' D' F' L2 U'
D2 R' F L2 F2 U'
D R' D2 F' U' F'
D' R' F' L U' F'
D' R' F' L' U' F'
D2 R' F' L2 U' D
D2 R' F' L2 U' D'
D2 R' F' L2 U' D2
D' R' F' L2 U' F'
D2 R' F' L2 D U'
D2 R' F' L2 D' U'
D2 R' F' L2 D2 U'
F' R' F' U2 R' U
F2 R' F' U2 R' U
D' R' F' U' D F'
D' R' F' U' D' F'
D' R' F' U' D2 F'
D' R' F' U' F' D
D' R' F' U' F' D'
D2 R' F' U' D F2
D' R' F' U' F' D2
D' R' F' D U' F'
D2 R' F' D U' F2
D' R' F' D' U' F'
D' R' F' D2 U' F'
D R' F' U B2 U2
D R' F' U' D2 F2
D R' F' D L2 U'
D R' F' D2 U' F2
F R' F' U2 R' U
R' U2 R2 B R U
R' D F' U2 R' U
L' D' R' F' U' F'
L D' R' F' U' F'
L2 D' R' F' U' F'
L2 D' R' F' U' F'
R' D' F' U2 R' U
L' D2 L2 R' F' U'
L' D2 R' L2 F' U'
L' D2 R' F' L2 U'
L2 D2 L2 R' F' U'
L D2 L2 R' F' U'
L2 D2 R' L2 F' U'
L D2 R' L2 F' U'
L2 D2 R' F' L2 U'
L D2 R' F' L2 U'
R' D2 F' U2 R' U
D2 F L2 R' F' U'
D2 F R' L2 F' U'
D' F R' F' U' F2
D2 F R' F' L2 U'
R' F' L U2 R' U
R' F' L' U2 R' U
R' F' L2 U2 R' U
D2 F' L2 R' F' U'
D2 F' R' L2 F' U'
D2 F' R' F' L2 U'
R' F' U2 R' U D
R' F' U2 R' U D'
R' F' U2 R' U D2
R' F' U2 R' D U
R' F' U2 R' D' U
R' F' U2 R' D2 U
R' F' U2 D R' U
R' F' U2 D' R' U
R' F' U2 D2 R' U
R' F' D U2 R' U
R F' R2 F' L' U'
R' F' D' U2 R' U
R' F' D2 U2 R' U
F' D' R' F' U' F'
R' F' B2 L B2 U'
F2 D' R' F' U' F'
F D' R' F' U' F'
D2 F2 L2 R' F' U'
R F2 L' R2 F' U'
D2 F2 R' L2 F' U'
D2 F2 R' F' L2 U'
D' F2 R' F' U' F
R F2 R2 L' F' U'
F' D2 L2 R' F' U'
F2 D2 L2 R' F' U'
F' D2 R' L2 F' U'
F' D2 R' F' L2 U'
F D2 L2 R' F' U'
F2 D2 R' L2 F' U'
F2 D2 R' F' L2 U'
F D2 R' L2 F' U'
F D2 R' F' L2 U'
U' B' D' R' F2 B
U' B' D' R' B F2
U' B' D' F2 R' B
R' B2 L F' B2 U'
R' B2 L B2 F' U'
R' B2 F' L B2 U'
D2 L R' D L F' U'
D2 L R' D F' L U'
D2 L R' D' L F' U'
D' L R' D' L2 F' U'
D' L R' D' F' L2 U'
D2 L R' D' F' L U'
D L R' D L2 F' U'
D2 L R' D2 L F' U'
D L R' D F' L2 U'
D2 L R' D2 F' L U'
D2 L R' F L F2 U'
F' L R' F' U2 R' U
D' L R' F' L U' F'
D' L R' F' L' U' F'
D2 L R' F' L U' D
D2 L R' F' L U' D'
D2 L R' F' L U' D2
D2 L R' F' L D U'
D2 L R' F' L D' U'
D2 L R' F' L D2 U'
D' L R' F' L2 U' F'
D L R' D2 F' U' F'
D' L R' F' U' D F'
D' L R' F' U' D' F'
D' L R' F' U' D2 F'
D' L R' F' U' F' D
D' L R' F' U' F' D'
D' L R' F' U' F' D2
D' L R' F' D U' F'
D2 L R' F' D L U'
D' L R' F' D' U' F'
D2 L R' F' D' L U'
D' L R' F' D2 U' F'
D2 L R' F' D2 L U'
F2 L R' F' U2 R' U
D L R' F' U B2 U2
D L R' F' U' D2 F2
D L R' F' D L2 U'
F L R' F' U2 R' U
D L R' F' D2 U' F2
U2 L R2 U2 R F U'
R' L U2 R2 B R U
R' L D F' U2 R' U
R' L D' F' U2 R' U
D2 L D L R' F' U'
R' L D2 F' U2 R' U
D2 L D R' L F' U'
D L D L2 R' F' U'
D2 L D R' F' L U'
D L D R' L2 F' U'
D L D R' F' L2 U'
D2 L D' L R' F' U'
D' L D' L2 R' F' U'
D2 L D' R' L F' U'
D' L D' R' L2 F' U'
D' L D' R' F' L2 U'
D2 L D' R' F' L U'
F' L D' R' F' U' F'
F2 L D' R' F' U' F'
R' L F' L U2 R' U
R' L F' L' U2 R' U
F L D' R' F' U' F'
R' L F' L2 U2 R' U
L' R F' R2 F' L' U'
L R F' R2 F' L' U'
R' L F' U2 R' U D
R' L F' U2 R' U D'
R' L F' U2 R' U D2
R' L F' U2 R' D U
R' L F' U2 R' D' U
R' L F' U2 R' D2 U
R' L F' U2 D R' U
R' L F' U2 D' R' U
L2 R F' R2 F' L' U'
R' L F' U2 D2 R' U
D2 L D2 L R' F' U'
R' L F' D U2 R' U
R L F' R2 F' L' U'
R' L F' D' U2 R' U
F' L D2 L2 R' F' U'
R' L F' D2 U2 R' U
F2 L D2 L2 R' F' U'
D2 L D2 R' L F' U'
F' L D2 R' L2 F' U'
D2 L D2 R' F' L U'
F L D2 L2 R' F' U'
F' L D2 R' F' L2 U'
R' L F' B2 L B2 U'
F2 L D2 R' L2 F' U'
F2 L D2 R' F' L2 U'
D L D2 R' F' U' F'
L' R F2 L' R2 F' U'
F L D2 R' L2 F' U'
F L D2 R' F' L2 U'
L R F2 L' R2 F' U'
L2 R F2 L' R2 F' U'
L' R F2 R2 L' F' U'
R L F2 L' R2 F' U'
L R F2 R2 L' F' U'
L2 R F2 R2 L' F' U'
D2 L F L R' F' U'
R L F2 R2 L' F' U'
D2 L F R' L F' U'
D' L F R' F' U' F2
D2 L F R' F' L U'
D2 L F' L R' F' U'
D2 L F' R' L F' U'
D2 L F' R' F' L U'
D2 L F2 L R' F' U'
D2 L F2 R' L F' U'
D2 L F2 R' F' L U'
D' L F2 R' F' U' F
R' L B2 L F' B2 U'
R' L B2 L B2 F' U'
R' L B2 F' L B2 U'
R' L' U2 R2 B R U
L' R' U2 R2 B R U
L R' U2 R2 B R U
L2 R' U2 R2 B R U
D2 L' R' D L' F' U'
R' L' D F' U2 R' U
D2 L' R' D' L' F' U'
L' R' D F' U2 R' U
D' L' R' D' L2 F' U'
D2 L' R' D2 L' F' U'
D' L' R' D' F' L2 U'
D L' R' D L2 F' U'
D L' R' D F' L2 U'
L R' D F' U2 R' U
L2 R' D F' U2 R' U
D' L' R' F' L U' F'
D' L' R' F' L' U' F'
D' L' R' F' L2 U' F'
D' L' R' F' U' D F'
D' L' R' F' U' D' F'
D' L' R' F' U' D2 F'
D' L' R' F' U' F' D
D' L' R' F' U' F' D'
D' L' R' F' U' F' D2
D' L' R' F' D U' F'
D' L' R' F' D' U' F'
D' L' R' F' D2 U' F'
F' L' R' F' U2 R' U
D L' R' D2 F' U' F'
F2 L' R' F' U2 R' U
D L' R' F' U B2 U2
D L' R' F' U' D2 F2
D L' R' F' D L2 U'
D L' R' F' D2 U' F2
F L' R' F' U2 R' U
R' L' D' F' U2 R' U
L' R' D' F' U2 R' U
L R' D' F' U2 R' U
L2 R' D' F' U2 R' U
U2 L' R2 B' U2 R U'
R' L' D2 F' U2 R' U
L' R' D2 F' U2 R' U
L R' D2 F' U2 R' U
L2 R' D2 F' U2 R' U
R' L' F' L U2 R' U
L' R' F' L U2 R' U
R' L' F' L' U2 R' U
L' R' F' L' U2 R' U
R' L' F' L2 U2 R' U
L' R' F' L2 U2 R' U
L2 R' F' L U2 R' U
L R' F' L U2 R' U
L2 R' F' L' U2 R' U
L R' F' L' U2 R' U
L2 R' F' L2 U2 R' U
L R' F' L2 U2 R' U
R' L' F' U2 R' U D
R' L' F' U2 R' U D'
R' L' F' U2 R' U D2
R' L' F' U2 R' D U
R' L' F' U2 R' D' U
R' L' F' U2 R' D2 U
R' L' F' U2 D R' U
R' L' F' U2 D' R' U
R' L' F' U2 D2 R' U
L' R' F' U2 R' U D
L' R' F' U2 R' U D'
L' R' F' U2 R' U D2
L' R' F' U2 R' D U
L' R' F' U2 R' D' U
L' R' F' U2 R' D2 U
L' R' F' U2 D R' U
L' R' F' U2 D' R' U
L' R' F' U2 D2 R' U
R' L' F' D U2 R' U
L' R' F' D U2 R' U
R' L' F' D' U2 R' U
L' R' F' D' U2 R' U
R' L' F' D2 U2 R' U
R L' F' R2 F' L' U'
L' R' F' D2 U2 R' U
L2 R' F' U2 R' U D
L2 R' F' U2 R' U D'
L2 R' F' U2 R' U D2
L2 R' F' U2 R' D U
L2 R' F' U2 R' D' U
L2 R' F' U2 R' D2 U
L R' F' U2 R' U D
L R' F' U2 R' U D'
L R' F' U2 R' U D2
L R' F' U2 R' D U
L R' F' U2 R' D' U
L R' F' U2 R' D2 U
L2 R' F' U2 D R' U
L2 R' F' U2 D' R' U
L R' F' U2 D R' U
L2 R' F' U2 D2 R' U
L R' F' U2 D' R' U
L R' F' U2 D2 R' U
R' L' F' B2 L B2 U'
L2 R' F' D U2 R' U
L R' F' D U2 R' U
L' R' F' B2 L B2 U'
L2 R' F' D' U2 R' U
L R' F' D' U2 R' U
L2 R' F' D2 U2 R' U
L R' F' D2 U2 R' U
D2 L' D L' R' F' U'
L2 R' F' B2 L B2 U'
L R' F' B2 L B2 U'
D2 L' D R' L' F' U'
R L' F2 L' R2 F' U'
D L' D L2 R' F' U'
D L' D R' L2 F' U'
D L' D R' F' L2 U'
R L' F2 R2 L' F' U'
D2 L' D' L' R' F' U'
D' L' D' L2 R' F' U'
D2 L' D' R' L' F' U'
D' L' D' R' L2 F' U'
D' L' D' R' F' L2 U'
F' L' D' R' F' U' F'
F2 L' D' R' F' U' F'
F L' D' R' F' U' F'
D2 L' D2 L' R' F' U'
F' L' D2 L2 R' F' U'
D2 L' D2 R' L' F' U'
F2 L' D2 L2 R' F' U'
F' L' D2 R' L2 F' U'
F' L' D2 R' F' L2 U'
F2 L' D2 R' L2 F' U'
F2 L' D2 R' F' L2 U'
F L' D2 L2 R' F' U'
D L' D2 R' F' U' F'
F L' D2 R' L2 F' U'
F L' D2 R' F' L2 U'
R' L' B2 L F' B2 U'
R' L' B2 L B2 F' U'
L' R' B2 L F' B2 U'
L' R' B2 L B2 F' U'
L2 R' B2 L F' B2 U'
L R' B2 L F' B2 U'
L2 R' B2 L B2 F' U'
L R' B2 L B2 F' U'
D2 L' F R' F' L' U'
D' L' F R' F' U' F2
R' L' B2 F' L B2 U'
L' R' B2 F' L B2 U'
L2 R' B2 F' L B2 U'
L R' B2 F' L B2 U'
D' L' F2 R' F' U' F
R' L2 U2 R2 B R U
R' L2 D F' U2 R' U
U2 L' B2 L B R2 U
R' L2 D' F' U2 R' U
D2 L2 R F R2 F' U'
D2 L2 R F' R2 F' U'
R' L2 D2 F' U2 R' U
D2 L2 R F2 R2 F' U'
D2 L2 R' D F' U' D
D2 L2 R' D F' U' D'
D2 L2 R' D F' U' D2
D2 L2 R' D F' D U'
D2 L2 R' D F' D' U'
D2 L2 R' D F' D2 U'
D' L2 R' D' L2 F' U'
D2 L2 R' D' F' U' D
D2 L2 R' D' F' U' D'
D2 L2 R' D' F' U' D2
D2 L2 R' D' F' D U'
D2 L2 R' D' F' D' U'
D2 L2 R' D' F' D2 U'
D' L2 R' D' F' L2 U'
D2 L2 R' D2 F' U' D
D2 L2 R' D2 F' U' D'
D2 L2 R' D2 F' U' D2
D2 L2 R' D2 F' D U'
D2 L2 R' D2 F' D' U'
D2 L2 R' D2 F' D2 U'
D2 L2 R' F U' D R2
D2 L2 R' F D U' R2
D' L2 R' F' L U' F'
D' L2 R' F' L' U' F'
D' L2 R' F' L2 U' F'
D' L2 R' F' U' D F'
D' L2 R' F' U' D' F'
D' L2 R' F' U' D2 F'
D' L2 R' F' U' F' D
D' L2 R' F' U' F' D'
D' L2 R' F' U' F' D2
D' L2 R' F' D U' F'
D' L2 R' F' D' U' F'
D' L2 R' F' D2 U' F'
F' L2 R' F' U2 R' U
D2 L2 R' F2 D F U'
D2 L2 R' F2 D' F U'
D L2 R' D L2 F' U'
D2 L2 R' F2 D2 F U'
D L2 R' D F' L2 U'
F2 L2 R' F' U2 R' U
D L2 R' D2 F' U' F'
D L2 R' F' U B2 U2
D L2 R' F' U' D2 F2
D L2 R' F' D L2 U'
D L2 R' F' D2 U' F2
F L2 R' F' U2 R' U
R' L2 F' L U2 R' U
R' L2 F' L' U2 R' U
R' L2 F' L2 U2 R' U
R' L2 F' U2 R' U D
R' L2 F' U2 R' U D'
R' L2 F' U2 R' U D2
R' L2 F' U2 R' D U
R' L2 F' U2 R' D' U
R' L2 F' U2 R' D2 U
R' L2 F' U2 D R' U
R' L2 F' U2 D' R' U
R' L2 F' U2 D2 R' U
R' L2 F' D U2 R' U
R' L2 F' D' U2 R' U
R' L2 F' D2 U2 R' U
R' L2 F' B2 L B2 U'
R L2 F' R2 F' L' U'
R L2 F2 L' R2 F' U'
R L2 F2 R2 L' F' U'
D2 L2 U' B' D' R' B
D2 L2 D R' D F' U'
D2 L2 D R' D' F' U'
D2 L2 D R' D2 F' U'
D2 L2 D R' F' U' D
D2 L2 D R' F' U' D'
D2 L2 D R' F' U' D2
D2 L2 D R' F' D U'
D2 L2 D R' F' D' U'
D2 L2 D R' F' D2 U'
R' L2 B2 L F' B2 U'
R' L2 B2 L B2 F' U'
D L2 D L2 R' F' U'
D2 L2 D F R' F' U'
D2 L2 D F' R' F' U'
D L2 D R' L2 F' U'
D L2 D R' F' L2 U'
D2 L2 D F2 R' F' U'
D' L2 D' L2 R' F' U'
R' L2 B2 F' L B2 U'
D2 L2 D' R' D F' U'
D2 L2 D' R' D' F' U'
D2 L2 D' R' D2 F' U'
D' L2 D' R' L2 F' U'
D2 L2 D' R' F' U' D
D2 L2 D' R' F' U' D'
D2 L2 D' R' F' U' D2
D2 L2 D' R' F' D U'
D2 L2 D' R' F' D' U'
D2 L2 D' R' F' D2 U'
D' L2 D' R' F' L2 U'
F' L2 D' R' F' U' F'
F2 L2 D' R' F' U' F'
D2 L2 D' F R' F' U'
D2 L2 D' F' R' F' U'
D2 L2 D' F2 R' F' U'
F L2 D' R' F' U' F'
F' L2 D2 L2 R' F' U'
D2 L2 D2 R' D F' U'
D2 L2 D2 R' D' F' U'
D2 L2 D2 R' D2 F' U'
D2 L2 D2 R' F' U' D
D2 L2 D2 R' F' U' D'
D2 L2 D2 R' F' U' D2
D2 L2 D2 R' F' D U'
D2 L2 D2 R' F' D' U'
D2 L2 D2 R' F' D2 U'
F' L2 D2 R' L2 F' U'
F2 L2 D2 L2 R' F' U'
F' L2 D2 R' F' L2 U'
F2 L2 D2 R' L2 F' U'
D2 L2 D2 F R' F' U'
F2 L2 D2 R' F' L2 U'
D2 L2 D2 F' R' F' U'
F L2 D2 L2 R' F' U'
D2 L2 D2 F2 R' F' U'
D L2 D2 R' F' U' F'
F L2 D2 R' L2 F' U'
F L2 D2 R' F' L2 U'
D2 L2 F R' D F' U'
D2 L2 F R' D' F' U'
D2 L2 F R' D2 F' U'
D2 L2 F R' F' U' D
D2 L2 F R' F' U' D'
D2 L2 F R' F' U' D2
D2 L2 F R' F' D U'
D2 L2 F R' F' D' U'
D2 L2 F R' F' D2 U'
D' L2 F R' F' U' F2
D2 L2 F D R' F' U'
D2 L2 F D' R' F' U'
D2 L2 F D2 R' F' U'
D2 L2 F' R' D F' U'
D2 L2 F' R' D' F' U'
D2 L2 F' R' D2 F' U'
D2 L2 F' R' F' U' D
D2 L2 F' R' F' U' D'
D2 L2 F' R' F' U' D2
D2 L2 F' R' F' D U'
D2 L2 F' R' F' D' U'
D2 L2 F' R' F' D2 U'
D2 L2 F' D R' F' U'
D2 L2 F' D' R' F' U'
D2 L2 F' D2 R' F' U'
D2 L2 F2 R' D F' U'
D2 L2 F2 R' D' F' U'
D2 L2 F2 R' D2 F' U'
D2 L2 F2 R' F' U' D
D2 L2 F2 R' F' U' D'
D2 L2 F2 R' F' U' D2
D2 L2 F2 R' F' D U'
D2 L2 F2 R' F' D' U'
D2 L2 F2 R' F' D2 U'
D' L2 F2 R' F' U' F
D2 L2 F2 D R' F' U'
D2 L2 F2 D' R' F' U'
D2 L2 F2 D2 R' F' U'
U2 L2 B2 L R2 B' U
U2 L2 B2 L B' R2 U
U2 L2 B2 R2 L B' U
D2 R L2 F R2 F' U'
D2 R L2 F' R2 F' U'
D2 R L2 F2 R2 F' U'
R' U B2 U' L F' U'
R' U B2 U' F' L U'
D2 R F L2 R2 F' U'
D2 R F R2 L2 F' U'
D2 R F R2 F' L2 U'
D' R F R2 F' U' F2
D2 R F' L2 R2 F' U'
D2 R F' R2 L2 F' U'
D2 R F' R2 F' L2 U'
F' R F' R2 F' L' U'
F2 R F' R2 F' L' U'
D2 R F2 L2 R2 F' U'
F R F' R2 F' L' U'
F' R F2 L' R2 F' U'
D2 R F2 R2 L2 F' U'
D2 R F2 R2 F' L2 U'
D' R F2 R2 F' U' F
F2 R F2 L' R2 F' U'
F' R F2 R2 L' F' U'
F2 R F2 R2 L' F' U'
F R F2 L' R2 F' U'
F R F2 R2 L' F' U'
R' U' R2 U' B R U
D2 R' L D L F' U'
D2 R' L D F' L U'
D2 R' L D' L F' U'
D' R' L D' L2 F' U'
D2 R' L D' F' L U'
D2 R' L D2 L F' U'
D' R' L D' F' L2 U'
D2 R' L D2 F' L U'
D2 R' L F L F2 U'
D2 R' L F' L U' D
D2 R' L F' L U' D'
D2 R' L F' L U' D2
D2 R' L F' L D U'
D2 R' L F' L D' U'
D2 R' L F' L D2 U'
D' R' L F' L U' F'
D' R' L F' L' U' F'
D2 R' L F' D L U'
D' R' L F' L2 U' F'
D2 R' L F' D' L U'
D2 R' L F' D2 L U'
D' R' L F' U' D F'
D' R' L F' U' D' F'
D' R' L F' U' D2 F'
D' R' L F' U' F' D
D' R' L F' U' F' D'
D' R' L F' U' F' D2
D' R' L F' D U' F'
D' R' L F' D' U' F'
D' R' L F' D2 U' F'
F' R' L F' U2 R' U
D R' L D L2 F' U'
D R' L D F' L2 U'
F2 R' L F' U2 R' U
D R' L D2 F' U' F'
D2 R' L' D L' F' U'
D R' L F' U B2 U2
D R' L F' U' D2 F2
D R' L F' D L2 U'
D2 R' L' D' L' F' U'
D R' L F' D2 U' F2
D' R' L' D' L2 F' U'
D' R' L' D' F' L2 U'
