U R2 U B R F'
F' U R U R2 F'
F' U R2 U R F'
F' U' L U' R' F
F' U' L U' F R'
F' U2 F R' D' F2
B2 D L F' B' U2
B2 D L B' F' U2
B2 D F' L B' U2
F' B U' L F U'
B F' U' L F U'
B2 F' D L B' U2
F' B2 D L B' U2
U' L R2 U' B R F
U L R2 U B R F'
F' L U R U R2 F'
F' L U R2 U R F'
U' L U F' U2 R' F2
U' L U F' U2 F2 R'
F' L U' L U' R' F
F' L U' L U' F R'
U' L U' R2 B R F
U' L U' F R' D2 B2
U' L U' F D2 R' B2
F' L U2 F R' D' F2
B2 L D2 F' U R U
B2 L F' B U R' U
B2 L F' B' U' L U'
F' L B U' L F U'
B2 L B F' U R' U
B2 L B' F' U' L U'
F' L B2 D L B' U2
U L' R2 U B R F'
F' L' U R U R2 F'
F' L' U R2 U R F'
F' L' U' L U' R' F
F' L' U' L U' F R'
F' L' U2 F R' D' F2
F' L' B U' L F U'
F' L' B2 D L B' U2
U L2 R2 U B R F'
F' L2 U R U R2 F'
F' L2 U R2 U R F'
F' L2 U' L U' R' F
F' L2 U' L U' F R'
F' L2 U2 F R' D' F2
B2 L2 D L' F' U2 F2
F' L2 B U' L F U'
L' U R2 U B R F'
L2 U R2 U B R F'
L U R2 U B R F'
F' L2 B2 D L B' U2
R2 U' R2 F' U2 R' F'
U2 R' U' R' U F' B
U2 R' U' R' U B F'
R' U2 R F' U' L' U'
U' R2 L U' B R F
U R2 L U B R F'
U R2 L' U B R F'
U R2 L2 U B R F'
U R2 U B R D F'
U R2 U B R D' F'
U R2 U B R D2 F'
U R2 U B R F' D
U R2 U B R F' D'
U R2 U B R F' D2
U R2 U B' R F' B2
U R2 U B' R B2 F'
U R2 U B2 R F' B'
U R2 U B2 R B' F'
U R2 B' U R F' B2
U R2 B' U R B2 F'
U R2 B' U B2 R F'
U R2 B2 U R F' B'
U R2 B2 U R B' F'
U R2 B2 U B' R F'
F' U R U R2 D F'
F' U R U R2 D' F'
F' U R U R2 D2 F'
F' U R U R2 F' D
F' U R U R2 F' D'
F' U R U R2 F' D2
F' U R U F R2 F'
F' U R U F' R2 F'
F' U R U F2 R2 F'
F' U R U' B U2 R2
B' U R' U R' B R'
B' U R' U B R' B
B' U R' B U R' B
D' U R2 U B R F'
D2 U R2 U B R F'
F' U R2 U R D F'
F' U R2 U R D' F'
F' U R2 U R D2 F'
F' U R2 U R F' D
F' U R2 U R F' D'
F' U R2 U R F' D2
F' U R2 B U R F'
F' U R2 B' U R F'
F' U R2 B2 U R F'
D U R2 U B R F'
F' U D R U R2 F'
F' U D R2 U R F'
U D R2 U B R F'
F' U D' R U R2 F'
F' U D' R2 U R F'
F' U D2 R U R2 F'
F' U D2 R2 U R F'
F' U' L U' R F R2
F' U' L U' R' D F
F' U' L U' R' D' F
F' U' L U' R' D2 F
F' U' L U' R' F D
F' U' L U' R' F D'
F' U' L U' R' F D2
F' U' L U' D R' F
F' U' L U' D F R'
F' U' L U' D' R' F
F' U' L U' D' F R'
F' U' L U' D2 R' F
F' U' L U' D2 F R'
F' U' L U' F R' D
F' U' L U' F R' D'
F' U' L U' F R' D2
F' U' L U' F D R'
F' U' L U' F D' R'
F' U' L U' F D2 R'
F' U' L U' F' R' F2
F' U' L D U' R' F
F' U' L D U' F R'
F' U' L D' U' R' F
F' U' L D' U' F R'
F' U' L D2 U' R' F
F' U' L D2 U' F R'
F' U' L F' U' R' F2
F' U' L F' U' F2 R'
F' U' L F2 U' F' R'
B U' L R2 F U' B
B U' L F U F2 U2
B U' L F U' D2 B2
B U' L F D R2 U'
B U' L F D2 U' B2
U D' R2 U B R F'
F' U' D L U' R' F
F' U' D L U' F R'
B U' R2 L F U' B
F' U' D' L U' R' F
F' U' D' L U' F R'
F' U' D2 L U' R' F
F' U' D2 L U' F R'
F' U' F L U' R' F
F' U' F L U' F R'
F' U' F' L U' R' F
F' U' F' L U' F R'
F' U' F2 L U' R' F
F' U' F2 L U' F R'
U D2 R2 U B R F'
F' U2 R' U L U' F
F' U2 R' U' R' U F'
F' U2 R' F U' R U
F' U2 R' F' U L' U'
B' U2 R2 B R' D' F2
F' U2 D F R' D' F2
F' U2 D' F R' D' F2
F' U2 D2 F R' D' F2
F' U2 F R' U' R2 U
F' U2 F R' D' F2 D
F' U2 F R' D' F2 D'
F' U2 F R' D' F2 D2
F' U2 F R' F D' F2
F' U2 F R' F' D' F2
F' U2 F R' F2 D' F2
F' U2 F U' R U R2
