F2 R U L' R2 U
F2 R U R2 L' U
U' R U' L' D' F2
U' R U' D' L' F2
U' R U2 R2 U L'
U' R D' U' L' F2
U' R D2 L2 U' L
U R' U L' D B2
U R' U D L' B2
U R' U D B2 L'
U R' U2 R2 U' L'
U R' D U L' B2
U R' D U B2 L'
U R' D2 L2 U L
R' U2 R2 U' L' R2
R' U2 R2 U' R2 L'
R U2 R2 U L' R2
R U2 R2 U R2 L'
B2 U' L R U' L2
B2 U' R L U' L2
U' B2 L R U' L2
U' B2 R L U' L2
B2 L R U L' U2 L'
U' L R U' L2 D' F2
R' L U L2 D B2 R'
U' L R U2 R2 U L2
U' L R D' B2 U' F2
B2 L R F2 U' L2 R
B2 L R F2 U' R L2
U L R' U L2 D B2
U L R' U2 R2 U' L2
U L R' D F2 U B2
R' L D F2 U R B2
R' L D F2 U B2 R
L R D' B2 U' F2 R
R L D' B2 U' F2 R
L2 R D2 L2 U' L' R2
L2 R D2 L2 U' R2 L'
U L D F2 L' R' U
U L D F2 R' L' U
U' L D' B2 L R U'
U' L D' B2 R L U'
U L F2 L' R' U L'
U L F2 R' L' U L'
L2 R' U L D B2 R'
L R' U L2 D B2 R'
U' L B2 L R U' L
U' L B2 R L U' L
U' L' R D2 L2 U' L2
F2 L' R' U' L R2 U2
F2 L' R' U' R2 L U2
B2 L' R' D F2 B2 R'
B2 L' R' D B2 R' F2
B2 L' R' D B2 F2 R'
L R' D F2 U R B2
L R' D F2 U B2 R
U L' R' D2 L2 U L2
L2 R' D2 L2 U L' R2
L2 R' D2 L2 U R2 L'
U2 L' U R U' D' F2
U2 L' U R U2 R2 U
U2 L' U R D' U' F2
U2 L' U R D2 L2 U'
U2 L' U' R' U D B2
U2 L' U' R' U2 R2 U'
U2 L' U' R' D U B2
U2 L' U' R' D2 L2 U
R' L2 U L D B2 R'
U L' F2 L' R' U L
U2 L' F2 U' L' R' U
U2 L' F2 U' R' L' U
U L' F2 R' L' U L
U' L' B2 L R U' L'
U' L' B2 R L U' L'
B2 L' B2 R' D F2 B2
B2 L' B2 R' D B2 F2
U2 L' B2 U L R U'
U2 L' B2 U R L U'
R' L2 D2 L2 U L' R2
R' L2 D2 L2 U R2 L'
U' L2 R U' L D' F2
U' L2 R U' D' L F2
U' L2 R U' D' F2 L
U' L2 R U2 R2 U L
U' L2 R D' U' L F2
U' L2 R D' U' F2 L
U' L2 R D2 L2 U' L'
R L2 D2 L2 U' L' R2
R L2 D2 L2 U' R2 L'
U L2 R' U L D B2
U L2 R' U D L B2
U L2 R' U2 R2 U' L
U L2 R' D U L B2
U L2 R' D2 L2 U L'
R' U L' U R2 U' R2
R' U L' D B2 D' R2
R2 U R U L' D B2
R2 U R U D L' B2
R2 U R U D B2 L'
R2 U R U2 R2 U' L'
R2 U R D U L' B2
R2 U R D U B2 L'
R2 U R D2 L2 U L
U L2 F2 L' R' U L2
U L2 F2 R' L' U L2
R' U D L' B2 D' R2
R' U D B2 L' D' R2
R' U D B2 D' L' R2
R' U D B2 D' R2 L'
U' R L U' L2 D' F2
U' R L U2 R2 U L2
B2 R L U L' U2 L'
U' R L D' B2 U' F2
B2 R L F2 U' L2 R
B2 R L F2 U' R L2
U' R L' D2 L2 U' L2
U' R L2 U' L D' F2
U' R L2 U' D' L F2
U' R L2 U' D' F2 L
U' R L2 U2 R2 U L
U' R L2 D' U' L F2
U' R L2 D' U' F2 L
U' R L2 D2 L2 U' L'
F2 R U L' R2 U D
F2 R U L' R2 U D'
F2 R U L' R2 U D2
F2 R U L' R2 D U
F2 R U L' R2 D' U
F2 R U L' R2 D2 U
F2 R U L' U D' F2
F2 R U L' D' U F2
U' R U D B2 U2 L'
F2 R U R2 L' U D
F2 R U R2 L' U D'
F2 R U R2 L' U D2
F2 R U R2 L' D U
F2 R U R2 L' D' U
F2 R U R2 L' D2 U
F2 R U R2 D L' U
F2 R U R2 D' L' U
F2 R U R2 D2 L' U
F2 R U D' L' U F2
U' R U' L' U' R2 U
U' R U' L' D' F2 D
U' R U' L' D' F2 D'
U' R U' L' D' F2 D2
U' R U' L' F D' F2
U' R U' L' F' D' F2
U' R U' L' F2 D' F2
U' R U' L2 D' L F2
U' R U' L2 D' F2 L
U2 R U' L' D' R' F2
U2 R U' L' D' F2 R'
U' R U' D L' D2 F2
U' R U' D' L F2 L2
U' R U' D' L' F2 D
U' R U' D' L' F2 D'
U' R U' D' L' F2 D2
U' R U' D' L2 F2 L
U2 R U' D' L' R' F2
U2 R U' D' L' F2 R'
U2 R U' D' R' L' F2
U' R U' F2 D' F2 L'
D2 R U2 R2 U L' R2
D2 R U2 R2 U R2 L'
D' R U2 R2 U L' R2
D' R U2 R2 U R2 L'
U' R U2 R2 U L' D
U' R U2 R2 U L' D'
U' R U2 R2 U L' D2
U' R U2 R2 U D L'
U' R U2 R2 U D' L'
U' R U2 R2 U D2 L'
U' R U2 R2 D U L'
U' R U2 R2 D' U L'
U' R U2 R2 D2 U L'
U2 R U2 R2 U L' R
U2 R U2 R2 U R L'
D R U2 R2 U L' R2
D R U2 R2 U R2 L'
U' R D U B2 U2 L'
U' R D U' L' D2 F2
U' R D' L U' L2 F2
U' R D' L U' F2 L2
U' R D' L2 U' L F2
U' R D' L2 U' F2 L
F2 R D B2 U L' U
U' R D' U' L F2 L2
U' R D' U' L' F2 D
U' R D' U' L' F2 D'
U' R D' U' L' F2 D2
U' R D' U' L2 F2 L
F2 R D' U L' U F2
U2 R D' U' L' R' F2
U2 R D' U' L' F2 R'
U2 R D' U' R' L' F2
U' R D' B U' L' F2
U' R D' B' U' L' F2
U' R D' B2 U' L' F2
U' R D2 L2 U' L D
U' R D2 L2 U' L D'
U' R D2 L2 U' L D2
U' R D2 L2 U' D L
U' R D2 L2 U' D' L
U' R D2 L2 U' D2 L
U' R D2 L2 D U' L
U' R D2 L2 D' U' L
U' R D2 L2 D2 U' L
U2 R D2 L2 U' L R'
U2 R D2 L2 U' R' L
U' R D2 B L2 U' L
U' R D2 B' L2 U' L
U' R D2 B2 L2 U' L
R U' L' U' R2 U R2
R U' L' D' F2 D R2
L' U' R' U D B2 R'
L' U' R' D U B2 R'
R2 U' R' U' L' D' F2
R2 U' R' U' D' L' F2
R2 U' R' U2 R2 U L'
R2 U' R' D' U' L' F2
U' R B U' L' D' F2
R2 U' R' D2 L2 U' L
U' R B U' D' L' F2
U' R B U2 R2 U L'
F2 R B U L' R2 U
F2 R B U R2 L' U
U' R B D' U' L' F2
U' R B D2 L2 U' L
U' R B' U' L' D' F2
U' R B' U' D' L' F2
U' R B' U2 R2 U L'
F2 R B' U L' R2 U
F2 R B' U R2 L' U
U' R B' D' U' L' F2
U' R B' D2 L2 U' L
U' R B2 U' L' D' F2
U' R B2 U' D' L' F2
U' R B2 U2 R2 U L'
F2 R B2 U L' R2 U
F2 R B2 U R2 L' U
U' R B2 D' U' L' F2
U' R B2 D2 L2 U' L
R U' D' L' F2 D R2
U R' L U L2 D B2
U R' L U2 R2 U' L2
U R' L D F2 U B2
F2 R' L' U' L R2 U2
F2 R' L' U' R2 L U2
B2 R' L' D F2 B2 R'
B2 R' L' D B2 R' F2
B2 R' L' D B2 F2 R'
U R' L' D2 L2 U L2
U R' L2 U L D B2
U R' L2 U D L B2
U' R' U L' D B2 R'
U R' L2 U2 R2 U' L
U R' L2 D U L B2
U R' L2 D2 L2 U L'
U2 R' U L' D R B2
U2 R' U L' D B2 R
U' R' U D L' B2 R'
U2 R' U D L' R B2
U2 R' U D L' B2 R
U2 R' U D R L' B2
U2 R' U D R B2 L'
U2 R' U D B2 L' R
U2 R' U D B2 R L'
U R' U L' U R2 U'
U R' U L' D B2 D
U R' U L' D B2 D'
U R' U L' D B2 D2
U R' U L' B D B2
U R' U L' B' D B2
U R' U L' B2 D B2
U R' U L2 D L B2
B2 R' U' L R2 U' L2
U R' U D L B2 L2
U R' U D L' B2 D
U R' U D L' B2 D'
U R' U D L' B2 D2
U R' U D B L' B
U R' U D B2 L' D
U R' U D B2 L' D'
U R' U D B2 L' D2
U R' U D B2 D L'
U R' U D B2 D' L'
U R' U D B2 D2 L'
U R' U D' L' D2 B2
B2 R' U' R2 L U' L2
U R' U B L' D B2
U R' U B D L' B2
U R' U B D B2 L'
U R' U B' L' D B2
U R' U B' D L' B2
U R' U B' D B2 L'
U R' U B2 L' D B2
U R' U B2 D L' B2
U R' U B2 D B2 L'
D2 R' U2 R2 U' L' R2
D2 R' U2 R2 U' R2 L'
D' R' U2 R2 U' L' R2
D' R' U2 R2 U' R2 L'
