U2 R F U D R2
U2 R F U2 F2 U'
U2 R F D U R2
U2 R F D2 B2 U
U2 R' F B R2 U
U2 R' B R2 F U
U2 R' B F R2 U
R F U2 R' F2 U'
R F U2 F2 R' U'
R F D2 B2 L U
L2 R U2 F' R' B' U'
F2 L' U2 D' F' U R
F2 L' D' U2 F' U R
D2 L' F2 L' F' B' U'
D2 L' F2 L' B' F' U'
R L2 U2 F' R' B' U'
D2 L2 B' U2 R B U
U2 R U2 F' U' D' L2
U2 R U2 F' U2 F2 U
U2 R U2 F' D' U' L2
U2 R U2 F' D2 B2 U'
U2 R D F U D R2
U2 R D F U2 F2 U'
U2 R D F D U R2
U2 R D F D2 B2 U
U2 R D' F U D R2
U2 R D' F U2 F2 U'
U2 R D' F D U R2
U2 R D' F D2 B2 U
U2 R D2 F U D R2
U2 R D2 F U2 F2 U'
U2 R D2 F D U R2
U2 R D2 F D2 B2 U
B' R F U2 R' F2 U'
B' R F U2 F2 R' U'
U2 R F U R D R2
U2 R F U R' D R2
U2 R F U R2 D R2
U2 R F U D R2 D
U2 R F U D R2 D'
U2 R F U D R2 D2
B2 R F U2 R' F2 U'
B2 R F U2 F2 R' U'
U2 R F U' D' L2 U2
B' R F D2 B2 L U
D2 R F B2 L B' U
U' R F D2 B2 U B2
U2 R F U2 F2 U' D
U2 R F U2 F2 U' D'
U2 R F U2 F2 U' D2
U2 R F U2 F2 D U'
U2 R F U2 F2 D' U'
U2 R F U2 F2 D2 U'
U2 R F D U R2 D
U2 R F D U R2 D'
U2 R F D U R2 D2
U2 R F D B U R2
U2 R F D B' U R2
U2 R F D B2 U R2
U2 R F D' U' L2 U2
B2 R F D2 B2 L U
B R F U2 R' F2 U'
U2 R F D2 B2 U D
U2 R F D2 B2 U D'
U2 R F D2 B2 U D2
B R F U2 F2 R' U'
U2 R F D2 B2 D U
U2 R F D2 B2 D' U
U2 R F D2 B2 D2 U
U2 R F B U D R2
U2 R F B U2 F2 U'
U2 R F B D U R2
U2 R F B D2 B2 U
U2 R F B' U D R2
U2 R F B' U2 F2 U'
U2 R F B' D U R2
U2 R F B' D2 B2 U
U R F U D R2 B
U2 R F B2 U D R2
U2 R F B2 U2 F2 U'
U2 R F B2 D U R2
U2 R F B2 D2 B2 U
B R F D2 B2 L U
U R F D U R2 B
U2 R B F U D R2
U2 R B F U2 F2 U'
U2 R B F D U R2
U2 R B F D2 B2 U
U2 R B' F U D R2
U2 R B' F U2 F2 U'
U2 R B' F D U R2
U2 R B' F D2 B2 U
D2 R B2 F L B' U
U2 R B2 F U D R2
U2 R B2 F U2 F2 U'
U2 R B2 F D U R2
U2 R B2 F D2 B2 U
U R' U F B R2 U
U' R' U' F B R2 U
U R' U B R2 F U
U R' U B F R2 U
U' R' U' B R2 F U
U' R' U' B F R2 U
U2 R' D' F B U F
U2 R' D' B F U F
U2 R' F R2 U2 F' U'
U' R' F B R2 U B'
U2 R' F D' B U F2
U2 R' F B R2 U D
U2 R' F B R2 U D'
U2 R' F B R2 U D2
U2 R' F B R2 D U
U2 R' F B R2 D' U
U2 R' F B R2 D2 U
U2 R' F B U D' F2
U2 R' F B D' U F2
U2 R' F B' R2 B2 U
U2 R' F B2 R2 B' U
U R' F B R2 U B
L' U2 R U2 F' B U'
L' U2 R U2 B F' U'
U2 R' F' B R2 F2 U
L2 U2 R U2 F' B' U'
L2 U2 R U2 B' F' U'
L' U2 R' F' B R2 U
L' U2 R' B F' R2 U
U' R' B R2 F U B'
U2 R' B R' F R' U
U2 R' B R2 D F U
U2 R' B R2 D' F U
U2 R' B R2 D2 F U
U2 R' B R2 F U D
U2 R' B R2 F U D'
U2 R' B R2 F U D2
U2 R' B R2 F D U
U2 R' B R2 F D' U
U2 R' B R2 F D2 U
U' R' B F R2 U B'
U2 R' B D' F U F
U2 R' B F R2 U D
U2 R' B F R2 U D'
U2 R' B F R2 U D2
U2 R' B F R2 D U
U2 R' B F R2 D' U
U2 R' B F R2 D2 U
U2 R' B F U D' F2
U2 R' B F D' U F2
U2 R' B F' R2 F2 U
U2 R' B' R2 F B2 U
U2 R' B' R2 B2 F U
U R' B F R2 U B
U2 R' B' F R2 B2 U
U2 R' B2 R2 F B' U
U2 R' B2 R2 B' F U
U2 R' B2 F R2 B' U
R U2 F' R' U' D' L2
R U2 F' R' U2 F2 U
R U2 F' R' D' U' L2
R U2 F' R' D2 B2 U'
R U2 F' D' R' U' L2
R U2 F' D2 R' B2 U'
U R2 U R' F U R
U R2 U F R' U R2
U2 R2 F R B R2 U
U2 R2 F R' U2 F' U'
R D F U2 R' F2 U'
R D F U2 F2 R' U'
R D F D2 B2 L U
U2 D R F B U R'
U2 D R B F U R'
U2 D B R F U R2
U2 D' R F U' L' U2
R D' F U2 R' F2 U'
R D' F U2 F2 R' U'
R D' F D2 B2 L U
F' U' D' L2 R' F' R
F' U' D' R' L2 F' R
F' U' D' R' F' L2 R
F' U' D' R' F' R L2
D' U2 R F U' L' U2
D U2 R F B U R'
D U2 R B F U R'
L' D2 F2 L' F B' U'
L' D2 F2 L' B' F U'
R D2 F U2 R' F2 U'
R D2 F U2 F2 R' U'
B' U2 R F U D R2
R D2 F D2 B2 L U
B' U2 R F U2 F2 U'
B' U2 R F D U R2
B' U2 R F D2 B2 U
B2 U2 R F U D R2
B2 U2 R F U2 F2 U'
B2 U2 R F D U R2
B2 U2 R F D2 B2 U
L2 D2 F2 B' L' F U'
B' U2 R' F B R2 U
B' U2 R' B R2 F U
B U2 R F U D R2
B U2 R F U2 F2 U'
B U2 R F D U R2
B U2 R F D2 B2 U
B' U2 R' B F R2 U
B2 U2 R' F B R2 U
B2 U2 R' B R2 F U
B2 U2 R' B F R2 U
D U2 B R F U R2
B U2 R' F B R2 U
B U2 R' B R2 F U
B U2 R' B F R2 U
L2 D2 B' F2 L' F U'
R F L U2 R' F2 U'
R F L U2 F2 R' U'
R F L D2 B2 L U
R F L' U2 R' F2 U'
R F L' U2 F2 R' U'
R F L' D2 B2 L U
R F L2 U2 R' F2 U'
R F L2 U2 F2 R' U'
R F L2 D2 B2 L U
F' U2 F2 B' R' B U
R' F R2 U2 F' R U'
U2 F R' D2 B R' U
R2 F R' U2 F' R' U'
F' U2 B' R' F2 B U
F' U2 B' R' B F2 U
F' U2 B' F2 R' B U
R F U R D R2 B2
R F U R D B2 R2
R F U2 R F2 R2 U'
R F U2 R' U' D R2
R F U2 R' D U' R2
R F U2 R' F2 U' D
R F U2 R' F2 U' D'
R F U2 R' F2 U' D2
R F U2 R' F2 D U'
R F U2 R' F2 D' U'
R F U2 R' F2 D2 U'
R F U2 D R' U' R'
R F U2 F R' F U'
R F U2 F2 R' U' D
R F U2 F2 R' U' D'
R F U2 F2 R' U' D2
R F U2 F2 R' D U'
R F U2 F2 R' D' U'
R F U2 F2 R' D2 U'
R F U2 F2 D R' U'
R F U2 F2 D' R' U'
R F U2 F2 D2 R' U'
R F D U2 R' U' R'
R F D B2 L U R2
R F D2 L B2 L U
R F D2 L' B2 L U
R F D2 L2 B2 L U
R F D2 B2 L U D
R F D2 B2 L U D'
R F D2 B2 L U D2
R F D2 B2 L D U
R F D2 B2 L D' U
R F D2 B2 L D2 U
R F D2 B2 D L U
R F D2 B2 D' L U
R F D2 B2 D2 L U
R F B2 L U D R2
R F B2 L U2 F2 U'
R F B2 L D U R2
R F B2 L D2 B2 U
R F B2 D L U R2
R F B2 D2 L B2 U
R F' R' U2 R F2 U
F2 D' L' U2 F' U R
F' D' U' L2 R' F' R
F' D' U' R' L2 F' R
F' D' U' R' F' L2 R
F' D' U' R' F' R L2
D2 F2 L' F U' D' L2
D2 F2 L' F U2 F2 U
D2 F2 L' F D' U' L2
D2 F2 L' F D2 B2 U'
R' F2 L' F' B R2 U
R' F2 L' B F' R2 U
F' D' F' L' U' L' R
F' D' F' L' U' R L'
F2 D2 L' F U' D' L2
F2 D2 L' F U2 F2 U
F2 D2 L' F D' U' L2
F2 D2 L' F D2 B2 U'
L' F2 D2 L' F B' U'
L' F2 D2 L' B' F U'
R' F2 B L' F' R2 U
L2 F2 D2 B' L' F U'
L2 F2 B' D2 L' F U'
F' D2 F' L' F B2 U'
F' D2 F' L' B2 F U'
F' D2 F' B2 L' F U'
U2 B R F U D R2
U2 B R F U2 F2 U'
U2 B R F D U R2
U2 B R F D2 B2 U
U2 B R' F B R2 U
R' B R2 F U2 R' U'
U2 B R' B R2 F U
U2 B R' B F R2 U
F' D2 B2 F' L' F U'
D B U2 R F U R2
R' B F2 L' F' R2 U
U2 B' R F U D R2
U2 B' R F U2 F2 U'
U2 B' R F D U R2
U2 B' R F D2 B2 U
U2 B' R' F B R2 U
R' B' R2 F B2 L U
U2 B' R' B R2 F U
U2 B' R' B F R2 U
R' B' R2 B2 F L U
L2 B' U2 R U2 F' U'
L2 B' U2 R' B R2 U
L2 B' D2 F2 L' F U'
L2 B' F2 D2 L' F U'
U2 B2 R F U D R2
U2 B2 R F U2 F2 U'
U2 B2 R F D U R2
U2 B2 R F D2 B2 U
U2 B2 R' F B R2 U
U2 B2 R' B R2 F U
U2 B2 R' B F R2 U
D B2 U2 R F U R
R B2 F L U D R2
R B2 F L U2 F2 U'
R B2 F L D U R2
R B2 F L D2 B2 U
R B2 F D L U R2
R B2 F D2 L B2 U
