U' R2 F2 B L R'
U' R2 F2 B R' L
U' R2 B L R' F2
U' R2 B L F2 R'
U' R2 B R' L F2
U' R2 B R' F2 L
U' R2 B F2 L R'
U' R2 B F2 R' L
U' R2 B F2 R' L
U' L R2 F2 B L R'
U' L R2 F2 B R' L
U' L R2 B L R' F2
U' L R2 B L F2 R'
U' L R2 B R' L F2
U' L R2 B R' F2 L
U' L R2 B F2 L R'
U' L R2 B F2 R' L
U' L' R2 F2 B L R'
U' L' R2 F2 B R' L
U' L' R2 B L R' F2
U' L' R2 B L F2 R'
U' L' R2 B R' L F2
U' L' R2 B R' F2 L
U' L' R2 B F2 L R'
U' L' R2 B F2 R' L
U' L2 R2 F2 B L R'
U' L2 R2 F2 B R' L
U' L2 R2 B L R' F2
U' L2 R2 B L F2 R'
U' L2 R2 B R' L F2
U' L2 R2 B R' F2 L
U' L2 R2 B F2 L R'
U' L2 R2 B F2 R' L
F' R U' B L U' R'
U' R F2 R B L R'
U' R F2 R B R' L
L' U' R2 F2 B L R'
L' U' R2 F2 B R' L
L' U' R2 B L R' F2
L' U' R2 B L F2 R'
L' U' R2 B R' L F2
L' U' R2 B R' F2 L
L' U' R2 B F2 L R'
L' U' R2 B F2 R' L
L2 U' R2 F2 B L R'
L2 U' R2 F2 B R' L
L2 U' R2 B L R' F2
L2 U' R2 B L F2 R'
L2 U' R2 B R' L F2
L2 U' R2 B R' F2 L
L2 U' R2 B F2 L R'
L2 U' R2 B F2 R' L
L U' R2 F2 B L R'
L U' R2 F2 B R' L
L U' R2 B L R' F2
L U' R2 B L F2 R'
L U' R2 B R' L F2
L U' R2 B R' F2 L
L U' R2 B F2 L R'
L U' R2 B F2 R' L
U' R' F2 R' B L R'
U' R' F2 R' B R' L
U' R' F2 B L R' B
U' R' F2 B R' L B
U' R' B L R' F2 B
U' R' B L R' B F2
U' R' B L F2 R' B
U' R' B R' L F2 B
U' R' B R' L B F2
U' R' B R' F2 L B
U' R' B F2 L R' B
U' R' B F2 R' L B
U' R2 L F2 B L R'
U' R2 L F2 B R' L
U' R2 L B L R' F2
U' R2 L B L F2 R'
U' R2 L B R' L F2
U' R2 L B R' F2 L
U' R2 L B F2 L R'
U' R2 L B F2 R' L
U' R2 L' F2 B L R'
U' R2 L' F2 B R' L
U' R2 L' B L R' F2
U' R2 L' B L F2 R'
U' R2 L' B R' L F2
U' R2 L' B R' F2 L
U' R2 L' B F2 L R'
U' R2 L' B F2 R' L
U' R2 L2 F2 B L R'
U' R2 L2 F2 B R' L
U' R2 L2 B L R' F2
U' R2 L2 B L F2 R'
U' R2 L2 B R' L F2
U' R2 L2 B R' F2 L
U' R2 L2 B F2 L R'
U' R2 L2 B F2 R' L
U2 R2 U F2 B L R'
U2 R2 U F2 B R' L
U2 R2 U B L R' F2
U2 R2 U B L F2 R'
U2 R2 U B R' L F2
U2 R2 U B R' F2 L
U2 R2 U B F2 L R'
U2 R2 U B F2 R' L
U R2 U2 F2 B L R'
U R2 U2 F2 B R' L
U R2 U2 B L R' F2
U R2 U2 B L F2 R'
U R2 U2 B R' L F2
U R2 U2 B R' F2 L
U R2 U2 B F2 L R'
U R2 U2 B F2 R' L
U' R2 F B R' F L
U' R2 F' B L F' R'
U' R2 F2 L B L R'
U' R2 F2 L B R' L
U' R2 F2 L' B L R'
U' R2 F2 L' B R' L
U' R2 F2 L2 B L R'
U' R2 F2 L2 B R' L
U R2 F' L' F' B R'
U R2 F' L' B F' R'
U' R2 F2 B L R' D
U' R2 F2 B L R' D'
U' R2 F2 B L R' D2
U' R2 F2 B L D R'
U' R2 F2 B L D' R'
U' R2 F2 B L D2 R'
U' R2 F2 B R' L D
U' R2 F2 B R' L D'
U' R2 F2 B R' L D2
U' R2 F2 B R' D L
U' R2 F2 B R' D' L
U' R2 F2 B R' D2 L
U' R2 F2 B D L R'
U' R2 F2 B D R' L
U' R2 F2 B D' L R'
U' R2 F2 B D' R' L
U' R2 F2 B D2 L R'
U' R2 F2 B D2 R' L
U' R2 B L R F2 R2
U' R2 B L R' F2 D
U' R2 B L R' F2 D'
U' R2 B L R' F2 D2
U' R2 B L F R' F
U R2 F' B L' F' R'
U' R2 B L F2 R' D
U' R2 B L F2 R' D'
U' R2 B L F2 R' D2
U' R2 B L F2 D R'
U' R2 B L F2 D' R'
U' R2 B L F2 D2 R'
U' R2 B L' R' F2 L2
U' R2 B L' F2 L2 R'
U' R2 B L' F2 R' L2
U' R2 B R L F2 R2
U' R2 B R F2 L R2
U' R2 B R F2 R2 L
U' R2 B R' L F2 D
U' R2 B R' L F2 D'
U' R2 B R' L F2 D2
U' R2 B R' L' F2 L2
U' R2 B R' F' L F'
U' R2 B R' F2 L D
U' R2 B R' F2 L D'
U' R2 B R' F2 L D2
U' R2 B R' F2 D L
U' R2 B R' F2 D' L
U' R2 B R' F2 D2 L
U' R2 B F R' F L
U' R2 B F' L F' R'
U' R2 B F2 L R' D
U' R2 B F2 L R' D'
U' R2 B F2 L R' D2
U' R2 B F2 L D R'
U' R2 B F2 L D' R'
U' R2 B F2 L D2 R'
U' R2 B F2 R' L D
U' R2 B F2 R' L D'
U' R2 B F2 R' L D2
U' R2 B F2 R' D L
U' R2 B F2 R' D' L
U' R2 B F2 R' D2 L
