D' L2 R2 F' R
D' R2 L2 F' R
D' R2 F' L2 R
D' R2 F' R L2
D' L R2 F' L R
D' L R2 F' R L
D' L2 R F' R F'
D' L2 R2 F' R D
D' L2 R2 F' R D'
D' L2 R2 F' R D2
D' L2 R2 F' D R
D' L2 R2 F' D' R
D' L2 R2 F' D2 R
D' L2 F' R2 F' R'
D' R L2 F' R F'
D' R F' L2 R F'
D' R F' R L2 F'
D' R F' R F' L2
D' R2 L F' L R
D' R2 L F' R L
D' R2 L2 F' R D
D' R2 L2 F' R D'
D' R2 L2 F' R D2
D' R2 L2 F' D R
D' R2 L2 F' D' R
D' R2 L2 F' D2 R
D2 R2 D L2 F' R
D2 R2 D F' L2 R
D2 R2 D F' R L2
D' R2 F' L2 R D
D' R2 F' L2 R D'
D' R2 F' L2 R D2
D' R2 F' L2 D R
D' R2 F' L2 D' R
D' R2 F' L2 D2 R
D' R2 F' R L2 D
D' R2 F' R L2 D'
D' R2 F' R L2 D'
D' R2 F' R L2 D2
U' R2 F2 U F R
L' D' L2 R2 F' R
U2 D B R2 U2 R
L' D' R2 L2 F' R
L D' L2 R2 F' R
L2 D' L2 R2 F' R
L' D' R2 F' L2 R
L' D' R2 F' R L2
L D' R2 L2 F' R
L2 D' R2 L2 F' R
L D' R2 F' L2 R
L D' R2 F' R L2
L2 D' R2 F' L2 R
L2 D' R2 F' R L2
D U2 B R2 U2 R
D' F' L2 R2 F' R'
D' F' R2 L2 F' R'
D' F' R2 F' L2 R'
D' F' R2 F' R' L2
D B R2 U2 R B'
D B R2 U2 B' R
D' L R F' L R F'
D' L R F' R L F'
D' L R F' R F' L
D' L R2 F' L R D
D' L R2 F' L R D'
D' L R2 F' L R D2
D' L R2 F' L D R
D' L R2 F' L D' R
D' L R2 F' L D2 R
D' L R2 F' R L D
D' L R2 F' R L D'
D' L R2 F' R L D2
D' L R2 F' R D L
D' L R2 F' R D' L
D' L R2 F' R D2 L
D' L R2 F' D L R
D' L R2 F' D R L
D' L R2 F' D' L R
D' L R2 F' D' R L
D' L R2 F' D2 L R
D' L R2 F' D2 R L
D L U2 B R2 U2 R
U2 L D B R2 U2 R
D L D2 L2 R2 F' R
D L D2 R2 L2 F' R
D L D2 R2 F' L2 R
D L D2 R2 F' R L2
D' L F L D2 R2 F'
D' L F' L R2 F' R'
D' L F' R2 L F' R'
D' L F' R2 F' L R'
D' L F' R2 F' R' L
D L B R2 U2 R B'
D L B R2 U2 B' R
D2 L' R2 F' D L2 R2
D2 L' R2 F' D R2 L2
D L' U2 B R2 U2 R
U2 L' D B R2 U2 R
D L' D2 L2 R2 F' R
D L' D2 R2 L2 F' R
D L' D2 R2 F' L2 R
D L' D2 R2 F' R L2
D2 L' F' D L2 R2 F'
D2 L' F' D R2 L2 F'
D2 L' F' D R2 F' L2
D L' B R2 U2 R B'
D L' B R2 U2 B' R
D' L2 R F' R D F'
D' L2 R F' R D' F'
D' L2 R F' R D2 F'
D' L2 R F' R F' D
D' L2 R F' R F' D'
D' L2 R F' R F' D2
D' L2 R' F' R' F' R2
D' L2 R2 F R F2 R
D' L2 R2 F R' F2 R
D' L2 R2 F R2 F2 R
D' L2 R2 F' R2 D R'
D' L2 R2 F' R2 D' R'
D' L2 R2 F' R2 D2 R'
D' L2 R2 F' D R D
D' L2 R2 F' D R D'
D' L2 R2 F' D R D2
D' L2 R2 F' D' R D
D' L2 R2 F' D' R D'
D' L2 R2 F' D' R D2
D' L2 R2 F' D2 R D
D' L2 R2 F' D2 R D'
D' L2 R2 F' D2 R D2
D' L2 R2 F' B R B'
D' L2 R2 F' B2 R B2
D' L2 R2 F2 R F R
D' L2 R2 F2 R' F R
D' L2 R2 F2 R2 F R
D' L2 R2 F2 D F R
D' L2 R2 F2 D' F R
D' L2 R2 F2 D2 F R
D' L2 R2 B F' R B'
D' L2 R2 B2 F' R B2
D' L2 U' R2 U F' R
D' L2 U2 D2 B U2 R'
D L2 U2 B R2 U2 R
U2 L2 D B R2 U2 R
D' L2 D' R2 D F' R
B L2 D' F L' U2 L'
D' L2 D2 R2 D2 F' R
D L2 D2 L2 R2 F' R
D' L2 D2 U2 B U2 R'
D L2 D2 R2 L2 F' R
D L2 D2 R2 F' L2 R
D L2 D2 R2 F' R L2
D' L2 F R F2 R F'
D' L2 F R2 F2 R F
D' L2 F U2 L' B U2
D' L2 F U2 B L' U2
D' L2 F' R2 D F' R'
D' L2 F' R2 D' F' R'
D' L2 F' R2 D2 F' R'
D' L2 F' R2 F R' F2
D' L2 F' R2 F' R' D
D' L2 F' R2 F' R' D'
D' L2 F' R2 F' R' D2
D' L2 F' R2 F' D R'
D' L2 F' R2 F' D' R'
D' L2 F' R2 F' D2 R'
D' L2 F' R2 F2 R' F
D' L2 F' U2 B U2 R
D' L2 F' D R2 F' R'
D' L2 F' D' R2 F' R'
D' L2 F' D2 R2 F' R'
D' L2 F2 R F R F'
D' L2 F2 R2 F R F2
D' L2 F2 U2 B L U2
D L2 B R2 U2 R B'
D L2 B R2 U2 B' R
D' L2 B' D2 F2 B R'
D' L2 B' D2 B R' F2
D' L2 B' D2 B F2 R'
D' R L F' L R F'
D' R L F' R L F'
D' R L F' R F' L
D' R L2 F' R D F'
D' R L2 F' R D' F'
D' R L2 F' R D2 F'
D' R L2 F' R F' D
D' R L2 F' R F' D'
D' R L2 F' R F' D2
D R D2 F2 L' F R
D' R F' L R F' L
D' R F' L2 R D F'
D' R F' L2 R D' F'
D' R F' L2 R D2 F'
D' R F' L2 R F' D
D' R F' L2 R F' D'
D' R F' L2 R F' D2
D' R F' R L F' L
D' R F' R L2 D F'
D' R F' R L2 D' F'
D' R F' R L2 D2 F'
D' R F' R L2 F' D
D' R F' R L2 F' D'
D' R F' R L2 F' D2
D' R F' R F L2 F2
D' R F' R F' L2 D
D' R F' R F' L2 D'
D' R F' R F' L2 D2
D' R F2 L2 F R F'
R U' R F2 U F R
L' U' R2 F2 U F R
L2 U' R2 F2 U F R
L U' R2 F2 U F R
D' R' L2 F' R' F' R2
R' U' F2 B U2 L U'
R' U' F2 B' R' B2 U
B R' U F2 B U B2
B R' U B F2 U B2
R2 U' F2 B' U R' F
R2 U' F2 B' U F R'
R' U' B F2 U2 L U'
R' U' B' R' F2 B2 U
R' U' B' R' B2 F2 U
D2 R' D L2 R' F' R
D2 R' D R' L2 F' R
D2 R' D R' F' L2 R
D2 R' D R' F' R L2
R' U' B' F2 R' B2 U
B R' U2 B' D' L2 R2
B R' U2 B' D' R2 L2
R2 U' B' F2 U R' F
R2 U' B' F2 U F R'
D' R' F' L2 R' F' R2
D' R' F' R' L2 F' R2
D' R' F' R' F' L2 R2
D' R' F' R' F' R2 L2
U' R' F2 B R' U F'
U' R' B R' F2 U F
F2 R' B R' U F' B'
F2 R' B R' U B' F'
U' R' B F2 R' U F'
L' U2 D B R2 U2 R
B R' B' D' L2 R2 F'
B R' B' D' R2 L2 F'
B R' B' D' R2 F' L2
L2 U2 D B R2 U2 R
L U2 D B R2 U2 R
D' R2 L F' L R D
D' R2 L F' L R D'
