B' L2 F' R' B U
F' L2 B' R' B U
L2 F' B' R' B U
F' B' L2 R' B U
B' F' L2 R' B U
F' B' R' L2 B U
B' F' R' L2 B U
F' B' R' B L2 U
B' F' R' B L2 U
L2 B' F' R' B U
L2 R U2 F' L' B' U'
F' L D2 L B' R' U
B' L F' L R' B U
B' L F' R' L B U
F' L B' R' B L U
D2 L' R2 F B L U'
D2 L' R2 B F L U'
F' L' B' L' R' B U
R L2 U2 F' L' B' U'
F' L' B' R' L' B U
F' L' B' R' B L' U
F' L2 R U2 F' L' U'
F' L2 R' B U2 L U'
F' L2 R' B' R' B2 U
D2 L2 R2 B L F U'
F' L2 U D' R' F' R
F' L2 D' U R' F' R
B' L2 D' F' R' U R2
B2 L2 D' F' U R F'
B' L2 F R' F2 B U
B' L2 F R' B F2 U
B' L2 F' R' D B U
B' L2 F' R' D' B U
B' L2 F' R' D2 B U
B' L2 F' R' B U D
B' L2 F' R' B U D'
B' L2 F' R' B U D2
B' L2 F' R' B D U
B' L2 F' R' B D' U
B' L2 F' R' B D2 U
B2 L2 F' R' B R' U
U L2 F' R' B U F'
B2 L2 F' B R' B U
B' L2 F2 R' F B U
B' L2 F2 R' B F U
F L2 F2 B' R' B U
B2 L2 B F' R' B U
F' L2 B' R' D B U
F' L2 B' R' D' B U
F' L2 B' R' D2 B U
F' L2 B' R' B U D
F' L2 B' R' B U D'
F' L2 B' R' B U D2
F' L2 B' R' B D U
F' L2 B' R' B D' U
F' L2 B' R' B D2 U
F L2 B' R' F2 B U
F L2 B' R' B F2 U
F' L2 B2 R' B R' U
F L2 B' F2 R' B U
F' R L2 U2 F' L' U'
F R F2 L2 B' R' U
F' R' L2 B U2 L U'
F' R' L2 B' R' B2 U
F' R' B L2 U2 L' U'
F R' B L2 F2 R U
F' R' B' L2 R' B2 U
F' R' B' R' L2 B2 U
F' R' B' R' B2 L2 U
D2 R2 L' F B L U'
D2 R2 L' B F L U'
D2 R2 L2 B L F U'
D2 R2 D' B L U' R'
D2 R2 B L U2 B' U
D2 R2 B L' F L2 U'
B' U L2 F' R' B U
F' U D' R' F' R B2
F' U D' R' F' B2 R
F' U D' R' B2 F' R
F' U D' B2 R' F' R
B' U F' L2 R' B U
B' U F' R' L2 B U
B' U F' R' B L2 U
B' U' L2 F' R' B U
L2 D' F' R2 U R' F'
L2 D' F' U R' F' R2
L2 D' F' B' R' U R2
L2 D' B' F' R' U R2
L D2 L F' B' R' U
L D2 L B' F' R' U
B' U' F' L2 R' B U
B' U' F' R' L2 B U
B' U' F' R' B L2 U
B' U2 L2 F' R' B U
L D2 F' L B' R' U
B' U2 F' L2 R' B U
B' U2 F' R' L2 B U
B' U2 F' R' B L2 U
U2 F R F2 L2 B' U
L2 F B' R' F2 B U
L2 F B' R' B F2 U
L F' L B' R' B U
U2 F' L2 B2 R' B U
U F' L2 R' B U F'
L2 F' R U2 F' L' U'
D' F' R2 U R' F' B2
D' F' R2 U R' B2 F'
L2 F' R' B U2 L U'
L2 F' R' B' R' B2 U
U F' R' L2 B U F'
D' F' U R' F' R2 B2
D' F' U R' F' B2 R2
D' F' U R' B2 F' R2
D F' R2 U B R' F'
U F' R' B L2 U F'
D' F' U B2 R' F' R2
L2 F' U D' R' F' R
D' F' U' R B2 L F
L2 F' D' U R' F' R
L F' D2 L B' R' U
D' F' B' R' U R2 B'
D' F' B' R' U B' R2
L2 F' B' R' D B U
L2 F' B' R' D' B U
L2 F' B' R' D2 B U
L2 F' B' R' B U D
L2 F' B' R' B U D'
L2 F' B' R' B U D2
L2 F' B' R' B D U
L2 F' B' R' B D' U
L2 F' B' R' B D2 U
F' D' U R' F' R B2
F' D' U R' F' B2 R
F' D' U R' B2 F' R
F' D' U B2 R' F' R
L2 F' B2 R' B R' U
L F' B' R' B L U
B' D' F' R' U R2 B2
B' D' F' R' U B2 R2
B2 D' F' U R F' B2
B2 D' F' U R B2 F'
B2 D' F' U B2 R F'
R F2 L2 B' R' F' U
L2 F2 B' R' F B U
L2 F2 B' R' B F U
R' B L2 F2 R F' U
B' F L2 R' F2 B U
B' F L2 R' B F2 U
B' F L2 F2 R' B U
B' F R' L2 F2 B U
B' F R' L2 B F2 U
B' F R' F2 L2 B U
B' F R' F2 B L2 U
B' F R' B L2 F2 U
B' F R' B F2 L2 U
L' B' L' F' R' B U
R' B' R' B2 L2 F U
B' F' L' R' B L' U
F' B' L' R' B L' U
B' F' L2 R' D B U
B' F' L2 R' D' B U
B' F' L2 R' D2 B U
B' F' L2 R' B U D
B' F' L2 R' B U D'
B' F' L2 R' B U D2
B' F' L2 R' B D U
B' F' L2 R' B D' U
