F' L D2 R2 B L
F R' F2 R2 B L
F' R2 B L D2 R2
F' U2 L' F' U2 L'
F2 U2 F' L' R F2
F2 U2 F' R L' F2
U2 F2 U2 F L' R
U2 F2 U2 F R L'
F' B L D2 R2 B
B F' L D2 R2 B
F L R F2 B L B'
F L R B L F2 B'
F L R B L B' F2
F L R B F2 L B'
F' L R2 D2 B L R2
F' L R2 D2 B R2 L
F' L R2 B D2 L R2
F' L R2 B D2 R2 L
F' L U2 L2 F' U2 L'
F' L U2 F' L2 U2 L
F2 L U2 F' L' R F
F2 L U2 F' R L' F
B L U2 F2 U2 F R
F' L D2 L R2 B L
F' L D2 L' R2 B L
F' L D2 L2 R2 B L
F' L D2 R2 L B L
F' L D2 R2 L' B L
F' L D2 R2 L2 B L
F' L D2 R2 D B L
F' L D2 R2 D' B L
F' L D2 R2 D2 B L
F' L D2 R2 B L D
F' L D2 R2 B L D'
F' L D2 R2 B L D2
F' L D2 R2 B D L
F' L D2 R2 B D' L
F' L D2 R2 B D2 L
F' L D2 B L R2 B
B L D2 F R F2 B2
B L D2 F R B2 F2
F' L D2 B R2 L B
B L D2 F B2 R F2
B L D2 B2 F R F2
B L F R' F2 R2 B
F' L F' L2 B' R' U2
B L F' U2 L' F' U2
U2 L F2 U2 F L' R
U2 L F2 U2 F R L'
F L B L R F2 B'
F L B L R B' F2
F L B L B' R F2
F L B R L F2 B'
F L B R L B' F2
F L B R F2 L B'
F' L B D2 L R2 B
F' L B D2 R2 L B
F2 L' U2 R' F' L' R
F2 L' U2 R' F' R L'
B L' F L2 R F2 B'
B L' F L2 R B' F2
B L' F L2 B' R F2
B L' F R L2 F2 B'
B L' F R L2 B' F2
F' L' F' U2 F' L' F2
F' L' F' B U2 F L
F' L' F' B' R' U2 F
U2 L' F2 U2 F L' R
U2 L' F2 U2 F R L'
F' L' B F' U2 F L
F' L' B' F' R' U2 F
F L2 R F2 B L B2
F L2 R B L F2 B2
F L2 R B L B2 F2
F L2 R B F2 L B2
F L2 R' B' R2 F2 L'
F' L2 R2 B2 R' B' L
F' L2 U2 L F' U2 L'
F' L2 U2 F' L U2 L2
F2 L2 D2 B' L R' U2
F2 L2 D2 B' R' L U2
U2 L2 F2 U2 F L' R
U2 L2 F2 U2 F R L'
F' L2 B L R2 B R'
F' L2 B R2 L B R'
F L2 B L R F2 B2
F L2 B L R B2 F2
F L2 B L B2 R F2
F L2 B R L F2 B2
F L2 B R L B2 F2
F L2 B R F2 L B2
F L2 B' R F2 D2 L2
F L2 B' R2 F2 L' R'
F L2 B' R2 F2 R' L'
F R L F2 B L B'
F R L B L F2 B'
F R L B L B' F2
F R L B F2 L B'
F R L2 F2 B L B2
F R L2 B L F2 B2
F R L2 B L B2 F2
F R L2 B F2 L B2
F2 R U2 F' L' R F2
F2 R U2 F' R L' F2
F R U2 F R U2 F
F' R F2 R F2 B L
F' R F2 R B L F2
F' R F2 R B F2 L
F R F2 R2 B L R2
F R F2 R2 B R2 L
F R F2 U2 F' U2 L'
F R B L2 B' L' F2
F R B2 L2 F2 B' L
F R B2 L2 B' L F2
F R B2 L2 B' F2 L
F R' L2 B' R2 F2 L'
F2 R' U2 F' L' R F2
F2 R' U2 F' R L' F2
B' R' F2 U2 R F' R
B' R' F2 U2 F' R F'
F R' F2 L R2 B L
F R' F2 L' R2 B L
F R' F2 L2 R2 B L
F R' F2 R2 L B L
F R' F2 R2 L' B L
F R' F2 R2 L2 B L
F R' F2 R2 D B L
F R' F2 R2 D' B L
F R' F2 R2 D2 B L
F R' F2 R2 B L D
F R' F2 R2 B L D'
F R' F2 R2 B L D2
F R' F2 R2 B D L
F R' F2 R2 B D' L
F R' F2 R2 B D2 L
F R' F2 B L R2 B
F R' F2 B R2 L B
F R' B F2 L R2 B
F R' B F2 R2 L B
F' R2 L D2 B L R2
F' R2 L D2 B R2 L
F' R2 L B D2 L R2
F' R2 L B D2 R2 L
F' R2 L2 B2 R' B' L
L' U2 F2 U2 F L' R
L' U2 F2 U2 F R L'
L2 U2 F2 U2 F L' R
L2 U2 F2 U2 F R L'
