U2 L F U R F U
B L2 F2 R U B R'
F2 R U B2 R' F' B'
F2 R U B2 R' B' F'
F2 R U' L U2 F B
F2 R U' L U2 B F
B' R D' B L2 F2 R
B' R B D' L2 F2 R
F2 R' U' L F' U2 F2
F2 R' U' F' L U2 F
F2 R2 U B2 R' F' B
F2 R2 U B2 R' B F'
B2 D' L2 R F' B R2
B2 D' L2 R B F' R2
B2 D' R L2 F' B R2
B2 D' R L2 B F' R2
B2 D' R F' L2 B R2
B2 D' R F' B L2 R2
B2 D' R F' B R2 L2
B2 D' R B L2 F' R2
B2 D' R B F' L2 R2
B2 D' R B F' R2 L2
L2 F2 R2 U R' F' B
L2 F2 R2 U R' B F'
R' F2 U' F L U2 F
R2 F2 U B2 R' F' B
R2 F2 U B2 R' B F'
R F2 U B2 R' F' B'
R F2 U B2 R' B' F'
R F2 U' L U2 F B
R F2 U' L U2 B F
L2 F2 B' R' U R2 B
L2 B' F2 R' U R2 B
