F' R B' U' F' R' U2
U R' F' B' R U B2
F' R' B L D' R2 F2
F' R' B L D' F2 R2
F' R' B D' L R2 F2
F' R' B D' L F2 R2
F' R' B D' R2 L F2
F' R' B D' R2 F2 L
F' R' B D' F2 L R2
F' R' B D' F2 R2 L
F2 R' B' U B2 L F
U R' B' F' R U B2
R2 F' R B' U B2 L
R' F2 B' U B2 L F
R' B L2 D' L' R2 F
R' B L2 D' L' F R2
R' B L2 D' R2 L' F
R' B D' L' R2 F L2
R' B D' L' F L2 R2
R' B D' L' F R2 L2
R' B D' R2 L' F L2
D B' L U' R' B U2
B' F' R U' R2 U2 B
B' F' R U' F' R2 U2
F' B' R U' R2 U2 B
F' B' R U' F' R2 U2
F2 B' U' R' U2 F' B
F2 B' U' R' U2 B F'
R' B' F2 U B2 L F
B' F2 U' R' U2 F' B
B' F2 U' R' U2 B F'
