R B U F2 L' B'
U L R2 F U2 R F
U L F R2 U2 R' F
U L F R2 U2 F R'
L' R B U F2 L' B'
L R B U F2 L' B'
L2 R B U F2 L' B'
R L B U F2 L' B'
U L' R2 U2 F2 B' R'
U L' R2 U2 B' R' F2
U L' R2 U2 B' F2 R'
F' L' U F R F2 L'
F' L' U' R2 B L U2
F' L' D' F2 U F R
R L' B U F2 L' B'
U L' D2 B' L2 F R
R L2 B U F2 L' B'
R U F2 L' B' D' R2
U R F R F L' B'
U' R F2 L' B' R' B2
R2 U' R F' U' F' B
R2 U' R F' U' B F'
U' R F2 B L' D2 R2
U' R F2 B' L' R' B2
U' R F2 B' R' L' B2
U' R F2 B' R' B2 L'
U' R B L2 F2 L' R
U' R B L2 F2 R L'
B' R B U F2 L' B'
B2 R B U F2 L' B'
B R B U F2 L' B'
U' R B F2 L' D2 R2
U' R B' F2 L' R' B2
U' R B' F2 R' L' B2
U' R B' F2 R' B2 L'
F R' F D B2 L R2
F R' F D B2 R2 L
F R' F' R2 U' F2 L'
U R2 L F U2 R F
U R2 L' U2 F2 B' R'
U R2 L' U2 B' R' F2
U R2 L' U2 B' F2 R'
R U2 B L U F2 L'
U R2 F U2 R F B
U R2 F U2 R B F
U R2 F' L' U2 F' B'
U R2 F' L' U2 B' F'
U' R2 B' R' F2 L' B
U' R2 B' R' F2 B L'
U' R2 B' R' B F2 L'
U' R2 B' U2 R' F2 B
U' R2 B' U2 R' B F2
U' R2 B' U2 F2 R' B
U F R F2 L' F' B'
U F R F2 L' B' F'
R2 F U' R F' U' F2
U F' L' R2 B U2 B2
U F' R2 L' B U2 B2
U F' R2 B L' U2 B'
F' D' L' F2 U F R
R B L U F2 L' B'
R B L' U F2 L' B'
R B L2 U F2 L' B'
R B U L' F2 B' L'
R B U L' B' F2 L'
R B U F2 L' D B'
R B U F2 L' D' B'
R B U F2 L' D2 B'
R B U F2 L' B' D
R B U F2 L' B' D'
R B U F2 L' B' D2
R B U F2 D L' B'
R B U F2 D' L' B'
R B U F2 D2 L' B'
R B U F2 B L' B'
R B U F2 B' L' B'
R B U F2 B2 L' B'
R B U B F2 L' B'
R B U B' F2 L' B'
R B U B2 F2 L' B'
R B U' R U2 F2 B
R B U' R U2 B F2
U' B' R F2 L' B R2
U' B' R F2 B L' R2
U' B' R F2 B R2 L'
U' B' R B F2 L' R2
U' B' R B F2 R2 L'
U' B2 R F2 L' B R'
U' B2 R F2 B L' R'
U' B2 R F2 B R' L'
U' B2 R B F2 L' R'
U' B2 R B F2 R' L'
