B2 U L2 B' L R'
B2 U L2 B' R' L
B U L2 B' L' R'
B U L2 B' R' L'
B' U' R' F U2 R
B' U' F R' U2 R2
B U' F U2 L R
B U' F U2 R L
B' L' B' L' U B' L
B2 L' B' L' U B' L2
B L' B' L' U B' L'
F' L' B' U D2 B2 L
F' L' B' U' R' F2 U2
F' L' B' U' F2 R' U2
F2 L' B' U' F' R' U2
F' L' B' D2 U B2 L
U L2 R B' R' D L2
U L2 R B' D L2 R'
U L2 R B' D R' L2
U L2 R2 D B' L R'
U L2 R2 D B' R' L
U' L2 U2 D' B' L R'
U' L2 U2 D' B' R' L
U' L2 D' U2 B' L R'
U' L2 D' U2 B' R' L
U L2 B' R' U' F' U
U R L2 B' R' D L2
U R L2 B' D L2 R'
U R L2 B' D R' L2
U R B' R' D L2 B'
U R B' D L2 R' B'
U R B' D R' L2 B'
U2 R' F' U F2 R U2
U2 R' F' U' L' D2 B2
U2 R' F' U' D2 L' B2
U2 R' F' U' D2 B2 L'
U2 R' F' D R2 U' L'
U2 R' F' D2 U' L' B2
U2 R' F' D2 U' B2 L'
U R2 L2 D B' L R'
U R2 L2 D B' R' L
U R2 D L2 B' L R'
U R2 D L2 B' R' L
B2 U L B' L R' B'
B2 U L B' R' L B'
B U L D2 B' R' B
B U L B' D2 R' B
B2 U L2 R B' L R'
B2 U L2 R B' R' L
B2 U L2 R' B' L R'
B2 U L2 R' B' R' L
B2 U L2 R2 B' L R'
B2 U L2 R2 B' R' L
B U L2 R B' L' R'
B U L2 R B' R' L'
B' U L2 B2 L B R'
B U L2 R' B' L' R'
B U L2 R' B' R' L'
B U L2 R2 B' L' R'
B U L2 R2 B' R' L'
B2 U L2 B' L R' D
B2 U L2 B' L R' D'
B2 U L2 B' L R' D2
B2 U L2 B' L D R'
B2 U L2 B' L D' R'
B2 U L2 B' L D2 R'
B2 U L2 B' R' L D
B2 U L2 B' R' L D'
B2 U L2 B' R' L D2
B2 U L2 B' R' D L
B2 U L2 B' R' D' L
B2 U L2 B' R' D2 L
B2 U L2 B' D L R'
B2 U L2 B' D R' L
B2 U L2 B' D' L R'
B2 U L2 B' D' R' L
B2 U L2 B' D2 L R'
B2 U L2 B' D2 R' L
B U L2 D B' L' R'
B U L2 D B' R' L'
B U L2 D' B' L' R'
B U L2 D' B' R' L'
B2 U R L2 B' L R'
B2 U R L2 B' R' L
B U L2 D2 B' L' R'
B U L2 D2 B' R' L'
B' U R D2 L2 B' R'
B U L2 B' L' R' D
B U L2 B' L' R' D'
B U L2 B' L' R' D2
B U L2 B' L' D R'
B U L2 B' L' D' R'
B U L2 B' L' D2 R'
B U L2 B' R' L' D
B U L2 B' R' L' D'
B U L2 B' R' L' D2
B U L2 B' R' D L'
B U L2 B' R' D' L'
B U L2 B' R' D2 L'
B U L2 B' D L' R'
B U L2 B' D R' L'
B U L2 B' D' L' R'
B U L2 B' D' R' L'
B U L2 B' D2 L' R'
B U L2 B' D2 R' L'
B U L2 B2 L' B R'
B U R L2 B' L' R'
B U R L2 B' R' L'
B2 U R' L2 B' L R'
B2 U R' L2 B' R' L
B U R' L2 B' L' R'
B U R' L2 B' R' L'
B2 U R2 L2 B' L R'
B2 U R2 L2 B' R' L
B U R2 L2 B' L' R'
B U R2 L2 B' R' L'
B U D L2 B' L' R'
B U D L2 B' R' L'
B U D' L2 B' L' R'
B U D' L2 B' R' L'
B U D2 L2 B' L' R'
B U D2 L2 B' R' L'
B' U B' L2 R' B' L
B' U B' R' L2 B' L
B2 U B' L D2 R' B
B2 U B' L2 R' B' L'
B2 U B' R' L2 B' L'
B' U' L2 R' U2 B' R'
B2 U' L2 U2 B' L R'
B2 U' L2 U2 B' R' L
B U' L2 U2 B' L' R'
B U' L2 U2 B' R' L'
B' U' R F R2 U2 R'
B' U' R' L2 U2 B' R'
B' U' R' D F U2 R
B' U' R' D' F U2 R
B' U' R' D2 F U2 R
B' U' R' F L U2 R
B' U' R' F L' U2 R
B' U' R' F L2 U2 R
B' U' R' F U2 R D
B' U' R' F U2 R D'
B' U' R' F U2 R D2
B' U' R' F U2 D R
B' U' R' F U2 D' R
B' U' R' F U2 D2 R
B' U' R' F D U2 R
B' U' R' F D' U2 R
B' U' R' F D2 U2 R
B' U' R' F' L' F2 U2
B U' R F U2 L R
B U' R F U2 R L
L2 D' B U L R' B2
L2 D' B U R' L B2
B U' R' F U2 L R
B U' R' F U2 R L
B' U' D R' F U2 R
B' U' D F R' U2 R2
B U' R2 F U2 L R
B U' R2 F U2 R L
B' U' D' R' F U2 R
B' U' D' F R' U2 R2
B U' D F U2 L R
B U' D F U2 R L
B' U' D2 R' F U2 R
B' U' D2 F R' U2 R2
B2 U' D2 F U2 L' R
B2 U' D2 F U2 R L'
B U' D' F U2 L R
B U' D' F U2 R L
B' U' F L R' U2 R2
B' U' F L' R' U2 R2
B' U' F L2 R' U2 R2
B' U' F R' L U2 R2
B' U' F R' L' U2 R2
B' U' F R' L2 U2 R2
