U' L2 U2 D' B' L
U' L2 D' U2 B' L
B' U' L2 R' U2 B'
B2 U' L2 U2 B' L
B U' L2 U2 B' L'
B' U' R' L2 U2 B'
B' U' R' F L2 U2
B' U' F L2 R' U2
B' U' F R' L2 U2
B U' F L2 U2 L'
D' B2 L2 U B' L
D' B2 U L2 B' L
L2 R U R' F' U B'
B' L U B2 L R' B'
B' L U B2 R' L B'
B2 L U B' L B' R'
B' L U' L R' U2 B'
B2 L U' L U2 B' L
B' L U' R' L U2 B'
D2 L B U L R2 B'
D2 L B U L B' R2
D2 L B U R2 L B'
D' L B2 L U B' L
D' L B2 U L B' L
D' L B2 U B' L B'
B' L B2 U L R' B'
B' L B2 U R' L B'
R L2 U R' F' U B'
D' L' B2 L' U B' L
U' L2 R U2 D' B' L
U' L2 R D' U2 B' L
F L2 R U R' F' U
B' L2 R' U R U B'
U' L2 R' U2 D' B' L
U' L2 R' D' U2 B' L
U' L2 R2 U2 D' B' L
U' L2 R2 D' U2 B' L
D2 L2 U R2 D B' L
F L2 U R' F' U F
F L2 U F U F' L'
U' L2 U2 D' B' L D
U' L2 U2 D' B' L D'
U' L2 U2 D' B' L D2
U' L2 U2 D' B' D L
U' L2 U2 D' B' D' L
U' L2 U2 D' B' D2 L
U' L2 D F U2 B' L'
U' L2 D F' R U2 B'
U' L2 D' R U2 B' L
U' L2 D' R' U2 B' L
U' L2 D' R2 U2 B' L
U' L2 D' U2 B' L D
U' L2 D' U2 B' L D'
U' L2 D' U2 B' L D2
U' L2 D' U2 B' D L
U' L2 D' U2 B' D' L
U' L2 D' U2 B' D2 L
U' L2 D' F U2 B' L
U' L2 D' F' U2 B' L
U' L2 D' F2 U2 B' L
U2 L2 D' B2 U2 B L
U' L2 F U2 D' B' L
U' L2 F D' U2 B' L
U' L2 F' U2 D' B' L
U' L2 F' D' U2 B' L
U' L2 F2 U2 D' B' L
U' L2 F2 D' U2 B' L
D2 L2 B U L R2 B2
D2 L2 B U L B2 R2
D2 L2 B U R2 L B2
L2 U R' F' U F B'
L2 U R' F' U B' F
D2 L2 B' R2 D' F2 L'
F L2 B' R' U R U
D' L2 B2 U B' L B2
L2 U F U F' B' L'
L2 U F U B' F' L'
U' R L2 U2 D' B' L
U' R L2 D' U2 B' L
F R L2 U R' F' U
L2 U B' U' B U L
L U' L U F U B'
B' R' L2 U R U B'
U' R' L2 U2 D' B' L
U' R' L2 D' U2 B' L
U' R2 L2 U2 D' B' L
U' R2 L2 D' U2 B' L
D' R2 D' F2 R2 B L
B' U L B2 L R' B'
B' U L B2 R' L B'
B U L U2 L U2 B'
B2 U L B' L B' R'
B U L D2 B2 R' B
B U L B2 D2 R' B
D2 U L2 R2 D B' L
B' U R D2 L2 R2 B'
B' U R D2 L2 B' R2
B' U R D2 R2 L2 B'
B U L2 B L' B2 R'
B' U R' F L2 U2 F'
D2 U R2 L2 D B' L
D2 U R2 D L2 B' L
B U D2 L2 R2 B' L'
B U D2 L2 B' L' R2
B U D2 L2 B' R2 L'
B U D2 R2 L2 B' L'
U2 D F2 U F' R U2
B U F L2 U2 L' F'
B' U' L2 R' U2 D B'
B' U' L2 R' U2 D' B'
B' U' L2 R' U2 D2 B'
B' U' L2 R' U2 B' D
B' U' L2 R' U2 B' D'
B' U' L2 R' U2 B' D2
B' U' L2 R' D U2 B'
B' U' L2 R' D' U2 B'
B' U' L2 R' D2 U2 B'
B' U' L2 R' F U2 B'
B' U' L2 R' F' U2 B'
B' U' L2 R' F2 U2 B'
B2 U' L2 R U2 B' L
B2 U' L2 R' U2 B' L
B' U' L2 U2 B2 L B
B2 U' L2 R2 U2 B' L
B' U' L2 D R' U2 B'
B' U' L2 D' R' U2 B'
B' U' L2 D2 R' U2 B'
B' U' L2 F R' U2 B'
B2 U' L2 U2 B' L D
B2 U' L2 U2 B' L D'
B2 U' L2 U2 B' L D2
B2 U' L2 U2 B' D L
B2 U' L2 U2 B' D' L
B2 U' L2 U2 B' D2 L
B' U' L2 F' R' U2 B'
B' U' L2 F2 R' U2 B'
F2 U' L2 D F' R U2
B2 U' L2 F U2 B' L
B2 U' L2 F' U2 B' L
B2 U' L2 F2 U2 B' L
B U' L2 R U2 B' L'
B U' L2 R' U2 B' L'
B U' L2 R2 U2 B' L'
B2 U' R L2 U2 B' L
B U' L2 U2 D B' L'
B U' L2 U2 D' B' L'
B U' L2 U2 D2 B' L'
B U' L2 U2 B L' B2
B U' L2 U2 B' L' D
B U' L2 U2 B' L' D'
B U' L2 U2 B' L' D2
B U' L2 U2 B' D L'
B U' L2 U2 B' D' L'
B U' L2 U2 B' D2 L'
B U' L2 U2 B2 L' B
B U' L2 D U2 B' L'
B U' L2 D' U2 B' L'
B' U' R F L2 R2 U2
B' U' R F R2 L2 U2
B U' L2 D2 U2 B' L'
B U' L2 F2 R U2 B'
B' U' R' L2 U2 D B'
B' U' R' L2 U2 D' B'
B' U' R' L2 U2 D2 B'
B' U' R' L2 U2 B' D
B' U' R' L2 U2 B' D'
B' U' R' L2 U2 B' D2
B' U' R' L2 D U2 B'
B' U' R' L2 D' U2 B'
B' U' R' L2 D2 U2 B'
B' U' R' L2 F U2 B'
B' U' R' L2 F' U2 B'
B' U' R' L2 F2 U2 B'
B U' R L2 U2 B' L'
B2 U' R' L2 U2 B' L
R2 D' F2 D' R2 B L
B' U' R' D2 F U2 R2
B' U' R' F L2 U2 D
B' U' R' F L2 U2 D'
B' U' R' F L2 U2 D2
B' U' R' F L2 D U2
B' U' R' F L2 D' U2
B' U' R' F L2 D2 U2
B' U' R' F U2 D2 R2
B' U' R' F D2 U2 R2
B' U' R' F' L2 F2 U2
B U' R F L2 U2 L'
B' U' R' F2 L2 F' U2
B U' R' L2 U2 B' L'
B2 U' R2 L2 U2 B' L
B U' R' F L2 U2 L'
B U' R2 L2 U2 B' L'
B U' R2 F L2 U2 L'
B' U' D2 R' F U2 R'
B' U' D2 F R' U2 R'
B2 U' D2 F U2 L' R2
B2 U' D2 F U2 R2 L'
B' U' F L2 R' U2 D
B' U' F L2 R' U2 D'
B' U' F L2 R' U2 D2
B' U' F L2 R' D U2
B' U' F L2 R' D' U2
B' U' F L2 R' D2 U2
B' U' F L2 D R' U2
B' U' F L2 D' R' U2
B' U' F L2 D2 R' U2
B' U' F R' L2 U2 D
B' U' F R' L2 U2 D'
B' U' F R' L2 U2 D2
B' U' F R' L2 D U2
B' U' F R' L2 D' U2
B' U' F R' L2 D2 U2
B' U' F R' U2 D2 R2
B' U' F R' D2 U2 R2
B U' D2 F U2 L R2
B U' D2 F U2 R2 L
B' U' F D2 R' U2 R'
B' U' F' L2 R' F2 U2
B' U' F' L2 F2 R' U2
B U' F L2 R U2 L'
B U' F L2 R' U2 L'
B U' F L2 R2 U2 L'
B U' F L2 U2 L' D
B U' F L2 U2 L' D'
B U' F L2 U2 L' D2
B U' F L2 U2 D L'
B U' F L2 U2 D' L'
B U' F L2 U2 D2 L'
B U' F L2 D U2 L'
B U' F L2 D' U2 L'
B' U' F' R' L2 F2 U2
B U' F L2 D2 U2 L'
B' U' F' R' F2 L2 U2
B U' F R L2 U2 L'
B U' F R' L2 U2 L'
B U' F R2 L2 U2 L'
B U' F U2 D2 L R2
B U' F U2 D2 R2 L
B U' F D2 U2 L R2
B U' F D2 U2 R2 L
B' U' F2 L2 F' R' U2
B U' F' L2 F2 R U2
U D2 L2 R2 D B' L
U D2 R2 L2 D B' L
U D2 R2 D L2 B' L
D U2 F2 U F' R U2
U2 F L2 R U' L2 U'
U2 F L2 R U2 D F2
U2 F L2 R D U2 F2
U2 F L2 R D' B2 U2
U2 F L2 U2 D F2 L'
U2 F L2 D R U2 F2
U2 F L2 D U2 F2 L'
U2 F L2 D' R B2 U2
U2 F L2 D' B2 R U2
U2 F R L2 U' L2 U'
U2 F R L2 U2 D F2
U2 F R L2 D U2 F2
U2 F R L2 D' B2 U2
R F L2 U R' F' U
U2 F' U L2 F2 U2 L
U2 F' U F2 L2 R U2
U2 F' U F2 R L2 U2
U2 F' U' D2 L' R2 B2
U2 F' U' D2 L' B2 R2
U2 F' U' D2 R2 L' B2
U2 F' U' D2 R2 B2 L'
U2 F' U' D2 B2 L' R2
U2 F' U' D2 B2 R2 L'
B' D' L B2 U L B'
B' D' L2 B2 U L B
B D' L2 B2 U L' B
B D' L2 B2 U B L'
U2 F' D2 U' L' R2 B2
U2 F' D2 U' L' B2 R2
U2 F' D2 U' R2 L' B2
U2 F' D2 U' R2 B2 L'
U2 F' D2 U' B2 L' R2
U2 F' D2 U' B2 R2 L'
U' F2 L2 D F' R U2
F' D' B L2 B U L'
D2 F2 R2 D' F2 B L
D2 F2 R2 D' B L F2
D2 F2 R2 D' B F2 L
D2 F2 R2 B L D' F2
D2 F2 R2 B D' L F2
D2 F2 R2 B D' F2 L
B' D' B2 L2 U B' L'
B' D' B2 U L2 B' L'
B' D' B2 U' F U2 L
U2 F2 U L2 F' R U2
U2 F2 U F' L2 R U2
U2 F2 U F' R L2 U2
B D' B2 U' R' F U2
B D' B2 U' F R' U2
B D2 L2 U R2 B' L'
B D2 L2 U B' L' R2
B D2 L2 U B' R2 L'
D2 F2 B U L R2 B
D2 F2 B U R2 L B
F2 D2 R2 D' F2 B L
F2 D2 R2 D' B L F2
F2 D2 R2 D' B F2 L
F2 D2 R2 B L D' F2
F2 D2 R2 B D' L F2
F2 D2 R2 B D' F2 L
B' D2 U' R' F U2 R'
B' D2 U' F R' U2 R'
B D2 U L2 R2 B' L'
B D2 U L2 B' L' R2
B D2 U L2 B' R2 L'
B2 D2 U' F U2 L' R2
B2 D2 U' F U2 R2 L'
B D2 U R2 L2 B' L'
B D2 U' F U2 L R2
B D2 U' F U2 R2 L
L2 B L' U B2 L2 R'
L2 B L' U B2 R' L2
D2 B L2 U R2 B' L'
D2 B L2 U B' L' R2
D2 B L2 U B' R2 L'
D' B L2 B U L' B2
D' B L2 B U B2 L'
F' D2 B U L B R2
B D2 F2 U L R2 B
B D2 F2 U R2 L B
F2 D2 B U L R2 B
F2 D2 B U R2 L B
D2 B U L2 R2 B' L'
D2 B U L2 B' L' R2
D2 B U L2 B' R2 L'
D2 B U R2 L2 B' L'
L2 B U L B2 D' R2
D2 B U' F U2 L R2
D2 B U' F U2 R2 L
L B U L B R' B2
B' F L2 R' U R U
B' F R' L2 U R U
F' B U L D2 B2 R'
D2 B F2 U L R2 B
D2 B F2 U R2 L B
F' B U D2 L R2 B2
F' B U D2 L B2 R2
F' B U D2 R2 L B2
F2 B U D2 L R2 B
F2 B U D2 R2 L B
F' B U' L2 F2 R U2
F' B U' F2 L2 U2 L'
F2 B U' F' L2 U2 L'
F' B D' L2 B2 U L'
F' B D2 U L R2 B2
F' B D2 U L B2 R2
F' B D2 U R2 L B2
F2 B D2 U L R2 B
F2 B D2 U R2 L B
D2 B' U' R' F U2 R'
