D2 L2 R F U' L2
D2 R L2 F U' L2
U R U2 R B' U
U R U2 B' R U
R U' R B' U B
F2 R2 B' L' U L
U' R2 B2 L B U
B R2 B2 L U L'
D2 U L2 R F U'
D2 U R L2 F U'
F2 U' R2 B' L' U
B U' R2 B2 L U
U D2 L2 R F U'
F2 U' B' L' R2 U
F2 U' B' R2 L' U
U D2 R L2 F U'
D' F2 U' B' L' U
U' B R2 B2 L U
U' B' R2 U2 R' U'
F2 B' L' R2 U L
F2 B' R2 L' U L
R2 B2 L B U L'
B' F2 L' R2 U L
B' F2 R2 L' U L
U L R U2 R B U
F' L R2 U L' B' R'
B' L R2 U2 R' U' L'
U' L R2 U2 R' F' U'
L R U2 R B U L'
R L U2 R B U L'
B L R2 B2 L U L2
L' R F2 L' F U' L2
U L' R F2 L' F U'
B' L' R2 U2 R' U' L
U' L' R2 B2 L B' U
R L' F2 L' F U' L2
U L' D2 L2 R F' U'
U L' D2 R L2 F' U'
U L' D2 R F' L2 U'
B' L' F2 L' R2 U L2
B' L' F2 R2 L' U L2
L2 R2 U2 R' F U' L2
R2 L2 U2 R' F U' L2
L2 R2 U2 F R' U' L2
R2 L2 U2 F R' U' L2
D2 L2 R D' F B2 U'
D2 L2 R D' B2 F U'
D2 L2 R F U' L2 D
D2 L2 R F U' L2 D'
D2 L2 R F U' L2 D2
D' L2 R F U' F L2
D2 L2 R F D' B2 U'
D2 L2 R F B U' L2
D2 L2 R F B' U' L2
D2 L2 R F B2 U' L2
D2 L2 R B F U' L2
D2 L2 R B' F U' L2
D2 L2 R B2 F U' L2
U L2 R F2 L' F' U'
D2 L2 R' F R2 U' L2
B' L2 R2 U2 R' U' L2
U' L2 R2 U2 R' F U'
U' L2 R2 U2 F R' U'
D2 L2 R2 F R' U' L2
B L2 R2 B2 L U L
D2 L2 D' R F B2 U'
D2 L2 D' R B2 F U'
D2 L2 D' B2 R F U'
U L2 D' R F U' F
U L2 D2 R F L2 U'
R2 U L2 R' F U' F'
B' L2 F2 L' R2 U L'
B' L2 F2 R2 L' U L'
R2 U R' L2 F U' F'
D2 L2 B R F U' L2
R' U R2 U2 R B' U
R' U R2 U2 B' R U
D2 L2 B' R F U' L2
D2 L2 B2 R F U' L2
U R L U2 R B U
D2 R L2 D' F B2 U'
D2 R L2 D' B2 F U'
D2 R L2 F U' L2 D
D2 R L2 F U' L2 D'
D2 R L2 F U' L2 D2
D2 R L2 F D' B2 U'
D2 R L2 F B U' L2
D2 R L2 F B' U' L2
D2 R L2 F B2 U' L2
D' R L2 F U' F L2
U R L' F2 L' F U'
D2 R L2 B F U' L2
D2 R L2 B' F U' L2
D2 R L2 B2 F U' L2
U R L2 F2 L' F' U'
F' R U' R B' U B2
F2 R U' R B' L' U
B R U' R B2 U B2
D' R U' B' U F2 B
D' R U' B' U B F2
F' R U' B' R U B
F2 R U' B' L' R U
F2 R U' B' R L' U
B R U' B2 R U B2
B R U2 R B2 U L
U R U2 R D B' U
U R U2 R D' B' U
U R U2 R D2 B' U
U R U2 R B' U D
U R U2 R B' U D'
U R U2 R B' U D2
U R U2 R B' D U
U R U2 R B' D' U
U R U2 R B' D2 U
U R U2 R' B' R2 U
U R U2 D R B' U
U R U2 D B' R U
U R U2 D' R B' U
U R U2 D' B' R U
U R U2 D2 R B' U
U R U2 D2 B' R U
D R D L2 F U' L2
U R U2 B R B2 U
U R U2 B' R U D
U R U2 B' R U D'
U R U2 B' R U D2
U R U2 B' R D U
U R U2 B' R D' U
U R U2 B' R D2 U
U R U2 B' D R U
U R U2 B' D' R U
U R U2 B' D2 R U
D' R D' L2 F U' L2
