U L U' B' L' U'
U L R U' B' L' U'
B2 L R' U R B' U'
R2 L U B' R2 F' U'
B2 L R' U B' R U'
U L R' U' B' L' U'
U L R2 U' B' L' U'
U2 L U L2 F L U
U L U' D B' L' U'
U L U' D' B' L' U'
U L U' D2 B' L' U'
U2 L U' B' U2 L' U
F2 L U' B' U' F2 B
F2 L U' B' U' B F2
U L U' B L' B2 U'
F L U' B' U' F' B
F L U' B' U' B F'
U L U' B' L' U' D
U L U' B' L' U' D'
U L U' B' L' U' D2
U L U' B' L' D U'
U L U' B' L' D' U'
U L U' B' L' D2 U'
U L U' B' D L' U'
U L U' B' D' L' U'
U L U' B' D2 L' U'
U L U' B2 L' B U'
U L D U' B' L' U'
U L D' U' B' L' U'
U L D2 U' B' L' U'
B' L F B' U' F' R'
B' L F' B' U' R' F
B' L F' B' U' F R'
U2 L F2 U' R B' U'
U2 L F2 U' B' R U'
B' L F2 B' U' R' F2
B' L F2 B' U' F2 R'
U L B U' L' B2 U'
U L B U' B2 L' U'
F2 L B' L U' F2 R
F2 L B' U' F2 D R2
U L B' U' L' U' L
B' L B' F U' F' R'
B' L B' F' U' R' F
B' L B' F' U' F R'
B' L B' F2 U' R' F2
B' L B' F2 U' F2 R'
U L B2 U' L' B U'
U L B2 U' B L' U'
U' L' D' F B2 U B2
U' L' D' B2 F U B2
U' L' F D' B2 U B2
L R2 U B' R2 F' U'
F L2 U L' U2 F' L'
F' L2 U B' L' R' U2
F' L2 U B' R' L' U2
F2 L2 U' F' L' F' R
F L2 U' F2 R F L'
L' U L2 U' B' L2 U'
B2 L2 F U' F' L' R'
B2 L2 F U' F' R' L'
F2 L2 F' U' F' L' R
F2 L2 F' U' F' R L'
U R L U' B' L' U'
L U B' U2 B U B'
D' R B' D L B' R'
L' U' D' F B2 U B2
L' U' D' B2 F U B2
B2 R' L U R B' U'
B2 R' L U B' R U'
U R' L U' B' L' U'
L' U' F D' B2 U B2
B2 R' U' F2 L' F U
R' U2 L U' R B' U'
R' U2 L U' B' R U'
R2 U2 L U' R2 B' U'
R2 U2 L U' B' R2 U'
R U2 L U' R' B' U'
L' U2 L2 U L2 F U
U R2 L U' B' L' U'
F' R2 D F B2 L' R'
F' R2 D F B2 R' L'
F' R2 D B2 R' F L'
F' R2 D B2 F L' R'
F' R2 D B2 F R' L'
L' D L2 F2 B' U' F2
L' D L2 B' F2 U' F2
F2 U L U' B' U' F2
F U L U' B' U' F'
R2 D F B2 L' F' R'
L' D F2 U2 F' U F'
R2 D B' D2 B' L R'
R2 D B' D2 B' R' L
R2 D B2 R' F L' F'
R2 D B2 F L' F' R'
L' D' U' F B2 U B2
L' D' U' B2 F U B2
B' U' L' F B' U B
B' U' L' B' F U B
F' U' D F L' D2 R2
R D' B' D L B' R'
L' F U L2 U2 L2 F'
L' F U L2 U2 F' L2
D F U L U2 L2 F'
D F U L U2 F' L2
D F U' L' D2 F' R2
D F U' L' F' D2 R2
L F U' B' U' F' B
L F U' B' U' B F'
B D L' F U' L' F'
F' D U' F L' D2 R2
D F B2 U' L' F' R'
B2 D F U' L' F' R'
F' D B2 U' R' F L'
F' D B2 U' F L' R'
F' D B2 U' F R' L'
L2 F' U' F' L' R F2
L2 F' U' F' R L' F2
L F' U' B' U' F B
L F' U' B' U' B F
R2 F' D F B2 L' R'
R2 F' D F B2 R' L'
R2 F' D B2 R' F L'
R2 F' D B2 F L' R'
R2 F' D B2 F R' L'
L' F' D2 B2 U' R2 F
L' F' D2 B2 U' F R2
L2 F2 L' B' U' R F2
L2 F2 U' R F' L' F'
L F2 U' B' U' F2 B
L F2 U' B' U' B F2
B2 D2 R' U B R U'
L F2 B' L U' F2 R
L F2 B' U' F2 D R2
B' F L B' U' F' R'
B2 F L2 U' F' L' R'
B2 F L2 U' F' R' L'
L B' L F2 U' R F2
L B' L2 D F2 U' F2
F2 B' L B' U' R' F2
F2 B' L B' U' F2 R'
F B' L B' U' F' R'
B2 F' U' R' D F L'
B2 F' U' D R' F L'
B2 F' U' D F L' R'
B2 F' U' D F R' L'
R B' D' B' L R' B
R B' D' B' R' L B
B2 F' D U' R' F L'
B2 F' D U' F L' R'
B2 F' D U' F R' L'
U' B2 L' F U R' B2
L B' F2 L U' F2 R
L B' F2 U' F2 D R2
B' F2 L B' U' R' F2
B' F2 L B' U' F2 R'
D2 B2 R' U B R U'
D' B2 R' U R B U'
F B2 L2 U' F' L' R'
F B2 L2 U' F' R' L'
F' B2 U' R' D F L'
F' B2 U' D R' F L'
F' B2 U' D F L' R'
F' B2 U' D F R' L'
F' B2 D U' R' F L'
F' B2 D U' F L' R'
F' B2 D U' F R' L'
D B2 F U' L' F' R'
