R U' B R' U' R'
L' R U' B R' U' R'
L2 R U' B R' U' R'
L R U' B R' U' R'
R L U' B R' U' R'
B' L U' B U2 L R'
B' L U' B U2 R' L
R L' U' B R' U' R'
U2 L' D' R' B D L2
R L2 U' B R' U' R'
U2 L2 D' R' B' L B2
R' U F' L2 B' L U
D' R U' B U' R2 B
F' R U' B R' U' R'
F2 R U' B R' U' R'
F R U' B R' U' R'
D' R F' U' B U' R2
U' R B R' U' L R'
U' R B R' U' R' L
R2 U' R' B R' U' R'
R U' F B R' U' R'
U2 R' U B R' U' L
R U' F' B R' U' R'
R U' F2 B R' U' R'
R2 U' B R' B U' R2
R U' B R' U' R' D
R U' B R' U' R' D'
R U' B R' U' R' D2
R U' B R' U' D R'
R U' B R' U' D' R'
R U' B R' U' D2 R'
R U' B R' D U' R'
R U' B R' D' U' R'
R U' B R' D2 U' R'
R U' B R' F U' R'
R U' B R' F' U' R'
R U' B R' F2 U' R'
R U' B D' R' F2 U'
R U' B D' F2 R' U'
R U' B F R' U' R'
R U' B F' R' U' R'
R U' B F2 R' U' R'
D' R' F D' B L2 F
D' R' F B D' L2 F
D' R' B L2 F D' L2
U' R' B R' U' L R
U' R' B R' U' R L
D' R' B F D' L2 F
R2 U2 D L R B' L
R2 U2 D L B' L R
R2 U2 D L B' R L
R2 U2 D R L B' L
R2 U2 D R B' L B'
R2 U2 D B' L R B'
R2 U2 D B' L B' R
R2 U2 D B' R L B'
R2 D L U2 R B' L
R2 D L U2 B' L R
R2 D L U2 B' R L
U' R2 B R' U' L R2
U' R2 B R' U' R2 L
R2 D U2 L R B' L
R2 D U2 L B' L R
R2 D U2 L B' R L
R2 D U2 R L B' L
R2 D U2 R B' L B'
R2 D U2 B' L R B'
R2 D U2 B' L B' R
R2 D U2 B' R L B'
D' U F' U L' R' B
D' U F' U R' L' B
D' U F' U R' B L'
R2 D' R F' R U2 R'
U2 D' L' R' B D L2
U2 D' R' L' B D L2
R2 D' F' R F' L' U2
U D' F' U L' R' B
U D' F' U R' L' B
U D' F' U R' B L'
D' U2 L' R' B D L2
D' U2 R' L' B D L2
R F U' B R' U' R'
U F' U L' D' R' B
U F' U D' L' R' B
U F' U D' R' L' B
U F' U D' R' B L'
R F' U' B R' U' R'
U F' D' U L' R' B
U F' D' U R' L' B
U F' D' U R' B L'
R F2 U' B R' U' R'
R B L2 R' U' R' F
R B L2 R' U' F R'
R B R' L2 U' R' F
R B R' L2 U' F R'
