R2 B L U F
B L R U F R
L R U F R B
R L U F R B
B L R2 B U F
B L U F D R2
B L U2 F' U' F2
B R L U F R
B R2 L B U F
D2 R2 B L U F
D' R2 B L U F
D R2 B L U F
R2 D B L U F
R2 D' B L U F
R2 D2 B L U F
B' U2 F' R' U' F'
R2 B L R U F
R2 B L R' U F
R2 B L R2 U F
R2 B L U D F
R2 B L U D' F
R2 B L U D2 F
R2 B L U F D
R2 B L U F D'
R2 B L U F D2
R2 B L D U F
R2 B L D U F
R2 B L D' U F
R2 B L D2 U F
R2 B R L U F
R B L U F R
R2 B R' L U F
R2 B R2 L U F
R2 B D L U F
R2 B D' L U F
R2 B D2 L U F
D2 L R U F R B
D' L R U F R B
B L R U R F R
B L R U R' F R
B L R U R2 F R
B L R U D F R
B L R U D' F R
B L R U D2 F R
D L R U F R B
B L R U F R D
B L R U F R D'
B L R U F R D2
B L R U F D R
B L R U F D' R
B L R U F D2 R
L R U R F B R
L R U R B F R
B L R D U F R
B L R D' U F R
R L U R F B R
L R U D F R B
B L R D2 U F R
R L U R B F R
L R U D' F R B
L R U D2 F R B
L R U F R D B
L R U F R D' B
L R U F R D2 B
L R U F R B D
L R U F R B D'
L R U F R B D2
R L U D F R B
L R U F D R B
L R U F D' R B
L R U F D2 R B
L R U F B R B
L R U F B' R B
L R U F B2 R B
R L U D' F R B
B L R B U F R
R L U D2 F R B
R L U F R D B
R L U F R D' B
R L U F R D2 B
R L U F R B D
R L U F R B D'
R L U F R B D2
B L R B' U F R
R L U F D R B
R L U F D' R B
R L U F D2 R B
R L U F B R B
R L U F B' R B
R L U F B2 R B
L R U B F R B
B L R B2 U F R
L R U B' F R B
L R U B2 F R B
R L U B F R B
R L U B' F R B
R L U B2 F R B
B L R2 D B U F
B L R2 D' B U F
B L R2 D2 B U F
B L R2 B R U F
B L R2 B R' U F
B L R2 B R2 U F
B L R2 B U D F
B L R2 B U D' F
B L R2 B U D2 F
B L R2 B U F D
B L R2 B U F D'
B L R2 B U F D2
B L R2 B D U F
B L R2 B D' U F
B L R2 B D2 U F
B L U D F D R2
B L U D' F D R2
B L U D2 F D R2
B L U F R D R2
B L U F R' D R2
B L U F R2 D R2
B L U F U F2 U'
B L U F D R2 D
B L U F D R2 D'
B L U F D R2 D2
L R D U F R B
R L D U F R B
F' L U' D F L' B'
L R D' U F R B
R L D' U F R B
B L U2 D F' U' F2
B' L U2 F' R' U' F2
B L U2 D' F' U' F2
B L U2 D2 F' U' F2
B L U2 F' L U' F2
B L U2 F' L' U' F2
B L U2 F' L2 U' F2
B L U2 F' U' F2 D
B L U2 F' U' F2 D'
B L U2 F' U' F2 D2
B L U2 F' D' L2 U'
L R D2 U F R B
R L D2 U F R B
B L D R U F R
F' L D U' F L' B'
B L D R2 B U F
B L D U F D R2
B L D U2 F' U' F2
B L D' R U F R
B L D' R2 B U F
B L D' U F D R2
B L D' U2 F' U' F2
B L D2 R U F R
B L D2 R2 B U F
B L D2 U F D R2
B L D2 U2 F' U' F2
U' L F U' F2 L' U'
B L B R U F R
B L B R2 B U F
B L B U F D R2
B L B U2 F' U' F2
B L B' R U F R
B L B' R2 B U F
B L B' U F D R2
B L B' U2 F' U' F2
B L B2 R U F R
B L B2 R2 B U F
B L B2 U F D R2
B L B2 U2 F' U' F2
F' L' U B' R' F' U2
R2 L' B L U D2 F2
R2 L' B L U' B2 U2
R2 L' B L D' R2 U
R2 L' B L D2 U F2
R2 L' B D' L R2 U
R2 L' B D' R2 L U
R2 L' B D2 L U F2
L2 R2 D' B L R' U
L2 R2 D' B R' L U
R2 L2 D' B L R' U
R2 L2 D' B R' L U
B L2 R2 B L' U F
L' R2 B L U D2 F2
L' R2 B L U' B2 U2
L' R2 B L D' R2 U
L' R2 B L D2 U F2
L2 R2 B L U' B' U2
R2 L2 B L U' B' U2
L' R2 B D' L R2 U
L' R2 B D' R2 L U
L' R2 B D2 L U F2
F' L2 D' B' L R' U'
F' L2 D' B' R' L U'
F' L2 B' L' R' U' F
F' L2 B' R' L' U' F
D2 R L U F R B
D' R L U F R B
D R L U F R B
B R L U R F R
B R L U R' F R
B R L U R2 F R
B R L U D F R
B R L U D' F R
B R L U D2 F R
B R L U F R D
B R L U F R D'
B R L U F R D2
B R L U F D R
B R L U F D' R
B R L U F D2 R
B R L D U F R
B R L D' U F R
B R L D2 U F R
B R L B U F R
B R L B' U F R
B R L B2 U F R
L U F R D B R2
L U F R B D R2
L U F R' D R2 B
L U F D R B R
B R D L U F R
B R D' L U F R
B R D2 L U F R
D2 R B L U F R
D' R B L U F R
D R B L U F R
B2 R B' L U F R
U2 R' U' D' F' R B
U2 R' D' U' F' R B
B R' D2 L B' U F
U2 R' F R F' U' F'
B R2 L D B U F
B R2 L D' B U F
B R2 L D2 B U F
B R2 L B R U F
B R2 L B R' U F
B R2 L B R2 U F
B R2 L B U D F
B R2 L B U D' F
B R2 L B U D2 F
B R2 L B U F D
B R2 L B U F D'
B R2 L B U F D2
B R2 L B D U F
B R2 L B D' U F
B R2 L B D2 U F
L U2 F R F2 U' F2
B R2 L2 B L' U F
L2 U2 F' U2 L' U F
L U2 F' U2 L' U F2
D2 R2 D B L U F
D' R2 D B L U F
B R2 D L B U F
D R2 D B L U F
D2 R2 D' B L U F
D' R2 D' B L U F
B R2 D' L B U F
D R2 D' B L U F
D2 R2 D2 B L U F
D' R2 D2 B L U F
B R2 D2 L B U F
R D L U F R B
D R2 D2 B L U F
L D R U F R B
D' R2 B L R U F
D' R2 B L R' U F
D' R2 B L R2 U F
D' R2 B L U D F
D' R2 B L U D' F
D' R2 B L U D2 F
D' R2 B L U F D
D' R2 B L U F D'
D' R2 B L U F D2
D2 R2 B L R U F
D2 R2 B L R' U F
D2 R2 B L R2 U F
D' R2 B L D U F
D2 R2 B L U D F
D2 R2 B L U D' F
D2 R2 B L U D2 F
D2 R2 B L U F D
D2 R2 B L U F D'
D2 R2 B L U F D2
D' R2 B L D' U F
D' R2 B L D2 U F
D2 R2 B L D U F
D2 R2 B L D' U F
D2 R2 B L D2 U F
D' R2 B R L U F
D2 R2 B R L U F
D' R2 B R' L U F
D2 R2 B R' L U F
D' R2 B R2 L U F
D2 R2 B R2 L U F
D' R2 B D L U F
D2 R2 B D L U F
R D R B L U F
D' R2 B D' L U F
D2 R2 B D' L U F
D' R2 B D2 L U F
D2 R2 B D2 L U F
D R2 B L R U F
D R2 B L R' U F
D R2 B L R2 U F
D R2 B L U D F
D R2 B L U D' F
D R2 B L U D2 F
D R2 B L U F D
D R2 B L U F D'
D R2 B L U F D2
D R2 B L D U F
D R2 B L D' U F
D R2 B L D2 U F
B2 R2 B U2 R' U' F'
D R2 B R L U F
D R2 B R' L U F
D R2 B R2 L U F
B2 R2 B' L B2 U F
D R2 B D L U F
D R2 B D' L U F
D R2 B D2 L U F
R' D B L U R' F
R' D B L U F R'
R2 D B L R U F
R2 D B L R' U F
R2 D B L R2 U F
R2 D B L U D F
R2 D B L U D' F
R2 D B L U D2 F
R2 D B L U F D
R2 D B L U F D'
R2 D B L U F D2
R2 D B L D U F
R2 D B L D' U F
R2 D B L D2 U F
R2 D B R L U F
R2 D B R' L U F
R2 D B R2 L U F
R2 D B D L U F
R2 D B D' L U F
R D B L U F R
R2 D B D2 L U F
R D' L U F R B
L D' R U F R B
R D' R B L U F
L2 D' R2 B L R' U
L2 D' R2 B R' L U
R2 D' B L R U F
R2 D' B L R' U F
R2 D' B L R2 U F
R2 D' B L U D F
R2 D' B L U D' F
R2 D' B L U D2 F
R2 D' B L U F D
R2 D' B L U F D'
R2 D' B L U F D2
R2 D' B L D U F
R2 D' B L D' U F
R2 D' B L D2 U F
R2 D' B R L U F
R2 D' B R' L U F
R2 D' B R2 L U F
R2 D' B D L U F
R2 D' B D' L U F
R2 D' B D2 L U F
R D' B L U F R
R D2 L U F R B
L D2 R U F R B
R D2 R B L U F
B' U2 L F' R' U' F'
B' U2 L' F' R' U' F'
B' U2 L2 F' R' U' F'
R' D2 B L B' U F
B' U2 R' U' D' F' R
B' U2 R' D' U' F' R
R2 D2 B L R U F
R2 D2 B L R' U F
R2 D2 B L R2 U F
R2 D2 B L U D F
R2 D2 B L U D' F
R2 D2 B L U D2 F
R2 D2 B L U F D
R2 D2 B L U F D'
R2 D2 B L U F D2
R2 D2 B L D U F
R2 D2 B L D' U F
R2 D2 B L D2 U F
R2 D2 B R L U F
R2 D2 B R' L U F
R2 D2 B R2 L U F
R2 D2 B D L U F
R2 D2 B D' L U F
R2 D2 B D2 L U F
R D2 B L U F R
B' U2 D F' R' U' F'
B' U2 D' F' R' U' F'
B' U2 D2 F' R' U' F'
B' U2 F R' F2 U' F
B' U2 F' L R' U' F'
B' U2 F' L' R' U' F'
B' U2 F' L2 R' U' F'
B' U2 F' R' L U' F'
B' U2 F' R' L' U' F'
B' U2 F' R' L2 U' F'
B' U2 F' R' U' D F'
B' U2 F' R' U' D' F'
B' U2 F' R' U' D2 F'
B' U2 F' R' U' F' D
B' U2 F' R' U' F' D'
B' U2 F' R' U' F' D2
B' U2 F' R' D U' F'
B' U2 F' R' D' U' F'
B' U2 F' R' D2 U' F'
B' U2 F' D R' U' F'
B' U2 F' D' R' U' F'
B' U2 F' D2 R' U' F'
B' U2 F2 R' F U' F2
U2 F R U' D R2 F'
U2 F R D U' R2 F'
B U2 F' U2 L U F
U2 F R F2 U B U2
U2 F R' F2 R2 U' F
B D L R U F R
B D L R2 B U F
B D L U F D R2
B D L U2 F' U' F2
B D R L U F R
R2 F B L F' U F2
B D R2 L B U F
B' D U2 F' R' U' F'
U2 F' L2 U2 L U F
L' F' L2 B' R' U' F
L F' L2 B' R' U' F2
U2 F' R' U2 L' U F'
U2 F' U2 L' U' B' U2
B D' L R U F R
B D' L R2 B U F
B D' L U F D R2
B D' L U2 F' U' F2
B D' R L U F R
L F' D' L2 B' R' U'
B D' R2 L B U F
B' D' U2 F' R' U' F'
U' F2 U' F L' R U'
U' F2 U' F R L' U'
B D2 L R U F R
B D2 L R2 B U F
B D2 L U F D R2
B D2 L U2 F' U' F2
B D2 R L U F R
R2 F2 B L F2 U F'
B D2 R2 L B U F
D2 B L R U F R
R' B L R' B U F
D' B L R U F R
R' B L R2 U F R
D2 B L R2 B U F
D' B L R2 B U F
D2 B L U F D R2
D' B L U F D R2
D2 B L U2 F' U' F2
D' B L U2 F' U' F2
L' B L D' R2 B U
B' D2 U2 F' R' U' F'
R2 B L R U D F
R2 B L R U D' F
R2 B L R U D2 F
R2 B L R U F D
R2 B L R U F D'
R2 B L R U F D2
R2 B L R D U F
R2 B L R D' U F
R2 B L R D2 U F
R2 B L R' U D F
R2 B L R' U D' F
R2 B L R' U D2 F
R2 B L R' U F D
R2 B L R' U F D'
R2 B L R' U F D2
R2 B L R' D U F
R2 B L R' D' U F
R2 B L R' D2 U F
R2 B L R2 U D F
R2 B L R2 U D' F
R2 B L R2 U D2 F
R2 B L R2 U F D
R2 B L R2 U F D'
R2 B L R2 U F D2
R2 B L R2 D U F
R2 B L R2 D' U F
R2 B L R2 D2 U F
R2 B L U R F R'
R2 B L U R2 F R2
R2 B L U D F D
R2 B L U D F D'
R2 B L U D F D2
R2 B L U D' F D
R2 B L U D' F D'
R2 B L U D' F D2
R2 B L U D2 F D
R2 B L U D2 F D'
R2 B L U D2 F D2
R2 B L U F2 D F'
R2 B L U F2 D' F'
R2 B L U F2 D2 F'
D B L R U F R
R2 B L U' B U2 F
R2 B L U' B' U2 F
R2 B L U' B2 U2 F
D B L R2 B U F
R2 B L D R U F
R2 B L D R' U F
R2 B L D R2 U F
R2 B L D U F D
R2 B L D U F D'
R2 B L D U F D2
D B L U F D R2
R2 B L D' R U F
R2 B L D' R' U F
R2 B L D' R2 U F
R2 B L D' U F D
R2 B L D' U F D'
R2 B L D' U F D2
R2 B L D2 R U F
R2 B L D2 R' U F
R2 B L D2 R2 U F
R2 B L D2 U F D
R2 B L D2 U F D'
R2 B L D2 U F D2
D B L U2 F' U' F2
R B L R B U F
R B L U R F R
R B L U R' F R
R B L U R2 F R
R B L U D F R
R B L U D' F R
R B L U D2 F R
R B L U F R D
R B L U F R D'
R B L U F R D2
R B L U F D R
R B L U F D' R
R B L U F D2 R
R B L D U F R
D2 B R L U F R
R B L D' U F R
D' B R L U F R
R B L D2 U F R
R B L B U F R
R B L B' U F R
R B L B2 U F R
R' B R' L B U F
R2 B R L U D F
R2 B R L U D' F
R2 B R L U D2 F
R2 B R L U F D
R2 B R L U F D'
R2 B R L U F D2
R2 B R L D U F
