D R F' R2 B U B
D R' U2 F2 B U' B
D R' U2 B F2 U' B
F' R' D' F2 B2 L U
F' R' D' B2 L F2 U
F' R' D' B2 F2 L U
F R' D' B2 L U L2
R' U2 D R' F2 B U'
R' U2 D R' B F2 U'
R' U2 D F2 R' B U'
R' D R' F2 L' B U'
R' D R' F2 B L' U'
R' D R' B F2 L' U'
R' D U2 R' F2 B U'
R' D U2 R' B F2 U'
R' D U2 F2 R' B U'
R' D' L' F B2 L U
R' D' L' B2 F L U
R' D' L2 B2 L F U
R' D' B2 L U2 B' U'
R' D' B2 L' F L2 U
R' F D' B2 L U L2
F D B2 L' D R2 F2
F D B2 L' D F2 R2
F D2 L2 R' U L R'
F D2 L2 R' U R' L
F D2 R' L2 U L R'
F D2 R' L2 U R' L
B2 F L' D F2 R B2
B2 F L' D F2 B2 R
B2 F L' D B2 F2 R
F B2 L' D F2 R B2
F B2 L' D F2 B2 R
F B2 L' D B2 F2 R
