F U R F' U R2
F L U R F' U R2
F L' U R F' U R2
U' L2 R' F' B' D L2
U' L2 R' B' D L2 F'
U' L2 R' B' D F' L2
U' L2 R' B' F' D L2
D L2 U R' B' L F
F L2 U R F' U R2
D2 L2 U' R' F' B' L'
D2 L2 U' R' B' F' L'
D L2 U' R' F' B' L
D L2 U' R' B' L F'
D L2 U' R' B' F' L
U' L2 D R' F' B' L
U' L2 D R' B' L F'
U' L2 D R' B' F' L
L2 U D R' B' L F
F R U F' U R2 F
F R U F' U F R2
F2 R F' R U B R
F2 R F' R U B R
F R F' L2 U R2 B'
F R F' L2 U B' R2
F R F' U' F U2 R2
L2 U' R' F' B' D L2
L2 U' R' B' D L2 F'
L2 U' R' B' D F' L2
L2 U' R' B' F' D L2
L2 U' D R' F' B' L
L2 U' D R' B' L F'
L2 U' D R' B' F' L
U' R' L2 F' B' D L2
U' R' L2 B' D L2 F'
U' R' L2 B' D F' L2
U' R' L2 B' F' D L2
U' R' B' D L2 F' B'
U' R' B' D L2 B' F'
L2 D U R' B' L F
L2 D U' R' F' B' L
L2 D U' R' B' L F'
L2 D U' R' B' F' L
U' D L2 R' F' B' L
U' D L2 R' B' L F'
U' D L2 R' B' F' L
U' D R' L2 F' B' L
U' D R' L2 B' L F'
U' D R' L2 B' F' L
F U R D F' B2 U
F U R D B2 F' U
F U R F' U R2 D
F U R F' U R2 D'
F U R F' U R2 D2
F U R F' D B2 U
F U R F' B U R2
F U R F' B' U R2
F U R F' B2 U R2
F U R B F' U R2
F U R B' F' U R2
F U R B2 F' U R2
D' U F U2 L' R' F'
D' U F U2 R' L' F'
D U' L2 R' F' B' L
D U' L2 R' B' L F'
D U' L2 R' B' F' L
D U' R' L2 F' B' L
D U' R' L2 B' L F'
D U' R' L2 B' F' L
U D' F U2 L' R' F'
U D' F U2 R' L' F'
F U2 R' U' R2 F' U
L2 F R F' U R2 B'
L2 F R F' U B' R2
D' F U R U L' R2
D' F U R U R2 L'
D' F U2 L' R' D' F2
D' F U2 R' L' D' F2
D' F U2 R' D' L' F2
B2 F L U R F' U
B F U R F' B U
B F U R B F' U
F B U R F' B U
F B U R B F' U
F B2 L U R F' U
