D' L' F D' L2 R2
D' L' F D' R2 L2
U2 L2 U F' R U
F' R D' B2 U B2
U' F' R U D2 R2
U' F' R U' L2 U2
U' F' R D' B2 U
U' F' R D2 U R2
U' F' D' R B2 U
U' F' D' B2 R U
U' F' D2 R U R
F' D' R B2 U B2
F' D' B2 R U B2
F' L R B2 U R' B2
F L D' L2 D2 F2 R
D' L F D' L2 R2 F
D' L F D' L2 F R2
D' L F D' R2 L2 F
B2 L F' R U B2 R'
F' L B2 R U R2 B2
F' L B2 R U B2 R2
D' L' R' D' R2 F L'
D' L' R' D' F L' R2
D' L' R' D' F R2 L'
R' L' D' F L' F R
L' R' D' F L' F R
D' L' U' F' B2 U F2
D' L' U' B2 F' U F2
F L' U' F2 U R F2
D' L' D' F R2 D' L2
D' L' F L D' L2 R2
D' L' F L D' R2 L2
D' L' F L' D' L2 R2
D' L' F L' D' R2 L2
D' L' F L2 D' L2 R2
D' L' F L2 D' R2 L2
D' L' F R D' L2 R2
D' L' F R D' R2 L2
D' L' F R' D' L2 R2
D' L' F R' D' R2 L2
D' L' F R2 D' L2 R2
D' L' F R2 D' R2 L2
D' L' F U' F2 B2 U
D' L' F U' B2 F2 U
D' L' F D' L2 R2 D
D' L' F D' L2 R2 D'
D' L' F D' L2 R2 D2
D' L' F D' R2 L2 D
D' L' F D' R2 L2 D'
D' L' F D' R2 L2 D2
D' L' F' B2 U F2 B2
D' L' F' B2 U B2 F2
D' L' B2 F' U F2 B2
D' L' B2 F' U B2 F2
U' L2 U L2 F' R U
U' L2 U F' L2 R U
U' L2 U F' R L2 U
B2 L2 U F' R U B2
U2 L2 U F' R U D
U2 L2 U F' R U D'
U2 L2 U F' R U D2
U2 L2 U F' R D U
U2 L2 U F' R D' U
U2 L2 U F' R D2 U
U2 L2 U F' D R U
U2 L2 U F' D' R U
U2 L2 U F' D2 R U
U L2 U2 F' R U R'
B L2 F U F2 R U
U2 L2 B U F' R U
U2 L2 B' U F' R U
U2 L2 B2 U F' R U
F' R L B2 U R' B2
L2 U F' R U2 R' U'
F' R U D2 R2 D B2
D R U F2 U' F L'
F' R U' L2 U L2 U
F' R U' L2 U2 D' B2
F' R U' L2 D F2 U2
F' R U' L2 D' U2 B2
F' R D' L B2 U B2
F' R D' L' B2 U B2
F' R D' L2 B2 U B2
F' R D' B2 L U B2
F' R D' B2 L' U B2
F' R D' B2 L2 U B2
F' R D' B2 U B2 D
F' R D' B2 U B2 D'
F' R D' B2 U B2 D2
F' R D' B2 D L2 U
F' R D2 U R2 D B2
F' R D2 B U R2 B'
F' R D2 B U B' R2
F' R D2 B' U B R2
F' R D2 B2 U R2 B2
F' R D2 B2 U B2 R2
D R F' U F' U' L'
F' R B U D2 R2 B'
F' R B U D2 B' R2
F' R B U B' D2 R2
F' R B U' L2 F U2
F' R B D' B2 U B
F' R B D2 U R2 B'
F' R B D2 U B' R2
F' R B' U D2 B R2
F' R B' U B D2 R2
F' R B' U' L2 U2 B
F' R B' D' B2 U B'
F' R B' D2 U B R2
F' R B2 L U B2 R'
F' R B2 U B2 D2 R2
F' R B2 U' L2 U2 B2
D' R' L' D' R2 F L'
D' R' L' D' F L' R2
D' R' L' D' F R2 L'
L2 U' F' R U2 F U'
L U' F' R U' L U2
L U' F' R B2 U R'
L U' F' B2 R U R2
F' R' D' F2 D' L2 R2
F' R' D' F2 D' R2 L2
F' R' D' B2 U F2 B2
F' R' D' B2 U B2 F2
L U' B2 F' R U R2
L U2 L U F' R U
L' U2 L' U F' R U
D2 R2 U B U2 R' U
D2 R2 U B' L B2 U'
F' R2 D' R' B2 U B2
F U L' U2 F2 U R
L' D F2 R F' D' L2
F' U D F2 L' U' L
R' D' L' F L' D' R2
R' D' L' F D' L' R2
R' D' L' F D' R2 L'
F U D2 L' B2 U' R2
F U D2 B2 L' U' R2
R' D' F L' D' R2 F
R' D' F L' D' F R2
R' D' F L' F D' R2
F' U' L2 U L2 R U
F' U' L2 U R L2 U
F' U' R U' L2 R' U2
F' U' R U' R' L2 U2
F' U' R D' B2 U L
D2 U' F' B R' U R'
F' U' D' R B2 U L
D2 U' B F' R' U R'
U' D' B2 D F' R U
D' U' B2 D F' R U
R' D2 R2 D L' F L'
R' D2 R2 D F L' F
F U' F2 R U D2 R2
F U' F2 R U' L2 U2
F U' F2 R D' B2 U
F U' F2 R D2 U R2
F U' F2 D' R B2 U
F U' F2 D' B2 R U
F U' F2 D2 R U R
U' D2 F' B R' U R'
U' D2 B F' R' U R'
D' F L D' L2 R2 F
D' F L D' L2 F R2
D' F L D' R2 L2 F
D' F L' D' R2 F L2
D' F L' D' F L2 R2
D' F L' D' F R2 L2
U F L' U2 F2 U R
D2 F R D' L2 R F'
D2 F R D' R L2 F'
D2 F R D' R F' L2
L' F U' F2 R B U
F' D R D2 B2 U B2
U F D2 L' B2 U' R2
U F D2 B2 L' U' R2
F' D U F2 L' U' L
D' F' L' B2 U F B2
D' F' L' B2 U B2 F
U' F' R U R D2 R2
U' F' R U R' D2 R2
U' F' R U R2 D2 R2
U' F' R U D2 R2 D
U' F' R U D2 R2 D'
U' F' R U D2 R2 D2
U' F' R U' L2 U2 D
U' F' R U' L2 U2 D'
U' F' R U' L2 U2 D2
U' F' R U' L2 D U2
U' F' R U' L2 D' U2
U' F' R U' L2 D2 U2
U' F' R U2 D F2 U'
U' F' R D U2 F2 U'
U' F' R D' B2 U D
U' F' R D' B2 U D'
U' F' R D' B2 U D2
U' F' R D' B2 D U
U' F' R D' B2 D' U
U' F' R D' B2 D2 U
U' F' R D2 U R2 D
U' F' R D2 U R2 D'
U' F' R D2 U R2 D2
U' F' R D2 B U R2
U' F' R D2 B' U R2
U' F' R D2 B2 U R2
U' F' R B U D2 R2
U' F' R B U' L2 U2
U' F' R B D' B2 U
U' F' R B D2 U R2
U' F' R B' U D2 R2
U' F' R B' U' L2 U2
U' F' R B' D' B2 U
U' F' R B' D2 U R2
U' F' R B2 U D2 R2
U' F' R B2 U' L2 U2
U' F' R B2 D' B2 U
U' F' R B2 D2 U R2
U2 F' R U' L2 U2 B'
U2 F' R U' F L2 U2
U' F' R' D' B2 U F2
U' F' R2 D' R' B2 U
U' F' R2 D2 R' U R'
U F' R D' B2 L U
L F' R B2 U R' B2
U' F' U' L2 U R U
F' D' L R B2 U B2
U' F' U2 D F2 L' U'
F' D' L B2 R U B2
F' D' L' R B2 U B2
U' F' D R U D R2
U' F' D R U2 F2 U'
U' F' D R D U R2
U' F' D R D2 B2 U
U' F' D U2 F2 L' U'
F' D' L' B2 R U B2
F' D' L2 R B2 U B2
U' F' D' R U D' R2
U' F' D' R D' U R2
U' F' D' R B2 U D
U' F' D' R B2 U D'
U' F' D' R B2 U D2
U' F' D' R B2 D U
U' F' D' R B2 D' U
U' F' D' R B2 D2 U
U' F' D' R' B2 R2 U
U' F' D' B' R B' U
U' F' D' B2 R U D
U' F' D' B2 R U D'
U' F' D' B2 R U D2
U' F' D' B2 R D U
U' F' D' B2 R D' U
U' F' D' B2 R D2 U
F' D' L2 B2 R U B2
U' F' D' B2 D R U
U' F' D' B2 D' R U
U' F' D' B2 D2 R U
F' D' R L B2 U B2
F' D' R L' B2 U B2
F' D' R L2 B2 U B2
U' F' D2 R U R D
U' F' D2 R U R D'
U' F' D2 R U R D2
U' F' D2 R U D R
U' F' D2 R U D' R
U' F' D2 R U D2 R
U' F' D2 R D U R
U' F' D2 R D' U R
U' F' D2 R D2 U R
U' F' D2 R B U R
U' F' D2 R B' U R
U' F' D2 R B2 U R
U' F' D2 B R U R
U' F' D2 B' R U R
F D' L2 U' B2 R' U
U' F' D2 B2 R U R
F' D' R B2 L U B2
F' D' R B2 L' U B2
F' D' R B2 L2 U B2
F' D' R B2 U B2 D
F' D' R B2 U B2 D'
F' D' R B2 U B2 D2
F' D' R B2 D L2 U
U' F' B R U D2 R2
U' F' B R U' L2 U2
U' F' B R D' B2 U
U' F' B R D2 U R2
U F' D' R B2 L U
D2 F' B R' U R' B'
U' F' B D' R B2 U
U' F' B D' B2 R U
U' F' B D2 R U R
F' D' R' B2 R2 U B2
U' F' B' R U D2 R2
U' F' B' R U' L2 U2
U' F' B' R D' B2 U
U' F' B' R D2 U R2
U' F' B' D' R B2 U
U' F' B' D' B2 R U
U' F' B' D2 R U R
U' F' B2 R U D2 R2
U' F' B2 R U' L2 U2
U' F' B2 R D' B2 U
U' F' B2 R D2 U R2
D' F' B2 L' U F B2
D' F' B2 L' U B2 F
U' F' B2 D' R B2 U
U' F' B2 D' B2 R U
U' F' B2 D2 R U R
F' D' U' R B2 U L
L F' B2 R U R2 B2
L F' B2 R U B2 R2
F2 D' F R B2 U B2
F2 D' F B2 R U B2
F' D' B2 L R U B2
F' D' B2 L' R U B2
F' D' B2 L2 R U B2
F' D' B2 R L U B2
F' D' B2 R L' U B2
F' D' B2 R L2 U B2
F' D' B2 R U B2 D
F' D' B2 R U B2 D'
F' D' B2 R U B2 D2
F' D' B2 R D L2 U
F' D' B2 D L2 R U
F' D' B2 D R L2 U
F2 D' B2 F R U B2
F D2 L R2 D L2 F2
F D2 L R2 D F2 L2
U' F2 D' F R B2 U
U' F2 D' F B2 R U
U' F2 D' B2 F R U
U' F2 D2 F R U R
F D2 L' B2 U' R2 B2
F D2 L' B2 U' B2 R2
F' D2 R B U R B'
F' D2 R B U B' R
F' D2 R B' U B R
F' D2 R B2 U R B2
F' D2 R B2 U B2 R
F D2 R2 L D L2 F2
F D2 R2 L D F2 L2
F D2 R2 U L' B2 U'
F D2 R2 U B2 L' U'
F D2 U L' B2 U' R2
F D2 U B2 L' U' R2
U2 B L2 U F' R U
F' D2 B R U R B'
F' D2 B R U B' R
F' D2 B2 R U R B2
F' D2 B2 R U B2 R
L2 B U F' R U B'
F D2 B2 L' U' R2 B2
F D2 B2 L' U' B2 R2
F' B R U D2 R2 B'
F' B R U D2 B' R2
F' B R U B' D2 R2
F' B R U' L2 F U2
F' B R D' B2 U B
F' B R D2 U R2 B'
F' B R D2 U B' R2
U' B F' R U D2 R2
U' B F' R U' L2 U2
U' B F' R D' B2 U
U' B F' R D2 U R2
D2 B F' R' U R' B'
U' B F' D' R B2 U
U' B F' D' B2 R U
U' B F' D2 R U R
U2 B' L2 U F' R U
F' B D' R B2 U B
F' B D2 R U R B'
F' B D2 R U B' R
B2 F' L R U B2 R'
B2 F' R L U B2 R'
B2 F' R U B2 D2 R2
B2 F' R U' L2 U2 B2
B F' R U D2 R2 B'
B F' R U D2 B' R2
B F' R U B' D2 R2
B F' R U' L2 F U2
B F' R D' B2 U B
B F' R D2 U R2 B'
B F' R D2 U B' R2
U' B' F' R U D2 R2
U' B' F' R U' L2 U2
U' B' F' R D' B2 U
U' B' F' R D2 U R2
U' B' F' D' R B2 U
U' B' F' D' B2 R U
U' B' F' D2 R U R
B' F' D' B2 R U B'
F' B' D' B2 R U B'
D' B2 L' F' U F2 B2
D' B2 L' F' U B2 F2
B F' D' R B2 U B
F' B2 L R U B2 R'
U2 B2 L2 U F' R U
B F' D2 R U R B'
B F' D2 R U B' R
F' B2 R L U B2 R'
F' B2 R U B2 D2 R2
F' B2 R U' L2 U2 B2
L2 B2 U F' R U B2
D' B2 D L2 F' R U
D' B2 D F' L2 R U
D' B2 D F' R L2 U
U' B2 F' R U D2 R2
U' B2 F' R U' L2 U2
U' B2 F' R D' B2 U
U' B2 F' R D2 U R2
D' B2 F' L' U F B2
D' B2 F' L' U B2 F
U' B2 F' D' R B2 U
U' B2 F' D' B2 R U
U' B2 F' D2 R U R
L B2 F' R U R2 B2
L B2 F' R U B2 R2
