B' L F' U2 L' F U
U2 L2 F' B' L R' U'
U2 L2 F' B' R' L U'
U L2 F' B' L U' B'
U2 L2 B' L F' R' U'
U L2 B' L F' U' B'
U2 L2 B' F' L R' U'
U2 L2 B' F' R' L U'
U L2 B' F' L U' B'
B R' F U2 R F' U'
R2 U2 F B L R' U
R2 U2 F B R' L U
L2 U2 F' B' L R' U'
L2 U2 F' B' R' L U'
R2 U2 B R' F L U
R2 U2 B F L R' U
R2 U2 B F R' L U
L2 U2 B' L F' R' U'
L2 U2 B' F' L R' U'
L2 U2 B' F' R' L U'
U' R2 F B R' U B
U2 R2 F B L R' U
U2 R2 F B R' L U
U' R2 B R' F U B
U2 R2 B R' F L U
U' R2 B F R' U B
U2 R2 B F L R' U
U2 R2 B F R' L U
L2 F R F2 B' L U'
L2 F R B' L F2 U'
L2 F R B' F2 L U'
D2 F U2 L' R F2 U'
D' F U2 R F2 U' F
D2 F U2 R L' F2 U'
R2 F B R' U D B2
R2 F B R' U2 R2 U'
R2 F B R' D U B2
R2 F B R' D2 L2 U
L2 F B' L R F2 U'
L2 F B' R L F2 U'
L2 F B' R F2 L U'
R2 F' L' F2 B R' U
R2 F' L' B R' F2 U
R2 F' L' B F2 R' U
D2 F' U2 L' R F2 U
D2 F' U2 R L' F2 U
D F' U2 L' F2 U F'
R2 F' B L' R' F2 U
R2 F' B L' F2 R' U
R2 F' B R' L' F2 U
L2 F' B' L U' D' B2
L2 F' B' L U2 L2 U
L2 F' B' L D' U' B2
L2 F' B' L D2 R2 U'
R2 B R' F U2 R U'
R2 B R' F' L' F2 U
B F R' U D R2 B2
B F R' U D B2 R2
B F R' U2 R2 F2 U'
B F R' U2 F2 R2 U'
B F R' D U R2 B2
B F R' D U B2 R2
B F R' D2 L2 B2 U
B F R' D2 B2 L2 U
F B R' U D R2 B2
F B R' U D B2 R2
R2 B F R' U D B2
R2 B F R' U2 R2 U'
R2 B F R' D U B2
R2 B F R' D2 L2 U
F B R' U2 R2 F2 U'
F B R' U2 F2 R2 U'
F B R' D U R2 B2
F B R' D U B2 R2
F B R' D2 L2 B2 U
F B R' D2 B2 L2 U
R2 B F' L' R' F2 U
R2 B F' L' F2 R' U
R2 B F' R' L' F2 U
B' F U2 L R F2 U'
B' F U2 R L F2 U'
B' F U2 R F2 L U'
F' B U2 L' R' F2 U
F' B U2 L' F2 R' U
L2 B' L F R F2 U'
F' B U2 R' L' F2 U
L2 B' L F' U2 L' U
B' F' L U' D' L2 B2
B' F' L U' D' B2 L2
B' F' L U2 L2 F2 U
B' F' L U2 F2 L2 U
B' F' L D' U' L2 B2
B' F' L D' U' B2 L2
B' F' L D2 R2 B2 U'
B' F' L D2 B2 R2 U'
F' B' L U' D' L2 B2
F' B' L U' D' B2 L2
F' B' L U2 L2 F2 U
F' B' L U2 F2 L2 U
F' B' L D' U' L2 B2
F' B' L D' U' B2 L2
F' B' L D2 R2 B2 U'
F' B' L D2 B2 R2 U'
L2 B' F L R F2 U'
L2 B' F R L F2 U'
L2 B' F R F2 L U'
L2 B' F' L U' D' B2
L2 B' F' L U2 L2 U
L2 B' F' L D' U' B2
L2 B' F' L D2 R2 U'
B F' U2 L' R' F2 U
B F' U2 L' F2 R' U
B F' U2 R' L' F2 U
F B' U2 L R F2 U'
F B' U2 R L F2 U'
F B' U2 R F2 L U'
