L B R2 U L
R2 L U2 F' U' L'
U' L F B R2 U
F' L B R2 U L
D' L B U L F2
F2 L B R2 U L
D' L B U F2 L
U' L B R2 F U
U' L B R2 F U
F L B R2 U L
U' L B F R2 U
L R2 U2 F' U' L'
B R2 U D L B'
B R2 D U L B'
L D' B U L F2
L D' B U F2 L
L F B R2 U L
L F' B R2 U L
L F2 B R2 U L
L' B L2 R2 U L'
L2 B L' R2 U L2
L' B R2 L2 U L'
L2 B R2 L' U L2
L B R2 U L D
L B R2 U L D'
L B R2 U L D2
L B R2 U D L
L B R2 U D' L
L B R2 U D2 L
L B R2 D U L
L B R2 D' U L
L B R2 D2 U L
L B R2 F U L
L B R2 F' U L
L B R2 F2 U L
L B U L D' F2
L B U D' L F2
L B U D' F2 L
L B D' U L F2
L B D' U F2 L
L B F R2 U L
L B F' R2 U L
L B F2 R2 U L
L B2 R2 B' U L
F' L R2 U2 F' U' L'
F2 L R2 U2 F' U' L'
F L R2 U2 F' U' L'
U' L R2 F U D R2
U' L R2 F U2 F2 U'
U' L R2 F D U R2
U' L R2 F D2 B2 U
R2 L U2 D F' U' L'
R2 L U2 D' F' U' L'
R2 L U2 D2 F' U' L'
R2 L U2 F' U' L' D
R2 L U2 F' U' L' D'
R2 L U2 F' U' L' D2
R2 L U2 F' U' D L'
R2 L U2 F' U' D' L'
R2 L U2 F' U' D2 L'
R2 L U2 F' D U' L'
R2 L U2 F' D' U' L'
R2 L U2 F' D2 U' L'
R2 L U2 F' B U' L'
R2 L U2 F' B' U' L'
R2 L U2 F' B2 U' L'
R2 L U2 B F' U' L'
R2 L U2 B' F' U' L'
R2 L U2 B2 F' U' L'
R2 L D U2 F' U' L'
R2 L D' U2 F' U' L'
R2 L D2 U2 F' U' L'
D' L D B R2 U L
U' L D' F B U F
F' L D' B U L F2
F' L D' B U F2 L
F2 L D' B U L F2
F2 L D' B U F2 L
D L D' B R2 U L
U' L D' B F U F
F L D' B U L F2
F L D' B U F2 L
D L D2 B U L F2
D L D2 B U F2 L
U' L F R2 U2 F' U'
U' L F D' B U F2
D' L F B U F L
F' L F B R2 U L
F2 L F B R2 U L
U' L F B R2 U D
U' L F B R2 U D'
U' L F B R2 U D2
U' L F B R2 D U
U' L F B R2 D' U
U' L F B R2 D2 U
U' L F B U D' F2
U' L F B D' U F2
U' L F B' R2 B2 U
F L F B R2 U L
U' L F B2 R2 B' U
R2 L B U2 F' U' L
D' L F' B U L F'
D' L F' B U F' L
F' L F' B R2 U L
U2 L F' B R2 U L'
U' L F' B R2 F2 U
F2 L F' B R2 U L
F L F' B R2 U L
F' L F2 B R2 U L
F2 L F2 B R2 U L
F L F2 B R2 U L
D' L B R U L F2
D' L B R U F2 L
D' L B R' U L F2
D' L B R' U F2 L
D' L B R2 U L F2
D' L B R2 U F2 L
F' L B R2 U L D
F' L B R2 U L D'
F' L B R2 U L D2
F' L B R2 U D L
F' L B R2 U D' L
F' L B R2 U D2 L
F' L B R2 D U L
F' L B R2 D' U L
F' L B R2 D2 U L
F' L B R2 F U L
F' L B R2 F' U L
F' L B R2 F2 U L
D' L B U L F2 D
D' L B U L F2 D'
D' L B U L F2 D2
D' L B U L' F2 L2
U' L B R' F R' U
F' L B U L D' F2
D' L B U F' L F'
F' L B U D' L F2
D' L B U F2 L D
D' L B U F2 L D'
D' L B U F2 L D2
F' L B U D' F2 L
F2 L B R2 U L D
F2 L B R2 U L D'
F2 L B R2 U L D2
D' L B U F2 D L
F2 L B R2 U D L
D' L B U F2 D' L
F2 L B R2 U D' L
D' L B U F2 D2 L
F2 L B R2 U D2 L
F2 L B R2 D U L
U' L B R2 D F U
F2 L B R2 D' U L
U' L B R2 D' F U
F2 L B R2 D2 U L
U' L B R2 D2 F U
F2 L B R2 F U L
U' L B R2 F U D
U' L B R2 F U D'
U' L B R2 F U D2
U' L B R2 F D U
U' L B R2 F D' U
U' L B R2 F D2 U
F2 L B R2 F' U L
F2 L B R2 F2 U L
D L B R2 U L F'
D L B R2 U F' L
U2 L B R2 F' U L'
F2 L B U L D' F2
F2 L B U D' L F2
F2 L B U D' F2 L
F L B R2 U L D
F L B R2 U L D'
F L B R2 U L D2
F L B R2 U D L
F L B R2 U D' L
F L B R2 U D2 L
F L B R2 D U L
F L B R2 D' U L
F L B R2 D2 U L
F L B R2 F U L
F L B R2 F' U L
F L B R2 F2 U L
F L B U L D' F2
D' L B D R2 U L
F L B U D' L F2
F L B U D' F2 L
U L B R' F' R' U
F' L B D' U L F2
F' L B D' U F2 L
F2 L B D' U L F2
F2 L B D' U F2 L
U' L B D' F U F
D' L B F U F L
F' L B F R2 U L
D' L B F' U L F'
D' L B F' U F' L
F' L B F' R2 U L
F L B D' U L F2
F L B D' U F2 L
F2 L B F R2 U L
U' L B F R2 U D
U' L B F R2 U D'
U' L B F R2 U D2
U' L B F R2 D U
U' L B F R2 D' U
U' L B F R2 D2 U
U' L B F U D' F2
F' L B F2 R2 U L
U' L B F D' U F2
F2 L B F' R2 U L
U' L B F' R2 F2 U
U2 L B F' R2 U L'
F L B F R2 U L
F2 L B F2 R2 U L
F L B F' R2 U L
F L B F2 R2 U L
U' L B' R2 F B2 U
U' L B' R2 B2 F U
U' L B' F R2 B2 U
D2 L B2 R' B' U L
F' L B2 R2 B' U L
F2 L B2 R2 B' U L
U' L B2 R2 F B' U
U' L B2 R2 B' F U
F L B2 R2 B' U L
U' L B2 F R2 B' U
D' L' B L2 U L' F2
F' L' B L2 R2 U L'
F2 L' B L2 R2 U L'
F' L' B R2 L2 U L'
F2 L' B R2 L2 U L'
F L' B L2 R2 U L'
L R2 U2 D F' U' L'
L R2 U2 D' F' U' L'
F L' B R2 L2 U L'
L R2 U2 D2 F' U' L'
L R2 U2 F' U' L' D
L R2 U2 F' U' L' D'
L R2 U2 F' U' L' D2
L R2 U2 F' U' D L'
L R2 U2 F' U' D' L'
L R2 U2 F' U' D2 L'
L R2 U2 F' D U' L'
L R2 U2 F' D' U' L'
L R2 U2 F' D2 U' L'
L R2 U2 F' B U' L'
L R2 U2 F' B' U' L'
L R2 U2 F' B2 U' L'
L R2 U2 B F' U' L'
L R2 U2 B' F' U' L'
L R2 U2 B2 F' U' L'
L R2 D U2 F' U' L'
L R2 D' U2 F' U' L'
L R2 D2 U2 F' U' L'
L R2 B U2 F' U' L
D' L2 B L' U L2 F2
D' L2 B L' U F2 L2
F' L2 B L' R2 U L2
U' L2 B L' R2 F U
U' L2 B L' F R2 U
F2 L2 B L' R2 U L2
F' L2 B R2 L' U L2
U' L2 B R2 L' F U
F2 L2 B R2 L' U L2
F L2 B L' R2 U L2
F L2 B R2 L' U L2
B R D R U L B'
B2 R' U2 R' B' U L
B R' D R' U L B'
B R' D' R' U L B
F' R2 L U2 F' U' L'
U' R2 L F U D R2
U' R2 L F U2 F2 U'
U' R2 L F D U R2
F2 R2 L U2 F' U' L'
U' R2 L F D2 B2 U
F R2 L U2 F' U' L'
R2 U2 F' U' L' D' B2
R2 U2 F' U2 L U L2
R2 U2 F' B' U' L' B'
R2 U2 F' B2 R' U' L'
B R2 U D L D B'
B R2 U D L D' B'
B R2 U D L D2 B'
B R2 U D L B' D
B R2 U D L B' D'
B R2 U D L B' D2
B R2 D L' U L2 B'
R2 U2 B' F' U' L' B'
B R2 D U L D B'
B R2 D U L D' B'
B R2 D U L D2 B'
B R2 D U L B' D
B R2 D U L B' D'
B R2 D U L B' D2
B R2 D F U L B'
B R2 D F' U L B'
B R2 D F2 U L B'
R2 U2 B2 F' R' U' L'
R2 D L U2 F' U' L'
B R2 D2 F L' U L2
B R2 F U D L B'
B R2 F D U L B'
B R2 F' U D L B'
B R2 F' D U L B'
B2 R2 F2 B' L' U L2
B R2 F2 U D L B'
B R2 F2 D U L B'
B2 R2 B' U2 R U' L
B R2 B' L B U L
B2 R2 B' F2 L' U L2
L D B R2 U L F'
L D B R2 U F' L
B U D L D2 F2 B'
B U D L D2 B' F2
R2 D' L U2 F' U' L'
B U D' F2 D2 L B'
L2 D' L' B U L F2
L2 D' L' B U F2 L
D' U' L F B U F
U' D' L F B U F
D' U' L B F U F
U' D' L B F U F
F' U' L F B R2 U
F' U' L B R2 F U
F' U' L B F R2 U
