L U' L B' R' U'
L R U' L B' U' B2
R L U' L B' U' B2
R' L F' U' L B' U'
L2 R F2 B' U' R B2
L2 R F2 B' U' B2 R
U2 L F U' L B' U'
L2 R B' U L' U2 B2
L2 R B' F2 U' R B2
L2 R B' F2 U' B2 R
L R' F' U' L B' U'
L2 R' B' U L' F' U2
B' L2 R B' U' R' B2
B2 L2 R B' U' R2 B2
B2 L2 R B' U' B2 R2
B L2 R B' U' B2 R'
B' L2 R2 B' U' R' B
R L2 F2 B' U' R B2
R L2 F2 B' U' B2 R
R' L2 B' U L' F' U2
R L2 B' U L' U2 B2
R L2 B' F2 U' R B2
R L2 B' F2 U' B2 R
D L2 F2 R B D L2
U' L2 F2 B' R' U' R2
B' L2 B' R U' B R2
U' L2 B' R' U L' U2
U' L2 B' R' F2 U' R
B2 L2 B' R U' B R'
U2 L2 B' U L' F U2
U' L2 B' F2 R' U' R2
U L2 B' U L' U2 B'
B' R L2 B' U' R' B2
B2 R L2 B' U' R2 B2
B2 R L2 B' U' B2 R2
B R L2 B' U' B2 R'
L U' L R B' R' U'
L U' L R' B' R' U'
L U' L R2 B' R' U'
L U' L D B' R' U'
L U' L D' B' R' U'
L U' L D2 B' R' U'
L U' L B' R' U' D
L U' L B' R' U' D'
L U' L B' R' U' D2
L U' L B' R' D U'
L U' L B' R' D' U'
L U' L B' R' D2 U'
L U' L B' D R' U'
L U' L B' D' R' U'
L U' L B' D2 R' U'
L U' R L B' R' U'
L U' R' L B' R' U'
L U' R2 L B' R' U'
B' R2 L2 B' U' R' B
D2 R2 F U B2 R' B
D2 R2 F B2 U R' B
D2 R2 B2 F U R' B
F U2 L2 U L' F U2
D2 F R2 U B2 R' B
D2 F R2 B2 U R' B
L F U' L B' R' U'
R' F D2 R2 U B2 R'
F' D' L B2 R' F' U2
R' F' D L R2 U2 F2
L F' U' L B' R' U'
R' F' D R2 L U2 F2
R' F' D' L B2 R' U2
D2 F' D' L2 F2 R B
F' D' L2 D2 F2 R B
R' F' D' B2 U2 L2 R'
R' F' D' B2 U2 R' L2
L2 F2 R' B' U' R2 B
L F2 U' L B' R' U'
L2 F2 B' R' U' R2 B
L2 F2 B' R2 U' R' B
F D2 R2 U B2 R' B
F D2 R2 B2 U R' B
U' B' L2 R' B' U' R'
U' B' R' L2 B' U' R'
L2 B' R U L' U2 B
R2 B' L2 B' U' R' B
L2 B' R F2 U' B R
L2 B' R' U L' F' U2
R B' L2 B' U' R' B'
L2 B' F2 R' U' R2 B
L2 B' F2 R2 U' R' B
