B' L' U R' F L'
B' L' U F L' R'
B' L' U F R' L'
U L' U F L' R
U L' U F R L'
U' L' B' U F L'
L' B' U R' F L'
L' B' U F L' R'
L' B' U F R' L'
B L U L2 U F L'
L' R B' U R' F L'
L' R B' U F L' R'
L' R B' U F R' L'
B' L' R U R2 F L'
B' L' R U F L' R2
B' L' R U F R2 L'
U' L' R B' U F L'
U L' R B U F L'
U' L' R' B' U F L'
B' L' R2 U R F L'
U' L' R2 B' U F L'
B' L' U R F L' R2
B' L' U R F R2 L'
B' L' U R' F L' D
B' L' U R' F L' D'
B' L' U R' F L' D2
B' L' U R' F D L'
B' L' U R' F D' L'
B' L' U R' F D2 L'
U L' U R F L' R
U L' U R F R L'
B' L' U F L' R' D
B' L' U F L' R' D'
B' L' U F L' R' D2
B' L' U F L' D R'
B' L' U F L' D' R'
B' L' U F L' D2 R'
B' L' U F R' L' D
B' L' U F R' L' D'
B' L' U F R' L' D2
B' L' U F R' D L'
B' L' U F R' D' L'
B' L' U F R' D2 L'
B' L' U F D L' R'
B' L' U F D R' L'
B' L' U F D' L' R'
B' L' U F D' R' L'
B' L' U F D2 L' R'
B' L' U F D2 R' L'
U L' U R' F L' R
U L' U R' F R L'
U L' U R2 F L' R
U L' U R2 F R L'
B L' U F D2 L' R2
B L' U F D2 R2 L'
U L' U F L' R D
U L' U F L' R D'
U L' U F L' R D2
U L' U F L' D R
U L' U F L' D' R
U L' U F L' D2 R
U L' U F R L' D
U L' U F R L' D'
U L' U F R L' D2
U L' U F R D L'
U L' U F R D' L'
U L' U F R D2 L'
U L' U F D L' R
U L' U F D R L'
U L' U F D' L' R
U L' U F D' R L'
U L' U F D2 L' R
U L' U F D2 R L'
R' L' B' U R' F L'
R' L' B' U F L' R'
R' L' B' U F R' L'
L' R' B' U R' F L'
L' R' B' U F L' R'
L' R' B' U F R' L'
R2 L' B' U R' F L'
R2 L' B' U F L' R'
R2 L' B' U F R' L'
R L' B' U R' F L'
R L' B' U F L' R'
R L' B' U F R' L'
U' L' D2 B' U F L
F L' F B' R' D B2
B' L' F' U F2 L' R'
B' L' F' U F2 R' L'
U2 L' F' U F2 L' R
U2 L' F' U F2 R L'
U' L' F' B' U F2 L'
B2 L' B U R' F L'
B2 L' B U F L' R'
B2 L' B U F R' L'
U L' B U F L' R
U L' B U F R L'
U' L' B' R U F L'
U' L' B' R' U F L'
U' L' B' R2 U F L'
U' L' B' U F L' D
U' L' B' U F L' D'
U' L' B' U F L' D2
U' L' B' U F D L'
U' L' B' U F D' L'
U' L' B' U F D2 L'
U L' B' U F L' R
U L' B' U F R L'
U' L' B' F' U F2 L'
F L' B' F R' D B2
U L' B2 U F L' R
U L' B2 U F R L'
L' R2 B' U R' F L'
L' R2 B' U F L' R'
L' R2 B' U F R' L'
R' U L' U F L' R
R' U L' U F R L'
R2 U L' U F L' R
R2 U L' U F R L'
R U L' U F L' R
R U L' U F R L'
L U L2 U F L' R
L U L2 U F R L'
L' U R' F L' D R2
L' U R' F D L' R2
L' U R' F D R2 L'
B' R L' U R2 F L'
B' R L' U F L' R2
B' R L' U F R2 L'
U' R L' B' U F L'
U R L' B U F L'
R' U' L' B' U F L'
R2 U' L' B' U F L'
R U' L' B' U F L'
U R B L' U F L'
U' R' L' B' U F L'
B' R' U' L' U F L'
B' R2 L' U R F L'
U' R2 L' B' U F L'
L' U2 F' U' F2 L' R
L' U2 F' U' F2 R L'
B' U L' U R' F L'
B' U L' U F L' R'
B' U L' U F R' L'
B' U' L' U R' F L'
B' U' L' U F L' R'
B' U' L' U F R' L'
B' U2 L' U R' F L'
B' U2 L' U F L' R'
B' U2 L' U F R' L'
L' D2 B' U R' F L
L' D2 B' U F L R'
L' D2 B' U F R' L
U' F U L' F B' R'
U' F U L' B' R' F
U' F U L' B' F R'
U2 F U L' R F B'
U2 F U L' R B' F
U2 F U L' B' R F
U2 F U R L' F B'
U2 F U R L' B' F
U' F U' L' F R B
U2 F U' L' R F B
U2 F U' L' R B F
U F U L' F R B'
U F U L' F B' R
U F U L' B' F R
U2 F U' R L' F B
U2 F U' R L' B F
U2 F U' R B L' F
L' F' B' U F2 L' R'
L' F' B' U F2 R' L'
U' B L' B' U F L'
U B L' U F L' R
U B L' U F R L'
L' B U F L' D2 R2
B' F L' F R' D B2
B' F U L' R' F B'
B' F U L' R' B' F
B' F U L' F R' B'
B' F U R' L' F B'
B' F U R' L' B' F
R' B' L' U R' F L'
R' B' L' U F L' R'
R' B' L' U F R' L'
U' B' L' B' U F L'
R2 B' L' U R' F L'
R2 B' L' U F L' R'
R2 B' L' U F R' L'
L' B' R U R2 F L'
L' B' R U F L' R2
L' B' R U F R2 L'
U B' L' U F L' R
U B' L' U F R L'
R B' L' U R' F L'
R B' L' U F L' R'
R B' L' U F R' L'
L' B' R2 U R F L'
L' B' U R F L' R2
L' B' U R F R2 L'
L' B' U R' F L' D
L' B' U R' F L' D'
L' B' U R' F L' D2
L' B' U R' F D L'
L' B' U R' F D' L'
L' B' U R' F D2 L'
L' B' U F L' R' D
L' B' U F L' R' D'
L' B' U F L' R' D2
L' B' U F L' D R'
L' B' U F L' D' R'
L' B' U F L' D2 R'
L' B' U F R' L' D
L' B' U F R' L' D'
L' B' U F R' L' D2
L' B' U F R' D L'
L' B' U F R' D' L'
L' B' U F R' D2 L'
L' B' U F D L' R'
L' B' U F D R' L'
L' B' U F D' L' R'
L' B' U F D' R' L'
L' B' U F D2 L' R'
L' B' U F D2 R' L'
F B' L' F R' D B2
F B' U L' R' F B'
F B' U L' R' B' F
F B' U L' F R' B'
F B' U R' L' F B'
F B' U R' L' B' F
L' B' F' U F2 L' R'
L' B' F' U F2 R' L'
U' B2 L' B' U F L'
U B2 L' U F L' R
U B2 L' U F R L'
