R U F' R2 B2 U
R U F' B2 R2 U
R U B2 F' R2 U
U R F' R2 B2 U
U R F' B2 R2 U
U R B2 F' R2 U
U R' B2 U2 B' U'
R' B2 U2 B' U' B
L' R U F' R2 B2 U
L' R U F' B2 R2 U
L2 R U F' R2 B2 U
L R U F' R2 B2 U
L2 R U F' B2 R2 U
L R U F' B2 R2 U
L' R U B2 F' R2 U
R L U F' R2 B2 U
R L U F' B2 R2 U
L2 R U B2 F' R2 U
L R U B2 F' R2 U
R L U B2 F' R2 U
R' L B2 U2 B' U' B
R L' U F' R2 B2 U
R L' U F' B2 R2 U
R L' U B2 F' R2 U
R' L' B2 U2 B' U' B
L' R' B2 U2 B' U' B
L2 R' B2 U2 B' U' B
L R' B2 U2 B' U' B
R L2 U F' R2 B2 U
R L2 U F' B2 R2 U
R L2 U B2 F' R2 U
U L2 R' B2 L2 F U
R' L2 B2 U2 B' U' B
L' U R F' R2 B2 U
L' U R F' B2 R2 U
L' U R B2 F' R2 U
L2 U R F' R2 B2 U
L2 U R F' B2 R2 U
R2 U R F' B2 U L'
L U R F' R2 B2 U
L U R F' B2 R2 U
L2 U R B2 F' R2 U
R2 U R B2 F' U L'
L U R B2 F' R2 U
L' U R' B2 U2 B' U'
L2 U R' B2 U2 B' U'
L U R' B2 U2 B' U'
R' U R2 F' B2 U F
R' U R2 B2 F' U F
R U R2 B2 U2 B' U'
R U D' F' U F' R2
R U F R2 F2 B2 U
R U F R2 B2 F2 U
R U F B2 R2 F2 U
R U F' R B2 R U
R U F' R2 U D' R2
R U F' R2 D' U R2
R U F' R2 B2 U D
R U F' R2 B2 U D'
R U F' R2 B2 U D2
R U F' R2 B2 D U
R U F' R2 B2 D' U
R U F' R2 B2 D2 U
R U F' U D' R2 F2
R U F' U D' F2 R2
R U F' D' U R2 F2
R U F' D' U F2 R2
R U F' B' R2 B' U
R U F' B2 R2 U D
R U F' B2 R2 U D'
R U F' B2 R2 U D2
R U F' B2 R2 D U
R U F' B2 R2 D' U
R U F' B2 R2 D2 U
R U F' B2 U D' F2
R U F' B2 D' U F2
R U F2 R2 F B2 U
R U F2 R2 B2 F U
U2 R U' F' R2 B2 U
U2 R U' F' B2 R2 U
R U F2 B2 R2 F U
U2 R U' B2 F' R2 U
R U B' F' R2 B' U
R2 U B2 R F' U L'
R U B2 R2 U2 B U'
R U B2 D' F' U F'
R U B2 F R2 F2 U
R U B2 F' R2 U D
R U B2 F' R2 U D'
R U B2 F' R2 U D2
R U B2 F' R2 D U
R U B2 F' R2 D' U
R U B2 F' R2 D2 U
R U B2 F' U D' F2
R U B2 F' D' U F2
R U B2 F2 R2 F U
U R D' F' U F' R2
U2 R F D' L2 R2 F2
U2 R F D' L2 F2 R2
U2 R F D' R2 L2 F2
U2 R F D' R2 F2 L2
U2 R F D' F2 L2 R2
U2 R F D' F2 R2 L2
U R F R2 F2 B2 U
U R F R2 B2 F2 U
F2 R F' R2 B2 U B'
U2 R F' R2 B2 U B2
U R F B2 R2 F2 U
U' R F' B2 L R2 U
U' R F' B2 R2 L U
U R F' R B2 R U
U R F' R2 U D' R2
U R F' R2 D' U R2
U R F' R2 B2 U D
U R F' R2 B2 U D'
U R F' R2 B2 U D2
U R F' R2 B2 D U
U R F' R2 B2 D' U
U R F' R2 B2 D2 U
F2 R F' B2 R2 U B
U R F' U D' R2 F2
U R F' U D' F2 R2
U2 R F' B2 R2 U B2
U R F' D' U R2 F2
U R F' D' U F2 R2
U R F' B' R2 B' U
U R F' B2 R2 U D
U R F' B2 R2 U D'
U R F' B2 R2 U D2
U R F' B2 R2 D U
U R F' B2 R2 D' U
U R F' B2 R2 D2 U
U R F' B2 U D' F2
U R F' B2 D' U F2
U R F2 R2 F B2 U
U R F2 R2 B2 F U
U R F2 B2 R2 F U
U' R B2 L F' R2 U
U R B' F' R2 B' U
U' R B2 F' L R2 U
U' R B2 F' R2 L U
F2 R B2 F' R2 U B
U2 R B2 F' R2 U B2
U R B2 R2 U2 B U'
U R B2 D' F' U F'
U R B2 F R2 F2 U
U R B2 F' R2 U D
U R B2 F' R2 U D'
U R B2 F' R2 U D2
U R B2 F' R2 D U
U R B2 F' R2 D' U
U R B2 F' R2 D2 U
U R B2 F' U D' F2
U R B2 F' D' U F2
U R B2 F2 R2 F U
R U' D2 F2 L2 B' U'
U R' L2 B2 L2 F U
B2 R' U2 L B U' B'
U R' U2 D' B U' R2
U R' U2 D2 F2 B U'
U R' U2 D2 B F2 U'
U R' U2 B U2 B U
U R' D' U2 B U' R2
U R' D2 U2 F2 B U'
U R' D2 U2 B F2 U'
U R' F B2 U2 B' U'
U R' F' B2 U2 B' U'
U R' F2 B2 U2 B' U'
F' R' B2 L2 F U B'
U2 R' B2 L2 F U B2
