R2 D2 B' L D F2
B' L R2 F D L' F2
B' L R2 F' D F2 L'
R2 L F D L' F2 B'
R2 L F D L' B' F2
R2 L F' D F2 L' B'
B' L F R2 D L' F2
B2 L' F U' L' B R2
B2 L' F U' B L' R2
B2 L' F U' B R2 L'
B L' F U' L' R2 B2
B L' F U' L' B2 R2
B L' F U' R2 L' B2
B L' F U' R2 B2 L'
B L' F U' B2 L' R2
B L' F U' B2 R2 L'
B L' F' U' R2 B2 L
L R2 F D L' F2 B'
L R2 F D L' B' F2
B' L2 R2 F L' D F2
L R2 F' D F2 L' B'
L' U L' F U2 L' R2
L' U L' F U2 R2 L'
B' L2 F L' R2 D F2
B' L2 F R2 L' D F2
F' R U2 D R F' B'
F' R U2 D R B' F'
F' R U2 D B' R F'
F' R U2 B' D R F'
F' R D U2 R F' B'
F' R D U2 R B' F'
F' R D U2 B' R F'
L' U' L R2 D2 B' L
L' U' R2 L D2 B' L
F R' U' R' B' L' F'
B' R2 L F D L' F2
B' R2 L F' D F2 L'
B' R2 L2 F L' D F2
F2 R2 U' R' F' U B'
U' R2 D2 B' L D F2
U2 R2 D2 B' L D F2
U R2 D2 B' L D F2
B' R2 F' D' F2 L' F
F2 R2 F' B' D L' F
F2 R2 B' D F' L' F
F2 R2 B' F' D L' F
B' U L' F U' L' R2
B' U L' F U' R2 L'
F U R2 B' L F L2
F U B L' B2 R2 F'
F U B' L R2 F L2
F U B' L F L2 R2
F U B' L F R2 L2
F U B' R2 L F L2
F U' R2 D2 B' L' F
F U' R2 B' D2 L' F
R' D2 R' B' L D F2
R D2 R B' L D F2
F U' B' L' R' F' R'
F U' B' R' L' F' R'
F U' B' R2 D2 L' F
R2 D2 B' L U L2 U'
R2 D2 B' L D F2 D
R2 D2 B' L D F2 D'
R2 D2 B' L D F2 D2
R2 D2 B' L F D F2
R2 D2 B' L F' D F2
R2 D2 B' L F2 D F2
R2 D2 B' U L' U' L2
R2 D2 B' D L D F2
R2 D2 B' D' L D F2
R2 D2 B' D2 L D F2
R D2 B' L R D F2
R D2 B' L D R F2
R D2 B' R L D F2
L F L2 U' L R2 B'
L F L2 U' L B' R2
L F L2 U' R2 L B'
L' F U' L R2 B' L2
L F R2 D L' F2 B'
L F R2 D L' B' F2
L' F U' L B' L2 R2
L' F U' L B' R2 L2
R' F U' R' B' L' F'
L' F U' R2 L B' L2
L2 F U' L U' L2 R2
L2 F U' L U' R2 L2
L2 F U2 L' R2 D F2
L2 F U2 R2 L' D F2
L' F' U' R2 B2 L B'
B D' L' F2 R2 B U'
R2 F' D' F2 B' L' F
R2 F' D' B' F2 L' F
R2 F' B' D' F2 L' F
F' D' F2 U' B' L' F
D F2 R F' B2 U B
D F2 R B2 F' U B
B F U L' B2 R2 F'
F B U L' B2 R2 F'
R2 B' L F D L' F2
R2 B' L F' D F2 L'
R2 B' L2 F L' D F2
D2 B' D L D R2 F2
D2 B' D L D F2 R2
F2 B' R2 U' R' F' U
D2 B' D2 L R2 D F2
D2 B' D2 R2 L D F2
R2 B' F' D' F2 L' F
B' F2 R2 U' R' F' U
