D' L2 U' R B'
D' L2 U' B' R
L2 U' R F2 B'
L2 U' R B' F2
R' U' F2 R2 B
L2 U' B' R F2
U' R' F2 R2 B
L2 R' U' R2 F2 B'
L2 R' U' R2 B' F2
L2 R' U' F2 R2 B'
L2 R' U' F2 B' R2
L2 R' U' B' R2 F2
L2 R' U' B' F2 R2
U L' U2 R F2 B
U L' U2 R B F2
R' L2 U' R2 F2 B'
R' L2 U' R2 B' F2
R' L2 U' F2 R2 B'
R' L2 U' F2 B' R2
R' L2 U' B' R2 F2
R' L2 U' B' F2 R2
L2 R2 U' R' F2 B'
L2 R2 U' R' B' F2
R2 L2 U' R' F2 B'
R2 L2 U' R' B' F2
L2 R2 U' F2 R' B'
R2 L2 U' F2 R' B'
U' L2 R F2 B' L2
U' L2 R B' L2 F2
U' L2 R B' F2 L2
D' L2 R' U' R2 B'
D' L2 R' U' B' R2
D' L2 R2 U' R' B'
U2 L2 U R F2 B'
U2 L2 U R B' F2
D' L2 U' R D B'
D' L2 U' R D' B'
D' L2 U' R D2 B'
D' L2 U' R B' D
D' L2 U' R B' D'
D' L2 U' R B' D2
D' L2 U' R' B' R2
U2 L2 U B' R F2
D' L2 U' D R B'
D' L2 U' D B' R
D' L2 U' D' R B'
D' L2 U' D' B' R
D' L2 U' D2 R B'
D' L2 U' D2 B' R
D' L2 U' B R B2
D' L2 U' B' R D
D' L2 U' B' R D'
D' L2 U' B' R D2
D' L2 U' B' D R
D' L2 U' B' D' R
D' L2 U' B' D2 R
U L2 U2 R F2 B'
U L2 U2 R B' F2
D' L2 D U' R B'
D' L2 D U' B' R
U L2 U2 B' R F2
D' L2 D' U' R B'
D' L2 D' U' B' R
D' L2 D2 U' R B'
D' L2 D2 U' B' R
U' L2 B' L2 R F2
U' L2 B' R L2 F2
U' L2 B' R F2 L2
R' U F U2 R2 F
R' U F U2 F R2
R2 U F U2 R' F
R2 U F U2 F R'
U' R L2 F2 B' L2
U' R L2 B' L2 F2
U' R L2 B' F2 L2
U' R U2 F U2 F
U' R F' D2 F' B2
U' R F' D2 B2 F'
L2 U' R F2 D B'
L2 U' R F2 D' B'
L2 U' R F2 D2 B'
L2 U' R F2 B' D
L2 U' R F2 B' D'
L2 U' R F2 B' D2
U' R F2 R2 B R2
L2 U' R B' F2 D
L2 U' R B' F2 D'
L2 U' R B' F2 D2
U' R F2 U2 F' U2
R2 U' R F2 R2 B
L2 U' R' F2 R2 B'
L2 U' R' F2 B' R2
L2 U' R' B' R2 F2
L2 U' R' B' F2 R2
L2 U' R2 F2 R' B'
D' R' L2 U' R2 B'
D' R' L2 U' B' R2
R' U' F2 R2 D B
R' U' F2 R2 D' B
R' U' F2 R2 D2 B
R' U' F2 R2 B D
R' U' F2 R2 B D'
R' U' F2 R2 B D2
R' U' F2 B R2 B
R' U' F2 B' R2 B
R' U' F2 B2 R2 B
U2 R' U F2 R2 B
R2 U' F2 R2 B R
R' U' B F2 R2 B
L2 U' B R F2 B2
L2 U' B R B2 F2
R' U' B' F2 R2 B
L2 U' B' R F2 D
L2 U' B' R F2 D'
L2 U' B' R F2 D2
L2 U' B' R' F2 R2
L2 U' B' R2 F2 R'
R' U' B2 F2 R2 B
U' R' F2 R2 D B
U' R' F2 R2 D' B
U' R' F2 R2 D2 B
U' R' F2 R2 B D
U' R' F2 R2 B D'
U' R' F2 R2 B D2
U R' F2 L' R2 B
U' R' F2 B R2 B
U' R' F2 B' R2 B
U' R' F2 B2 R2 B
U R' F2 R2 L' B
U R' F2 R2 B L'
U' R' B F2 R2 B
U' R' B' F2 R2 B
U' R' B2 F2 R2 B
D' R2 L2 U' R' B'
U' R2 F2 R2 B R
R' D' L2 F2 U' B'
R2 D' L2 U' R' B'
U F U2 F' R F2
U F U2 F' R F2
R' F' U' F' R2 B
U F2 L' F' U2 F
U' F2 U2 L' F' U2
U' B R' F2 R2 B
U' B' R' F2 R2 B
U' B2 R' F2 R2 B
U L R F2 B2 L B'
U L R B2 L F2 B'
U L R B2 L B' F2
U L R B2 F2 L B'
R2 L U' F2 D2 R' B
