D L' F2 U' L2 F'
D L' F2 U' F' L2
U L2 U2 D L' F
U L2 D U2 L' F
B2 U L2 R' U2 F'
B2 U R' L2 U2 F'
D2 F L' U' L2 R2
D2 F L' U' R2 L2
D F2 L' U' F L2
D F2 U' L' F L2
D L R2 D B2 R2 F'
B2 L U L R' U2 F'
B2 L U R' L U2 F'
U' L U' B2 U R' F'
U' L U2 D L B' U2
U L D L B' U2 L'
U' L D U2 L B' U2
D2 L F L' U' L R2
D2 L F L' U' R2 L
D L F2 L2 U' F L2
B2 L' U L' R' U2 F'
B2 L' U R' L' U2 F'
D2 L' F L' U' L' R2
D2 L' F L' U' R2 L'
U' L' F2 L2 D' R F'
D L' F2 L U' L F'
D L' F2 L U' F' L
D L' F2 L' U' L' F'
D L' F2 U' L F' L
D L' F2 U' L2 D F'
D L' F2 U' L2 D' F'
D L' F2 U' L2 D2 F'
D L' F2 U' L2 F' D
D L' F2 U' L2 F' D'
D L' F2 U' L2 F' D2
D L' F2 U' F L2 F2
D L' F2 U' F' L2 D
D L' F2 U' F' L2 D'
D L' F2 U' F' L2 D2
D L' F2 D' B2 U' F'
D L' F2 B U' L2 F'
D L' F2 B U' F' L2
D L' F2 B' U' L2 F'
D L' F2 B' U' F' L2
D L' F2 B2 U' L2 F'
D L' F2 B2 U' F' L2
L2 R2 U2 D L' F B2
L2 R2 U2 D L' B2 F
R2 L2 U2 D L' F B2
R2 L2 U2 D L' B2 F
L2 R2 U2 D B2 L' F
R2 L2 U2 D B2 L' F
D L' B F2 U' L2 F'
D L' B F2 U' F' L2
L2 R2 D L' F B2 R'
L2 R2 D L' B2 R' F
L2 R2 D L' B2 F R'
R2 L2 D L' F B2 R'
R2 L2 D L' B2 R' F
R2 L2 D L' B2 F R'
L2 R2 D U2 L' F B2
L2 R2 D U2 L' B2 F
R2 L2 D U2 L' F B2
R2 L2 D U2 L' B2 F
L2 R2 D U2 B2 L' F
R2 L2 D U2 B2 L' F
D L' B' F2 U' L2 F'
D L' B' F2 U' F' L2
L2 R2 D' F2 R U2 F'
R2 L2 D' F2 R U2 F'
D L' B2 F2 U' L2 F'
D L' B2 F2 U' F' L2
U L2 R U2 D L' F
U L2 R D U2 L' F
U L2 R' U2 D L' F
U L2 R' D U2 L' F
U L2 R2 U2 D L' F
U L2 R2 D U2 L' F
B' L2 U' L' B' U' B
D2 L2 U' R2 D' L' F
U L2 U' B' L U' L2
U L2 U2 D L' D F
U L2 U2 D L' D' F
U L2 U2 D L' D2 F
U L2 U2 D L' F D
U L2 U2 D L' F D'
U L2 U2 D L' F D2
U L2 D R U2 L' F
U L2 D R' U2 L' F
U L2 D R2 U2 L' F
U L2 D U2 L' D F
U L2 D U2 L' D' F
U L2 D U2 L' D2 F
U L2 D U2 L' F D
U L2 D U2 L' F D'
U L2 D U2 L' F D2
U L2 D B U2 L' F
U L2 D B' U2 L' F
U L2 D B2 U2 L' F
U L2 D' R U2 L' F'
U L2 D' R' B U2 L'
L' U L' U2 D L' F
L' U L' D U2 L' F
U L2 B U R' U L'
U L2 B' U' L U' L2
U L2 B' U2 L' D F2
U R L2 U2 D L' F
U R L2 D U2 L' F
U R' L2 U2 D L' F
U R' L2 D U2 L' F
L' U' F2 L2 D' R F'
L2 U' B' L U' L2 B
L2 U' B' L U' B L2
L U' B2 U R' F' B2
L U' B2 U R' B2 F'
D R2 L D B2 R2 F'
U R2 L2 U2 D L' F
U R2 L2 D U2 L' F
L2 U2 B R' U L' R
L2 U2 B R' U R L'
D' R2 D L B2 R' F'
D2 R2 D' L' F L2 B'
D2 R2 F L D F2 B2
D2 R2 F L D B2 F2
R2 D L B2 D R2 F'
B2 U L2 R B R2 U2
B2 U L2 R' U2 D F'
B2 U L2 R' U2 D' F'
B2 U L2 R' U2 D2 F'
B2 U L2 R' U2 F' D
B2 U L2 R' U2 F' D'
B2 U L2 R' U2 F' D2
B2 U L2 R' D U2 F'
B2 U L2 R' D' U2 F'
B2 U L2 R' D2 U2 F'
F' U L2 U2 D L' F
B2 U L2 R' B U2 F'
B2 U L2 R' B' U2 F'
B2 U L2 R' B2 U2 F'
F' U L2 D U2 L' F
B2 U L2 D R' U2 F'
F2 U L2 U2 D L' F
B2 U L2 D' R' U2 F'
F2 U L2 D U2 L' F
B2 U L2 D2 R' U2 F'
B2 U L2 B2 U2 L F
B2 U R L2 B R2 U2
F U L2 U2 D L' F
F U L2 D U2 L' F
B2 U R B L2 R2 U2
B2 U R B R2 L2 U2
B2 U R' L2 U2 D F'
B2 U R' L2 U2 D' F'
B2 U R' L2 U2 D2 F'
B2 U R' L2 U2 F' D
B2 U R' L2 U2 F' D'
B2 U R' L2 U2 F' D2
B2 U R' L2 D U2 F'
B2 U R' L2 D' U2 F'
B2 U R' L2 D2 U2 F'
B2 U R' L2 B U2 F'
B2 U R' L2 B' U2 F'
B2 U R' L2 B2 U2 F'
B2 U R' U2 D2 F' R2
B2 U R' U2 F' D2 R2
B2 U R' D2 U2 F' R2
B2 U R' B L2 U2 F'
B2 U R' B' L2 U2 F'
B2 U R' B2 L2 U2 F'
B2 U D2 R' U2 F' R'
D' U' L R D' F' R2
D' U' L R F' D' R2
U' D' L R D' F' R2
U' D' L R F' D' R2
D' U' L R' D' R2 F'
D2 U' L R D R F'
U' D' L R' D' R2 F'
L D' R2 D B2 R' F'
D2 U' L2 R2 D' L' F
U' D' R L D' F' R2
D' U' R L D' F' R2
U' D' R L F' D' R2
D' U' R L F' D' R2
D2 U' R L D R F'
D' U' R D' L F' R2
U' D' R D' L F' R2
D' U' R D' F' L R2
D' U' R D' F' R2 L
U' D' R D' F' L R2
U' D' R D' F' R2 L
D2 U' R D L R F'
D2 U' R D R L F'
D2 U' R D R F' L
D' U' R F' L D' R2
U' D' R F' L D' R2
D' U' R F' D' L R2
U' D' R F' D' L R2
D' U' R F' D' R2 L
U' D' R F' D' R2 L
D' U' R' L D' R2 F'
U' D' R' L D' R2 F'
U' D' R' D' L R2 F'
D' U' R' D' L R2 F'
U' D' R' D' R2 L F'
U' D' R' D' R2 F' L
D' U' R' D' R2 L F'
D' U' R' D' R2 F' L
D2 U' R2 L2 D' L' F
D2 U' R2 D' L' F L2
D2 U' R2 F L D F2
D2 U' F L R2 D F2
D2 U' F R2 L D F2
L' D' F2 B2 U' R F'
L' D' B2 U' F2 R F'
L' D' B2 F2 U' R F'
U' D2 L R D R F'
U2 D' B2 U' R' B U2
U' D2 L2 R2 D' L' F
U' D2 R L D R F'
U' D2 R D L R F'
U' D2 R D R L F'
U' D2 R D R F' L
B2 U' B2 L F B2 R'
B2 U' B2 L B2 R' F
B2 U' B2 L B2 F R'
