R' B U L B U
B L D B R' U L
R' L B U L B U
B L B R U L F'
B L B R U F' L
R' L' B U L B U
L' R' B U L B U
L2 R' B U L B U
L R' B U L B U
R' L2 B U L B U
B2 R U D L F' B'
B2 R U D L B' F'
B2 R U D F' L B'
B2 R U F' D L B'
B2 R D U L F' B'
B2 R D U L B' F'
B2 R D U F' L B'
U R' U2 D' R2 F' B
U R' U2 D' R2 B F'
U R' D L2 F' B U2
U R' D L2 B F' U2
U R' D F' L2 B U2
U R' D F' B L2 U2
U R' D B L2 F' U2
U R' D B F' L2 U2
U R' D' U2 R2 F' B
U R' D' U2 R2 B F'
U R' D' F' U2 R2 F'
U R' D' F' B U2 R2
U R' D' B U2 R2 B
U R' D' B F' U2 R2
U R' F' U2 D' R2 F'
U R' F' D L2 B U2
U R' F' D B L2 U2
U R' F' D' U2 R2 F'
U R' F' D' B U2 R2
U R' F' B U B U
F' R' B U L B U
U' R' B U B L U
F2 R' B U L B U
F R' B U L B U
U R' B F' U B U
R' D L2 B U L U
D2 R2 F2 U' L' F B'
D2 R2 F2 U' L' B' F
R' D B L2 U L' U
R' D' B U L U R2
B D L B R' U L
R' F B U L B U
R' F' B U L B U
R' F2 B U L B U
R' B L U B U B'
R' B L' U L2 B U
R' B L' U B L2 U
B2 D2 F L' U F L2
R' B L2 U L' B U
R' B L2 U B L' U
R' B U L D B U
R' B U L D' B U
R' B U L D2 B U
R' B U L B U D
R' B U L B U D'
R' B U L B U D2
R' B U L B D U
R' B U L B D' U
R' B U L B D2 U
R' B U L' B L2 U
R' B U L2 B L' U
R' B U D L B U
R' B U D' L B U
R' B U D2 L B U
R' B D U L B U
R' B D' U L B U
R' B D2 U L B U
R' B F U L B U
R' B F' U L B U
R' B F2 U L B U
U B2 R U L F' B
U B2 R U L B F'
U B2 R U F' L B
