L' B' U L2 U2 B'
L' B' U F L2 U2
F2 L U R F U B'
U' L D' B2 U2 B L
L' R B' U L2 U2 B'
L' R B' U F L2 U2
U2 L' U F L2 R U2
U2 L' U F R L2 U2
R' L' B' U L2 U2 B'
L' R' B' U L2 U2 B'
R' L' B' U F L2 U2
L' R' B' U F L2 U2
R2 L' B' U L2 U2 B'
R2 L' B' U F L2 U2
R L' B' U L2 U2 B'
R L' B' U F L2 U2
B' L' B' U F U2 R'
B L' B' U F L U2
L' R2 B' U L2 U2 B'
L' R2 B' U F L2 U2
L' U L2 U F U B'
L U D F U F B'
L U D F U B' F
L' U F L2 U F U
L U D2 R2 F U B'
L U D2 F R2 U B'
L U F U D F2 B'
L U F U D B' F2
L U F U B' D F2
L U F D U F2 B'
L U F D U B' F2
L U F D2 R2 U B'
L U' L2 B' U F U2
L U' B L2 B' U' B'
L U' B' L2 B' U' B
L U' B2 L2 B' U' B2
L U2 F' D' B' L2 F
L U2 B' U L2 B' U'
L D U F U F B'
L D U F U B' F
L' D F2 R2 B' U' B2
L' D F2 B' R2 U' B
L' D F2 B' U F' U2
L' D B' F2 R2 U' B
L' D B' F2 U F' U2
L D' B2 U F U B
L D2 U R2 F U B'
L D2 U F R2 U B'
L' D2 F2 B' U' R2 B
L' D2 B' U F U2 R2
L' D2 B' F2 U' R2 B
L' F L2 U' L2 B' U'
L' F' D R2 F2 B' U'
L' F' D R2 B' F2 U'
L' F' D F2 R2 B' U'
L' F' D F2 B' R2 U'
L' F' D B' R2 F2 U'
L' F' D B' F2 R2 U'
L F' U2 D' B' L2 F
L F' D R2 U2 F2 B'
L F' D R2 U2 B' F2
L' F' D2 B' U' R2 B'
L' F' D2 B' U' B' R2
L F' D' U2 B' L2 F
L F' D' B2 U2 L2 B
L F' D' B2 U2 B L2
L' F' B' U L2 F2 U2
L' F' B' U F2 L2 U2
L' F' B' U' D2 R2 B2
L' F' B' U' D2 B2 R2
L' F' B' D R2 F2 U'
L' F' B' D F2 R2 U'
L' F' B' D2 U' R2 B2
L' F' B' D2 U' B2 R2
B' D2 L' B' U' R' B
L' F2 D2 B' U' R2 B
L' F2 B' U L2 F' U2
L' F2 B' U F' L2 U2
L' F2 B' U' D2 R2 B
L' F2 B' D2 U' R2 B
L B U' L2 B' U' B'
D2 B' L' B' U' R' B
L' B' R U L2 U2 B'
L' B' R U F L2 U2
L' B' R' U L2 U2 B'
L' B' R' U F L2 U2
L' B' R2 U L2 U2 B'
L' B' R2 U F L2 U2
L' B' U L2 U2 D B'
L' B' U L2 U2 D' B'
L' B' U L2 U2 D2 B'
L' B' U L2 U2 B' D
L' B' U L2 U2 B' D'
L' B' U L2 U2 B' D2
L' B' U L2 D U2 B'
L' B' U L2 D' U2 B'
L' B' U L2 D2 U2 B'
L' B' U L2 F U2 B'
L' B' U L2 F' U2 B'
L' B' U L2 F2 U2 B'
L' B' U D2 F U2 R2
L' B' U F L2 U2 D
L' B' U F L2 U2 D'
L' B' U F L2 U2 D2
L' B' U F L2 D U2
L' B' U F L2 D' U2
L' B' U F L2 D2 U2
L' B' U F U2 D2 R2
L' B' U F D2 U2 R2
L' B' U F' L2 F2 U2
L' B' U F2 L2 F' U2
L' B' D F2 R2 U' B
L' B' D F2 U F' U2
L' B' D2 U F U2 R2
L' B' D2 F2 U' R2 B
L' B' F' U L2 F2 U2
L' B' F' U F2 L2 U2
L' B' F' U' D2 R2 B2
L' B' F' U' D2 B2 R2
L' B' F' D R2 F2 U'
L' B' F' D F2 R2 U'
L' B' F' D2 U' R2 B2
L' B' F' D2 U' B2 R2
L' B' F2 U L2 F' U2
L' B' F2 U F' L2 U2
L' B' F2 U' D2 R2 B
L' B' F2 D2 U' R2 B
L B2 U' L2 B' U' B2
