L F' D R2 B U'
F' L R U F R U2
L R U' D' L2 B' R'
R L U' D' L2 B' R'
F' L R2 B U F U2
F' L U F U F2 U
F' L U F U2 D' L2
F' L U F D R2 U2
F' L U F D' U2 L2
L R D' U' L2 B' R'
F' L U2 L2 F' U B'
R L D' U' L2 B' R'
F' L U2 F' U D2 B2
F' L U2 F' U' F2 U2
F' L U2 F' D' L2 U
F' L U2 F' D2 U B2
U2 L F' R U' B L
D' L F' U F2 U2 L
D' L F' U' L D2 B2
D' L F' U' D2 L B2
D L F' U R2 F2 U2
D L F' U F2 R2 U2
D2 L F' D R2 U' L2
D L F' U' D2 L2 B2
D L F' U' D2 B2 L2
D' L F' D R2 U' L
U' L F' U2 L' F' U
D L F' D R2 B2 U'
D' L F' D2 U' L B2
D L F' D B2 R2 U'
D L F' D2 U' L2 B2
D L F' D2 U' B2 L2
D2 L F' B2 U F2 U2
U L F' U2 F' L' U
D2 L F' B2 U' D2 B2
D2 L F' B2 D R2 U'
D2 L F' B2 D2 U' B2
D2 L B2 F' U F2 U2
D2 L B2 F' U' D2 B2
D2 L B2 F' D R2 U'
D2 L B2 F' D2 U' B2
F' L' R2 B L2 U' B2
F2 L' U D F2 B' R'
F2 L' U D B' R' F2
F2 L' U D B' F2 R'
F2 L' U B' R' D F2
F2 L' U B' D R' F2
F2 L' U B' D F2 R'
F2 L' D U F2 B' R'
F2 L' D U B' R' F2
F2 L' D U B' F2 R'
F2 L' D2 R2 U B' R'
D2 L' F' B2 L2 U' B
D2 L' B2 L2 F' U' B
D2 L' B2 F' L2 U' B
F' R L U F R U2
F' R2 L B U F U2
F' R2 L' B L2 U' B2
L D F' U R2 F2 U2
L D F' U F2 R2 U2
L D F' U' D2 L2 B2
L D F' U' D2 B2 L2
L D F' D R2 B2 U'
L D F' D B2 R2 U'
L D F' D2 U' L2 B2
L D F' D2 U' B2 L2
F2 U F L U' L' B'
L D' R U' L2 B' R'
L' D' F' U' B' L2 F
L D' F' U F2 U2 L2
L D' F' U' L2 D2 B2
L' D' B' L2 F D R2
F2 U2 R F L U' B
L D2 F' D R2 U' L2
L D2 F' B2 U F2 U2
L D2 F' B2 U' D2 B2
L D2 F' B2 D R2 U'
L D2 F' B2 D2 U' B2
L D2 B2 F' U F2 U2
L D2 B2 F' U' D2 B2
L D2 B2 F' D R2 U'
L D2 B2 F' D2 U' B2
F2 U2 F L R U' B
F2 U2 F R L U' B
U' F' L U2 L2 F' U
U' F' L U2 F' L2 U
D' F' L U F U2 L
D' F' L U' L2 B' L'
D2 F' L U' D L2 B'
U' F' L D2 R2 B U'
D2 F' L D U' L2 B'
U2 F' L R U' B L
D2 F' L B2 U F U2
D F' L U R2 F U2
D F' L U F R2 U2
D F' L U' D2 L2 B'
D F' L D2 U' L2 B'
D2 F' L' B2 L2 U' B
U F' L U2 F' L' U
U2 F' R L U' B L
L' F' R2 B L2 U' B2
L F' R2 D B R2 U'
L F' R2 D2 B U' B
L F' R2 B U F2 U2
L F' R2 B U' D2 B2
L F' R2 B D R2 U'
L F' R2 B D2 U' B2
L F' U F2 U F U
L F' U2 D' L2 F' U
L F' U2 D' F' L2 U
L F' U2 D2 F' U B2
L F' U2 F' U' F' U2
L F' D R2 D B U'
L F' D R2 D' B U'
L F' D R2 D2 B U'
L F' D R2 B U' D
L F' D R2 B U' D'
L F' D R2 B U' D2
L F' D R2 B D U'
L F' D R2 B D' U'
L F' D R2 B D2 U'
L F' D B R2 B U'
L F' D B' R2 B U'
L F' D B2 R2 B U'
L F' D' U2 L2 F' U
L F' D' U2 F' L2 U
L F' D2 R2 B U' B
L F' D2 U2 F' U B2
L F' B D R2 B U'
L F' B' D R2 B U'
L F' B2 D R2 B U'
U F2 U2 F L R U'
U F2 U2 F R L U'
L B F' D R2 B U'
F2 B' L' U B' R' F'
L B' F' D R2 B U'
B' F2 L' U B' R' F'
B2 F2 L' R' U B' R'
F2 B2 L' R' U B' R'
B2 F2 R' L' U B' R'
F2 B2 R' L' U B' R'
L B2 F' D R2 B U'
