D L U2 B' L U' R'
F L B' U L R F'
F L B' U R L F'
F L B' U R F' L
D2 L' F R D' L' B2
D2 L' F R D' B2 L'
D2 L' F D' L' R B2
D2 L' F D' L' B2 R
D2 L' F D' R L' B2
D2 L' F D' R B2 L'
D2 L' F D' B2 L' R
D2 L' F D' B2 R L'
B R' B U' R' F' U'
L D2 F U L' R F
L D2 F U R L' F
D2 F L U L2 R F
D2 F L U R L2 F
D2 F L' R D' F B2
D2 F L' R D' B2 F
D2 F L' R F D' B2
D2 F L' D' R F B2
D2 F L' D' R B2 F
D2 F L' D' B2 R F
D2 F R L' D' F B2
D2 F R L' D' B2 F
D2 F R L' F D' B2
L F B' U L R F'
L F B' U R L F'
L F B' U R F' L
B' F U L R F' B
B' F U L R B F'
B' F U R L F' B
B' F U R L B F'
B' F U R F' L B
F B' U L R F' B
F B' U L R B F'
F B' U R L F' B
F B' U R L B F'
F B' U R F' L B
L B' F U L R F'
L B' F U R L F'
L B' F U R F' L
