F R F2 L2 U B'
F R F2 U' F U2
F' R' U2 L' U' B
F' R2 U2 L' U' B'
F' U2 L' R' U' B
F' U2 R' L' U' B
D' F L' R F2 U
D' F R L' F2 U
D' F' U2 L' R U'
D' F' U2 R L' U'
F2 D' F L' U F
F' L R D2 R2 U B
F L R F2 L2 U B'
F L R F2 U' F U2
F' L R' U D F2 B
F' L R' U D B F2
F' L R' U B D F2
F' L R' U2 L2 U' B
F' L R' D U F2 B
F' L R' D U B F2
F' L U2 L2 R' U' B
F' L U2 R' L2 U' B
F' L D2 L R2 U B'
F' L D2 R2 L U B'
D' L F L' R F2 U
D' L F R L' F2 U
D2 L F R F2 U B'
D' L F' U2 L' R U'
D' L F' U2 R L' U'
F' L' R U' F' U2 F
F L' R F2 L2 U B'
F L' R F2 U' F U2
D' L' F L' R F2 U
D' L' F R L' F2 U
D' L' F' U2 L' R U'
D' L' F' U2 R L' U'
F' L2 R' U2 L U' B
F L2 R F2 L2 U B'
F L2 R F2 U' F U2
F' L2 U2 L R' U' B
F' L2 U2 R' L U' B
F' L2 U2 D2 L U' B'
R' U L D' F L' B
R' U L D' F B L'
R' U L D' B F L'
R' U L B D' F L'
F' L2 D2 U2 L U' B'
D' L2 F L' R F2 U
D' L2 F R L' F2 U
D' L2 F' U2 L' R U'
D' L2 F' U2 R L' U'
R' U D B' L F B2
R' U D B' L B2 F
R' U D' L F L' B
R' U D' L F B L'
R' U D' L B F L'
F' L2 B2 R' B2 U B'
R' U D' B L F L'
F' R L D2 R2 U B
F' R L' U' F' U2 F
F R L F2 L2 U B'
F R L F2 U' F U2
F R L' F2 L2 U B'
F R L' F2 U' F U2
F R L2 F2 L2 U B'
F R L2 F2 U' F U2
R' U B L D' F L'
F R U' D R2 U2 B
F' R U2 L' R2 U' B
F' R U2 L' U F' U2
F R U' D F' R2 U2
R' U B D' L F L'
F R U' D' F' U2 L2
F R U' F' U F' U
F' R U2 R2 L' U' B
R' U B2 D B' L F
F R D U' R2 U2 B
F R D U' F' R2 U2
F R D' U' F' U2 L2
F R D' F2 U L2 B'
F R F D' F L2 U
F R F D2 F U B2
F R F2 L2 U D B'
F R F2 L2 U D' B'
F R F2 L2 U D2 B'
F R F2 L2 U B' D
F R F2 L2 U B' D'
F R F2 L2 U B' D2
F R F2 L2 D U B'
F R F2 L2 D' U B'
F R F2 L2 D2 U B'
F R F2 U L2 B' L2
F R F2 U' D F U2
F R F2 U' D' F U2
F R F2 U' D2 F U2
F R F2 U' F U2 D
F R F2 U' F U2 D'
F R F2 U' F U2 D2
F R F2 U' F D U2
F R F2 U' F D' U2
F R F2 U' F D2 U2
F R F2 D L2 U B'
F R F2 D U' F U2
F R F2 D' L2 U B'
F R F2 D' U' F U2
F R F2 D2 L2 U B'
F R F2 D2 U' F U2
F' R' L U D F2 B
F' R' L U D B F2
F' R' L U B D F2
F' R' L U2 L2 U' B
F' R' L D U F2 B
F' R' L D U B F2
F' R' L2 U2 L U' B
R U' F' R B U2 L
R U' F' R' U2 F' L'
F' R' U B U L' U'
R U' F' B U2 L F
R U' F' B' R' U2 F'
F R' U D' L2 F2 B
F R' U D' L2 B F2
F R' U D' F2 L2 B
F R' U D' F2 B L2
F R' U D' B L2 F2
F R' U D' B F2 L2
F R' U B D' L2 F2
F R' U B D' F2 L2
F' R' U2 L' U' D B
F' R' U2 L' U' D' B
F' R' U2 L' U' D2 B
F' R' U2 L' U' B D
F' R' U2 L' U' B D'
F' R' U2 L' U' B D2
F' R' U2 L' D U' B
F' R' U2 L' D' U' B
F' R' U2 L' D2 U' B
F' R' U2 D L' U' B
F' R' U2 D' L' U' B
F' R' U2 D2 L' U' B
R U' B F' U2 L F
F' R' D U2 L' U' B
R U' B' F' R' U2 F'
F' R' D' U2 L' U' B
F R' D' U L2 F2 B
F R' D' U L2 B F2
F R' D' U F2 L2 B
F R' D' U F2 B L2
F R' D' U B L2 F2
F R' D' U B F2 L2
F' R' D2 U2 L' U' B
D' R' F L' R F' U
D' R' F R L' F' U
R2 U2 L' B L U' B2
F2 R' F U2 L' U' B
R2 U2 L2 B L U' B'
F R' F2 R2 U' F' U2
F R' F2 U D' F2 B
F R' F2 U D' B F2
F R' F2 U B D' F2
F R' F2 D' U F2 B
F R' F2 D' U B F2
F' R2 U2 L' R U' B'
F' R2 U2 L' R' U' B'
F' R2 U2 L' R2 U' B'
F' R2 U2 L' U' D B'
F' R2 U2 L' U' D' B'
F' R2 U2 L' U' D2 B'
F' R2 U2 L' U' B' D
F' R2 U2 L' U' B' D'
F' R2 U2 L' U' B' D2
F' R2 U2 L' D U' B'
F' R2 U2 L' D' U' B'
R2 U2 B L U F U2
F' R2 U2 L' D2 U' B'
F' R2 U2 R L' U' B'
F' R2 U2 R' L' U' B'
F' R2 U2 R2 L' U' B'
F' R2 U2 D L' U' B'
F' R2 U2 D' L' U' B'
F' R2 U2 D2 L' U' B'
D2 R2 U2 B L U' B'
D R2 U2 B L R' U'
D R2 U2 B R' L U'
F' R2 D U2 L' U' B'
F' R2 D' U2 L' U' B'
F' R2 D2 U2 L' U' B'
F2 R2 F U2 L' U' B'
F2 R2 F' R F2 U B
F' R2 F2 R F2 U B
F R2 F2 R' U' F' U2
U2 R2 B L R U' B
U2 R2 B R L U' B
R' D U B' L F B2
R' D U B' L B2 F
D2 U L F D' B' L2
D2 U L F B' D' L2
D2 U L B' F D' L2
U2 D R2 B L R' U'
U2 D R2 B R' L U'
R' D' U L F L' B
R' D' U L F B L'
R' D' U L B F L'
R' D' U B L F L'
L' D' F L' R F2 U
L' D' F R L' F2 U
L2 D' F L' R F2 U
L2 D' F R L' F2 U
L D' F L' R F2 U
L' D' F' U2 L' R U'
L' D' F' U2 R L' U'
L D' F R L' F2 U
L2 D' F' U2 L' R U'
L2 D' F' U2 R L' U'
L D' F' U2 L' R U'
L D' F' U2 R L' U'
R' D2 L2 U B L F
U D2 L F D' B' L2
U D2 L F B' D' L2
U D2 L B' F D' L2
D2 U2 R2 B L U' B'
F' U2 L' R U F' U2
F' U2 L' R' U' D B
F' U2 L' R' U' D' B
F' U2 L' R' U' D2 B
F' U2 L' R' U' B D
F' U2 L' R' U' B D'
F' U2 L' R' U' B D2
F' U2 L' R' D U' B
F' U2 L' R' D' U' B
F' U2 L' R' D2 U' B
U2 D2 R2 B L U' B'
F' U2 L' U' R' B R
D U2 R2 B L R' U'
D U2 R2 B R' L U'
F' U2 L2 D2 L U' B'
F' U2 R L' U F' U2
F' U2 R' L' U' D B
F' U2 R' L' U' D' B
F' U2 R' L' U' D2 B
F' U2 R' L' U' B D
F' U2 R' L' U' B D'
F' U2 R' L' U' B D2
F' U2 R' L' D U' B
F' U2 R' L' D' U' B
F' U2 R' L' D2 U' B
F' U2 R' D L' U' B
F' U2 R' D' L' U' B
F' U2 R' D2 L' U' B
D' F L R F2 L2 U
D2 F L R F2 U B'
D' F L' R U D' L2
D' F L' R D' U L2
D' F L' R F2 U D
D' F L' R F2 U D'
D' F L' R F2 U D2
D' F L' R F2 D U
D' F L' R F2 D' U
D' F L' R F2 D2 U
F' U2 D2 L' U F U2
D' F L' R' F2 R2 U
D' F L' R2 F2 R' U
D' F L' D' R U L2
D' F L' F2 U2 L' U'
D' F L2 R F2 L U
D' F R L F2 L2 U
D' F R L' U D' L2
D' F R L' D' U L2
D' F R L' F2 U D
D' F R L' F2 U D'
D' F R L' F2 U D2
D' F R L' F2 D U
D' F R L' F2 D' U
D' F R L' F2 D2 U
D2 F R L F2 U B'
D' F R L2 F2 L U
D' F R D' L' U L'
D' F R F2 U2 R U'
D2 F R F2 L U B'
L' F R F2 L2 U B'
L' F R F2 U' F U2
D' F R' L' F2 R2 U
L2 F R F2 L2 U B'
L2 F R F2 U' F U2
B U2 F' B' R' U B
D' F R2 L' F2 R' U
L F R F2 L2 U B'
L F R F2 U' F U2
R F R' F' R2 U B
R2 F R2 F' R' U B
B U2 B' F' R' U B
D' F D' L' R U L'
D' F D' R L' U L'
D2 F' L U D F2 B'
D2 F' L U D B' F2
D2 F' L U B' D F2
D' F' L U2 L2 R U'
D' F' L U2 R L2 U'
D2 F' L D U F2 B'
D2 F' L D U B' F2
D2 F' L D2 R2 U B'
D2 F' L' U' F U2 F'
D' F' L2 U2 L R U'
D' F' L2 U2 R L U'
U2 F' L2 B' R' U B
D' F' R' U2 L' R2 U'
D' F' R' U2 R2 L' U'
L' F' R' U2 L' U' B
L2 F' R' U2 L' U' B
D' F' R2 U2 L' R' U'
D' F' R2 U2 R' L' U'
L' F' R2 U2 L' U' B'
L2 F' R2 U2 L' U' B'
L F' R' U2 L' U' B
L F' R2 U2 L' U' B'
D2 F' U2 L' U F U2
D' F' U2 L' R U' D
D' F' U2 L' R U' D'
D' F' U2 L' R U' D2
D' F' U2 L' R D U'
D' F' U2 L' R D' U'
D' F' U2 L' R D2 U'
D' F' U2 L' D R U'
D' F' U2 L' D' R U'
D' F' U2 L' D2 R U'
D' F' U2 R L' U' D
D' F' U2 R L' U' D'
D' F' U2 R L' U' D2
D' F' U2 R L' D U'
D' F' U2 R L' D' U'
D' F' U2 R L' D2 U'
D' F' U2 R D L' U'
D' F' U2 R D' L' U'
D' F' U2 R D2 L' U'
L' F' U2 L' R' U' B
D' F' U2 D L' R U'
D' F' U2 D R L' U'
L' F' U2 R' L' U' B
D' F' U2 D' L' R U'
D' F' U2 D' R L' U'
D' F' U2 D2 L' R U'
D' F' U2 D2 R L' U'
L2 F' U2 L' R' U' B
L2 F' U2 R' L' U' B
R2 F' U2 L' B U' B2
D' F' D U2 L' R U'
D' F' D U2 R L' U'
R2 F' U2 B L' U' B'
L F' U2 L' R' U' B
L F' U2 R' L' U' B
R F' U2 L' B' U' B
D' F' D' U2 L' R U'
D' F' D' U2 R L' U'
D' F' D2 U2 L' R U'
D' F' D2 U2 R L' U'
F2 D' R F L' U F
F2 D' R' F L' U F
F D' R F L' U L'
F2 D' R2 F L' U F
F2 D' F L' R U F
F2 D' F L' R' U F
F2 D' F L' R2 U F
F2 D' F L' U D F
F2 D' F L' U D' F
F2 D' F L' U D2 F
F2 D' F L' U F D
F2 D' F L' U F D'
F2 D' F L' U F D2
F2 D' F L' D U F
F2 D' F L' D' U F
F2 D' F L' D2 U F
F2 D' F R L' U F
F2 D' F R' L' U F
F2 D' F R2 L' U F
F' D2 L U D F2 B'
F' D2 L U D B' F2
F' D2 L U B' D F2
F' D2 L D U F2 B'
F' D2 L D U B' F2
F' D2 L D2 R2 U B'
F' D2 L' U' F U2 F'
L' F2 D' F L' U F
L2 F2 D' F L' U F
L F2 D' F L' U F
F' D2 U2 L' U F U2
B2 F' L2 B2 R' U B
U2 B' U2 F' R' U B
F' B2 L2 B2 R' U B
