F' R D B' L F
F' L R D' F L' B'
B L U' F' R F2 B2
B L U' F' R B2 F2
B L U' F' B2 R F2
B L U' B2 F' R F2
B' L F' R F2 D L2
B L F' U' R F2 B2
B L F' U' R B2 F2
B L F' U' B2 R F2
B L' U' B2 R2 F' R
B' L' F' R D L2 F
B' L' F' D L2 R F
B' L' F' D R L2 F
B' L' F2 D L2 F R
F' R L D' F L' B'
F' R D F B' L F
F' R D F' B' L F
F' R D F2 B' L F
F' R D B' L D F
F' R D B' L D' F
F' R D B' L D2 F
F' R D B' L F D
F' R D B' L F D'
F' R D B' L F D2
F' R D B' D L F
F' R D B' D' L F
F' R D B' D2 L F
F' R D B' F L F
F' R D B' F' L F
F' R D B' F2 L F
F' R D' L F L' B'
F2 R D B' L F R
F' R D' B' L F L'
F' R F D B' L F
F' R F' D B' L F
F' R F2 D B' L F
F' R B' L D' F L'
F' R B' D' L F L'
U2 R' U F' R B' L'
U2 R' U F' B' L' R
U2 R' U F' B' R L'
U2 R' U B' F' L' R
U2 R' U B' F' R L'
U2 R' F' R B' D L2
U2 R2 F' U R F' B'
U2 R2 F' U R B' F'
U2 R2 F' U B' R F'
D2 U B L U' R' B2
F' U B L U' R B2
F' U B L U' B2 R
F2 U B L F U' B2
D2 U' B U' R' F' B2
D2 U' B U' R' B2 F'
U' D2 B U' R' F' B2
U' D2 B U' R' B2 F'
B U2 R' U F' R B2
B U2 R' U F' B2 R
B U2 R' U B2 F' R
U D2 B L U' R' B2
L2 F L' U' B U' F
F2 U2 B' R' D L2 F'
F2 U2 B' R' D F' L2
F2 U2 B' R' F' D L2
F2 U2 B' D L2 R' F'
F2 U2 B' D R' L2 F'
F2 U2 B' D R' F' L2
F' D R D B' L F
R2 F' U B' R D' F2
F' D' R D B' L F
R F' D R B' L F
U' F' B L' U' R B2
U' F' B L' U' B2 R
R F' D B' L R F
R F' D B' R L F
U F' B L U' R B2
U F' B L U' B2 R
F' D2 R D B' L F
R F2 D B' L F R
D2 B L U' R' F B2
D2 B L U' R' B2 F
D2 B L U' F R' B2
U B L F' U' R B2
U B L F' U' B2 R
U2 B R' U' F' R B2
U2 B R' U' F' B2 R
U2 B R' U' B2 F' R
U' B U' R' F' R B2
U' B U' R' F' B2 R
U' B U' R' B2 F' R
L2 B U F L' U2 F
U' B U' B2 R' F' R
F' B L U' R F B2
F' B L U' R B2 F
F' B L U' B2 R F
U' B F' L' U' R B2
U' B F' L' U' B2 R
U B F' L U' R B2
U B F' L U' B2 R
B' F' L R D F L2
B' F' L R F D L2
B' F' L D R F L2
F' B' L R D F L2
F' B' L R F D L2
U2 B' R' F' R D L2
U2 B' R' F' D L2 R
U2 B' R' F' D R L2
F' B' L D R F L2
B' F' L' R D L2 F
F2 B' L D F L2 R
F2 B' L D F R L2
F2 B' L F R D L2
F2 B' L F D L2 R
F2 B' L F D R L2
B' F' L' D L2 R F
B' F' L' D R L2 F
F' B' L' R D L2 F
F' B' L' D L2 R F
F' B' L' D R L2 F
B F' L U' R F B2
B F' L U' R B2 F
B F' L U' B2 R F
F2 B' L' D L2 F R
B' F' R L D F L2
B' F' R L F D L2
B' F' R L' D L2 F
B' F' R D L F L
F' B' R L D F L2
F' B' R L F D L2
F' B' R L' D L2 F
F' B' R D L F L
B' F' D L R F L
B' F' D L2 D2 R F'
B' F' D R L F L
F' B' D L R F L
F' B' D L2 D2 R F'
F' B' D R L F L
F2 B' D L F L R
F2 B' D L F R L
B' F2 L D F L2 R
B' F2 L D F R L2
B' F2 L F R D L2
B' F2 L F D L2 R
B' F2 L F D R L2
B' F2 L' D L2 F R
B' F2 D L F L R
B' F2 D L F R L
