R2 B R' D F2
R2 B D R' F2
R2 B D F2 R'
L2 R2 U' L2 B R'
R2 L2 U' L2 B R'
L2 R2 U' B L2 R'
L2 R2 U' B R' L2
R2 L2 U' B L2 R'
R2 L2 U' B R' L2
U L2 R2 U' B R'
U L2 U' R2 B R'
R2 U L2 U' B R'
L2 U' L2 R2 B R'
L2 U' R2 L2 B R'
L2 U' R2 B L2 R'
L2 U' R2 B L2 R'
L2 U' R2 B R' L2
U R2 L2 U' B R'
B R2 D B R F2
D R2 F2 D' B R'
B R2 B R D F2
B R2 B D R F2
R2 D F2 D' B R'
R2 F B R' D F2
R2 F B D R' F2
R2 F B D F2 R'
B D R2 B R F2
R2 F' B R' D F2
R2 F' B D R' F2
R2 F' B D F2 R'
R2 F2 B R' D F2
R2 F2 B D R' F2
R2 F2 B D F2 R'
R' B R' D F2 B
R' B R' D B F2
R' B R' B D F2
R2 B R' U L2 U'
R2 B R' D F2 D
R2 B R' D F2 D'
R2 B R' D F2 D2
R2 B R' F D F2
R2 B R' F' D F2
R2 B R' F2 D F2
R2 B R2 D R F2
R2 B U L2 U' R'
R2 B D R F2 R2
R2 B D R' F2 D
R2 B D R' F2 D'
R2 B D R' F2 D2
R2 B D F R' F
R2 B D F2 R' D
R2 B D F2 R' D'
R2 B D F2 R' D2
R2 B D F2 D R'
R2 B D F2 D' R'
R2 B D F2 D2 R'
R2 B D' R' D2 F2
R2 B F R' D F2
R2 B F D R' F2
R2 B F D F2 R'
R2 B F' R' D F2
R2 B F' D R' F2
R2 B F' D F2 R'
R2 B F2 R' D F2
R2 B F2 D R' F2
R2 B F2 D F2 R'
R2 B2 D F2 B' R'
R2 B2 D B' R' F2
R2 B2 D B' F2 R'
R2 L B R' D L' F
R2 L B D L' R' F
R2 L B D L' F R'
R2 L B D R' L' F
L2 R' U' L2 R' B R'
L2 R' U' L2 B R' B
L2 R' U' R' L2 B R'
L2 R' U' R' B L2 R'
L2 R' U' R' B R' L2
L2 R' U' B L2 R' B
L2 R' U' B R' L2 B
L2 R' U' B R' B L2
L2 R' B U' L2 R' B
L2 R' B U' R' L2 B
L2 R' B U' R' B L2
L2 R2 U B L2 R' F
L2 R2 U B L2 F R'
L2 R2 U B R' L2 F
R' L2 U' L2 R' B R'
R2 L2 U B L2 R' F
R2 L2 U B L2 F R'
R2 L2 U B R' L2 F
R' L2 U' L2 B R' B
R' L2 U' R' L2 B R'
R' L2 U' R' B L2 R'
R' L2 U' R' B R' L2
L2 R2 U' L' B L' R'
L2 R2 U' L' B R' L'
R2 L2 U' L' B L' R'
R2 L2 U' L' B R' L'
L2 R2 U' L2 B R' D
L2 R2 U' L2 B R' D'
L2 R2 U' L2 B R' D2
L2 R2 U' L2 B D R'
L2 R2 U' L2 B D' R'
L2 R2 U' L2 B D2 R'
R2 L2 U' L2 B R' D
R2 L2 U' L2 B R' D'
R2 L2 U' L2 B R' D2
R2 L2 U' L2 B D R'
R2 L2 U' L2 B D' R'
R2 L2 U' L2 B D2 R'
R' L2 U' B L2 R' B
R' L2 U' B R' L2 B
R' L2 U' B R' B L2
L2 R2 U' B L2 R' D
L2 R2 U' B L2 R' D'
L2 R2 U' B L2 R' D2
L2 R2 U' B L2 D R'
L2 R2 U' B L2 D' R'
L2 R2 U' B L2 D2 R'
L2 R2 U' B R' L2 D
L2 R2 U' B R' L2 D'
L2 R2 U' B R' L2 D2
R2 L2 U' B L2 R' D
R2 L2 U' B L2 R' D'
R2 L2 U' B L2 R' D2
R2 L2 U' B L2 D R'
R2 L2 U' B L2 D' R'
R2 L2 U' B L2 D2 R'
R2 L2 U' B R' L2 D
R2 L2 U' B R' L2 D'
R2 L2 U' B R' L2 D2
U L2 R' U' R' B R'
U L2 R' U' B R' B
L2 R2 F U' L2 B R'
L2 R2 F U' B L2 R'
L2 R2 F U' B R' L2
R2 L2 F U' L2 B R'
R2 L2 F U' B L2 R'
R2 L2 F U' B R' L2
B L2 R2 U' L2 B R
B L2 R2 U' B L2 R
B L2 R2 U' B R L2
U L2 R2 U' B R' D
U L2 R2 U' B R' D'
U L2 R2 U' B R' D2
U L2 R2 U' B D R'
U L2 R2 U' B D' R'
U L2 R2 U' B D2 R'
U L2 R2 F U' B R'
L2 R2 F' U' L2 B R'
L2 R2 F' U' B L2 R'
L2 R2 F' U' B R' L2
R2 L2 F' U' L2 B R'
U L2 R2 F' U' B R'
R2 L2 F' U' B L2 R'
R2 L2 F' U' B R' L2
U L2 R2 F2 U' B R'
D L2 U F2 L2 B' R'
B L2 U F' U2 L2 R'
B L2 U F' U2 R' L2
U L2 U D2 F' U2 R
L2 R2 F2 U' L2 B R'
L2 R2 F2 U' B L2 R'
L2 R2 F2 U' B R' L2
R2 L2 F2 U' L2 B R'
R2 L2 F2 U' B L2 R'
R2 L2 F2 U' B R' L2
B L2 U' L2 R2 B R
B L2 U' R2 L2 B R
B L2 U' R2 B L2 R
B L2 U' R2 B R L2
R' L2 B U' L2 R' B
R' L2 B U' R' L2 B
R' L2 B U' R' B L2
L2 R2 B L2 R' D F2
L2 R2 B L2 D R' F2
L2 R2 B L2 D F2 R'
R2 L2 B L2 R' D F2
R2 L2 B L2 D R' F2
U L2 U' R' B R' B
R2 L2 B L2 D F2 R'
F2 L2 U' B L2 R' B2
F2 L2 U' B R' L2 B2
F2 L2 U' B R' B2 L2
U L2 U' R2 B R' D
U L2 U' R2 B R' D'
U L2 U' R2 B R' D2
U L2 U' R2 B D R'
U L2 U' R2 B D' R'
U L2 U' R2 B D2 R'
L2 R2 B R' L2 D F2
R2 L2 B R' L2 D F2
L R2 B R' D L' F
U L2 U' B R2 B R
L R2 B D L' R' F
L R2 B D L' F R'
L R2 B D R' L' F
L2 R2 B' U' B2 L2 R'
L2 R2 B' U' B2 R' L2
R2 L2 B' U' B2 L2 R'
R2 L2 B' U' B2 R' L2
U L2 D2 U F' U2 R
R' U L2 R' U' B R'
R' U L2 U' R' B R'
R' U L2 U' B R' B
R2 U L2 U' B R' D
R2 U L2 U' B R' D'
R2 U L2 U' B R' D2
R2 U L2 U' B D R'
R2 U L2 U' B D' R'
R2 U L2 U' B D2 R'
R U L2 U' R B R'
R2 U L2 F U' B R'
R2 U L2 F' U' B R'
R2 U L2 F2 U' B R'
R' U R' L2 U' B R'
B' L2 F2 U' L2 R B'
B' L2 F2 U' L2 B' R
B' L2 F2 U' R L2 B'
B L2 F2 U' L2 R' B'
B L2 F2 U' R' L2 B'
F2 L2 B U' L2 R' B2
F2 L2 B U' R' L2 B2
F2 L2 B U' R' B2 L2
L2 U R2 U2 L2 B R'
L2 U R2 U2 B L2 R'
L2 U R2 U2 B R' L2
F2 L2 B' L2 D F2 R
L2 U R2 B L2 R' F
L2 U R2 B L2 F R'
L2 U R2 B R' L2 F
L2 U D2 F' R2 U2 R'
R2 U F L2 U' B R'
R2 U F' L2 U' B R'
R2 U F2 L2 U' B R'
L2 U' L' R2 B L' R'
L2 U' L' R2 B R' L'
L2 U' L2 R' B R' B
L2 U' L2 R2 B R' D
L2 U' L2 R2 B R' D'
L2 U' L2 R2 B R' D2
L2 U' L2 R2 B D R'
L2 U' L2 R2 B D' R'
L2 U' L2 R2 B D2 R'
L2 U' L2 B R2 B R
D R F' D F' R B
D R F2 R D' B R'
L2 U' R' L2 B R' B
D R F2 D' R B R'
L2 U' R' B L2 R' B
L2 U' R' B R' L2 B
L2 U' R' B R' B L2
L2 U' R2 L' B L' R'
L2 U' R2 L' B R' L'
L2 U' R2 L2 B R' D
L2 U' R2 L2 B R' D'
L2 U' R2 L2 B R' D2
L2 U' R2 L2 B D R'
L2 U' R2 L2 B D' R'
L2 U' R2 L2 B D2 R'
L2 U' R2 B L2 R' D
L2 U' R2 B L2 R' D'
L2 U' R2 B L2 R' D2
L2 U' R2 B L2 D R'
L2 U' R2 B L2 D' R'
L2 U' R2 B L2 D2 R'
L2 U' R2 B R' L2 D
L2 U' R2 B R' L2 D'
L2 U' R2 B R' L2 D2
U R' L2 U' R' B R'
U R' L2 U' B R' B
B R' U L2 R' U' B
B R' U R' L2 U' B
L2 U' B L2 R2 B R
L2 U' B R2 L2 B R
L2 U' B R2 B L2 R
L2 U' B R2 B R L2
D R' F2 R' D' B R'
B2 R' B' R' D F2 B
B2 R' B' R' D B F2
B2 R' B' R' B D F2
B' R' B2 R' D F2 B
B' R' B2 R' D B F2
B' R' B2 R' B D F2
B R2 L2 U' L2 B R
B R2 L2 U' B L2 R
B R2 L2 U' B R L2
U R2 L2 U' B R' D
U R2 L2 U' B R' D'
U R2 L2 U' B R' D2
U R2 L2 U' B D R'
U R2 L2 U' B D' R'
U R2 L2 U' B D2 R'
U R2 L2 F U' B R'
U R2 L2 F' U' B R'
B R2 U L2 U' B R
U R2 L2 F2 U' B R'
U' R2 U B R' D F2
U' R2 U B D R' F2
U' R2 U B D F2 R'
U' R2 U2 L2 U' B R'
R2 U2 B R' D F2 L'
R2 U2 B D R' F2 L'
U R2 U' B R' D F2
U R2 U' B D R' F2
U R2 U' B D F2 R'
B' R2 D F2 B2 R' B'
B' R2 D B2 R' F2 B'
B' R2 D B2 R' B' F2
B' R2 D B2 F2 R' B'
B2 R2 D F2 B' R' B2
B2 R2 D B' R' F2 B2
B2 R2 D B' R' B2 F2
B2 R2 D B' F2 R' B2
B R2 D B R F2 D
B R2 D B R F2 D'
B R2 D B R F2 D2
B R2 D B R' F2 R2
B R2 D B R2 F2 R'
B R2 D B' R F2 B2
B R2 D B' R B2 F2
B R2 D B2 R F2 B'
B R2 D B2 R B' F2
D R2 D' B R' D F2
D R2 D' B D R' F2
D R2 D' B D F2 R'
B R2 D' B R2 F' R'
B R2 D2 B D' R F2
U R2 F L2 U' B R'
D R2 F D' F B R'
D R2 F D' B R' F
D R2 F D' B F R'
U R2 F' L2 U' B R'
D R2 F' D F' B R
D R2 F' D B F' R
D R2 F' D' F' B R'
D R2 F' D' B F' R'
D R2 F' B D F' R
D' R2 B R2 D' F' R
U R2 F2 L2 U' B R'
B R2 F2 D F2 B R
B R2 F2 D B F2 R
D R2 F2 D' B R' D
D R2 F2 D' B R' D'
D R2 F2 D' B R' D2
D R2 F2 D' B D R'
D R2 F2 D' B D' R'
D R2 F2 D' B D2 R'
R D R F2 D' B R'
B R2 F2 B D F2 R
B R2 B R U L2 U'
B R2 B R D F2 D
B R2 B R D F2 D'
B R2 B R D F2 D2
B R2 B R F D F2
B R2 B R F' D F2
B R2 B R F2 D F2
B R2 B R2 D R' F2
B R2 B R2 D F2 R'
B R2 B U L2 U' R
B R2 B D R F2 D
B R2 B D R F2 D'
B R2 B D R F2 D2
B R2 B D R' F2 R2
B R2 B D R2 F2 R'
B R2 B D' R D2 F2
B2 R2 B' R' B2 D F2
D R2 B F' D F' R
B R2 B F2 D F2 R
B R2 B' R B2 D F2
B' R2 B2 R' D F2 B'
B' R2 B2 R' D B' F2
B' R2 B2 R' B' D F2
B' R2 B2 D R' F2 B'
B' R2 B2 D R' B' F2
B' R2 B2 D F2 R' B'
B R2 B2 R D F2 B'
B R2 B2 R D B' F2
B R2 B2 R B' D F2
B R2 B2 D R F2 B'
B R2 B2 D R B' F2
B R2 B2 D B' R F2
B' U L2 U L' F' U2
R2 D F D' F B R'
R2 D F D' B R' F
R2 D F D' B F R'
B2 U L2 U F' L' U2
F2 U L2 U' B R' B2
B U L2 R2 U' B R
B U L2 U F' U2 R'
B U L2 U' R2 B R
R2 D F' D F' B R
R2 D F' D B F' R
R2 D F' D' F' B R'
R2 D F' D' B F' R'
R' D F2 D' R' B R'
R' D F2 D' B R' B
R2 D F' B D F' R
R D F' D F' R B
R2 D F2 D' B R' D
R2 D F2 D' B R' D'
R2 D F2 D' B R' D2
R2 D F2 D' B D R'
R2 D F2 D' B D' R'
R2 D F2 D' B D2 R'
R D F2 R D' B R'
R D F2 D' R B R'
R2 D B F' D F' R
B U R2 L2 U' B R
U2 D F' U2 D F' R
U2 D F' D U2 F' R
B2 U F2 L2 U' B' R'
B U F2 L2 U' R' B'
L2 D' R2 B2 U' B' R'
D2 U' R2 U D2 B R'
D2 U' R2 D2 U B R'
R2 D' B D' R2 F' R
B U' D2 R2 U B R
U2 D' B2 D' F' U2 R
L2 D2 U F' R2 U2 R'
U' D2 R2 U D2 B R'
U' D2 R2 D2 U B R'
B' U2 L F' U' L U'
D2 U2 F' U R2 U R'
D2 U2 F' U2 D' R F2
D2 U2 F' D B2 U2 R
R2 D2 F D' F2 B R
D2 U2 F' D' U2 R F2
R2 D2 F D' B F2 R
R2 D2 F B D' F2 R
U2 D2 F' U R2 U R'
U2 D2 F' U2 D' R F2
U2 D2 F' D B2 U2 R
U2 D2 F' D' U2 R F2
R D2 F D' F2 R B
R2 D2 F' D' B R F2
D U2 F' U2 D F' R
R2 D2 F' B D' R F2
D U2 F' D U2 F' R
R D2 F' D' R F2 B
R D2 F' D' R B F2
R2 D2 B F D' F2 R
R2 D2 B F' D' R F2
B' U2 D L F' U2 F'
B' U2 D F' L U2 F'
D' U2 B2 D' F' U2 R
B2 U2 D F' L' U2 F'
B' U2 D' L F' B2 U2
B' U2 D' L B2 F' U2
B' U2 D' F' L B2 U2
B' U2 D' F' B2 U2 R'
B2 U2 D' F' L' B2 U2
B' U2 D' B2 F' U2 R'
B2 U2 D' F' B2 L' U2
B U2 D F' U2 F' R'
B2 U2 D' B2 F' L' U2
B U2 D' F' B2 L U2
B U2 D' B2 L F' U2
B U2 D' B2 F' L U2
B' U2 F' L U' L U'
B2 U2 F' L' U' L' U'
B' U2 F' D L U2 F2
B' U2 F' D' L B2 U2
R2 F L2 U' L2 B R'
B' U2 F' D' B2 U2 R'
R2 F L2 U' B L2 R'
R2 F L2 U' B R' L2
B2 U2 F' U2 D F2 R
B2 U2 F' D L' U2 F2
B2 U2 F' D U2 F2 R
B2 U2 F' D' L' B2 U2
B2 U2 F' D' B2 L' U2
B U2 F' U' L2 U' R'
B U2 F' U2 R' D F2
B U2 F' U2 D R' F2
B U2 F' U2 D F2 R'
B U2 F' D U2 R' F2
B U2 F' D U2 F2 R'
B U2 F' D' B2 L U2
R' F R' B R' D F2
R' F R' B D R' F2
R' F R' B D F2 R'
R F R B R' D F2
R F R B D R' F2
R F R B D F2 R'
R2 F U L2 U' B R'
B' D L2 F2 L2 R B'
B' D L2 F2 L2 B' R
B' D L2 F2 R L2 B'
B2 D L2 F2 L2 B' R'
D2 F D' F2 R D' B2
D2 F D' F2 D' R B2
D2 F D' F2 D' B2 R
R2 F D F2 D' B R'
B D L2 F2 L2 R' B'
B D L2 F2 R' L2 B'
D2 F D2 B2 D F2 R
R' F B R' D F2 B
R' F B R' D B F2
B' D R' F2 B2 R' B
R' F B R' B D F2
B' D R' B2 R' F2 B
B' D R' B2 R' B F2
B' D R' B2 F2 R' B
B D R F2 R B R
B2 D R' F2 B' R' B
B2 D R' B' R' F2 B
B2 D R' B' R' B F2
B2 D R' B' F2 R' B
B' D R2 F2 B2 R' B'
R2 F B R' U L2 U'
R2 F B R' D F2 D
R2 F B R' D F2 D'
R2 F B R' D F2 D2
R2 F B R' F D F2
B' D R2 B2 R' F2 B'
B' D R2 B2 R' B' F2
R2 F B R' F' D F2
R2 F B R' F2 D F2
B' D R2 B2 F2 R' B'
R2 F B R2 D R F2
R2 F B U L2 U' R'
B D R' F2 R' B R
B2 D R2 F2 B' R' B2
R2 F B D R F2 R2
R2 F B D R' F2 D
R2 F B D R' F2 D'
R2 F B D R' F2 D2
R2 F B D F R' F
B2 D R2 B' R' F2 B2
B2 D R2 B' R' B2 F2
R2 F B D F2 R' D
R2 F B D F2 R' D'
R2 F B D F2 R' D2
R2 F B D F2 D R'
R2 F B D F2 D' R'
R2 F B D F2 D2 R'
R2 F B D' R' D2 F2
B2 D R2 B' F2 R' B2
B D R2 B R F2 D
B D R2 B R F2 D'
B D R2 B R F2 D2
B D R2 B R' F2 R2
B D R2 B R2 F2 R'
B D R2 B' R F2 B2
B D R2 B' R B2 F2
B D R2 B2 R F2 B'
B D R2 B2 R B' F2
B' D U2 L F' U2 F'
R2 F B2 D F2 B' R'
R2 F B2 D B' R' F2
R2 F B2 D B' F2 R'
B' D U2 F' L U2 F'
B2 D U2 F' L' U2 F'
B' D F D2 F B2 R'
B' D F D2 B2 R' F
B' D F D2 B2 F R'
B' D F' L U2 L' F'
B D U2 F' U2 F' R'
B D F R' D2 F B2
B D F R' D2 B2 F
R2 F' L2 U' L2 B R'
R2 F' L2 U' B L2 R'
R2 F' L2 U' B R' L2
B D F D2 R' F B2
B D F D2 R' B2 F
B D F D2 F R' B2
B' D F2 U2 F L U2
B2 D F2 L2 B' L2 R'
B2 D F2 L2 B' R' L2
F2 D F2 R2 D' B R'
B2 D F2 U2 F U2 R
R' F' R' B R' D F2
F2 D F2 D' R2 B R'
R' F' R' B D R' F2
R' F' R' B D F2 R'
B' D B R2 F2 B R'
B' D B R2 B R' F2
B' D B R2 B F2 R'
F D F' D F' R B2
F D F' D F' B2 R
F D F' D B2 F' R
B D F2 L2 R' B' L2
B D F2 R' L2 B' L2
B D F2 R' U2 F U2
B D F2 U2 F U2 R'
R F' R B R' D F2
R F' R B D R' F2
R F' R B D F2 R'
B2 D B' R2 B R F2
B' D B2 R2 B R F2
B D B' R2 F2 B R'
B D B' R2 B R' F2
B D B' R2 B F2 R'
R2 F' U L2 U' B R'
B2 D B2 R2 F2 B R'
B2 D B2 R2 B R' F2
B2 D B2 R2 B F2 R'
D2 F' D' R F2 D2 B2
R2 F' D F2 D' B R'
R' F' B R' D F2 B
R' F' B R' D B F2
R' F' B R' B D F2
U2 F' B U' L2 U' R'
U2 F' B U2 R' D F2
U2 F' B U2 D R' F2
U2 F' B U2 D F2 R'
U2 F' B D U2 R' F2
U2 F' B D U2 F2 R'
R2 F' B R' U L2 U'
R2 F' B R' D F2 D
R2 F' B R' D F2 D'
R2 F' B R' D F2 D2
R2 F' B R' F D F2
R2 F' B R' F' D F2
R2 F' B R' F2 D F2
U2 F' B D' B2 L U2
R2 F' B R2 D R F2
R2 F' B U L2 U' R'
U2 F' B' L U' L U'
R2 F' B D R F2 R2
R2 F' B D R' F2 D
R2 F' B D R' F2 D'
R2 F' B D R' F2 D2
R2 F' B D F R' F
R2 F' B D F2 R' D
R2 F' B D F2 R' D'
R2 F' B D F2 R' D2
R2 F' B D F2 D R'
R2 F' B D F2 D' R'
R2 F' B D F2 D2 R'
R2 F' B D' R' D2 F2
U2 F' B' D L U2 F2
U2 F' B' D' L B2 U2
U2 F' B' D' B2 U2 R'
B D' R2 D2 B R F2
B D' R2 B R2 F' R'
B' D' U2 L F' B2 U2
B' D' U2 L B2 F' U2
R2 F' B2 D F2 B' R'
R2 F' B2 D B' R' F2
R2 F' B2 D B' F2 R'
B' D' U2 F' L B2 U2
B' D' U2 F' B2 U2 R'
B' D' U2 B2 F' U2 R'
B2 D' U2 F' L' B2 U2
B2 D' U2 F' B2 L' U2
B2 D' U2 B2 F' L' U2
B' D' F D2 F2 B2 R'
B' D' F D2 B2 R' F2
B' D' F D2 B2 F2 R'
B' D' F' L B2 U2 L'
B D' U2 F' B2 L U2
B D' U2 B2 L F' U2
B D' U2 B2 F' L U2
B D' F R' D2 F2 B2
B D' F R' D2 B2 F2
R2 F2 L2 U' L2 B R'
R2 F2 L2 U' B L2 R'
R2 F2 L2 U' B R' L2
B D' F D2 R' F2 B2
B D' F D2 R' B2 F2
B D' F D2 F2 R' B2
U F2 L2 U' B R' B2
R' F2 R' B R' D F2
R' F2 R' B D R' F2
R' F2 R' B D F2 R'
B' D' B R2 F' B R'
B' D' B R2 B F' R'
B D' F' B2 L U2 L'
R F2 R B R' D F2
R F2 R B D R' F2
R F2 R B D F2 R'
R2 F2 U L2 U' B R'
L2 F2 U' L2 B R' B2
L2 F2 U' B L2 R' B'
L2 F2 U' B R' L2 B'
D F2 U' L2 U B' R'
L2 F2 U' B2 L2 B' R'
B D' B2 F' L U2 L'
D F2 U2 D F L' U2
R2 F2 D F2 D' B R'
D F2 D U2 F L' U2
R' F2 B R' D F2 B
R' F2 B R' D B F2
R' F2 B R' B D F2
B D2 R' U' R' U B
L2 F2 B U' L2 R' B'
L2 F2 B U' R' L2 B'
R2 F2 B R' U L2 U'
R2 F2 B R' D F2 D
R2 F2 B R' D F2 D'
R2 F2 B R' D F2 D2
R2 F2 B R' F D F2
R2 F2 B R' F' D F2
R2 F2 B R' F2 D F2
R2 F2 B R2 D R F2
R2 F2 B U L2 U' R'
R2 F2 B D R F2 R2
R2 F2 B D R' F2 D
R2 F2 B D R' F2 D'
R2 F2 B D R' F2 D2
R2 F2 B D F R' F
R2 F2 B D F2 R' D
R2 F2 B D F2 R' D'
R2 F2 B D F2 R' D2
R2 F2 B D F2 D R'
R2 F2 B D F2 D' R'
R2 F2 B D F2 D2 R'
R2 F2 B D' R' D2 F2
R2 F2 B2 D F2 B' R'
R2 F2 B2 D B' R' F2
R2 F2 B2 D B' F2 R'
B D2 U' R2 U B R
R' B L2 U' L2 R' B
R' B L2 U' R' L2 B
R' B L2 U' R' B L2
R' B R' U L2 U' B
R' B R' D F2 D B
R' B R' D F2 D' B
R' B R' D F2 D2 B
R' B R' D F2 B D
R' B R' D F2 B D'
R' B R' D F2 B D2
R' B R' D B F2 D
R' B R' D B F2 D'
R' B R' D B F2 D2
F D2 F B2 D' F2 R
R2 B R U L2 U' R2
R' B R' D2 B D' F2
R' B R' F D F2 B
R' B R' F D B F2
R' B R' F B D F2
R' B R' F' D F2 B
R' B R' F' D B F2
R' B R' F' B D F2
R' B R' F2 D F2 B
R' B R' F2 D B F2
R' B R' F2 B D F2
R2 B R D F2 D' R2
R' B R' B U L2 U'
R' B R' B D F2 D
R' B R' B D F2 D'
R' B R' B D F2 D2
R' B R' B F D F2
R' B R' B F' D F2
R' B R' B F2 D F2
R2 B R F R2 D F2
R' B R' B2 D F2 B'
R' B R' B2 D B' F2
R2 B R F' R2 D F2
R2 B R F2 R2 D F2
R' B R2 D R F2 B
R' B R2 D R B F2
F D2 F' B2 D' R F2
R2 B R' U L2 U' D
R2 B R' U L2 U' D'
R2 B R' U L2 U' D2
R2 B R' U L2 D U'
R2 B R' U L2 D' U'
R2 B R' U L2 D2 U'
R2 B R' U' D2 R2 U
R2 B R' U2 D' B2 U2
R2 B R' D L' F2 L
R2 B R' D L2 F2 L2
R2 B R' D R F2 R'
R2 B R' D R2 F2 R2
R2 B R' D F D F
R2 B R' D F D' F
R2 B R' D F D2 F
R2 B R' D F' D F'
R2 B R' D F' D' F'
R2 B R' D F' D2 F'
R2 B R' D' U2 B2 U2
R2 B R' D' F D2 F2
R2 B R' D' F' D2 F2
R2 B R' D' F2 D2 F2
R2 B R' D2 U' R2 U
R2 B R' D2 F D' F2
R2 B R' D2 F' D' F2
R2 B R' D2 F2 D' F2
R2 B R' F U L2 U'
R2 B R' F D F2 D
R2 B R' F D F2 D'
R2 B R' F D F2 D2
R2 B R' F' U L2 U'
R2 B R' F' D F2 D
R2 B R' F' D F2 D'
R2 B R' F' D F2 D2
R2 B R' F2 U L2 U'
R2 B R' F2 D F2 D
R2 B R' F2 D F2 D'
R2 B R' F2 D F2 D2
R' B U L2 U' R' B
L2 B R2 U' L2 B R
R2 B R' B D F2 B'
R2 B R' B D B' F2
L2 B R2 U' B L2 R
L2 B R2 U' B R L2
R2 B R' B' D F2 B
R2 B R' B' D B F2
R B R B R2 D F2
R2 B R2 U L2 U' R
R2 B R2 D R F2 D
R2 B R2 D R F2 D'
R2 B R2 D R F2 D2
R2 B R2 D R' F2 R2
R2 B R2 D R2 F2 R'
R2 B R2 D' R D2 F2
R2 B R2 F2 D F2 R
D B R2 F2 D' B R'
R2 B U L2 U' R' D
R2 B U L2 U' R' D'
R2 B U L2 U' R' D2
R2 B U L2 U' D R'
R2 B U L2 U' D' R'
R2 B U L2 U' D2 R'
R2 B U L2 D U' R'
R2 B U L2 D' U' R'
R2 B U L2 D2 U' R'
R2 B U L2 F U' R'
R2 B U L2 F' U' R'
R2 B U L2 F2 U' R'
L2 B U F' U2 L2 R'
L2 B U F' U2 R' L2
R2 B U F L2 U' R'
R2 B U F' L2 U' R'
L2 B U' L2 R2 B R
R2 B U F2 L2 U' R'
L2 B U' R2 L2 B R
L2 B U' R2 B L2 R
L2 B U' R2 B R L2
R2 B U' D2 R2 U R
F D2 B2 F D' F2 R
F D2 B2 F' D' R F2
D' B D R2 F' B R'
D' B D R2 B F' R'
R' B D F2 D' R' B
R2 B U2 D' B2 L U2
F2 B L2 U' R' B' L2
R2 B D L' R' F2 L
D' B D' R2 F' B R
R2 B D L' F2 L R'
R2 B D L' F2 R' L
D' B D' R2 B F' R
R2 B D L2 R' F2 L2
R2 B D L2 F2 L2 R'
R2 B D L2 F2 R' L2
U2 B D F' U2 F' R'
R2 B D R F R2 F
R2 B D R F2 R2 D
R2 B D R F2 R2 D'
R2 B D R F2 R2 D2
R2 B D R' L' F2 L
R2 B D R' L2 F2 L2
R2 B D R' F D F
R2 B D R' F D' F
R2 B D R' F D2 F
R2 B D R' F' D F'
R2 B D R' F' D' F'
R2 B D R' F' D2 F'
R2 B D F R F R2
R2 B D F R' D F
R2 B D F R' D' F
R2 B D F R' D2 F
R2 B D F R' F D
R2 B D F R' F D'
R2 B D F R' F D2
R2 B D F D R' F
R2 B D F D F R'
R2 B D F D' R' F
R2 B D F D' F R'
R2 B D F D2 R' F
R2 B D F D2 F R'
