D' L U L2 F' R F2
D' L U F' L2 R F
D' L U F' R L2 F
D' L U F2 L2 F R
R2 L F' R B U L2
R' L F' B R U L2
R' L B F' R U L2
D' L F' U L2 R F
D' L F' U R L2 F
D2 L B R' B2 U L2
D2 L B' U2 L U' L
L R' F' B R U L2
L R' B F' R U L2
D' L' F' R F2 D' B2
L R2 F' R B U L2
L' D R D2 F' R B2
L' D R D2 F' B2 R
L' D R D2 B2 F' R
L' D R F' R2 B R'
L' D F' R2 B R' F'
L' D B R F' R2 B
R2 D' L U L2 F R
L' D' F' B2 D2 R F'
L' D' B2 F' D2 R F'
R' D2 L B R' U L2
L F' R U2 F' U' L2
L F' R' B R2 U L2
L2 F2 R F' L' U' L2
F' D2 L R B' U L
F' D2 L B' R U L
F' D2 R L B' U L
