F R B U B' L'
F L R B U B' L2
U L F' U' F2 L' R
U L F' U' F2 R L'
F L' R' U' R2 B U
F L' R2 U' R' B U
F L' U' R B' U R'
F L' U' B' R U R2
D' L' F R B U B'
F L2 R B U B' L
R' U L F' U' F2 L'
U L2 F U' L' R F
U L2 F U' R L' F
F R L B U B' L2
F R L2 B U B' L
F R D B U B' L'
F R D' B U B' L'
F R D2 B U B' L'
F R B U D B' L'
F R B U D' B' L'
F R B U D2 B' L'
F R B U B L' B2
F R B U B' L' D
F R B U B' L' D'
F R B U B' L' D2
F R B U B' D L'
F R B U B' D' L'
F R B U B' D2 L'
F R B U B2 L' B
F R B D U B' L'
F R B D' U B' L'
F R B D2 U B' L'
F R' L' U' R2 B U
F R' U' R2 B U L'
D R' F' L' B U' B'
F R2 L' U' R' B U
F R2 U' R' B U L'
F2 R2 D' F' L' R F
F2 R2 D' F' R L' F
B' U L F L' B R
B' U L F B L' R
B' U L F B R L'
B2 U L F L' R B2
B2 U L F L' B2 R
B2 U L F R L' B2
B2 U L F R B2 L'
B' U L B F L' R
B' U L B F R L'
B2 U L F B2 L' R
B2 U L F B2 R L'
B2 U L B2 F L' R
B2 U L B2 F R L'
B U L F L' R B'
B U L F L' B' R
B U L F R L' B'
F2 U F L' B' U' R
B U D2 B' L F R
B' U B L F L' R
B' U B L F R L'
B U B' L F L' R
B U B' L F R L'
B2 U B2 L F L' R
B2 U B2 L F R L'
F U' R B' U L' R'
F U' R B' U R' L'
B U' D2 B' L R' F'
B U' D2 B' R' L F'
B U' D2 B' R' F' L
B U' F B' L' R' F'
B U' F B' R' L' F'
B U' F2 B' R' F' L'
B U' B' R' F L' F2
F U' B' R U L' R2
F U' B' R U R2 L'
B U' B' F L' R' F'
B U' B' F R' L' F'
B U' B' F2 R' F' L'
R' F L' U F2 L' U'
U F L U' R F L2
R F L' U' B R U
L' F R B U B' L'
R' F R' D' L' F2 R
L2 F R B U B' L'
D F R F' B U B'
D F R B F' U B'
L F R B U B' L'
R F U' B R U L'
F D R B U B' L'
R F B R U B' L'
F D' R B U B' L'
R' F2 U F L' B' U'
R2 F2 D' F' L' R F
R2 F2 D' F' R L' F
F D2 R B U B' L'
B D2 U B' L F R
B D2 U' B' L R' F'
B D2 U' B' R' L F'
B D2 U' B' R' F' L
R B U L F L' B'
R B U D2 B' L F
R B U B' L F L'
B2 F R B U L' B
B2 F R B U B L'
B F R B U L' B2
B F R B U B2 L'
F B R B U L' B2
F B R B U B2 L'
R B D2 U B' L F
R B F R U B' L'
D2 B' U L F B R
D2 B' U L B F R
F B2 R B U L' B
F B2 R B U B L'
