D2 L U F B' L' U
D2 L U B' F L' U
R' U D B U L B'
U2 R U F' B R' U'
U2 R U B F' R' U'
R' U B U2 R' U' L
R' U B' L B2 U L
U' R D2 F' R U' L'
U' R F' B R' U' L'
U' R F' B2 U' L' B'
U2 R F' B R' U' F
U' R B F' R' U' L'
U2 R B F' R' U' F
U' R B2 F' U' L' B'
R U' D2 F' R U' L'
R U' F' B R' U' L'
R U' F' B2 U' L' B'
R U' B F' R' U' L'
R U' B2 F' U' L' B'
U' R2 B R' F' U' L'
R' D U B U L B'
D U B U L R' B'
D U B U R' L B'
U D B U L R' B'
U D B U R' L B'
R D2 U' F' R U' L'
U' B R F' R2 U' L'
U' B R' U2 B U L
U' B2 R F' U' L' B'
