B L B2 D' F' R
U2 D' F' R B' L'
U2 D' F' B' L' R
U2 D' F' B' R L'
U2 D' B' F' L' R
U2 D' B' F' R L'
D' U2 F' R B' L'
D' U2 F' B' L' R
D' U2 F' B' R L'
D' U2 B' F' L' R
D' U2 B' F' R L'
D' F' R B L B2
F' D B L R' B2
F' D B R' L B2
D' F' B L R B2
D' F' B L B2 R
D' F' B R L B2
D' F' B' R D2 L2
D F' B L R' B2
D F' B R' L B2
B' D' F' R D2 L2
D' B L F' R B2
D' B L F' B2 R
D' B L B2 F' R
D B L F' R' B2
D' B F' L R B2
D' B F' L B2 R
D' B F' R L B2
D B F' L R' B2
D B F' R' L B2
U2 B' D' F' L' R
U2 B' D' F' R L'
D' B' F' R D2 L2
D' L U2 F' L' R B
D' L U2 F' R L' B
D' L U2 F' R B L'
B' L D' F' R D2 L2
U2 L D' F' L' R B'
U2 L D' F' L' B' R
U2 L D' F' R L' B'
B L D' F' D R B2
B L D' F' D B2 R
B L F' B D B R'
B L B D F' B R'
B L B D B F' R'
B L B D' F' B R
B L B D' B F' R
B L B F' D B R'
B L B' D' F' R B'
B L B' D' F' B' R
B L B' D' B' F' R
B L B2 D' F' R D
B L B2 D' F' R D'
B L B2 D' F' R D2
B L B2 D' F' D R
B L B2 D' F' D' R
B L B2 D' F' D2 R
B' L' D' F' R D2 L2
D' L' F' R B L B'
D' L' F' B L R B'
D' L' F' B L B' R
D' L' F' B R L B'
D L' F' B L R' B'
D L' F' B R' L B'
D' L' B L F' R B'
D' L' B L F' B' R
D' L' B L B' F' R
D L' B L F' R' B'
D' L' B F' L R B'
D' L' B F' L B' R
D' L' B F' R L B'
D L' B F' L R' B'
D L' B F' R' L B'
B L' B2 L2 D' F' R
B' L2 D' F' R D2 L2
B L2 B2 L' D' F' R
B L2 B2 D' L' F' R
D R B L R' F' B2
D R B L R' B2 F'
D R B R' L F' B2
D R B R' L B2 F'
D R B R' F' L B2
F' R' B L B2 D' R2
F2 R' B U F L B2
F R' B U L F2 B2
F R' B U L B2 F2
F R' B U F2 L B2
F' R' B' U' B2 U L
L U2 D' F' L' R B
L U2 D' F' R L' B
L U2 D' F' R B L'
D R2 B U2 L R' B2
D R2 B U2 R' L B2
B U L B2 D' F' R
F' U R F' B U' B2
F' U R B F' U' B2
R' D B R' U L B2
D' U F' R B' D L2
U2 D F' B L' R' B2
U2 D F' B R' L' B2
U2 D F' B R' B2 L'
U2 D F' B' L' D2 R2
U2 D B F' L' R' B2
U2 D B F' R' L' B2
U2 D B F' R' B2 L'
U2 D B' F' L' D2 R2
U2 D' L F' L' R B'
U2 D' L F' L' B' R
U2 D' L F' R L' B'
B U' L B2 D' F' R
L D' U2 F' L' R B
L D' U2 F' R L' B
L D' U2 F' R B L'
U2 D' F' R D B' L'
U2 D' F' R D' B' L'
U2 D' F' R D2 B' L'
U2 D' F' R B L' B2
U2 D' F' R B' L' D
U2 D' F' R B' L' D'
U2 D' F' R B' L' D2
U2 D' F' R B' D L'
U2 D' F' R B' D' L'
U2 D' F' R B' D2 L'
U2 D' F' R B2 L' B
U2 D' F' R' B' L' R2
U2 D' F' R' B' R2 L'
U2 D' F' D R B' L'
U2 D' F' D B' L' R
U2 D' F' D B' R L'
U2 D' F' D' R B' L'
U2 D' F' D' B' L' R
U2 D' F' D' B' R L'
U2 D' F' D2 R B' L'
U2 D' F' D2 B' L' R
U2 D' F' D2 B' R L'
U2 D' F' B L' R B2
U2 D' F' B L' B2 R
U2 D' F' B R L' B2
U2 D' F' B R B2 L'
U2 D' F' B' L' R D
U2 D' F' B' L' R D'
U2 D' F' B' L' R D2
U2 D' F' B' L' D R
U2 D' F' B' L' D' R
U2 D' F' B' L' D2 R
U2 D' F' B' R L' D
U2 D' F' B' R L' D'
U2 D' F' B' R L' D2
U2 D' F' B' R D L'
U2 D' F' B' R D' L'
U2 D' F' B' R D2 L'
U2 D' F' B' D L' R
U2 D' F' B' D R L'
U2 D' F' B' D' L' R
U2 D' F' B' D' R L'
U2 D' F' B' D2 L' R
U2 D' F' B' D2 R L'
U2 D' F' B2 L' B R
U D' F' R B' D L2
U2 D' B F' L' R B2
U2 D' B F' L' B2 R
U2 D' B F' R L' B2
U2 D' B F' R B2 L'
U2 D' B' L F' L' R
U2 D' B' L F' R L'
U2 D' B' L' F' L' R
U2 D' B' L' F' R L'
U2 D' B' L2 F' L' R
U2 D' B' L2 F' R L'
U2 D' B' F' L' R D
U2 D' B' F' L' R D'
U2 D' B' F' L' R D2
U2 D' B' F' L' D R
U2 D' B' F' L' D' R
U2 D' B' F' L' D2 R
U2 D' B' F' R L' D
U2 D' B' F' R L' D'
U2 D' B' F' R L' D2
U2 D' B' F' R D L'
U2 D' B' F' R D' L'
U2 D' B' F' R D2 L'
U2 D' B' F' D L' R
U2 D' B' F' D R L'
U2 D' B' F' D' L' R
U2 D' B' F' D' R L'
U2 D' B' F' D2 L' R
U2 D' B' F' D2 R L'
D' U2 L F' L' R B'
D' U2 L F' L' B' R
D' U2 L F' R L' B'
U2 D' B2 F' L' B R
D' U2 F' R D B' L'
D' U2 F' R D' B' L'
D' U2 F' R D2 B' L'
D' U2 F' R B L' B2
D' U2 F' R B' L' D
D' U2 F' R B' L' D'
D' U2 F' R B' L' D2
D' U2 F' R B' D L'
D' U2 F' R B' D' L'
D' U2 F' R B' D2 L'
D' U2 F' R B2 L' B
D' U2 F' R' B' L' R2
D' U2 F' R' B' R2 L'
B U2 L B2 D' F' R
D' U2 F' D R B' L'
D' U2 F' D B' L' R
D' U2 F' D B' R L'
D' U2 F' D' R B' L'
D' U2 F' D' B' L' R
D' U2 F' D' B' R L'
D' U2 F' D2 R B' L'
D' U2 F' D2 B' L' R
D' U2 F' D2 B' R L'
D' U2 F' B L' R B2
D' U2 F' B L' B2 R
D' U2 F' B R L' B2
D' U2 F' B R B2 L'
D' U2 F' B' L' R D
D' U2 F' B' L' R D'
D' U2 F' B' L' R D2
D' U2 F' B' L' D R
D' U2 F' B' L' D' R
D' U2 F' B' L' D2 R
D' U2 F' B' R L' D
D' U2 F' B' R L' D'
D' U2 F' B' R L' D2
D' U2 F' B' R D L'
D' U2 F' B' R D' L'
D' U2 F' B' R D2 L'
D' U2 F' B' D L' R
D' U2 F' B' D R L'
D' U2 F' B' D' L' R
D' U2 F' B' D' R L'
D' U2 F' B' D2 L' R
D' U2 F' B' D2 R L'
D' U2 F' B2 L' B R
D U2 F' B L' R' B2
D U2 F' B R' L' B2
D U2 F' B R' B2 L'
D U2 F' B' L' D2 R2
D' U2 B F' L' R B2
D' U2 B F' L' B2 R
D' U2 B F' R L' B2
D' U2 B F' R B2 L'
D' U2 B' L F' L' R
D' U2 B' L F' R L'
D' U2 B' L' F' L' R
D' U2 B' L' F' R L'
D' U2 B' L2 F' L' R
D' U2 B' L2 F' R L'
D2 U2 B' D F' L' R
D2 U2 B' D F' R L'
D' U2 B' F' L' R D
D' U2 B' F' L' R D'
D' U2 B' F' L' R D2
D' U2 B' F' L' D R
D' U2 B' F' L' D' R
D' U2 B' F' L' D2 R
D' U2 B' F' R L' D
D' U2 B' F' R L' D'
D' U2 B' F' R L' D2
D' U2 B' F' R D L'
D' U2 B' F' R D' L'
D' U2 B' F' R D2 L'
D' U2 B' F' D L' R
D' U2 B' F' D R L'
D' U2 B' F' D' L' R
D' U2 B' F' D' R L'
D' U2 B' F' D2 L' R
D' U2 B' F' D2 R L'
D U2 B F' L' R' B2
D U2 B F' R' L' B2
D U2 B F' R' B2 L'
U2 D2 B' D F' L' R
U2 D2 B' D F' R L'
D' U2 B2 F' L' B R
D U2 B' F' L' D2 R2
F' D L' B L R' B'
F' D L' B R' L B'
F' D R B L R' B2
F' D R B R' L B2
F' D R' B L R' B2
F' D R' B R' L B2
D' F B' R2 F2 L' R
D' F B' R2 F2 R L'
D F B L R' F2 B2
D F B L R' B2 F2
D F B L F2 R' B2
F' D R2 B L R' B2
F' D R2 B R' L B2
D F B R' L F2 B2
D F B R' L B2 F2
D F B R' F2 L B2
D' F' L' R B L B'
D' F' L' B L R B'
D' F' L' B L B' R
D' F' L' B R L B'
F2 D F B L R' B2
F2 D F B R' L B2
D' F' R L' B L B'
D F' L' B L R' B'
D F' L' B R' L B'
D' F' R D B L B2
D' F' R D' B L B2
D' F' R D2 B L B2
D' F' R B L B2 D
D' F' R B L B2 D'
D' F' R B L B2 D2
D' F' R B L' B2 L2
D' F' R B L2 B2 L'
D' F' R B' U2 R' U2
F' D B L R B2 R2
F' D B L R' B2 D
F' D B L R' B2 D'
F' D B L R' B2 D2
F' D B L R2 B2 R
F' D B L' R' B2 L2
D' F' R' B L R2 B2
D' F' R' B L B2 R2
D' F' R' B R2 L B2
F' D B L2 R' B2 L'
F' D B R L B2 R2
F' D B R' L B2 D
F' D B R' L B2 D'
F' D B R' L B2 D2
F' D B R' L' B2 L2
F' D B R' L2 B2 L'
F' D B R2 L B2 R
D F' R B L R' B2
D F' R B R' L B2
F2 D B R' F L B2
U2 F' R' B' L' D' R2
U2 F' R' B' D' L' R2
U2 F' R' B' D' R2 L'
F2 D B F L R' B2
F2 D B F R' L B2
D F' R' B L R' B2
D F' R' B R' L B2
F' D B' U2 L R' U2
F' D B' U2 R' L U2
D F' R2 B L R' B2
D F' R2 B R' L B2
B' D' L F' R D2 L2
B' D' L' F' R D2 L2
D' F' D R B L B2
B D' L F' D R B2
B D' L F' D B2 R
D' F' D B L R B2
D' F' D B L B2 R
D' F' D B R L B2
D' F' D B' R D2 L2
B' D' L2 F' R D2 L2
D' F' D' R B L B2
U2 F' D B L' R' B2
U2 F' D B R' L' B2
U2 F' D B R' B2 L'
U2 F' D B' L' D2 R2
D2 F' D' B L R' B2
D2 F' D' B R' L B2
D' F' D' B L R B2
D' F' D' B L B2 R
D' F' D' B R L B2
D' F' D' B' R D2 L2
D' F' D2 R B L B2
D' F' D2 B L R B2
D' F' D2 B L B2 R
D' F' D2 B R L B2
D' F' D2 B' R D2 L2
D' F' B L R B2 D
D' F' B L R B2 D'
D' F' B L R B2 D2
D' F' B L R' B2 R2
D' F' B L B' R B'
D' F' B L B2 R D
D' F' B L B2 R D'
D' F' B L B2 R D2
D' F' B L B2 D R
D' F' B L B2 D' R
D' F' B L B2 D2 R
D' F' B L' R B2 L2
D' F' B L' B2 L2 R
D' F' B L' B2 R L2
D' F' B L2 R B2 L'
D' F' B L2 B2 L' R
D' F' B L2 B2 R L'
D' F' B R L B2 D
D' F' B R L B2 D'
D' F' B R L B2 D2
D' F' B R L' B2 L2
D' F' B R L2 B2 L'
D' F' B R' L B2 R2
D' F' B' L R D2 L2
D' F' B' L' R D2 L2
D' F' B' L2 R D2 L2
D' F' B' R L D2 L2
D' F' B' R L' D2 L2
D' F' B' R L2 D2 L2
D' F' B' R U2 R2 U2
D' F' B' R D2 L2 D
D' F' B' R D2 L2 D'
D' F' B' R D2 L2 D2
D F' B L R B2 R2
D F' B L R' B2 D
D F' B L R' B2 D'
D F' B L R' B2 D2
D F' B L R2 B2 R
D' F' B' U2 R' U2 R2
D F' B L' R' B2 L2
D' F' B' D R D2 L2
D' F' B' D' R D2 L2
D F' B L2 R' B2 L'
D' F' B' D2 R D2 L2
D F' B R L B2 R2
D F' B R' L B2 D
D F' B R' L B2 D'
D F' B R' L B2 D2
D F' B R' L' B2 L2
D F' B R' L2 B2 L'
D F' B R2 L B2 R
U2 F' B2 L' D B R'
D F' B' U2 L R' U2
D F' B' U2 R' L U2
U2 F' B2 D L' B R'
U2 F' B2 D B L' R'
U2 F' B2 D B R' L'
B' D' F R2 F2 L' R
B' D' F R2 F2 R L'
B' D' F' L R D2 L2
B' D' F' L' R D2 L2
B' D' F' L2 R D2 L2
B' D' F' R L D2 L2
B' D' F' R L' D2 L2
B' D' F' R L2 D2 L2
B' D' F' R U2 R2 U2
B' D' F' R D2 L2 D
B' D' F' R D2 L2 D'
B' D' F' R D2 L2 D2
B' D' F' U2 R' U2 R2
B' D' F' D R D2 L2
B' D' F' D' R D2 L2
B' D' F' D2 R D2 L2
B' D' F' B2 L R B2
B' D' F' B2 L B2 R
B' D' F' B2 R L B2
B D' F' L D R B2
