L' F L' U' L
U' L' U F L' U'
B' L' F L' U' L
B2 L' F L' U' L
F L' F U R U2
B L' F L' U' L
U' D L' R F' R
U' D L' F' R F'
U' D R L' F' R
D U' L' R F' R
D U' L' F' R F'
D U' R L' F' R
L' F L' U' L D
L' F L' U' L D'
L' F L' U' L D2
L' F L' U' D L
L' F L' U' D' L
L' F L' U' D2 L
L' F L' D U' L
L' F L' D' U' L
L' F L' D2 U' L
L' F D L' U' L
L' F D' L' U' L
L' F D2 L' U' L
L' F B L' U' L
L' F B' L' U' L
L' F B2 L' U' L
D' B U' L' R' F
D' B U' L' F R'
D' B U' R' L' F
L' B F L' U' L
L' B' F L' U' L
L' B2 F L' U' L
L' R U R' F L' U'
L' R U F L' R' U'
L' R U F R' L' U'
D' L U B' L U2 L
D L U' L2 R F' R
D L U' L2 F' R F'
D L U' R L2 F' R
D L U' R F' L2 R
D L U' R F' R L2
D L U' F' L2 R F'
D L U' F' R L2 F'
D L U' F' R F' L2
L' R F L' R' U' L
L' R F R' L' U' L
F L F' L2 F U' L
D L F' U' L2 R F'
D L F' U' R L2 F'
D L F' U' R F' L2
F L F2 L2 F U' L'
L' R' U R F L' U'
R' L' U R F L' U'
R2 L' U R2 F L' U'
R L' U R' F L' U'
R2 L' U F L' R2 U'
R2 L' U F R2 L' U'
R L' U F L' R' U'
R L' U F R' L' U'
U' L' R U F L' U'
D L' R F' R D B2
U' L' R' U F L' U'
U' L' R2 U F L' U'
U' L' U F L' U' D
U' L' U F L' U' D'
U' L' U F L' U' D2
U' L' U F L' D U'
U' L' U F L' D' U'
U' L' U F L' D2 U'
U' L' U F D L' U'
U' L' U F D' L' U'
U' L' U F D2 L' U'
R2 L' F L' R2 U' L
R L' F L' R' U' L
R2 L' F R2 L' U' L
R L' F R' L' U' L
U' L' D R F' D R2
F L' D F U R U2
F L' D' F U R U2
F L' D2 F U R U2
B' L' F L' U' L D
B' L' F L' U' L D'
B' L' F L' U' L D2
B' L' F L' U' D L
B' L' F L' U' D' L
B' L' F L' U' D2 L
B' L' F L' D U' L
B' L' F L' D' U' L
B' L' F L' D2 U' L
B2 L' F L' U' L D
B2 L' F L' U' L D'
B2 L' F L' U' L D2
B2 L' F L' U' D L
B2 L' F L' U' D' L
B2 L' F L' U' D2 L
B2 L' F L' D U' L
B2 L' F L' D' U' L
B2 L' F L' D2 U' L
B L' F L' U' L D
B L' F L' U' L D'
B L' F L' U' L D2
B L' F L' U' D L
B L' F L' U' D' L
B L' F L' U' D2 L
B L' F L' D U' L
B L' F L' D' U' L
B L' F L' D2 U' L
F' L' F U' D' L' F
B' L' F D L' U' L
F' L' F D' U' L' F
B' L' F D' L' U' L
F L' F U R U2 D
F L' F U R U2 D'
F L' F U R U2 D2
F L' F U R D U2
F L' F U R D' U2
F L' F U R D' U2
F L' F U R D2 U2
F L' F U D R U2
F L' F U D' R U2
F L' F U D2 R U2
B' L' F D2 L' U' L
B2 L' F D L' U' L
F L' F U' F2 L' F2
B' L' F B L' U' L
B2 L' F D' L' U' L
