B L' U B' U' R' F'
F L' B' R' U' F' B2
F L' B' R' U' B2 F'
U L2 B' U B2 L F
L' U B' U' R' F' B2
L' U B' U' R' B2 F'
R' U' F U' F2 L' B'
L D' B R' F' D' L2
F U' F' B L' D F2
F U' B F' L' D F2
U2 F L U' F B L
U2 F L U' B F L
U' F' B L' D R2 F2
U' F' B L' D F2 R2
L F' D' L2 B R' F'
L F' D' B L2 R' F'
L F' D' B R' L2 F'
L F' D' B R' F' L2
U F' B L D R2 F2
U F' B L D F2 R2
B' F R' U' F' L' B2
B' F R' U' F' B2 L'
B' F R' U' B2 F' L'
B2 F R' U' F' B' L'
B2 F R' U' B' F' L'
U' B F' L' D R2 F2
U' B F' L' D F2 R2
U B F' L D R2 F2
U B F' L D F2 R2
F B' R' U' F' L' B2
F B' R' U' F' B2 L'
F B' R' U' B2 F' L'
F B2 R' U' F' B' L'
F B2 R' U' B' F' L'
