B L' F2 U R' F
B L' F2 U F R'
L' F2 B U R' F
L' F2 B U F R'
L' B F2 U R' F
L' B F2 U F R'
B' L U L2 F2 U F
B' L U2 D' L2 F' B2
B' L U2 D' L2 B2 F'
B' L U2 D' F' L2 B2
B' L U2 D' F' B2 L2
B' L U2 D' B2 L2 F'
B' L U2 D' B2 F' L2
B' L D R2 F2 B U2
B' L D R2 B F2 U2
B' L D F2 R2 U2 F
D' L D' L F' R B2
D' L D' L F' B2 R
D' L D' L B2 F' R
B L D' L2 F' R' B2
B' L D' U2 L2 F' B2
B' L D' U2 L2 B2 F'
B' L D' U2 F' L2 B2
B' L D' U2 F' B2 L2
B' L D' U2 B2 L2 F'
B' L D' U2 B2 F' L2
D' L D' F' L R B2
D' L D' F' L B2 R
D' L D' F' R L B2
B L D' F' L2 R' B2
B L D' F' R' L2 B2
B L D' F' R' B2 L2
D' L' U L' D' F' R
D' L' U D' L' F' R
D2 L' U F' R D L2
D2 L' U F' D L2 R
D2 L' U F' D R L2
B L' U D' L2 F' R'
B L' U D' F' L2 R'
B L' U D' F' R' L2
D2 L' U2 B2 U' F' R
R2 L' F2 U' B U2 R'
D' L' D' U L' F' R
B L' D' U L2 F' R'
B L' D' U F' L2 R'
B L' D' U F' R' L2
B' L' D' B2 U L2 F'
B' L' D' B2 U F' L2
B' L' F2 U D2 R2 F
B' L' F2 U D2 F R2
B' L' F2 U F D2 R2
B L' F2 R U R2 F
B L' F2 R U F R2
B' L' F2 U' L2 B' U2
B L' F2 R2 U R F
B L' F2 U R F R2
B L' F2 U R' D F
B L' F2 U R' D' F
B L' F2 U R' D2 F
B L' F2 U R' F D
B L' F2 U R' F D'
B L' F2 U R' F D2
B L' F2 U D R' F
B L' F2 U D F R'
B L' F2 U D' R' F
B L' F2 U D' F R'
B L' F2 U D2 R' F
B L' F2 U D2 F R'
B L' F2 U F R' D
B L' F2 U F R' D'
B L' F2 U F R' D2
B L' F2 U F D R'
B L' F2 U F D' R'
B L' F2 U F D2 R'
B L' F2 U F' R' F2
B' L' F2 D' B2 U F
B' L' F2 D2 U R2 F
B' L' F2 D2 U F R2
U' L' F2 B U R' F
U' L' F2 B U F R'
B L' F2 D U R' F
B L' F2 D U F R'
B L' F2 D' U R' F
B L' F2 D' U F R'
U2 L' F2 B U R' F
U2 L' F2 B U F R'
B L' F2 D2 U R' F
B L' F2 D2 U F R'
B2 L' F2 B' U R' F
B2 L' F2 B' U F R'
U L' F2 B U R' F
U L' F2 B U F R'
U' L' B F2 U R' F
U' L' B F2 U F R'
U2 L' B F2 U R' F
U2 L' B F2 U F R'
U L' B F2 U R' F
U L' B F2 U F R'
B2 L' B' F2 U R' F
B2 L' B' F2 U F R'
L' R2 F2 U' B U2 R'
L' U D' L2 D' F' R
L' U D2 F' R D L2
L' U D2 F' D L2 R
L' U D2 F' D R L2
F2 R U F R2 B R'
L' U2 D2 B2 U' F' R
B2 U L' F2 U F R
B U L' F2 U R' F
B U L' F2 U F R'
L' D' L2 D' F' R B2
L' D' L2 D' F' B2 R
L' D' L2 D' B2 F' R
F2 U F B D R' B
L D' L2 B2 D' F' R
F2 U B R' D F B2
F2 U B R' D B2 F
F2 U B R' F D B2
F2 U B F D R' B
L' D' U L2 D' F' R
B2 U' L' F2 B' U F
B2 U' L' B' F2 U F
B U' L' F2 U R' F
B U' L' F2 U F R'
L D' B2 L2 D' F' R
L' D2 U F' R D L2
L' D2 U F' D L2 R
L' D2 U F' D R L2
L' D2 U2 B2 U' F' R
B U2 L' F2 U R' F
B U2 L' F2 U F R'
L D2 F' D L2 R B2
L D2 F' D L2 B2 R
L D2 F' D R L2 B2
L D2 F' D R B2 L2
L D2 F' D B2 L2 R
L D2 F' D B2 R L2
F2 U2 D' R F' U' F2
D2 F B2 U' F2 R B
D' F' L2 D R' B R'
D' F' L2 D B R' B
D2 F' R2 D L2 R' B
D2 F' R2 D R' L2 B
D2 F' R2 D R' B L2
D2 F' D L2 R' B R2
D2 F' D R' L2 B R2
D2 F' D R' B L2 R2
D2 F' D R' B R2 L2
B D' L' U L' F' R'
L' F' D2 F' U R F
F2 D' U2 R F' U' F2
D' F2 R F' U' L2 F2
D' F2 R F' U' F2 L2
L' F2 R B U R' F
L' F2 R B U F R'
B D' F' L2 D R' B
L F2 L2 U' B' L U2
L' F2 R' B U R' F
L' F2 R' B U F R'
L' F2 R2 B U R' F
L' F2 R2 B U F R'
L' F2 U D2 F' R F2
L' F2 U F B R' B'
L' F2 U F2 D2 F' R
L' F2 U B R' F B'
L' F2 U B R' B' F
L' F2 U B F R' B'
L' F2 U' L2 B' L U2
L' F2 U' B U2 R' F
L' F2 U' B U2 F R'
L' F2 U' B2 U2 F R
L' F2 D' R' B U F
L' F2 D' R2 U F R
L' F2 D2 U F' R F2
L' F2 B R U R2 F
L' F2 B R U F R2
L' F2 B R2 U R F
L' F2 B U R F R2
L' F2 B U R' D F
L' F2 B U R' D' F
L' F2 B U R' D2 F
L' F2 B U R' F D
L' F2 B U R' F D'
L' F2 B U R' F D2
L' F2 B U D R' F
L' F2 B U D F R'
L' F2 B U D' R' F
L' F2 B U D' F R'
L' F2 B U D2 R' F
L' F2 B U D2 F R'
L' F2 B U F R' D
L' F2 B U F R' D'
L' F2 B U F R' D2
L' F2 B U F D R'
L' F2 B U F D' R'
L' F2 B U F D2 R'
L' F2 B U F' R' F2
L' F2 B D U R' F
L' F2 B D U F R'
L' F2 B D' U R' F
L' F2 B D' U F R'
L' F2 B D2 U R' F
L' F2 B D2 U F R'
U' B L' F2 U R' F
U' B L' F2 U F R'
U2 B L' F2 U R' F
U2 B L' F2 U F R'
U B L' F2 U R' F
U B L' F2 U F R'
B D2 F' D L2 R' B
B D2 F' D R' L2 B
B D2 F' D R' B L2
L B L2 F2 U R' F
L B L2 F2 U F R'
L' B U D' L2 F' R'
L' B U D' F' L2 R'
L' B U D' F' R' L2
R2 B U L' F2 U R'
L' B D' U L2 F' R'
L' B D' U F' L2 R'
L' B D' U F' R' L2
L2 B D' L2 F' R' B
F2 B R U F R2 B
L2 B D' F' L2 R' B
L2 B D' F' R' L2 B
L2 B D' F' R' B L2
L B D' L2 F' R' B2
L B D' F' L2 R' B2
L B D' F' R' L2 B2
