U2 L' B U F'
U2 B L' U F'
U2 L B L2 U F'
U2 L' D B U F'
U2 L' D' B U F'
U2 L' D2 B U F'
U2 L' B U D F'
U2 L' B U D' F'
U2 L' B U D2 F'
U2 L' B U F' D
U2 L' B U F' D'
U2 L' B U F' D2
U2 L' B D U F'
U2 L' B D' U F'
U2 L' B D2 U F'
B L2 F L U F2
L2 U2 L B U F'
L U2 L2 B U F'
L U2 B L2 U F'
F' R2 F' R U' F
F2 R2 F' R' U' F2
U2 D L' B U F'
U2 D L' B U F'
U2 D B L' U F'
U2 D' L' B U F'
U2 D' B L' U F'
D2 U2 L' B U F'
U2 D2 L' B U F'
D' U2 L' B U F'
D U2 L' B U F'
D' U2 B L' U F'
U2 D2 B L' U F'
D2 U2 B L' U F'
D U2 B L' U F'
F U2 B L U F2
U' B L' U L F'
U' B L' U F' L
U2 B L' U D F'
U2 B L' U D' F'
U2 B L' U D2 F'
U2 B L' U F' D
U2 B L' U F' D'
U2 B L' U F' D2
U2 B L' D U F'
U2 B L' D' U F'
U2 B L' D2 U F'
L B L2 F U F2
L' B U2 B' U' F'
U2 B D L' U F'
U2 B D' L' U F'
U2 B D2 L' U F'
U2 B' L' B2 U F'
F' L R2 F' R U' F
U L U L2 B U F'
U L U B L2 U F'
D2 L U2 L2 B U F'
D' L U2 L2 B U F'
D L U2 L2 B U F'
D2 L U2 B L2 U F'
D' L U2 B L2 U F'
D L U2 B L2 U F'
F L U2 B L U F2
R2 L D2 F' R2 U' F'
U2 L D' B U F' B
U2 L D' B U B F'
R2 L F' D2 R2 U' F'
D2 L B L2 F U F2
D' L B L2 F U F2
U' L B L2 U L F'
U' L B L2 U F' L
U2 L B L2 U D F'
U2 L B L2 U D' F'
U2 L B L2 U D2 F'
U2 L B L2 U F' D
U2 L B L2 U F' D'
U2 L B L2 U F' D2
U2 L B L2 D U F'
U2 L B L2 D' U F'
U2 L B L2 D2 U F'
D L B L2 F U F2
U2 L B U D' F' B2
U2 L B U D' B2 F'
U2 L B U F' D' B2
U2 L B D' U F' B2
U2 L B D' U B2 F'
U2 L B' L2 B2 U F'
B' L B2 L2 F U F2
U2 L' R' U F R F'
F' L' R2 F' R U' F
B L' U L' F' D' L2
B2 L' U D L2 F' R
B2 L' U D F' L2 R
B2 L' U D F' R L2
B L' U D F L' F2
U2 L' U F' U' B U
B L' U F2 D F L'
U L' U B U F' B'
U L' U B U B' F'
