B R' F' U' L' F2
B L R' F' U' L' F
B' L F' U L' F R
B R' L F' U' L' F
B R' D F' U' L' F2
B R' D' F' U' L' F2
B R' D2 F' U' L' F2
D2 R' F' R U' L' F2
D' R' F' U' L' F2 B
D' R' F' U' L' B F2
D' R' F' U' B L' F2
B R' F' L U' L2 F2
B R' F' L U' F2 L2
B2 R' F' U' L' F2 B'
B2 R' F' U' L' B' F2
B R' F' L2 U' L F2
B R' F' L2 U' F2 L
B R' F' U' L F2 L2
B R' F' U' L' F2 D
B R' F' U' L' F2 D'
B R' F' U' L' F2 D2
B R' F' U' L2 F2 L
B R' F' D' L2 U' L
B R' F' B U' L' F2
B R' F' B' U' L' F2
B R' F' B2 U' L' F2
B R' B F' U' L' F2
B R' B' F' U' L' F2
B R' B2 F' U' L' F2
F R2 D B2 L B' R'
R' D2 F' R U' L' F2
R' F D R2 B2 L B'
B D R' F' U' L' F2
R' F' B R' U' L' F2
B D' R' F' U' L' F2
R' F' B2 U' L' F2 B'
R' F' B2 U' L' B' F2
B D2 R' F' U' L' F2
U2 B R' U' F L R
U2 B R' U' F R L
L B R' F' U' L' F
R' B F' R' U' L' F2
L2 B' U L F U R
B2 F' U' L' F2 B' R'
B2 F' U' L' B' R' F2
B2 F' U' L' B' F2 R'
F' B2 U' L' F2 B' R'
F' B2 U' L' B' R' F2
F' B2 U' L' B' F2 R'
R' B2 F' U' L' F2 B'
R' B2 F' U' L' B' F2
