U L F' B2 U' R
F' L B2 U' R B2
F' L B2 U' B2 R
F' L' R D L2 F2
F' L' R D F2 L2
U L B2 F' U' R
F' L' D L2 R F2
F' L' D R L2 F2
F' L' D R F2 L2
F' R L' D L2 F2
F' R L' D F2 L2
F' R U L B2 U'
F' U L B2 U' R
F2 U L F B2 U'
F2 U L B2 F U'
L' F D F2 L2 R
L' F D F2 R L2
L' F' R D L2 F2
L' F' R D F2 L2
U F' L B2 U' R
L' F' D L2 R F2
L' F' D R L2 F2
L' F' D R F2 L2
L2 F' D L2 R F'
L2 F' D R L2 F'
L2 F' D R F' L2
L F' B2 U' R B2
L F' B2 U' B2 R
L B2 F' U' R B2
L B2 F' U' B2 R
F' L R D L2 D F2
F' L R' B2 U' R2 B2
F' L R' B2 U' B2 R2
F' L R2 B2 U' B2 R'
F' L D L2 R D F2
F' L D L2 D R F2
F' L D R L2 D F2
F L D L2 D R2 F2
F L D L2 D F2 R2
L' R F D F2 L2 R
L' R F D F2 R L2
L' R F' R D L2 F2
L' R F' R D F2 L2
L' R F' D L2 R F2
L' R F' D R L2 F2
L' R F' D R F2 L2
L2 R F' D L2 R F'
L2 R F' D R L2 F'
L2 R F' D R F' L2
R' L F' B2 U' R B2
R' L F' B2 U' B2 R
R2 L F' B2 U' R B2
R2 L F' B2 U' B2 R
L R F' B2 U' R B2
L R F' B2 U' B2 R
R L F' B2 U' R B2
R L F' B2 U' B2 R
F2 L F B2 U' R B2
F2 L F B2 U' B2 R
U L F B2 U L' U2
U L F' U' R D L2
U L F' U' D L2 R
U L F' U' D R L2
U L F' D U' L2 R
U L F' D U' R L2
U L F' B2 U' R D
U L F' B2 U' R D'
U L F' B2 U' R D2
U L F' B2 U' D R
U L F' B2 U' D' R
U L F' B2 U' D2 R
U L F' B2 D U' R
U L F' B2 D' U' R
U L F' B2 D2 U' R
R' L B2 F' U' R B2
R' L B2 F' U' B2 R
R2 L B2 F' U' R B2
L R B2 F' U' R B2
R2 L B2 F' U' B2 R
L R B2 F' U' B2 R
R L B2 F' U' R B2
R L B2 F' U' B2 R
U L B D2 B U' R'
F' L B2 R' U' R2 B2
F' L B2 R' U' B2 R2
F' L B2 R2 U' R' B2
F' L B2 U' R B2 D
F' L B2 U' R B2 D'
F' L B2 U' R B2 D2
F' L B2 U' R' B2 R2
F' L B2 U' B' R B'
F' L B2 U' B2 R D
F' L B2 U' B2 R D'
F' L B2 U' B2 R D2
F' L B2 U' B2 D R
F' L B2 U' B2 D' R
F' L B2 U' B2 D2 R
F L B2 U L2 U2 B2
F' L B2 D' R2 U' R'
F L B2 U' B2 D2 R2
U L B2 U' F' R F
F2 L B2 F U' R B2
F2 L B2 F U' B2 R
F' L' R U L2 B2 U'
F' L' R U B2 L2 U'
U L B2 F U L' U2
F' L' R D L F2 L
F' L' R D L2 F2 D
F' L' R D L2 F2 D'
F' L' R D L2 F2 D2
F' L' R D F' L2 F'
F' L' R D F2 L2 D
F' L' R D F2 L2 D'
F' L' R D F2 L2 D2
U L B2 F' U' R D
U L B2 F' U' R D'
U L B2 F' U' R D2
U L B2 F' U' D R
U L B2 F' U' D' R
U L B2 F' U' D2 R
U L B2 F' D U' R
U L B2 F' D' U' R
U L B2 F' D2 U' R
F' L' R F D L2 F2
F' L' R F D F2 L2
F' L' R F' D L2 F2
F' L' R F' D F2 L2
F' L' R F2 D L2 F2
F' L' R F2 D F2 L2
F' L' R2 D L2 R' F2
F' L' R2 D L2 F2 R'
F' L' R2 D R' L2 F2
F' L' R2 D R' F2 L2
F' L' R2 D F2 L2 R'
F' L' R2 D F2 R' L2
F' L' U L2 B2 U' R
F' L' U B2 L2 U' R
R' L' F D F2 L2 R
R' L' F D F2 R L2
L' R' F D F2 L2 R
L' R' F D F2 R L2
R2 L' F D F2 L2 R
R2 L' F D F2 R L2
R L' F D F2 L2 R
R L' F D F2 R L2
R' L' F' R D L2 F2
R' L' F' R D F2 L2
L' R' F' R D L2 F2
L' R' F' R D F2 L2
R2 L' F' R D L2 F2
R2 L' F' R D F2 L2
R' L' F' D L2 R F2
R' L' F' D R L2 F2
R' L' F' D R F2 L2
R L' F' R D L2 F2
R L' F' R D F2 L2
L' R' F' D L2 R F2
L' R' F' D R L2 F2
L' R' F' D R F2 L2
L2 R' F' D L2 R F'
L2 R' F' D R L2 F'
L2 R' F' D R F' L2
R2 L' F' D L2 R F2
R2 L' F' D R L2 F2
R2 L' F' D R F2 L2
R L' F' D L2 R F2
R L' F' D R L2 F2
R L' F' D R F2 L2
F' L' D L R F2 L
L R' F' B2 U' R B2
L R' F' B2 U' B2 R
F' L' D L2 R F2 D
F' L' D L2 R F2 D'
F' L' D L2 R F2 D2
F' L' D L2 R' F2 R2
F' L' D L2 R2 F2 R'
F' L' D R L F2 L
F' L' D R L2 F2 D
F' L' D R L2 F2 D'
F' L' D R L2 F2 D2
F' L' D R F' L2 F'
F' L' D R F2 L2 D
F' L' D R F2 L2 D'
F' L' D R F2 L2 D2
F' L' D R' L2 F2 R2
F2 L' D L2 F R F
F' L' D R' F2 L2 R2
F' L' D R' F2 R2 L2
F' L' D R2 L2 F2 R'
F L' D L F2 L R
F L' D L F2 R L
F' L' D R2 F2 L2 R'
F' L' D R2 F2 R' L2
F L' D L2 F2 D2 R2
F2 L' D F R F L2
F L' D F2 L2 D2 R2
F' L' D' R D2 F2 L'
F L' D' R2 B2 U2 B2
F L' D' B2 R2 U2 B2
F2 L' F R D L2 F2
F2 L' F R D F2 L2
U L' F L2 B2 U' R'
F2 L' F D L2 R F2
F2 L' F D R L2 F2
F2 L' F D R F2 L2
L R' B2 F' U' R B2
L R' B2 F' U' B2 R
U L' F' L2 B2 U' R
F2 L' F' D F2 L2 R
F2 L' F' D F2 R L2
U L' F' B2 L2 U' R
F' L' F2 D F2 L2 R
F' L' F2 D F2 R L2
F' L' B2 L2 U' R B2
F' L' B2 L2 U' B2 R
U L' B2 L2 F' U' R
F' L2 R U L' B2 U'
F' L2 R U B2 L' U'
D L2 R U L' F' U'
U L' B2 F' L2 U' R
L' R2 F D F2 L2 R
L' R2 F D F2 R L2
L' R2 F' R D L2 F2
L' R2 F' R D F2 L2
R' L2 F' D L2 R F'
R' L2 F' D R L2 F'
R' L2 F' D R F' L2
L' R2 F' D L2 R F2
L' R2 F' D R L2 F2
L' R2 F' D R F2 L2
F' L2 U L' B2 U' R
L2 R2 F' D L2 R F'
L2 R2 F' D R L2 F'
L2 R2 F' D R F' L2
R2 L2 F' D L2 R F'
R2 L2 F' D R L2 F'
R2 L2 F' D R F' L2
R L2 F' D L2 R F'
R L2 F' D R L2 F'
R L2 F' D R F' L2
L R2 F' B2 U' R B2
L R2 F' B2 U' B2 R
D L2 U D2 L' F U'
F' L2 U B2 L' U' R
F L2 U B2 L' U' R'
L R2 B2 F' U' R B2
L R2 B2 F' U' B2 R
R' U L F' B2 U' R
D L2 D' F' D R F'
R' U L B2 F' U' R
R2 U L F' B2 U' R
D L2 D2 U L' F U'
R U L F' B2 U' R
R2 U L B2 F' U' R
R U L B2 F' U' R
L2 U L' F' B2 U' R
L2 U L' B2 F' U' R
L' U L2 F' B2 U' R
L' U L2 B2 F' U' R
F' L2 B2 L' U' R B2
F' L2 B2 L' U' B2 R
F L2 B2 L' U' R' B2
U L2 B2 L' F' U' R
F' R L D L2 D F2
U L2 B2 D' L' F U'
F' R L' U L2 B2 U'
F' R L' U B2 L2 U'
F' R L' D L F2 L
F' R L' D L2 F2 D
F' R L' D L2 F2 D'
F' R L' D L2 F2 D2
F' R L' D F' L2 F'
F' R L' D F2 L2 D
F' R L' D F2 L2 D'
F' R L' D F2 L2 D2
L' U F L2 B2 U' R'
F' R L' F D L2 F2
F' R L' F D F2 L2
F' R L' F' D L2 F2
F' R L' F' D F2 L2
F' R L' F2 D L2 F2
F' R L' F2 D F2 L2
F' R L2 U L' B2 U'
F' R L2 U B2 L' U'
R' U F' L B2 U' R
D R L2 U L' F' U'
L' U F' L2 B2 U' R
F' R U L U' D L2
F' R U L D U' L2
R2 U F' L B2 U' R
F' R U L B2 U' D
F' R U L B2 U' D'
F' R U L B2 U' D2
F' R U L B2 D U'
F' R U L B2 D' U'
F' R U L B2 D2 U'
F' R U L' B2 L2 U'
F' R U L2 B2 L' U'
F2 R U L F B2 U'
F2 R U L B2 F U'
R U F' L B2 U' R
L' U F' B2 L2 U' R
F' R U D L U' L
D R U L F' U' L
F' R U B2 U2 R' U
D R U F' L U' L
F' R D L' D L' F2
F' R D L2 U L' U'
F' R D U L U' L
L' U B2 L2 F' U' R
L2 U B2 L' F' U' R
L' U B2 F' L2 U' R
L2 U B2 D' L' F U'
F' R F L' D L2 F2
F' R F L' D F2 L2
F' R F U L B2 U'
F' R F' L' D L2 F2
F' R F' L' D F2 L2
F' R F' U L B2 U'
F' R F2 L' D L2 F2
F' R F2 L' D F2 L2
F' R F2 U L B2 U'
F' R' L B2 U' R2 B2
F' R' L B2 U' B2 R2
F' R' U L B2 U' R2
F2 R' U L F B2 U'
F2 R' U L B2 F U'
B2 R' F' U R B2 L
F' R2 L B2 U' B2 R'
F' R2 L' D L2 R' F2
F' R2 L' D L2 F2 R'
F' R2 L' D R' L2 F2
F' R2 L' D R' F2 L2
F' R2 L' D F2 L2 R'
F' R2 L' D F2 R' L2
F2 R2 U L F B2 U'
F2 R2 U L B2 F U'
L' D L2 F' D' F' R
F' U L U' R D L2
F' U L U' D L2 R
F' U L U' D R L2
F' U L D U' L2 R
F' U L D U' R L2
F2 U L D F U' L2
F2 U L F U' D L2
F2 U L F D U' L2
F2 U L F B2 U' D
F2 U L F B2 U' D'
F2 U L F B2 U' D2
F2 U L F B2 D U'
F2 U L F B2 D' U'
F2 U L F B2 D2 U'
F' U L B2 U' R D
F' U L B2 U' R D'
F' U L B2 U' R D2
F' U L B2 U' D R
F' U L B2 U' D' R
F' U L B2 U' D2 R
F' U L B2 D U' R
F' U L B2 D' U' R
F' U L B2 D2 U' R
F2 U L B2 D F U'
F2 U L B2 D' F U'
F2 U L B2 D2 F U'
F2 U L B2 F U' D
F2 U L B2 F U' D'
F2 U L B2 F U' D2
F2 U L B2 F D U'
F2 U L B2 F D' U'
F2 U L B2 F D2 U'
F U L D F2 U' L2
F' U L' B2 L2 U' R
F U L B2 U L2 U2
F U L B2 U' D2 R2
F U L B2 D F2 U'
F U L B2 D2 U' R2
L' D F' L2 D' F' R
F' U L2 B2 L' U' R
F2 U L2 B2 L' F U'
F U L2 B2 L' U' R'
F' U D L U' L R
F' U D L U' R L
F2 U D L F U' L
F2 U F L F B2 U'
F2 U F L B2 F U'
F2 U F' L F B2 U'
F2 U F' L B2 F U'
F2 U F2 L F B2 U'
F2 U F2 L B2 F U'
U' D B2 R' B U L2
F U F2 L B2 U' R
F' U B2 U' R D' F2
F' U B2 U2 R' U R2
D U' B2 R' B U L2
B2 U' F' R B2 D' F2
F U2 L' U' L2 B2 U'
F U2 L' U' B2 L2 U'
F U2 L' U2 D L2 F2
F U2 L' U2 D F2 L2
F U2 L' D U2 L2 F2
F U2 L' D U2 F2 L2
F U2 L' D' R2 B2 U2
F U2 L' D' B2 R2 U2
B2 U2 D L2 R' B U
B2 U2 D R' L2 B U
B2 U2 D R' B L2 U
U F L D F2 U' L2
U F L B2 U L2 U2
U F L B2 U' D2 R2
U F L B2 D F2 U'
U F L B2 D2 U' R2
L' F L2 B2 U' R' B2
L' F R D F2 L2 R
L' F R D F2 R L2
