D' L' U2 F B
D' L' U2 B F
D' L B' L2 U2 B2
D' L' U2 D F B
D' L' U2 D B F
D' L' U2 D' F B
D' L' U2 D' B F
D' L' U2 D2 F B
D' L' U2 D2 B F
D' L' U2 F D B
D' L' U2 F D' B
D' L' U2 F D2 B
D' L' U2 F B D
D' L' U2 F B D'
D' L' U2 F B D2
D' L' U2 B D F
D' L' U2 B D' F
D' L' U2 B D2 F
D' L' U2 B F D
D' L' U2 B F D'
D' L' U2 B F D2
D' L' D U2 F B
D' L' D U2 B F
D' L' D' U2 F B
D' L' D' U2 B F
D' L' D2 U2 F B
D' L' D2 U2 B F
D' L' F' U2 F2 B
D' L' F' U2 B F2
D' L' F2 U2 F' B
D' L' F2 U2 B F'
D' L' B' U2 F B2
D' L' B' U2 B2 F
D' L' B2 U2 F B'
D' L' B2 U2 B' F
U2 D F2 B R F'
L2 D' L B' U2 B2
U2 D B F2 R F'
D U2 F2 B R F'
D U2 B F2 R F'
L' F U' L' U' B
D F2 U2 B R F'
U2 B D F2 R F'
D' B' L' U2 F B2
D' B' L' U2 B2 F
D' L U2 B D2 R2 F2
D' L U2 B D2 F2 R2
F L D' B2 U2 B' R'
D' L D2 B' U2 R2 B2
D' L D2 B' U2 B2 R2
D' L F L2 U2 F B
D' L F L2 U2 B F
D' L F B' L2 U2 B2
D' L F' L2 U2 F B
D' L F' L2 U2 B F
D' L F' B' L2 U2 B2
D' L F2 L2 U2 F B
D' L F2 L2 U2 B F
D' L F2 B' L2 U2 B2
D' L B L2 B2 U2 B2
D' L B' L U2 B2 R'
D' L B' L U2 B2 R'
D' L B' L2 U2 B2 D
D' L B' L2 U2 B2 D'
D' L B' L2 U2 B2 D2
D' L B' L2 D2 F2 U2
D' L B' L2 F U2 B2
D' L B' L2 F' U2 B2
D' L B' L2 F2 U2 B2
D' L B' U2 B2 D2 R2
D' L B' D2 F2 U2 R2
D' L B' F L2 U2 B2
D' L B' F' L2 U2 B2
D' L B' F2 L2 U2 B2
D' L B2 L2 F B U2
D' L B2 L2 B F U2
R' L' D R U2 F' B
R' L' D R U2 B F'
L' R' D R U2 F' B
L' R' D R U2 B F'
D L' R' B R U2 B
D' L' R2 F' R2 U2 F2
D' L' U2 L B L' F
D' L' U2 R F R' B
D' L' U2 D F D B
D' L' U2 D F D' B
D' L' U2 D F D2 B
D' L' U2 D F B D
D' L' U2 D F B D'
D' L' U2 D F B D2
D' L' U2 D B D F
D' L' U2 D B D' F
D' L' U2 D B D2 F
D' L' U2 D B F D
D' L' U2 D B F D'
D' L' U2 D B F D2
D L' U2 R F' R' B
D' L' U2 D' F D B
D' L' U2 D' F D' B
D' L' U2 D' F D2 B
D' L' U2 D' F B D
D' L' U2 D' F B D'
D' L' U2 D' F B D2
R2 L' F' R2 U R' U
D' L' U2 D' B D F
D' L' U2 D' B D' F
D' L' U2 D' B D2 F
D' L' U2 D' B F D
D' L' U2 D' B F D'
D' L' U2 D' B F D2
D' L' U2 D2 F D B
D' L' U2 D2 F D' B
D' L' U2 D2 F D2 B
D' L' U2 D2 F B D
D' L' U2 D2 F B D'
D' L' U2 D2 F B D2
D' L' U2 D2 B D F
D' L' U2 D2 B D' F
D' L' U2 D2 B D2 F
D' L' U2 D2 B F D
D' L' U2 D2 B F D'
D' L' U2 D2 B F D2
D' L' U2 F L B L'
D' L' U2 F L2 B L2
D' L' U2 F D B D
D' L' U2 F D B D'
D' L' U2 F D B D2
D' L' U2 F D' B D
D' L' U2 F D' B D'
D' L' U2 F D' B D2
D' L' U2 F D2 B D
D' L' U2 F D2 B D'
D' L' U2 F D2 B D2
D' L' U2 F B2 D B'
D' L' U2 F B2 D' B'
D' L' U2 F B2 D2 B'
D' L' U2 F2 D F' B
D' L' U2 F2 D B F'
D' L' U2 F2 D' F' B
D' L' U2 F2 D' B F'
D' L' U2 F2 D2 F' B
D' L' U2 F2 D2 B F'
D' L' U2 F2 B D F'
D' L' U2 F2 B D' F'
D' L' U2 F2 B D2 F'
D2 L' U2 B U' R' U
D' L' U2 B R F R'
D' L' U2 B R2 F R2
D' L' U2 B D F D
D' L' U2 B D F D'
D' L' U2 B D F D2
D' L' U2 B D' F D
D' L' U2 B D' F D'
D' L' U2 B D' F D2
D' L' U2 B D2 F D
D' L' U2 B D2 F D'
D' L' U2 B D2 F D2
D' L' U2 B F2 D F'
D' L' U2 B F2 D' F'
D' L' U2 B F2 D2 F'
D' L' U2 B2 D F B'
D' L' U2 B2 D B' F
D' L' U2 B2 D' F B'
D' L' U2 B2 D' B' F
D' L' U2 B2 D2 F B'
D' L' U2 B2 D2 B' F
D' L' U2 B2 F D B'
D' L' U2 B2 F D' B'
D' L' U2 B2 F D2 B'
D L' U2 B R F' R'
D' L' D U2 F D B
D' L' D U2 F D' B
D' L' D U2 F D2 B
D' L' D U2 F B D
D' L' D U2 F B D'
D' L' D U2 F B D2
D' L' D U2 B D F
D' L' D U2 B D' F
D' L' D U2 B D2 F
D' L' D U2 B F D
D' L' D U2 B F D'
D' L' D U2 B F D2
D' L' D F' U2 F2 B
D' L' D F' U2 B F2
D' L' D F2 U2 F' B
D' L' D F2 U2 B F'
D' L' D B' U2 F B2
D' L' D B' U2 B2 F
D' L' D B2 U2 F B'
D' L' D B2 U2 B' F
D' L' D' U2 F D B
D' L' D' U2 F D' B
D' L' D' U2 F D2 B
D' L' D' U2 F B D
D' L' D' U2 F B D'
D' L' D' U2 F B D2
D' L' D' U2 B D F
D' L' D' U2 B D' F
D' L' D' U2 B D2 F
D' L' D' U2 B F D
D' L' D' U2 B F D'
D' L' D' U2 B F D2
D' L' D' F' U2 F2 B
D' L' D' F' U2 B F2
D' L' D' F2 U2 F' B
D' L' D' F2 U2 B F'
D' L' D' B' U2 F B2
D' L' D' B' U2 B2 F
D' L' D' B2 U2 F B'
D' L' D' B2 U2 B' F
D' L' D2 U2 F D B
D' L' D2 U2 F D' B
D' L' D2 U2 F D2 B
D' L' D2 U2 F B D
D' L' D2 U2 F B D'
D' L' D2 U2 F B D2
D' L' D2 U2 B D F
D' L' D2 U2 B D' F
D' L' D2 U2 B D2 F
D' L' D2 U2 B F D
D' L' D2 U2 B F D'
D' L' D2 U2 B F D2
D' L' D2 F' U2 F2 B
D' L' D2 F' U2 B F2
D' L' D2 F2 U2 F' B
D' L' D2 F2 U2 B F'
D' L' D2 B' U2 F B2
D' L' D2 B' U2 B2 F
D' L' D2 B2 U2 F B'
D' L' D2 B2 U2 B' F
B' L' F U' L' U' B2
B' L' F' U R U B2
D' L' F' U2 F2 D B
D' L' F' U2 F2 D' B
D' L' F' U2 F2 D2 B
D' L' F' U2 F2 B D
D' L' F' U2 F2 B D'
D' L' F' U2 F2 B D2
D' L' F' U2 B F2 D
D' L' F' U2 B F2 D'
D' L' F' U2 B F2 D2
D' L' F' D2 B2 U2 B'
D' L' F' B' U2 F2 B2
D' L' F' B' U2 B2 F2
D' L' F' B2 U2 F2 B'
D' L' F' B2 U2 B' F2
D' L' F2 U2 D F' B
D' L' F2 U2 D B F'
D' L' F2 U2 D' F' B
D' L' F2 U2 D' B F'
D' L' F2 U2 D2 F' B
D' L' F2 U2 D2 B F'
D' L' F2 U2 F' D B
D' L' F2 U2 F' D' B
D' L' F2 U2 F' D2 B
D' L' F2 U2 F' B D
D' L' F2 U2 F' B D'
D' L' F2 U2 F' B D2
D' L' F2 U2 B D F'
D' L' F2 U2 B D' F'
D' L' F2 U2 B D2 F'
D' L' F2 U2 B F' D
D' L' F2 U2 B F' D'
D' L' F2 U2 B F' D2
D' L' F2 D U2 F' B
D' L' F2 D U2 B F'
D' L' F2 D' U2 F' B
D' L' F2 D' U2 B F'
D' L' F2 D2 U2 F' B
D' L' F2 D2 U2 B F'
D' L' F2 B' U2 F' B2
D' L' F2 B' U2 B2 F'
D' L' F2 B2 U2 F' B'
D' L' F2 B2 U2 B' F'
D2 L' B' U' L U' B2
D' L' B' U2 F B2 D
D' L' B' U2 F B2 D'
D' L' B' U2 F B2 D2
D' L' B' U2 B2 D F
D' L' B' U2 B2 D' F
D' L' B' U2 B2 D2 F
D' L' B' U2 B2 F D
D' L' B' U2 B2 F D'
D' L' B' U2 B2 F D2
D' L' B' D2 F2 U2 F'
D' L' B' F' U2 F2 B2
D' L' B' F' U2 B2 F2
D' L' B' F2 U2 F' B2
D' L' B' F2 U2 B2 F'
D' L' B2 U2 D F B'
D' L' B2 U2 D B' F
D' L' B2 U2 D' F B'
D' L' B2 U2 D' B' F
D' L' B2 U2 D2 F B'
D' L' B2 U2 D2 B' F
D' L' B2 U2 F D B'
D' L' B2 U2 F D' B'
D' L' B2 U2 F D2 B'
D' L' B2 U2 F B' D
D' L' B2 U2 F B' D'
D' L' B2 U2 F B' D2
D' L' B2 U2 B' D F
D' L' B2 U2 B' D' F
D' L' B2 U2 B' D2 F
D' L' B2 U2 B' F D
D' L' B2 U2 B' F D'
D' L' B2 U2 B' F D2
D' L' B2 D U2 F B'
D' L' B2 D U2 B' F
D' L' B2 D' U2 F B'
D' L' B2 D' U2 B' F
D' L' B2 D2 U2 F B'
D' L' B2 D2 U2 B' F
D' L' B2 F' U2 F2 B'
D' L' B2 F' U2 B' F2
D' L' B2 F2 U2 F' B'
D' L' B2 F2 U2 B' F'
L' R2 F' R2 U R' U
D' L2 U2 B2 R' F' B'
D' L2 U2 B2 R' B' F'
D2 L2 D L B' U2 B2
D' L2 D L U2 F B
D' L2 D L U2 B F
D' L2 D' L U2 F B
D' L2 D' L U2 B F
B L2 D' L B' U2 B
B2 L2 D' F L B' U2
D' L2 D2 L U2 F B
D' L2 D2 L U2 B F
D L2 D2 L B' U2 B2
D' L2 F L U2 F B
D' L2 F L U2 B F
B2 L2 F L U' L2 U'
B2 L2 F L U2 D F2
B2 L2 F L D U2 F2
B2 L2 F L D' B2 U2
D' L2 F' L U2 F B
D' L2 F' L U2 B F
D' L2 F2 L U2 F B
D' L2 F2 L U2 B F
L' U D' L' U F B
L' U D' L' U B F
D' L2 B2 U2 R' F' B'
D' L2 B2 U2 R' B' F'
L' U' D' L' U' F B
L' U' D' L' U' B F
L' U' F L' F' U' B
D R' L' B R U2 B
U2 R' D F2 R F' B
U2 R' D F2 R B F'
B R' D F2 L' R F'
B R' D F2 R L' F'
L' U2 L D' L' F B
L' U2 L D' L' B F
L' U2 L D' B L' F
L' U2 L B D' L' F
B R' D' F2 L' R F
B R' D' F2 R L' F
D' R' F2 L' R F B
D' R' F2 L' R B F
D' R' F2 R L' F B
D' R' F2 R L' B F
D' R' F2 R B L' F
L' U2 R' D R F' B
L' U2 R' D R B F'
D R' B L' R U2 B
D R' B R L' U2 B
L' U2 D R F' R' B
L' U2 D B R F' R'
L' U2 D' L' F L B
L' U2 D' B L' F L
L' U2 D2 B U' R' U
D' R2 L' F' R2 U2 F2
L' U2 F U L' U' B
L' U2 F B U L' U'
L' U2 F' B U' R U
L' U2 B L D' L' F
L' U2 B R' D R F'
L' U2 B D R F' R'
L' U2 B D' L' F L
L' U2 B F U L' U'
L' U2 B F' U' R U
R' D L' R U2 F' B
R' D L' R U2 B F'
R' D R L' U2 F' B
R' D R L' U2 B F'
L' D R' B R U2 B
L' D U2 R F' R' B
F2 U L U B R F
L' D U2 B R F' R'
R' D F2 L' R F' B
R' D F2 L' R B F'
R' D F2 R L' F' B
R' D F2 R L' B F'
R' D F2 R B L' F'
R' D' L' R U2 F B
R' D' L' R U2 B F
L' D' L B' L' U2 B2
L2 D' L U2 B D2 F2
L2 D' L D B' U2 B2
