F' L' U D' R F'
F' L' D' U R F'
F' L' B R' U R2
F' D L' U R F
F' D' L' U R F'
F' B L' R' U R2
F' B R' L' U R2
B F' L' R' U R2
B F' R' L' U R2
F' L U D' R F' B2
F' L U D' R B2 F'
F' L U D' B2 R F'
B' L U2 F' U R B
F' L D' U R F' B2
F' L D' U R B2 F'
F' L D' U B2 R F'
B L F' L' R' U R2
B L F' R' L' U R2
F' L B L2 R' U R2
F' L B R' L2 U R2
F' L' R B R' U R
F' L' R' B R' U R'
F' L' U D' R D F'
F' L' U D' R D' F'
F' L' U D' R D2 F'
F' L' U D' R F' D
F' L' U D' R F' D'
F' L' U D' R F' D2
F' L' D' R' U R2 F'
F' L' D' U R D F'
F' L' D' U R D' F'
F' L' D' U R D2 F'
F' L' D' U R F' D
F' L' D' U R F' D'
F' L' D' U R F' D2
F' L' D' B U R F'
F' L' D' B' U R F'
F' L' D' B2 U R F'
B L' F' L' R' U R2
B L' F' R' L' U R2
F' L' B R' U R2 D
F' L' B R' U R2 D'
F' L' B R' U R2 D2
F' L' B R' D B2 U
F' L' B R' B U R2
F' L' B R' B' U R2
F' L' B R' B2 U R2
F' L' B U R D' F2
F' L' B D R' U R2
F' L' B D' R' U R2
F' L' B D2 R' U R2
F' L' B' U2 L U' R
F' L' B2 R2 U R' F'
F' L' B2 U R' F' R2
F' L2 D' L U R F'
B L2 F' L' R' U R2
B L2 F' R' L' U R2
F' R L' B R' U R
F' R B L' R' U R
F' R B R' L' U R
F' R' L' B R' U R'
F' R' D L' B2 U F
F' R' D B2 L' U F
F' R' B L' R' U R'
F' R' B R' L' U R'
F' R2 D L' U R' F
F' R2 D L' U F R'
D2 U' F' R U B R'
B U' F' R' U R2 B
U' D2 F' R U B R'
F' D L' R' U R2 F
F' D L' R' U F R2
F' D L' R2 U R' F
F' D L' R2 U F R'
F' D L' U R D F
F' D L' U R D' F
F' D L' U R D2 F
F' D L' U R F D
F' D L' U R F D'
F' D L' U R F D2
F' D L' U R' F R2
F' D L' U R2 F R'
F' D L' U D R F
F' D L' U D' R F
F' D L' U D2 R F
F' D L' D U R F
F' D L' D' U R F
F' D L' D2 U R F
F' D L' B U R F
F' D L' B' U R F
F' D L' B2 U R F
F' D R' L' U R2 F
F' D R' L' U F R2
F' D R2 L' U R' F
F' D R2 L' U F R'
D2 F' L' R B U R'
L' F' L' U D' R F'
L' F' L' D' U R F'
D2 F' L' B R U R2
L2 F' L' U D' R F'
L' F' L' B R' U R2
L2 F' L' D' U R F'
D F' L' R' B U F
D F' L' R2 U F R
L2 F' L' B R' U R2
D2 F' R L' B U R'
L F' L' U D' R F'
L F' L' D' U R F'
L F' L' B R' U R2
D2 F' R B L' U R'
B D F' L' R' B U
B D F' R' L' B U
B D F' R' B L' U
F' D B L' U R F
D F' R' L' B U F
F' D B' L' U R F
D F' R' B L' U F
D F' R2 L' U F R
F' D B2 L' U R F
U2 F' U D' R F' B
U2 F' U D' R B F'
F' D' L' R' U R2 F'
F' D' L' U R D F'
F' D' L' U R D' F'
F' D' L' U R D2 F'
F' D' L' U R F' D
F' D' L' U R F' D'
F' D' L' U R F' D2
L' F' D L' U R F
F' D' L' B U R F'
F' D' L' B' U R F'
F' D' L' B2 U R F'
L2 F' D L' U R F
L' F' D' L' U R F'
L2 F' D' L' U R F'
L F' D L' U R F
U2 F' D' U R F' B
U2 F' D' U R B F'
F' D' R' L' U R2 F'
U' F' B R' U R2 B
D2 F' B L' R U R2
L F' D' L' U R F'
D2 F' B R L' U R2
L' F' B L' R' U R2
L' F' B R' L' U R2
U2 F' B L R' U R2
L2 F' B L' R' U R2
U2 F' B R' L U R2
L2 F' B R' L' U R2
L F' B L' R' U R2
L F' B R' L' U R2
F' D' B L' U R F'
F' D' B' L' U R F'
F' D' B2 L' U R F'
F' D2 L' U D R F'
F' D2 L' D U R F'
U2 B L F' R' U R2
R B R' F' L' U R
F' B L' R' U R2 D
F' B L' R' U R2 D'
F' B L' R' U R2 D2
F' B L' R' D B2 U
F' B L' R' B U R2
F' B L' R' B' U R2
F' B L' R' B2 U R2
F' B L' U R D' F2
F' B L' D R' U R2
F' B L' D' R' U R2
F' B L' D2 R' U R2
F' B R' L' U R2 D
F' B R' L' U R2 D'
F' B R' L' U R2 D2
F' B R' L' D B2 U
F' B R' L' B U R2
F' B R' L' B' U R2
F' B R' L' B2 U R2
F' B R' D L' B2 U
F' B R' D B2 L' U
F' B R' B L' U R2
F' B R' B' L' U R2
F2 B R' F L' U R
F' B R' B2 L' U R2
U' B F' R' U R2 B
D2 B F' L' R U R2
D2 B F' R L' U R2
L' B F' L' R' U R2
L' B F' R' L' U R2
U2 B F' L R' U R2
L2 B F' L' R' U R2
L2 B F' R' L' U R2
U2 B F' R' L U R2
L B F' L' R' U R2
L B F' R' L' U R2
F' B D L' R' U R2
F' B D R' L' U R2
F' B D' L' R' U R2
F' B D' R' L' U R2
F' B D2 L' R' U R2
F' B D2 R' L' U R2
B' F' L' U R D F2
B' F' L' U D R F2
B' F' L' U2 L2 U' R
B' F' L' D U R F2
B' F' L' D2 R2 U R'
F' B' L' U R D F2
F' B' L' U D R F2
B2 F' L' R2 U R' F'
F' B' L' U2 L2 U' R
B2 F' L' U R' F' R2
F' B' L' D U R F2
F' B' L' D2 R2 U R'
B2 F' L' B' R' U R2
B F' L' R' U R2 D
B F' L' R' U R2 D'
B F' L' R' U R2 D2
B F' L' R' D B2 U
B F' L' R' B U R2
B F' L' R' B' U R2
B F' L' R' B2 U R2
B F' L' U R D' F2
B F' L' D R' U R2
B F' L' D' R' U R2
B F' L' D2 R' U R2
B F' R' L' U R2 D
B F' R' L' U R2 D'
B F' R' L' U R2 D2
B F' R' L' D B2 U
B2 F' R2 L' U R' F'
B F' R' L' B U R2
B F' R' L' B' U R2
B F' R' L' B2 U R2
B F' R' D L' B2 U
B F' R' D B2 L' U
B F' R' B L' U R2
B F' R' B' L' U R2
B F' R' B2 L' U R2
B F' D L' R' U R2
B F' D R' L' U R2
B F' D' L' R' U R2
B F' D' R' L' U R2
B F' D2 L' R' U R2
B F' D2 R' L' U R2
F' B2 L' R2 U R' F'
F' B2 L' U R' F' R2
F' B2 L' B' R' U R2
F' B2 R2 L' U R' F'
B F2 R' F L' U R
