R F' U B R U'
L' R F' U B R U'
L R F' U B R U'
L2 R F' U B R U'
R L F' U B R U'
F L' U R F' L' R
F L' U R F' R L'
F L' U F' L' R F'
F L' U F' R L' F'
R L' F' U B R U'
F L' F' U R F' L'
R L2 F' U B R U'
U' R D' F' B L B'
U' R D' B L F' B'
U' R D' B L B' F'
U R D' L F' B' L'
U R D' L B' F' L'
U' R D' B F' L B'
U R D' L2 F' L' B'
U R D' F' L B' L2
F' R F B U' R F2
B' R F' U B R U'
U' R F' U R B U'
B2 R F' U B R U'
U R F' L' U R U'
B R F' U B R U'
U R F' U R U' L'
U' R B D' L F' B'
U' R B D' L B' F'
U' R B D' F' L B'
F' R B F U' R F2
U' R2 D R' F' B L
U' R2 D R' B L F'
U' R2 D R' B F' L
U R2 D R' F' L' B
U R2 D R' F' B L'
U R2 D R' B F' L'
R2 D R' F' B' L B2
R2 D R' B' L F' B2
R2 D R' B' L B2 F'
R2 D R' B' F' L B2
R D' L F' B' D L2
R D' L B' D L2 F'
R D' L B' D F' L2
R D' L B' F' D L2
R D' F' L B' D L2
F2 U' F2 R F' B L
F2 U' F2 R B L F'
F2 U' F2 R B F' L
R D2 F' U B R' U'
R D2 B R' U' R F'
R' F L' F2 U R2 F'
R F' L U B R U'
R F' L' U B R U'
R F' L2 U B R U'
R' F' U2 R U' R F'
R F' U D B R U'
R F' U D' B R U'
R F' U D2 B R U'
R F' U B R U' D
R F' U B R U' D'
R F' U B R U' D2
R F' U B R D U'
R F' U B R D' U'
R F' U B R D2 U'
R F' U B D R U'
R F' U B D' R U'
R F' U B D2 R U'
R F' U B' R B2 U'
R F' U B2 R B' U'
R F' D U B R U'
R F' D' U B R U'
R F' D2 U B R U'
R F' B' U R B2 U'
R F' B' U B2 R U'
R F' B2 U R B' U'
R F' B2 U B' R U'
U' B R D' L F' B'
U' B R D' L B' F'
U' B R D' F' L B'
D B R' F' U B R2
R B' F' U R B2 U'
R B' F' U B2 R U'
R B2 F' U R B' U'
R B2 F' U B' R U'
