U L R B R2 U
U L R' U2 F' U'
U R L B R2 U
U R' L U2 F' U'
U L R D' B U F2
U L R B R2 U D
U L R B R2 U D'
U L R B R2 U D2
U L R B R2 D U
U L R B R2 D' U
U L R B R2 D2 U
U L R B U D' F2
U L R B D' U F2
U L R B' R2 B2 U
U L R B2 R2 B' U
U L R' U2 D F' U'
U L R' U2 D' F' U'
U L R' U2 D2 F' U'
U L R' U2 F' U' D
U L R' U2 F' U' D'
U L R' U2 F' U' D2
U L R' U2 F' D U'
U L R' U2 F' D' U'
U L R' U2 F' D2 U'
U L R' D U2 F' U'
U L R' D' U2 F' U'
U L R' D2 U2 F' U'
U L R' B U2 F' U'
U L R' B' U2 F' U'
U L R' B2 U2 F' U'
U L U F R D' F2
U L D R B R2 U
U L D R' U2 F' U'
U L D' R B R2 U
U L D' R' U2 F' U'
U L D2 R B R2 U
U L D2 R' U2 F' U'
U L D2 R' U2 F' U'
R' L F2 B' U L' R'
R' L F2 B' U L' R'
R' L F2 B' U R' L'
R' L B U' L R U2
R' L B U' R L U2
R' L B' U R' D2 L2
R' L B' U' R U2 R2
R' L B' F2 U L' R'
R' L B' F2 U R' L'
B L B U' L R' U'
B L B U' R' L U'
U L B' R B R' U
B L B' U L R' U
B L B' U R' L U
U L B2 U2 L F U'
U L' R B L2 R2 U
U L' R B R2 L2 U
U' L' U2 R' B' L2 U
L R' F2 B' U L' R'
L R' F2 B' U R' L'
L R' B U' L R U2
L R' B U' R L U2
L R' B' U R' D2 L2
L R' B' U' R U2 R2
L R' B' F2 U L' R'
L R' B' F2 U R' L'
U L2 R B L' R2 U
U L2 R B R2 L' U
L2 U L' R B R2 U
L2 U L' R' U2 F' U'
L' U L2 R B R2 U
L' U L2 R' U2 F' U'
L' U R L2 B R2 U
L2 U R L' B R2 U
L' U R B L2 R2 U
L' U R B R2 L2 U
L' U R' L2 U2 F' U'
L2 U R B L' R2 U
L2 U R B R2 L' U
L U R B R2 U B'
L2 U R' L' U2 F' U'
U R L D' B U F2
U R L B R2 U D
U R L B R2 U D'
U R L B R2 U D2
U R L B R2 D U
U R L B R2 D' U
U R L B R2 D2 U
U R L B U D' F2
U R L B D' U F2
U R L B' R2 B2 U
U R L B2 R2 B' U
U R L' B L2 R2 U
U R L' B R2 L2 U
U R L2 B L' R2 U
U R L2 B R2 L' U
U R D' L B U F2
U R' L U2 D F' U'
U R' L U2 D' F' U'
U R' L U2 D2 F' U'
U R' L U2 F' U' D
U R' L U2 F' U' D'
U R' L U2 F' U' D2
U R' L U2 F' D U'
U R' L U2 F' D' U'
U R' L U2 F' D2 U'
U R' L D U2 F' U'
U R' L D' U2 F' U'
U R' L D2 U2 F' U'
U R' L B U2 F' U'
U R' L B' U2 F' U'
U R' L B2 U2 F' U'
U R' U2 F' U2 L U
U R' D L U2 F' U'
U R' D' L U2 F' U'
U R' D2 L U2 F' U'
U2 R' F L U L' R
U2 R' F L U R L'
U R' B2 U2 F' R' U'
L' U2 F R D' F2 B2
L' U2 F R D' B2 F2
U2 R2 U' L R B U
U2 R2 U' R L B U
U' R2 U2 L R B U
U' R2 U2 R L B U
U R2 D2 L R B' U
U R2 D2 L B' R U
U R2 D2 R L B' U
D' U L R B R2 U
D' U L R' U2 F' U'
D2 U L R B R2 U
D2 U L R' U2 F' U'
F' U L R B R2 U
F' U L R' U2 F' U'
F2 U L R B R2 U
F2 U L R' U2 F' U'
D U L R B R2 U
D U L R' U2 F' U'
F U L R B R2 U
F U L R' U2 F' U'
U D L R B R2 U
U D L R' U2 F' U'
D' U R L B R2 U
D2 U R L B R2 U
F' U R L B R2 U
F2 U R L B R2 U
D U R L B R2 U
D' U R' L U2 F' U'
D2 U R' L U2 F' U'
F' U R' L U2 F' U'
F U R L B R2 U
U D R L B R2 U
F2 U R' L U2 F' U'
D U R' L U2 F' U'
F U R' L U2 F' U'
U D R' L U2 F' U'
U D' L R B R2 U
U D' L R' U2 F' U'
U D' R L B R2 U
U D' R' L U2 F' U'
U D2 L R B R2 U
U D2 L R' U2 F' U'
U D2 R L B R2 U
U D2 R' L U2 F' U'
U2 F L R' U L' R2
U2 F L R' U R2 L'
U2 F R U' L R2 U
U2 F R U' R2 L U
U2 F R' L U L' R2
U2 F R' L U R2 L'
U2 F U' L R' U R2
U2 F U' R' L U R2
R' F2 L B' U L2 R'
R' F2 L B' U R' L2
U B' R B L R' U
U B' R B R' L U
U' B2 L R' F B2 U'
U' B2 L R' B2 F U'
U' B2 L F R' B2 U'
U' B2 R' L F B2 U'
U' B2 R' L B2 F U'
U2 B2 U L R' F U'
U2 B2 U L F R' U'
U2 B2 U R' L F U'
U B2 U2 L R' F U'
U B2 U2 L F R' U'
U B2 U2 R' L F U'
