U' L' R2 B' U2 B'
U' L' B' R2 U2 B'
U' R2 L' B' U2 B'
B L U L2 R2 F' U2
B L U R2 L2 F' U2
B L U R2 F' L2 U2
B L U' D2 L2 B R2
B L U' D2 B L2 R2
B L U' D2 B R2 L2
B L U' B D2 L2 R2
B L U' B D2 R2 L2
B L D F2 B2 U' B'
B L D B2 F2 U' B'
U' L D2 R2 F L2 B'
U' L D2 F L2 R2 B'
U' L D2 F L2 B' R2
U' L D2 F R2 L2 B'
B L D2 U' L2 B R2
B L D2 U' B L2 R2
B L D2 U' B R2 L2
U' L F B2 D2 L2 R2
U' L F B2 D2 R2 L2
R2 L' U R' U F' B2
R2 L' U R' U B2 F'
L2 R' U B2 L R' F'
L2 R' U B2 R' L F'
L2 R' U B2 R' F' L
R2 L' U' L U' F B2
R2 L' U' L U' B2 F
L2 R' U' B2 L R' F
L2 R' U' B2 L F R'
L2 R' U' B2 R' L F
U' L B2 D2 R2 F L2
U' L B2 D2 F L2 R2
U' L B2 D2 F R2 L2
U' L B2 F D2 L2 R2
U' L B2 F D2 R2 L2
U' L' R B' R U2 B'
U L' R' U2 F' B2 L
U L' R' U2 B2 L F'
U L' R' U2 B2 F' L
U' L' R' B' U2 B' L
U' L' R2 D2 F2 B' U2
U' L' R2 D2 B' F2 U2
B L' R2 D F' U2 F'
U' L' R2 F B' U2 B'
B L' R2 D' F' B2 U2
U' L' R2 F' B' U2 B'
B L' R2 D' B2 F' U2
U' L' R2 F2 B' U2 B'
B L' R2 F' U' L2 U'
B L' R2 F' U2 D F2
U' L' R2 B' U2 D B'
U' L' R2 B' U2 D' B'
U' L' R2 B' U2 D2 B'
U' L' R2 B' U2 B' D
U' L' R2 B' U2 B' D'
U' L' R2 B' U2 B' D2
B L' R2 F' D U2 F2
U' L' R2 B' D U2 B'
B L' R2 F' D' B2 U2
U' L' R2 B' D' U2 B'
U' L' R2 B' D2 U2 B'
U' L' R2 B' F U2 B'
U' L' R2 B' F' U2 B'
U' L' R2 B' F2 U2 B'
R2 L' B U' L U' B
R2 L' B' U R' U B'
U' L' D2 F2 U2 L2 F
U' L' D2 F2 B' U2 L2
U' L' D2 B' F2 U2 L2
U' L' F R2 B' U2 B'
U' L' F B' R2 U2 B'
L' R2 U R' U F' B2
L' R2 U R' U B2 F'
U' L' F' R2 B' U2 B'
R' L2 U B2 L R' F'
R' L2 U B2 R' L F'
R' L2 U B2 R' F' L
L' R2 U' L U' F B2
L' R2 U' L U' B2 F
U' L' F' B' R2 U2 B'
U' L' F2 R2 B' U2 B'
R' L2 U' B2 L R' F
R' L2 U' B2 L F R'
R' L2 U' B2 R' L F
U' L' F2 B' R2 U2 B'
U' L' B R2 F' B2 U2
U' L' B R2 B2 F' U2
U' L' B' R2 U2 D B'
U' L' B' R2 U2 D' B'
U' L' B' R2 U2 D2 B'
U' L' B' R2 U2 B' D
U' L' B' R2 U2 B' D'
U' L' B' R2 U2 B' D2
U' L' B' R2 D U2 B'
U' L' B' R2 D' U2 B'
U' L' B' R2 D2 U2 B'
U' L' B' R2 F U2 B'
U' L' B' R2 F' U2 B'
U' L' B' R2 F2 U2 B'
U' L' B' U2 D2 B' L2
U' L' B' U2 B' D2 L2
U' L' B' D2 U2 B' L2
U' L' B' F R2 U2 B'
U' L' B' F' R2 U2 B'
U' L' B' F2 R2 U2 B'
U L2 R' F' B2 L R'
U L2 R' F' B2 R' L
U L2 R' B2 L F' R'
U L2 R' B2 F' L R'
U L2 R' B2 F' R' L
L' R2 B U' L U' B
