R' L U L2 F' B'
R' L U L2 B' F'
L2 R' U L F' B'
L2 R' U L B' F'
L R' U L2 F' B'
L R' U L2 B' F'
L2 R' U F' L B'
R' L2 U L F' B'
R' L2 U L B' F'
R' L2 U F' L B'
R' L U L F' L B'
R' L U L2 D F' B'
R' L U L2 D B' F'
R' L U L2 D' F' B'
R' L U L2 D' B' F'
L2 R U L B' D2 F2
R' L U L2 D2 F' B'
R' L U L2 D2 B' F'
U2 L R U' F L2 B
R' L U L2 F' D B'
R' L U L2 F' D' B'
R' L U L2 F' D2 B'
R' L U L2 F' B' D
R' L U L2 F' B' D'
R' L U L2 F' B' D2
U2 L R U' F B L2
R' L U L2 B' D F'
R' L U L2 B' D' F'
R' L U L2 B' D2 F'
R' L U L2 B' F' D
R' L U L2 B' F' D'
R' L U L2 B' F' D2
U2 L R U' B F L2
L R U L2 B' D2 F2
R L U L2 B' D2 F2
R' L U F' L2 D2 B2
R' L U B L2 F' B'
R' L U B L2 B' F'
R' L U B' L2 F' B'
R' L U B' L2 B' F'
D2 L R' U L2 F' B'
D2 L R' U L2 B' F'
D' L R' U L2 F' B'
D' L R' U L2 B' F'
R' L U B2 L2 F' B'
R' L U B2 L2 B' F'
D L R' U L2 F' B'
D L R' U L2 B' F'
L R U B2 L2 F B'
L R U B2 L2 B' F
R L U B2 L2 F B'
R L U B2 L2 B' F
R' L U' F U2 L2 F2
R' L U' F U2 F2 L2
L R U' F B U2 L2
L R U' B U2 L2 B'
R L U' F B U2 L2
L R U' B F U2 L2
R L U' B U2 L2 B'
R L U' B F U2 L2
L2 R' U L D F' B'
L2 R' U L D B' F'
L2 R' U L D' F' B'
L R' U L F' L B'
L2 R' U L D' B' F'
L2 R' U L D2 F' B'
L2 R' U L D2 B' F'
L2 R' U L F' D B'
L2 R' U L F' D' B'
L2 R' U L F' D2 B'
L2 R' U L F' B' D
L2 R' U L F' B' D'
L2 R' U L F' B' D2
L2 R' U L B' D F'
L2 R' U L B' D' F'
L2 R' U L B' D2 F'
L2 R' U L B' F' D
L2 R' U L B' F' D'
L2 R' U L B' F' D2
L R' U L2 D F' B'
L R' U L2 D B' F'
L R' U L2 D' F' B'
L R' U L2 D' B' F'
L R' U L2 D2 F' B'
L R' U L2 D2 B' F'
L R' U L2 F' D B'
L R' U L2 F' D' B'
L R' U L2 F' D2 B'
