F2 U R F' L'
U' L' R U2 F' L'
U' L' R' B U2 L
U' L' B' R' B U2
U' R L' U2 F' L'
U R F2 R F L'
U' R' L' B U2 L
F2 R' F' U R2 F'
U' R' B L' U2 L2
F2 U L R F' L'
F2 U L' R F' L'
F2 U L2 R F' L'
F2 U R L F' L'
F' U R F' L' R
F' U R F' R L'
F2 U R L' F' L'
F2 U R L2 F' L'
F2 U R D F' L'
F2 U R D' F' L'
F2 U R D2 F' L'
F2 U R F' L' D
F2 U R F' L' D'
F2 U R F' L' D2
F2 U R F' D L'
F2 U R F' D' L'
F2 U R F' D2 L'
F' U F' L' R F'
F' U F' R L' F'
U F' L' R F' R
R' F' R2 U F' R
U F' L' F' R F'
R' F' U R2 F' R
U F' R L' F' R
U F2 R F L' F2
U2 F2 U' R F' L'
F2 B U R F' L'
U' B' L' R' B U2
U' B' R' L' B U2
U' B' R' B L' U2
F2 B' U R F' L'
B' F2 U R F' L'
B2 F2 U R F' L'
F2 B2 U R F' L'
B F2 U R F' L'
U L R D2 F' L' R2
U L R D2 F' R2 L'
U L R F' D2 L' R2
U L R F' D2 R2 L'
U L R' D2 R2 F' L'
U' L R' B L2 U2 L'
U L D2 R2 F' L' F
U L D2 F' L' R2 F
U L D2 F' L' F R2
U L D2 F' R2 L' F
U L F' L' F2 R F'
U L F' D2 L' R2 F
U L F' D2 L' F R2
U L F' D2 R2 L' F
U' L B' L2 R' B U2
U' L B' R' L2 B U2
U' L B' R' B L2 U2
U' L' R U2 L F' L'
U' L' R U2 L' F' L'
U' L' R U2 L2 F' L'
U' L' R U2 D F' L'
U' L' R U2 D' F' L'
U' L' R U2 D2 F' L'
U' L' R U2 F' L' D
U' L' R U2 F' L' D'
U' L' R U2 F' L' D2
U' L' R U2 F' D L'
U' L' R U2 F' D' L'
U' L' R U2 F' D2 L'
U' L' R D U2 F' L'
U' L' R D' U2 F' L'
U' L' R D2 U2 F' L'
U' L' R B U2 L F'
U' L' R B U2 F' L
U' L' R' D B U2 L
U' L' R' D' B U2 L
U' L' R' D2 B U2 L
U' L' R' B R U2 L
U' L' R' B R' U2 L
U' L' R' B R2 U2 L
U' L' R' B U2 L D
U' L' R' B U2 L D'
U' L' R' B U2 L D2
U' L' R' B U2 D L
U' L' R' B U2 D' L
U' L' R' B U2 D2 L
U' L' R' B D U2 L
U' L' R' B D' U2 L
U' L' R' B D2 U2 L
U' L' R' B' R' B2 U2
U' L' R2 B U2 L F
U' L' R2 B' R' U2 F'
U' L' U2 R F' L' R'
U' L' U2 R F' R' L'
U' L' U2 D2 F' L' F
U' L' U2 F' D2 L' F
U' L' D2 U2 F' L' F
U' L' B R U2 L F'
U' L' B R U2 F' L
U' L' B R2 U2 L F
U' L' B' R' D B U2
U' L' B' R' D' B U2
U' L' B' R' D2 B U2
U' L' B' R' B U2 D
U' L' B' R' B U2 D'
U' L' B' R' B U2 D2
U' L' B' R' B D U2
U' L' B' R' B D' U2
U' L' B' R' B D2 U2
U' L' B2 R' B R' U2
U L2 R F' L' D2 R2
U' L2 D2 L B' R' U2
U' L2 B' R' B L U2
U' R L' U2 L F' L'
U' R L' U2 L' F' L'
U' R L' U2 L2 F' L'
U' R L' U2 D F' L'
U' R L' U2 D' F' L'
U' R L' U2 D2 F' L'
U' R L' U2 F' L' D
U' R L' U2 F' L' D'
U' R L' U2 F' L' D2
U' R L' U2 F' D L'
U' R L' U2 F' D' L'
U' R L' U2 F' D2 L'
U' R L' D U2 F' L'
U R L D2 F' L' R2
U R L D2 F' R2 L'
U' R L' D' U2 F' L'
U' R L' D2 U2 F' L'
U R L F' D2 L' R2
U R L F' D2 R2 L'
U' R L' B U2 L F'
U' R L' B U2 F' L
U R L2 F' L' D2 R2
F2 R U B U' F' B'
F2 R U B U' B' F'
R U F2 R D' F L'
U' R U2 F2 R F L'
F' R U2 B U' F' R
U R U2 L' U2 F' L'
U' R D L' U2 F' L'
U' R D' L' U2 F' L'
U R D F2 R F L'
U' R D2 L' U2 F' L'
U R D' F2 R F L'
R' U' L' B U F' U
U R D2 F2 R F L'
R U' L' U' B U' F'
F2 R F' U B U' B'
U R F' L' F' R F
U R F2 R F L' D
U R F2 R F L' D'
U R F2 R F L' D2
U R F2 R F D L'
U R F2 R F D' L'
U R F2 R F D2 L'
U' R B L' U2 L2 F'
U' R B L' U2 F' L2
U R F2 R' F L' R2
U R F2 R' F R2 L'
U R F2 R2 F L' R'
U R F2 R2 F R' L'
U' R' L B L2 U2 L'
U' R' L' D B U2 L
U' R' L' D' B U2 L
U R' L D2 R2 F' L'
U' R' L' D2 B U2 L
U' R' L' B R U2 L
U' R' L' B R' U2 L
U' R' L' B R2 U2 L
U' R' L' B U2 L D
U' R' L' B U2 L D'
U' R' L' B U2 L D2
U' R' L' B U2 D L
U' R' L' B U2 D' L
U' R' L' B U2 D2 L
U' R' L' B D U2 L
U' R' L' B D' U2 L
U' R' L' B D2 U2 L
U' R' L' B' R' B2 U2
R' U' B L' U F' U
U R' U2 L' B U2 L
U' R' D L' B U2 L
U R' U2 B L' U2 L2
U' R' D B L' U2 L2
U' R' D' L' B U2 L
U' R' D' B L' U2 L2
U' R' D2 L' B U2 L
U' R' D2 B L' U2 L2
B' R' F' R2 U F' R
F' R' F' R2 U F' R'
B' R' F' U R2 F' R
F' R' F' U R2 F' R'
F2 R' F' R U R F'
F' R' F' U' B U2 R
B2 R' F' R2 U F' R
B2 R' F' U R2 F' R
F2 R' F' U R2 D F'
F2 R' F' U R2 D' F'
F2 R' F' U R2 D2 F'
F2 R' F' U R2 F' D
F2 R' F' U R2 F' D'
F2 R' F' U R2 F' D2
F2 R' F' U F R2 F'
F2 R' F' U F' R2 F'
F2 R' F' U F2 R2 F'
F2 R' F' U' B U2 R2
B R' F' R2 U F' R
B R' F' U R2 F' R
U R' F' L' R2 F' R
U R' F' R2 L' F' R
F R' F' U' L' B U2
F R' F' U' B L' U2
U' R' B L' R U2 L2
U' R' B L' R' U2 L2
U' R' B L' R2 U2 L2
U' R' B L' U2 L2 D
U' R' B L' U2 L2 D'
U' R' B L' U2 L2 D2
U' R' B L' D2 R2 U2
U' R' B R L' U2 L2
U' R' B R' L' U2 L2
U' R' B R2 L' U2 L2
U' R' B U2 L D2 R2
U' R' B D L' U2 L2
U' R' B D' L' U2 L2
U' R' B D2 L' U2 L2
U' R' B' L' R' B2 U2
U' R' B' L' B2 U2 L
U' R' B' R' L' B2 U2
U' R' B' R' B2 L' U2
U' R2 L' B U2 L F
U' R2 L' B' R' U2 F'
R U2 F2 B U' R F
R U2 B U L' U2 F'
R U2 B U' F2 R F
U R2 U2 L' B' R' U2
R U2 B F2 U' R F
D' R2 F' R F' U R
U R2 F' L' R' F' R
