F L' U F2 L' U
U L' F' U R B'
U L' F' U B' R
F' U L' U L R
F' U L' U R L
F2 U F L' B' U
F U F2 L' U R
U F' L' U R B'
U F' L' U B' R
U2 F' U R F B
U2 F' U R B F
F' L U L2 U L2 R
F' L U L2 U R L2
U2 L F' U R F B
U2 L F' U R B F
U L F' U R D2 B2
U L F' U D2 R B2
U L F' U D2 B2 R
U L F' U' F2 L' U2
U L F' D' L2 U R
U L F' D2 U R B2
U L F' D2 U B2 R
F' L B L2 U R F
F' L' R' U R2 D' F2
F L' R' D R2 U2 B2
F L' R' D' F2 U2 L2
F' L' R' B' U R2 F'
F' L' U R U' R' U
F L' U L F2 L' U
F L' U L' F2 L' U
F' L' U R2 D' R' F2
F' L' U R2 D' F2 R'
F L' U L2 F2 L' U
F L' U F2 L' U D
F L' U F2 L' U D'
F L' U F2 L' U D2
F L' U F2 L' D U
F L' U F2 L' D' U
F L' U F2 L' D2 U
F L' U F2 D L' U
F L' U F2 D' L' U
F L' U F2 D2 L' U
F L' U' R U' D' L2
F L' U' R U2 F2 U
F L' U' R D' U' L2
F L' U' R D2 B2 U'
F L' U' D' R U' L2
F L' U' D2 R B2 U'
F L' U' D2 B2 R U'
F' L' U2 F U' F' R
F' L' U2 F2 U' F2 R
F L' D R2 U' R' U'
F L' D' U' R U' L2
F L' D2 U' R B2 U'
F L' D2 U' B2 R U'
F L' F U F L' U
B L' F' L' U R F
U2 L' F' U R F B
U2 L' F' U R B F
U L' F' U R D B'
U L' F' U R D' B'
U L' F' U R D2 B'
U L' F' U R B' D
U L' F' U R B' D'
U L' F' U R B' D2
U L' F' U R' B' R2
U L' F' U D R B'
U L' F' U D B' R
U L' F' U D' R B'
U L' F' U D' B' R
U L' F' U D2 R B'
U L' F' U D2 B' R
U L' F' U B R B2
U L' F' U B' R D
U L' F' U B' R D'
U L' F' U B' R D2
U L' F' U B' D R
U L' F' U B' D' R
U L' F' U B' D2 R
U L' F' D U R B'
U L' F' D U B' R
U L' F' D' U R B'
U L' F' D' U B' R
U L' F' D2 U R B'
U L' F' D2 U B' R
U L' F' B U R B2
U L' F' B U B2 R
U L' F' B2 U B R
F L' F2 U L' U L
F' L' B U' B' U2 R
F' L' B' R2 U F' R'
U L' B F' U R B2
U L' B F' U B2 R
F' L' B' U R2 F' R'
F' L' B' U' B U2 R
F' L' B2 U R D2 F2
F' L' B2 U D2 R F2
F' L' B2 U' B2 U2 R
F' L' B2 D' R2 U R'
F' L' B2 D2 U R F2
U L' B2 F' U B R
F' L2 U L U L' R
F' L2 U L U R L'
L' U L' F' U R B'
L' U L' F' U B' R
L2 U L' F' U R B'
L2 U L' F' U B' R
L U L' F' U R B'
L U L' F' U B' R
B L2 F' L' U R F2
U2 L2 F' U R F B
U2 L2 F' U R B F
U L2 F' L U R B'
U L2 F' L U B' R
L' U F' L' U R B'
L' U F' L' U B' R
L2 U F' L' U R B'
L2 U F' L' U B' R
L U F' L' U R B'
L U F' L' U B' R
F2 R U F L' B' U
U' R U' D2 B L R'
U' R U' D2 B R' L
F R U2 F2 U R F2
U' R D2 U' B L R'
U' R D2 U' B R' L
U' R F' U' B L R
U' R F' U' B R L
F' R' L' U R2 D' F2
F' R' L' B' U R2 F'
F R' L' D R2 U2 B2
F R' L' D' F2 U2 L2
F' R' U L' U L R2
F' R' U L' U R2 L
F2 R' U F L' B' U
F R' D L' R2 U2 B2
F R' D R2 L' U2 B2
F R' D' L' F2 R U2
F R' D' F2 U2 L2 R
F R' D' F2 U2 R L2
F' R' B' L' U R2 F'
L' U2 F' U R F B
L' U2 F' U R B F
F' R2 U L' U L R'
F' R2 U L' U R' L
L2 U2 F' U R F B
L2 U2 F' U R B F
F2 R2 U F L' B' U
L U2 F' U R F B
L U2 F' U R B F
B' R2 B U' F' R B
F' U L' U L R D
F' U L' U L R D'
F' U L' U L R D2
F' U L' U L D R
F' U L' U L D' R
F' U L' U L D2 R
F' U L' U R L D
F' U L' U R L D'
F' U L' U R L D2
F' U L' U R D L
F' U L' U R D' L
F' U L' U R D2 L
F' U L' U D L R
F' U L' U D R L
F' U L' U D' L R
F' U L' U D' R L
F' U L' U D2 L R
F' U L' U D2 R L
F' U L' D U L R
F' U L' D U R L
F' U L' D' U L R
F' U L' D' U R L
F' U L' D2 U L R
F' U L' D2 U R L
F' U R U' L' R' U
F' U R U' R' L' U
U' D R F' U' B L
F' U D L' U L R
F' U D L' U R L
F' U D' L' U L R
F' U D' L' U R L
F' U D2 L' U L R
F' U D2 L' U R L
F2 U F L' D B' U
F2 U F L' D' B' U
F2 U F L' D2 B' U
F2 U F L' B' U D
F2 U F L' B' U D'
F2 U F L' B' U D2
F2 U F L' B' D U
F2 U F L' B' D' U
F2 U F L' B' D2 U
F2 U F D L' B' U
F2 U F D' L' B' U
F2 U F D2 L' B' U
F2 U F B L' B' U
F2 U F B' L' B' U
F2 U F B2 L' B' U
F' U B L' U L R
F' U B L' U R L
F U F2 L' U R D
F U F2 L' U R D'
F U F2 L' U R D2
F U F2 L' U D R
F U F2 L' U D' R
F U F2 L' U D2 R
F U F2 L' D U R
F U F2 L' D' U R
F U F2 L' D2 U R
F U F2 L' B U R
F U F2 L' B' U R
F U F2 L' B2 U R
F U F2 D L' U R
F U F2 D' L' U R
F U F2 D2 L' U R
F' U B' L' U L R
F' U B' L' U R L
F U F2 B L' U R
F U F2 B' L' U R
F2 U B F L' B' U
F U F2 B2 L' U R
F' U B2 L' U L R
F' U B2 L' U R L
F2 U B' F L' B' U
F U B F2 L' U R
F2 U B2 F L' B' U
