F L2 U L R U
F' L2 U' L R U'
F L2 U R L U
F' L2 U' R L U'
L2 F U L' R U
L2 F U R L' U
L2 F' U' L' R U'
L2 F' U' R L' U'
F' L' R U L' R' U2
F' L' R U R' L' U2
F L' R U' L' R' U2
F L' R U' R' L' U2
D' L' F U R B2 U
D' L' F U B2 R U
F L2 U L R U D
F L2 U L R U D'
F L2 U L R U D2
F L2 U L R D U
F L2 U L R D' U
F L2 U L R D2 U
F L2 U L D R U
F L2 U L D' R U
F L2 U L D2 R U
F L2 U R L U D
F L2 U R L U D'
F L2 U R L U D2
F L2 U R L D U
F L2 U R L D' U
F L2 U R L D2 U
F L2 U R D L U
F L2 U R D' L U
F L2 U R D2 L U
F L2 U D L R U
F L2 U D R L U
F L2 U D' L R U
F L2 U D' R L U
F L2 U D2 L R U
F' L2 U' L R U' D
F' L2 U' L R U' D'
F' L2 U' L R U' D2
F' L2 U' L R D U'
F' L2 U' L R D' U'
F' L2 U' L R D2 U'
F L2 U D2 R L U
F' L2 U' L D R U'
F' L2 U' L D' R U'
F' L2 U' L D2 R U'
F' L2 U' R L U' D
F' L2 U' R L U' D'
F' L2 U' R L U' D2
F' L2 U' R L D U'
F' L2 U' R L D' U'
F' L2 U' R L D2 U'
F' L2 U' R D L U'
F' L2 U' R D' L U'
F' L2 U' R D2 L U'
F' L2 U' D L R U'
F' L2 U' D R L U'
F' L2 U' D' L R U'
F' L2 U' D' R L U'
F' L2 U' D2 L R U'
F' L2 U' D2 R L U'
F' L2 D U' L R U'
F' L2 D U' R L U'
F L2 D U L R U
F L2 D U R L U
F' L2 D' U' L R U'
F' L2 D' U' R L U'
F L2 D' U L R U
F L2 D' U R L U
F' L2 D2 U' L R U'
F' L2 D2 U' R L U'
F L2 D2 U L R U
F L2 D2 U R L U
B' L2 F U L' R U
B' L2 F U R L' U
B2 L2 F U L' R U
B2 L2 F U R L' U
F2 L2 F U' L' R U'
F2 L2 F U' R L' U'
B L2 F U L' R U
B L2 F U R L' U
B' L2 F' U' L' R U'
B' L2 F' U' R L' U'
F2 L2 F' U L' R U
F2 L2 F' U R L' U
B2 L2 F' U' L' R U'
B2 L2 F' U' R L' U'
B L2 F' U' L' R U'
B L2 F' U' R L' U'
F L2 F' U L U F
F L2 B' U R U B
L2 U D' L U F B'
