B R2 D' F2 R
F2 L U L' B R
F2 L U B L' R
F2 L U B R L'
F2 L' U L B R
U2 L' U' L U' B
F2 L2 U L2 B R
F2 L2 U B L2 R
F2 L2 U B R L2
B' L2 U B2 L2 R'
B' L2 U B2 R' L2
L U D2 L' B R2
L U D2 B L' R2
L U D2 B R2 L'
F2 R U' R' U B
L U B D2 L' R2
L U B D2 R2 L'
L2 U B2 R' B' L2
L2 U' L U2 L B
L U' L2 U2 L B
B R F2 R D' F2
B2 R2 D' F2 R B'
B2 R2 D' F2 B' R
B2 R2 D' B' F2 R
B R2 D' R F2 R
B R2 D' R' F2 R
B R2 D' R2 F2 R
B R2 D' F2 R D
B R2 D' F2 R D'
B R2 D' F2 R D2
B R2 D' F2 D R
B R2 D' F2 D' R
B R2 D' F2 D2 R
B R2 F2 D' R F2
B2 R2 B' D' F2 R
B' R2 B2 D' F2 R
R2 D' R F2 R B
B U F2 U' R F2
R2 D' R2 F2 B R
R2 D' R2 B F2 R
L D' B2 U B' L'
L D2 U L' B R2
L D2 U B L' R2
L D2 U B R2 L'
B U2 L' U' L U'
B D R2 D' F2 R
B D' R2 D' F2 R
U F2 U' B R F2
B D2 R2 D' F2 R
D2 B R2 D' F2 R
D' B R2 D' F2 R
D B R2 D' F2 R
F2 B R U' R' U
F2 B R2 D' R' F2
F2 B R2 D' F2 R'
L2 B2 U R' B' L2
B F2 R U' R' U
B F2 R2 D' R' F2
B F2 R2 D' F2 R'
L' R U R' U L B
B' L U L B2 L2 R'
B' L U L B2 R' L2
F' L U L' D2 B R'
F2 L U L B L2 R
F2 L U L B R L2
F2 L U L' D B R
F2 L U L' D' B R
F2 L U L' D2 B R
F2 L U L' B R D
F2 L U L' B R D'
F2 L U L' B R D2
F2 L U L' B D R
F2 L U L' B D' R
F2 L U L' B D2 R
F2 L U L' B' R B2
F2 L U L' B2 R B'
F L U L' B D' R2
F' L U D2 L' B R'
F2 L U D L' B R
F' L U D2 B L' R'
F' L U D2 B R' L'
F2 L U D B L' R
F2 L U D B R L'
D' L U D2 L' B R2
D2 L U D2 L' B R2
F2 L U D' L' B R
D' L U D2 B L' R2
D' L U D2 B R2 L'
D2 L U D2 B L' R2
D2 L U D2 B R2 L'
F2 L U D' B L' R
F2 L U D' B R L'
F2 L U D2 L' B R
F2 L U D2 B L' R
F2 L U D2 B R L'
D L U D2 L' B R2
D L U D2 B L' R2
D L U D2 B R2 L'
D' L U B D2 L' R2
D2 L U B D2 L' R2
D' L U B D2 R2 L'
D2 L U B D2 R2 L'
F2 L U B L' R D
F2 L U B L' R D'
F2 L U B L' R D2
F2 L U B L' D R
F2 L U B L' D' R
F2 L U B L' D2 R
F2 L U B R L' D
F2 L U B R L' D'
F2 L U B R L' D2
F2 L U B R D L'
F2 L U B R D' L'
F2 L U B R D2 L'
F2 L U B D L' R
F2 L U B D R L'
F2 L U B D' L' R
F2 L U B D' R L'
F2 L U B D2 L' R
F2 L U B D2 R L'
B' L U B2 D2 L' R2
B' L U B2 D2 R2 L'
F2 L U B' L' R B2
F2 L U B' L' B2 R
F2 L U B' R L' B2
F2 L U B' R B2 L'
D L U B D2 L' R2
D L U B D2 R2 L'
F2 L U B2 R B' L'
B' L U' L2 U2 L B2
D2 L U' L2 U2 L B
D' L U' L2 U2 L B
D L U' L2 U2 L B
F2 L D U L' B R
F2 L D U B L' R
F2 L D U B R L'
U L D F2 U' F2 B
U L D F2 U' B F2
F2 L D' U L' B R
F2 L D' U B L' R
F2 L D' U B R L'
D' L D' B2 U B' L'
D2 L D' B2 U B' L'
D L D' B2 U B' L'
B L D' B2 U L' B2
B L D' B2 U B2 L'
B L D2 L' R2 D' F2
D' L D2 U L' B R2
D2 L D2 U L' B R2
D' L D2 U B L' R2
D' L D2 U B R2 L'
F' L D2 U L' B R'
D2 L D2 U B L' R2
D2 L D2 U B R2 L'
F' L D2 U B L' R'
F' L D2 U B R' L'
F2 L D2 U L' B R
D L D2 U L' B R2
F2 L D2 U B L' R
F2 L D2 U B R L'
B L D2 R2 L' D' F2
D L D2 U B L' R2
D L D2 U B R2 L'
B L D2 R2 D' L' F2
R2 L' U R2 U L B
R L' U R' U L B
F2 L B' U L' R B2
F2 L B' U L' B2 R
F2 L B' U R L' B2
F2 L B' U R B2 L'
F2 L B' U B2 L' R
F2 L B' U B2 R L'
F2 L B2 U R B' L'
F2 L B2 U B' L' R
F2 L B2 U B' R L'
R2 L' D F' B2 R' U2
R2 L' D B2 F' R' U2
B L' R2 D' L F2 R
U' L' R2 F' U F U
R2 L' D' F' U2 L F'
R2 L' D' F' U2 F' L
F' L' U L D2 B R'
U' L' U L U L' B
U' L' U L U B L'
B' L' U L B2 D' R2
F2 L' U L D B R
F2 L' U L D' B R
F2 L' U L D2 B R
U' L' U L' U L B
F2 L' U L B R D
F2 L' U L B R D'
