R' L U F' B2 R'
R' L U B2 F' R'
U2 L U' F B2 R'
U2 L U' B2 R' F
U2 L U' B2 F R'
L R' U F' B2 R'
L R' U B2 F' R'
R' U D2 F' R2 B
R' U F' B2 D2 R2
R' U B2 D2 F' R2
R' U B2 F' D2 R2
R' U' L2 U2 F' B2
R' U' L2 U2 B2 F'
R U' L2 B U2 B
R U' B L2 U2 B
D' R' B2 L U F'
R' D2 U F' R2 B
U2 L R U' F B2 R'
U2 L R U' B2 R' F
U2 L R U' B2 F R'
R' L U R B2 R' F'
R2 L U R F' B2 R'
R2 L U R B2 F' R'
L R U R' B2 R' F'
R2 L U R2 B2 R' F'
L R U R2 F' B2 R'
L R U R2 B2 F' R'
R' L U F B2 R' F2
R L U R' B2 R' F'
R' L U F' R B2 R'
R' L U F' R' B2 R'
R' L U F' R2 B2 R'
R L U R2 F' B2 R'
R' L U F' B2 R' D
R' L U F' B2 R' D'
R' L U F' B2 R' D2
R L U R2 B2 F' R'
R' L U F' B2 D R'
R' L U F' B2 D' R'
R' L U F' B2 D2 R'
R' L U F2 B2 R' F
R' L U B2 D F' R'
R' L U B2 D' F' R'
R' L U B2 D2 F' R'
R' L U B2 F R' F2
R' L U B2 F' R' D
R' L U B2 F' R' D'
R' L U B2 F' R' D2
R' L U B2 F' D R'
R' L U B2 F' D' R'
R' L U B2 F' D2 R'
R' L U B2 F2 R' F
L' R U' L' B U2 B
R' L U' L U2 F' B2
R' L U' L U2 B2 F'
U2 L R' U' F B2 R'
U2 L R' U' B2 R' F
U2 L R' U' B2 F R'
R2 L U B2 R F' R2
L R U' L B U2 B
R L U' L B U2 B
D' L R' B2 L U F'
L' R U' B L' U2 B
U2 L R2 U' F B2 R'
U2 L R2 U' B2 R' F
U2 L R2 U' B2 F R'
L R U' B U2 B R'
R L U' B U2 B R'
L2 R U2 B2 D L2 F
U2 L U' R F B2 R'
U2 L U' R B2 R' F
U2 L U' R B2 F R'
U2 L U' R' F B2 R'
U2 L U' R' B2 R' F
U2 L U' R' B2 F R'
U2 L U' R2 F B2 R'
U2 L U' R2 B2 R' F
U2 L U' R2 B2 F R'
U2 L U' F R B2 R'
U2 L U' F R' B2 R'
U2 L U' F R2 B2 R'
U2 L U' F B2 R' D
U2 L U' F B2 R' D'
U2 L U' F B2 R' D2
U2 L U' F B2 D R'
U2 L U' F B2 D' R'
U2 L U' F B2 D2 R'
U2 L U' F' B2 R' F2
U2 L U' B2 R F R2
U2 L U' B2 R' D F
U2 L U' B2 R' D' F
U2 L U' B2 R' D2 F
U2 L U' B2 R' F D
U2 L U' B2 R' F D'
U2 L U' B2 R' F D2
U2 L U' B2 D R' F
U2 L U' B2 D F R'
U2 L U' B2 D' R' F
U2 L U' B2 D' F R'
U2 L U' B2 D2 R' F
U2 L U' B2 D2 F R'
U2 L U' B2 F R' D
U2 L U' B2 F R' D'
U2 L U' B2 F R' D2
U2 L U' B2 F D R'
U2 L U' B2 F D' R'
U2 L U' B2 F D2 R'
U2 L U' B2 F' R' F2
U L U' B2 L' R' F'
U L U' B2 R' L' F'
R' L B U F' B R'
R' L B U B F' R'
U2 L F B2 R' D L2
U2 L F B2 D L2 R'
U2 L F B2 D R' L2
U2 L F' U' F2 B2 R'
U2 L F' U' B2 R' F2
U2 L F' U' B2 F2 R'
U2 L F2 U' F' B2 R'
U2 L F2 U' B2 F' R'
L R' U R B2 R' F'
L' R' U F2 R F B2
L' R' U F2 R B2 F
R' L' U F2 R F B2
R' L' U F2 R B2 F
L' R' U F2 B2 R F
R' L' U F2 B2 R F
L R' U F B2 R' F2
L R' U F' R B2 R'
L R' U F' R' B2 R'
L R' U F' R2 B2 R'
L R' U F' B2 R' D
L R' U F' B2 R' D'
L R' U F' B2 R' D2
L R' U F' B2 D R'
L R' U F' B2 D' R'
L R' U F' B2 D2 R'
L2 R' U F' B2 D' R2
R2 L' U F2 R F' B2
R2 L' U F2 R B2 F'
L' R' U B2 F2 R F
R' L' U B2 F2 R F
L R' U F2 B2 R' F
R2 L' U F2 B2 R F'
L' R' U' L' U2 F' B2
L' R' U' L' U2 B2 F'
R' L' U' L' U2 F' B2
R' L' U' L' U2 B2 F'
L R' U B2 D F' R'
L R' U B2 D' F' R'
L R' U B2 D2 F' R'
L R' U B2 F R' F2
L R' U B2 F' R' D
L R' U B2 F' R' D'
L R' U B2 F' R' D2
L R' U B2 F' D R'
L R' U B2 F' D' R'
L R' U B2 F' D2 R'
L R' U B2 F2 R' F
R2 L' U B2 F2 R F'
L2 R' U B2 D' F' R2
L2 R' U B2 F' D' R2
L R' U' L U2 F' B2
L R' U' L U2 B2 F'
R L' U' L' B U2 B
F2 L B2 R' D' L2 F'
F2 L B2 R' D' F' L2
U2 L B2 R' D F L2
U2 L B2 R' F D L2
R L' U' B L' U2 B
R L' U' B L' U2 B
U2 L B2 D R' F L2
F2 L B2 D' L2 R' F'
F2 L B2 D' R' L2 F'
U2 L B2 D F L2 R'
F2 L B2 D' R' F' L2
U2 L B2 D F R' L2
U2 L B2 F R' D L2
U2 L B2 F D L2 R'
U2 L B2 F D R' L2
L2 R' U2 F' B2 D L2
L2 R' U2 B2 D L2 F'
L2 R' U2 B2 D F' L2
L2 R' U2 B2 F' D L2
D' L' R' B2 L U F'
L R' B U F' B R'
L R' B U B F' R'
L R2 U R F' B2 R'
L R2 U R B2 F' R'
R' L2 U F' B2 D' R2
L' R2 U F2 R F' B2
L' R2 U F2 R B2 F'
L R2 U R2 B2 R' F'
L' R2 U F2 B2 R F'
R' L2 U B2 D' F' R2
R' L2 U B2 F' D' R2
L' R2 U B2 F2 R F'
L R2 U B2 R F' R2
R' L2 U2 F' B2 D L2
R' L2 U2 B2 D L2 F'
R' L2 U2 B2 D F' L2
R' L2 U2 B2 F' D L2
R L2 U2 B2 D L2 F
D L2 R U D R2 F'
D L2 R D U R2 F'
D L2 R' U D F' R2
D L2 R' U2 F2 U' F
D L2 R' D U F' R2
D' L2 R' B2 L U F'
D L2 R' D2 B2 U F'
U' L2 U R' U F' B2
U' L2 U R' U B2 F'
U' L2 U' L U' F B2
U' L2 U' L U' B2 F
D L2 U2 L F2 U' F'
D L2 U2 F2 L U' F
D L2 D R' U F' R'
R' U L B2 L' F' R'
D L2 D2 R' B2 U F'
L2 U L' U L F B2
L2 U L' U L B2 F
D L2 D2 B2 R' U F'
R' U L2 U2 L2 F' B2
R' U L2 U2 L2 B2 F'
R' U L2 U2 F' L2 B2
R' U L2 U2 F' B2 L2
R' U L2 U2 B2 L2 F'
R' U L2 U2 B2 F' L2
R U L2 U2 B2 L2 F
R U L2 B U2 L2 B
R U L2 B U2 B L2
R2 U R D2 F' R2 B
R2 U R F' B2 D2 R2
R2 U R B2 D2 F' R2
R2 U R B2 F' D2 R2
U' L2 B U' L U' B
U' L2 B' U R' U B'
R U R2 D2 F' R2 B
R U R2 F' B2 D2 R2
R U R2 B2 D2 F' R2
R U R2 B2 F' D2 R2
U2 R L U' F B2 R'
U2 R L U' B2 R' F
U2 R L U' B2 F R'
R' U D2 F' R2 D B
R' U D2 F' R2 D' B
R' U D2 F' R2 D2 B
R' U D2 F' R2 B D
R' U D2 F' R2 B D'
R' U D2 F' R2 B D2
R' U D2 F' B R2 B
R' U D2 F' B' R2 B
R' U D2 F' B2 R2 B
R' U D2 B F' R2 B
R' U D2 B' F' R2 B
R' U D2 B2 F' R2 B
R U D2 R2 D2 F' B2
R U D2 R2 D2 B2 F'
R U D2 F' R2 F' B
R U D2 F' R2 B F'
R' U F' L B2 L' R'
R' U F' L B2 R' L'
D R L2 U D R2 F'
R' U F' R B2 D2 R2
R' U F' R' B2 D2 R2
R' U F' R2 B2 D2 R2
D R L2 D U R2 F'
R' U F' U2 L2 U2 B2
L U F B2 R' D' F2
R' U F' D2 R2 D2 B2
R' U F' B D2 B R2
R' U F' B' D2 R2 B'
R' U F' B' D2 B' R2
R' U F' B2 R D2 R2
R' U F' B2 R' D2 R2
R' U F' B2 R2 D2 R2
R' U F' B2 U2 L2 U2
R' U F' B2 D2 R2 D
R' U F' B2 D2 R2 D'
R' U F' B2 D2 R2 D2
B' R U D2 R2 F' B'
B' R U D2 R2 B' F'
B' R U B' D2 R2 F2
B' R U B' D2 F2 R2
B' R U' L2 F B U2
B' R U' L2 B F U2
R' U F2 B2 D2 R2 F
R' U F2 B2 D2 F R2
L' U F2 B2 D R F'
D2 R U' F2 L' B U2
D2 R U' F2 B L' U2
D2 R U' B F2 L' U2
B' R U' B L2 U2 B2
R' U B D2 F' B R2
R' U B D2 B F' R2
R' U B F' D2 B R2
R U B L2 U2 L2 B
R U B L2 U2 B L2
R' U B' D2 F' R2 B'
R' U B' D2 F' B' R2
R' U B' D2 B' F' R2
R' U B' F' D2 R2 B'
R' U B' F' D2 B' R2
R' U B2 R2 D2 R2 F'
R' U B2 U2 L2 U2 F'
R U B' D2 R2 F2 B'
R U B' D2 R2 B' F2
R U B' D2 F2 R2 B'
R U B' D2 F2 B' R2
R U B' D2 B' R2 F2
R U B' D2 B' F2 R2
R' U B2 D' F' D' R2
R' U B2 D2 F R2 F2
R' U B2 D2 F' R2 D
R' U B2 D2 F' R2 D'
R' U B2 D2 F' R2 D2
R' U B2 D2 F2 R2 F
R2 U B2 R D2 F' R2
R2 U B2 R F' D2 R2
R' U B2 F' R D2 R2
R' U B2 F' R' D2 R2
R' U B2 F' R2 D2 R2
R' U B2 F' U2 L2 U2
R2 U B2 R' D2 R2 F'
R' U B2 F' D2 R2 D
R' U B2 F' D2 R2 D'
R' U B2 F' D2 R2 D2
R' U B2 F2 D2 R2 F
R' U B2 F2 D2 F R2
L' U B2 F2 D R F'
R' U' L U2 F' B2 R'
R' U' L U2 B2 F' R'
R U B2 U2 L2 U2 F
R U B2 U2 B' L2 U2
L U B2 F R' D' F2
B' R D2 U R2 F' B'
B' R D2 U R2 B' F'
R U' L B U2 B R'
R' U' L2 U2 F' B2 D
R' U' L2 U2 F' B2 D'
R' U' L2 U2 F' B2 D2
R' U' L2 U2 B2 D F'
R' U' L2 U2 B2 D' F'
R' U' L2 U2 B2 D2 F'
R' U' L2 U2 B2 F' D
R' U' L2 U2 B2 F' D'
R' U' L2 U2 B2 F' D2
R' U' L2 D2 F2 U2 F
R' U' L2 F U2 F2 B2
R' U' L2 F U2 B2 F2
R U' L' B L' U2 B
R' U' L2 F2 U2 F B2
