F U' L' U' R
D F U2 R F'
F L U' L2 U' R
F L U2 R D F2
F L U2 D R F2
F L D U2 R F2
F L D' B2 U2 R
F' L' F2 U' L' U'
F L2 U' L U' R
D' L2 U2 B' R' F'
F U' L' U' R D
F U' L' U' R D'
F U' L' U' R D2
F U' L' U' D R
F U' L' U' D' R
F U' L' U' D2 R
F U' L' D U' R
F U' L' D' U' R
F U' L' D2 U' R
F U' D L' U' R
F U' D' L' U' R
F U' D2 L' U' R
F U2 R U L' U'
D' F L B' U2 R
D' F L' U2 R F
D F L U2 R F'
D F L' U2 R F'
D F L2 U2 R F'
D2 F U2 D' R F'
D' F U2 D2 R F'
D F U2 R D F'
D F U2 R D' F'
D F U2 R D2 F'
D F U2 R F' D
D F U2 R F' D'
D F U2 R F' D2
D2 F D' U2 R F'
D' F D2 U2 R F'
D F B U2 R F'
D F B' U2 R F'
D F B2 U2 R F'
D' F' L' F2 U2 F'
F D U' L' U' R
B2 D F U2 R F'
B' D F U2 R F'
B D F U2 R F'
F D' U' L' U' R
F D2 U' L' U' R
D B F U2 R F'
B' F U' L' U' R
B2 F U' L' U' R
B F U' L' U' R
F B U' L' U' R
D B' F U2 R F'
F B' U' L' U' R
F B2 U' L' U' R
D B2 F U2 R F'
F L U D2 R2 U R'
F L U' L2 U' R D
F L U' L2 U' R D'
F L U' L2 U' R D2
F L U' L2 U' D R
F L U' L2 U' D' R
F L U' L2 U' D2 R
F L U' L2 D U' R
F L U' L2 D' U' R
F L U' L2 D2 U' R
F L U2 R U L2 U'
F L U2 R D F2 D
F L U2 R D F2 D'
F L U2 R D F2 D2
F L U2 R F D F2
F L U2 R F' D F2
F L U2 R F2 D F2
F L U2 R2 D R' F2
F L U2 R2 D F2 R'
F L U2 D R F2 D
F L U2 D R F2 D'
F L U2 D R F2 D2
F L U2 D R' F2 R2
F L U2 D R2 F2 R'
F L U2 D' R D2 F2
F L U2 F2 D F2 R
F L D L U2 R F2
F L D L' U2 R F2
F L D L2 U2 R F2
F L D U2 R F2 D
F L D U2 R F2 D'
F L D U2 R F2 D2
F L D U2 R' F2 R2
F L D U2 R2 F2 R'
F L D B U2 R F2
F L D B' U2 R F2
F L D B2 U2 R F2
F L D' L B2 U2 R
F L D' L' B2 U2 R
F L D' L2 B2 U2 R
F L D' U2 R D2 F2
F L D' B2 L U2 R
F L D' B2 L' U2 R
F L D' B2 L2 U2 R
F L D' B2 U2 R D
F L D' B2 U2 R D'
F L D' B2 U2 R D2
F L D' B2 U2 D R
F L D' B2 U2 D' R
F L D' B2 U2 D2 R
F L D' B2 D U2 R
F L D' B2 D' U2 R
F L D' B2 D2 U2 R
F L D2 U R2 U R'
F2 L F' U' L' U' R
D' L F' B' L' F U2
F' L F2 L2 U' L U'
F L B U' L2 U' R
F L B U2 R D F2
F L B U2 D R F2
F L B D U2 R F2
F L B D' B2 U2 R
D' L B' L U2 B' R'
D' L B' L' F U2 R
F L B' U' L2 U' R
F L B' U2 R D F2
F L B' U2 D R F2
D' L B' F' L' F U2
F L B' D U2 R F2
F L B' D' B2 U2 R
F L B2 U' L2 U' R
F L B2 U2 R D F2
F L B2 U2 D R F2
F L B2 D U2 R F2
F L B2 D' B2 U2 R
F' L' U R U D2 B2
F' L' U R U' F2 U2
F' L' U R D' L2 U
F' L' U R D2 U B2
F' L' U D' L2 R U
F' L' U D' R L2 U
F' L' U D2 R U B2
F L' U' F U' F' R
F L' U' F2 U' F2 R
F L' U2 R U' R' U
F L' U2 R2 D' R' F2
F L' U2 R2 D' F2 R'
F' L' D' U L2 R U
F' L' D' U R L2 U
F' L' D2 U R U B2
U' L' F L' U' B' R'
D L' F U2 R F' B
D L' F U2 R B F'
D' L' F' L' U2 F2 B'
D' L' F' L' U2 B' F2
D' L' F' U2 F2 R B
F2 L' F' U' L' U' R
F' L' F2 U' L' U' D
F' L' F2 U' L' U' D'
F' L' F2 U' L' U' D2
F' L' F2 U' L' D U'
F' L' F2 U' L' D' U'
F' L' F2 U' L' D2 U'
F' L' F2 U' D L' U'
F' L' F2 U' D' L' U'
F' L' F2 U' D2 L' U'
D' L' F2 U2 F' R B
F' L' F2 D U' L' U'
F' L' F2 D' U' L' U'
F' L' F2 D2 U' L' U'
F' L' F2 B U' L' U'
F' L' F2 B' U' L' U'
F' L' F2 B2 U' L' U'
F' L' B F2 U' L' U'
F' L' B' F2 U' L' U'
F' L' B2 F2 U' L' U'
F L2 U B2 R' U R2
F L2 U' L U' R D
F L2 U' L U' R D'
F L2 U' L U' R D2
F L2 U' L U' D R
F L2 U' L U' D' R
F L2 U' L U' D2 R
F L2 U' L D U' R
F L2 U' L D' U' R
F L2 U' L D2 U' R
F L2 U' D L U' R
F L2 U' D' L U' R
F L2 U' D2 L U' R
D' L2 U2 R' F' B' R'
D' L2 U2 R' B' F' R'
D' L2 U2 D B' R' F'
D' L2 U2 D' B' R' F'
D' L2 U2 D2 B' R' F'
D L2 U2 R F' B' R'
D L2 U2 R B' F' R'
D' L2 U2 F B' R' F'
D' L2 U2 F' B' R' F'
F L2 U2 R U L U'
D L2 U2 R2 B' R' F'
D' L2 U2 F2 B' R' F'
D' L2 U2 B' R' D F'
D' L2 U2 B' R' D' F'
D' L2 U2 B' R' D2 F'
D' L2 U2 B' R' F' D
D' L2 U2 B' R' F' D'
D' L2 U2 B' R' F' D2
D' L2 U2 B' D R' F'
D' L2 U2 B' D' R' F'
D' L2 U2 B' D2 R' F'
D' L2 U2 B' F R' F'
D' L2 U2 B' F' R' F'
D' L2 U2 B' F2 R' F'
D L2 U2 B' R F' R2
D' L2 D U2 B' R' F'
F L2 D U' L U' R
D' L2 D' U2 B' R' F'
F L2 D' U' L U' R
D' L2 D2 U2 B' R' F'
F L2 D2 U' L U' R
D L2 F U2 R F' B'
D L2 F U2 R B' F'
D L2 F U2 B' R F'
F2 L2 F' U' L' U' R
F' L2 F2 L U' L2 U'
F' L2 F2 L U2 D F2
F' L2 F2 L D U2 F2
F' L2 F2 L D' B2 U2
U' L2 F2 U' B' R' F'
F L2 B U2 D' R F'
F L2 B D' U2 R F'
F L2 B2 U R' U R2
F L2 B2 U2 R D' F2
F' R U' L' R' F2 U2
F' R U' L' F2 R' U2
F' R U' R' L' F2 U2
F' R U' R' F2 U2 R
F' R U' F2 R' U2 R2
D R F R' U2 R2 F2
D R F R' U2 F2 R2
L2 U' F2 U' B' R' F'
D R' B R F U2 R
L2 U2 D R F' B' R'
L2 U2 D R B' F' R'
L2 U2 D R2 B' R' F'
L2 U2 D B' R F' R2
L2 U2 F' B' R' D' F2
L2 U2 B' R2 D R F'
L2 U2 B' D R F' R2
L2 U2 B' F' R' D' F2
L' D L F U2 R F'
L2 D L2 F U2 R F'
R' D R F U2 R F2
R D R' F B U2 R
R D R' B F U2 R
L2 D U2 R F' B' R'
L2 D U2 R B' F' R'
L2 D U2 R2 B' R' F'
L2 D U2 B' R F' R2
L' D F U2 R F' B
L' D F U2 R B F'
L2 D F U2 R F' B'
L2 D F U2 R B' F'
L2 D F U2 B' R F'
R D F R' U2 R2 F'
R D F R' B U2 R2
F' U R U' L' F2 U2
F' U R U' F2 U2 R
F U R' U2 L' U' R2
F U R2 U2 L' U' R'
L' D' L F B' U2 R
L' D' L B' F U2 R
L' D' L' U2 F B' R'
L' D' L' U2 B' R' F
L' D' L' U2 B' F R'
F U F2 R F2 U R
F U B U2 L' U' R
F U B' U2 L' U' R
F U B2 U2 L' U' R
F U' L U' R D F2
F U' L U' D R F2
F U' L D U' R F2
L' D' F' L' U2 F B'
L' D' F' L' U2 B' F
F U' L' U L U2 R
F U' L' U L' U2 R
F U' L' U L2 U2 R
F U' L' U' R2 D R'
F U' L' U' R2 D' R'
F U' L' U' R2 D2 R'
F U' L' U' D R D
F U' L' U' D R D'
F U' L' U' D R D2
F U' L' U' D' R D
F U' L' U' D' R D'
F U' L' U' D' R D2
F U' L' U' D2 R D
F U' L' U' D2 R D'
F U' L' U' D2 R D2
F U' L' U' B R B'
F U' L' U' B2 R B2
F U' L' U2 B U R
F U' L' U2 B' U R
F U' L' U2 B2 U R
F U' L' D U' R D
F U' L' D U' R D'
F U' L' D U' R D2
F U' L' D' U' R D
F U' L' D' U' R D'
F U' L' D' U' R D2
F U' L' D2 U' R D
F U' L' D2 U' R D'
F U' L' D2 U' R D2
F U' L' F2 U L' U2
F U' L2 D L U' R
F U' L2 D' L U' R
F U' L2 D2 L U' R
F U' D L' U' R D
F U' D L' U' R D'
F U' D L' U' R D2
F U' D L' U' D R
F U' D L' U' D' R
F U' D L' U' D2 R
F U' D L' D U' R
F U' D L' D' U' R
F U' D L' D2 U' R
F U' D' L' U' R D
F U' D' L' U' R D'
F U' D' L' U' R D2
F U' D' L' U' D R
F U' D' L' U' D' R
F U' D' L' U' D2 R
F U' D' L' D U' R
F U' D' L' D' U' R
F U' D' L' D2 U' R
F U' D2 L' U' R D
F U' D2 L' U' R D'
F U' D2 L' U' R D2
F U' D2 L' U' D R
F U' D2 L' U' D' R
F U' D2 L' U' D2 R
F U' D2 L' D U' R
F U' D2 L' D' U' R
F U' D2 L' D2 U' R
F U' F U' R' F' R
F U' B' L' B U' R
F U' B2 L' B2 U' R
F U2 L R D L' F2
F U2 L D L' R F2
F U2 L D R L' F2
F U2 R L D L' F2
F U2 R U L' U' D
F U2 R U L' U' D'
F U2 R U L' U' D2
F U2 R U L' D U'
F U2 R U L' D' U'
F U2 R U L' D2 U'
F U2 R U D L' U'
F U2 R U D' L' U'
F U2 R U D2 L' U'
F U2 R D U L' U'
F U2 R D' U L' U'
F U2 R D2 U L' U'
F U2 R F2 U' R U
F U2 R' U L' U' R2
F U2 R2 U L' U' R'
D2 F L U2 D' R F'
D' F L D B' U2 R
F U2 R2 F2 R' D' F2
D' F L D' B' U2 R
D2 F L D' U2 R F'
D' F L D2 B' U2 R
D' F L B' L U2 R
D' F L B' L' U2 R
D' F L B' L2 U2 R
D' F L B' U2 R D
D' F L B' U2 R D'
D' F L B' U2 R D2
D' F L B' U2 D R
D' F L B' U2 D' R
D' F L B' U2 D2 R
D' F L B' D U2 R
D' F L B' D' U2 R
D' F L B' D2 U2 R
F U2 D R U L' U'
D' F L' U2 R D F
D' F L' U2 R D' F
D' F L' U2 R D2 F
D' F L' U2 R F D
D' F L' U2 R F D'
D' F L' U2 R F D2
D' F L' U2 R' F R2
D' F L' U2 R2 F R'
D' F L' U2 D R F
D' F L' U2 D' R F
D' F L' U2 D2 R F
D' F L' D U2 R F
D2 F L' U2 D' R F'
D' F L' D' U2 R F
D' F L' D2 U2 R F
D2 F L' D' U2 R F'
D F L U2 R D F'
D F L U2 R D' F'
D F L U2 R D2 F'
D F L U2 R F' D
D F L U2 R F' D'
D F L U2 R F' D2
F U2 D' R U L' U'
D' F L' B U2 R F
D' F L' B' U2 R F
D' F L' B2 U2 R F
D F L B U2 R F'
D F L B' U2 R F'
D F L B2 U2 R F'
D' F L2 U2 R' F' R2
D2 F L2 U2 D' R F'
D2 F L2 D' U2 R F'
F U2 D2 R U L' U'
D F L' U2 R D F'
D F L' U2 R D' F'
D F L' U2 R D2 F'
D F L' U2 R F' D
D F L' U2 R F' D'
D F L' U2 R F' D2
D F L' B U2 R F'
D F L' B' U2 R F'
D F L' B2 U2 R F'
D F L2 U2 R D F'
D F L2 U2 R D' F'
D F L2 U2 R D2 F'
D F L2 U2 R F' D
D F L2 U2 R F' D'
D F L2 U2 R F' D2
D F L2 B U2 R F'
D F L2 B' U2 R F'
D F L2 B2 U2 R F'
F U2 F' D F R F'
F U2 F2 R' D' F2 R
D F R' B R U2 R
R F R' U' L' U' R2
R2 F R2 U' L' U' R'
D2 F U B R' U R2
D' F U' L' U' R F
L' F U' L' U' R B
D F U R' U R2 F'
D' F U2 L' R F L
D F U B U R F'
D' F U2 R L' F L
D F U B' U R F'
D F U B2 U R F'
D F U' L U' R F'
D F U' L' U' R F'
D F U' L2 U' R F'
D' F U2 D2 R D F'
D' F U2 D2 R D' F'
D' F U2 D2 R D2 F'
D' F U2 D2 R F' D
D' F U2 D2 R F' D'
D' F U2 D2 R F' D2
D2 F U2 D' R D F'
D2 F U2 D' R D' F'
D2 F U2 D' R D2 F'
D2 F U2 D' R F' D
D2 F U2 D' R F' D'
D2 F U2 D' R F' D2
D2 F D L B' U2 R
D2 F D L' U2 R F
D F U2 L' R F' L
F D L U' L2 U' R
D F U2 L2 R F' L2
F D L U2 R D F2
F D L U2 D R F2
D F U2 R L' F' L
D F U2 R L2 F' L2
D F U2 R D F' D
D F U2 R D F' D'
D F U2 R D F' D2
D F U2 R D' F' D
D F U2 R D' F' D'
D F U2 R D' F' D2
D F U2 R D2 F' D
D F U2 R D2 F' D'
D F U2 R D2 F' D2
F D L D U2 R F2
D F U2 R F2 D F
D F U2 R F2 D' F
D F U2 R F2 D2 F
D F U2 R' F R2 F'
D F U2 R' F' R2 F'
D F U2 R' F2 R2 F'
F D L D' B2 U2 R
D F U2 R2 D R' F'
D F U2 R2 D' R' F'
D F U2 R2 D2 R' F'
D F U2 R2 F R' F'
D F U2 R2 F' R' F'
D F U2 R2 F2 R' F'
D F U2 F R F' R
D2 F D' L U2 R F'
D2 F D' L' U2 R F'
D F U2 B R F' B'
D F U2 B R B' F'
D2 F D' L2 U2 R F'
D F U2 B2 R F' B2
D F U2 B2 R B2 F'
D2 F D' U2 R D F'
D2 F D' U2 R D' F'
D2 F D' U2 R D2 F'
D2 F D' U2 R F' D
D2 F D' U2 R F' D'
D2 F D' U2 R F' D2
D2 F D' B U2 R F'
D2 F D' B' U2 R F'
D2 F D' B2 U2 R F'
D' F D2 L U2 R F'
D' F D2 L' U2 R F'
D' F D2 L2 U2 R F'
F D L2 U' L U' R
D' F D2 U2 R D F'
D' F D2 U2 R D' F'
D' F D2 U2 R D2 F'
D' F D2 U2 R F' D
D' F D2 U2 R F' D'
D' F D2 U2 R F' D2
D' F D2 B U2 R F'
D' F D2 B' U2 R F'
D' F D2 B2 U2 R F'
D' F B L B' U2 R
D' F B L' U2 R F
D F D2 L B' U2 R
